date,open,high,low,close,volume
2000-01-03,2.31,2.44,2.25,2.25,2100
2000-01-04,2.19,2.31,2.06,2.19,5900
2000-01-05,2.0,2.06,2.0,2.0,2900
2000-01-06,2.12,2.12,2.0,2.0,700
2000-01-07,2.12,2.12,2.0,2.0,2400
2000-01-10,2.0,2.38,2.0,2.38,15100
2000-01-11,2.44,2.44,2.44,2.44,3100
2000-01-12,2.38,2.38,2.25,2.25,4400
2000-01-13,2.25,2.31,2.25,2.31,1500
2000-01-14,2.31,2.44,2.31,2.38,4300
2000-01-18,2.44,2.5,2.44,2.44,2500
2000-01-19,2.5,2.5,2.5,2.5,5500
2000-01-20,2.5,2.62,2.5,2.56,10000
2000-01-21,2.5,2.5,2.25,2.38,5900
2000-01-24,2.38,2.38,2.12,2.12,5700
2000-01-25,2.12,2.25,2.12,2.12,7200
2000-01-26,2.06,2.06,2.06,2.06,600
2000-01-27,2.0,2.0,2.0,2.0,2800
2000-01-28,1.94,2.0,1.94,2.0,5500
2000-01-31,1.88,1.88,1.88,1.88,2100
2000-02-01,2.0,2.38,2.0,2.38,12100
2000-02-02,2.38,2.38,2.0,2.0,13600
2000-02-03,2.12,2.12,1.94,1.94,7800
2000-02-04,2.0,2.0,1.94,1.94,1200
2000-02-07,1.94,2.06,1.88,2.06,9400
2000-02-08,2.12,2.25,2.12,2.25,6200
2000-02-09,2.38,2.38,2.38,2.38,5800
2000-02-10,2.44,2.44,2.38,2.38,2900
2000-02-11,2.31,2.44,2.31,2.38,3100
2000-02-14,2.25,2.25,2.25,2.25,3500
2000-02-15,2.25,2.25,2.25,2.25,0
2000-02-16,2.31,2.31,2.19,2.19,3000
2000-02-17,2.12,2.12,2.06,2.12,8500
2000-02-18,2.06,2.06,1.75,1.94,21300
2000-02-22,2.0,2.0,1.94,2.0,6200
2000-02-23,1.88,1.94,1.88,1.94,3100
2000-02-24,1.94,1.94,1.94,1.94,10900
2000-02-25,1.88,2.0,1.88,2.0,8400
2000-02-28,2.0,2.0,2.0,2.0,0
2000-02-29,2.0,2.0,1.88,1.94,5700
2000-03-01,1.88,1.88,1.88,1.88,2500
2000-03-02,1.81,1.88,1.75,1.81,2600
2000-03-03,1.81,1.81,1.75,1.81,1000
2000-03-06,1.81,1.81,1.62,1.69,6200
2000-03-07,1.5,1.5,1.44,1.5,33900
2000-03-08,1.5,1.75,1.5,1.75,16500
2000-03-09,1.75,1.88,1.75,1.88,4400
2000-03-10,1.81,1.81,1.81,1.81,200
2000-03-13,1.75,1.88,1.69,1.69,7100
2000-03-14,1.75,1.75,1.75,1.75,7000
2000-03-15,1.62,1.81,1.5,1.81,13200
2000-03-16,1.75,1.75,1.75,1.75,1600
2000-03-17,1.69,1.75,1.62,1.75,2100
2000-03-20,1.69,1.69,1.62,1.62,2500
2000-03-21,1.56,1.62,1.5,1.62,9100
2000-03-22,1.56,1.56,1.56,1.56,1000
2000-03-23,1.56,1.62,1.56,1.62,1400
2000-03-24,1.62,1.62,1.5,1.62,9900
2000-03-27,1.62,1.75,1.62,1.62,19200
2000-03-28,1.62,1.62,1.56,1.56,3300
2000-03-29,1.56,1.56,1.56,1.56,2700
2000-03-30,1.5,1.69,1.5,1.69,3500
2000-03-31,1.62,1.62,1.62,1.62,1600
2000-04-03,1.69,1.75,1.62,1.62,6300
2000-04-04,1.5,1.75,1.5,1.56,8300
2000-04-05,1.5,1.5,1.38,1.44,12700
2000-04-06,1.38,1.5,1.38,1.5,2700
2000-04-07,1.5,1.5,1.5,1.5,1000
2000-04-10,1.56,1.62,1.5,1.62,3300
2000-04-11,1.5,1.5,1.44,1.44,5800
2000-04-12,1.5,1.5,1.38,1.38,4900
2000-04-13,1.5,1.56,1.5,1.56,7400
2000-04-14,1.44,1.44,1.25,1.38,16800
2000-04-17,1.38,1.38,1.19,1.19,27600
2000-04-18,1.25,1.25,1.12,1.25,5600
2000-04-19,1.31,1.44,1.25,1.25,15700
2000-04-20,1.12,1.25,1.12,1.25,11300
2000-04-24,1.19,1.25,1.19,1.25,5000
2000-04-25,1.25,1.38,1.25,1.38,2100
