date,open,high,low,close,volume
2022-01-12,3.75,4.17,3.27,3.48,7612261
2022-01-13,3.39,3.52,2.75,2.75,1637087
2022-01-14,2.61,3.15,2.55,2.85,1535503
2022-01-18,2.83,2.83,2.56,2.78,893082
2022-01-19,2.66,2.86,2.52,2.57,445407
2022-01-20,2.62,3.2,2.62,3.13,1002239
2022-01-21,2.88,3.4364,2.8705,3.36,490322
2022-01-24,3.21,3.95,3.21,3.76,1150362
2022-01-25,3.61,3.76,3.5,3.68,265635
2022-01-26,3.54,4.0,3.41,3.73,854041
2022-01-27,3.9061,4.03,3.5218,3.78,369240
2022-01-28,3.83,3.91,3.58,3.83,134185
2022-01-31,3.8,4.21,3.7999,4.02,913899
2022-02-01,4.09,4.14,3.76,3.945,345831
2022-02-02,3.98,4.24,3.92,4.1,423463
2022-02-03,3.82,4.07,3.77,3.9,127584
2022-02-04,3.94,4.05,3.86,4.05,73870
2022-02-07,4.05,4.14,3.91,4.05,100858
2022-02-08,3.92,4.08,3.92,4.0,23397
2022-02-09,4.05,4.05,3.75,3.81,64239
2022-02-10,3.7,4.0,3.57,4.0,172120
2022-02-11,3.88,4.2,3.84,3.9784,102428
2022-02-14,4.09,4.09,3.67,3.72,80536
2022-02-15,3.61,4.1,2.81,3.15,571070
2022-02-16,3.0,3.7399,2.24,2.46,2843101
2022-02-17,2.4,2.44,1.9,1.97,518090
2022-02-18,1.89,2.03,1.755,1.82,295810
2022-02-22,1.75,2.1189,1.75,2.02,346924
2022-02-23,2.1,2.2099,1.94,1.94,142949
2022-02-24,1.81,1.89,1.71,1.75,63258
2022-02-25,1.84,1.93,1.75,1.9163,61413
2022-02-28,2.02,2.08,1.83,1.86,85854
2022-03-01,1.83,1.94,1.76,1.81,119127
2022-03-02,1.75,1.88,1.7228,1.77,174495
2022-03-03,1.75,1.81,1.68,1.74,43705
2022-03-04,1.8,1.8,1.74,1.79,72344
2022-03-07,1.8,1.93,1.76,1.82,125898
2022-03-08,1.8,2.04,1.58,1.78,394387
2022-03-09,1.8,2.0,1.74,1.74,836481
2022-03-10,1.65,1.7,1.55,1.67,101633
2022-03-11,1.69,1.7,1.55,1.66,114181
2022-03-14,1.61,1.61,1.2501,1.28,234406
2022-03-15,1.34,1.34,1.1501,1.16,149786
2022-03-16,1.25,1.35,1.18,1.22,190811
2022-03-17,1.29,1.435,1.255,1.36,237691
2022-03-18,1.32,1.6199,1.32,1.33,704596
2022-03-21,1.48,1.51,1.33,1.33,159880
2022-03-22,1.4,1.46,1.33,1.42,130707
2022-03-23,1.39,1.4842,1.37,1.42,74327
2022-03-24,1.42,1.52,1.42,1.47,134151
2022-03-25,1.46,1.58,1.46,1.48,115482
2022-03-28,1.49,1.57,1.46,1.54,77446
2022-03-29,1.5101,1.54,1.41,1.46,285412
2022-03-30,1.48,2.78,1.48,2.03,10779770
2022-03-31,1.81,1.8695,1.53,1.6,1172861
2022-04-01,1.57,1.69,1.49,1.5,366029
2022-04-04,1.52,1.57,1.41,1.44,254117
2022-04-05,1.48,1.52,1.35,1.38,159375
2022-04-06,1.42,1.48,1.35,1.44,84447
2022-04-07,1.5,1.52,1.39,1.45,84102
2022-04-08,1.45,1.46,1.36,1.38,156616
2022-04-11,1.35,1.45,1.33,1.39,128389
2022-04-12,1.41,1.5598,1.35,1.48,187349
2022-04-13,1.44,1.52,1.4,1.51,113322
2022-04-14,1.53,1.56,1.378,1.41,60987
2022-04-18,1.43,1.6,1.35,1.37,192451
2022-04-19,1.43,1.55,1.35,1.47,113144
2022-04-20,1.402,1.53,1.402,1.49,30745
2022-04-21,1.49,1.5499,1.4,1.49,39176
2022-04-22,1.54,1.54,1.245,1.29,192276
2022-04-25,1.31,1.31,1.2,1.23,151393
2022-04-26,1.21,1.25,1.18,1.205,28906
2022-04-27,1.22,1.36,1.1701,1.26,317248
2022-04-28,1.24,1.27,1.18,1.25,67857
2022-04-29,1.21,1.26,1.18,1.24,72114
2022-05-02,1.21,1.25,1.1799,1.21,31751
2022-05-03,1.24,1.27,1.18,1.2,26488
2022-05-04,1.2,1.36,1.17,1.26,164152
2022-05-05,1.31,1.31,1.18,1.19,34034
2022-05-06,1.18,1.255,1.11,1.15,99800
2022-05-09,1.12,1.2,0.95,1.04,110616
2022-05-10,1.02,1.049,0.9905,1.0486,39795
2022-05-11,1.0,1.03,0.9125,0.9466,66407
2022-05-12,0.92,1.01,0.91,0.964,26713
