date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,20.44,20.44,18.0,18.62,17900,1.0,0.0
2000-01-04,18.75,20.0,18.5,19.0,11300,1.0,0.0
2000-01-05,18.5,20.0,18.25,20.0,45700,1.0,0.0
2000-01-06,20.63,25.25,20.63,23.0,122800,1.0,0.0
2000-01-07,22.5,24.5,21.75,23.0,103500,1.0,0.0
2000-01-10,23.38,25.13,23.25,24.0,95900,1.0,0.0
2000-01-11,24.13,25.13,23.0,23.0,110500,1.0,0.0
2000-01-12,24.0,24.0,20.25,22.88,57100,1.0,0.0
2000-01-13,23.47,23.5,19.13,20.69,62500,1.0,0.0
2000-01-14,20.44,20.75,19.44,19.44,32800,1.0,0.0
2000-01-18,19.25,22.25,19.06,21.5,44100,1.0,0.0
2000-01-19,21.5,23.13,21.0,22.75,37300,1.0,0.0
2000-01-20,21.75,22.06,19.75,20.5,104500,1.0,0.0
2000-01-21,20.88,25.13,20.06,24.63,206000,1.0,0.0
2000-01-24,24.75,27.88,24.13,26.5,382800,1.0,0.0
2000-01-25,27.56,28.0,25.0,25.13,93800,1.0,0.0
2000-01-26,25.5,26.0,25.06,25.5,36000,1.0,0.0
2000-01-27,25.25,26.13,25.25,25.5,50400,1.0,0.0
2000-01-28,25.0,25.5,21.75,22.25,52100,1.0,0.0
2000-01-31,21.63,23.0,21.63,23.0,47600,1.0,0.0
2000-02-01,23.13,24.75,22.25,23.5,17600,1.0,0.0
2000-02-02,23.38,24.0,22.0,23.25,37800,1.0,0.0
2000-02-03,23.13,24.25,21.63,22.0,50000,1.0,0.0
2000-02-04,21.88,23.0,21.88,22.25,49600,1.0,0.0
2000-02-07,23.03,23.06,21.38,21.63,59500,1.0,0.0
2000-02-08,21.81,23.0,21.25,21.63,106800,1.0,0.0
2000-02-09,22.0,22.75,21.5,21.75,22300,1.0,0.0
2000-02-10,22.38,22.38,20.0,20.75,46300,1.0,0.0
2000-02-11,20.13,21.0,20.0,20.06,35200,1.0,0.0
2000-02-14,20.75,21.94,20.5,21.5,51000,1.0,0.0
2000-02-15,22.5,25.0,22.0,24.5,136900,1.0,0.0
2000-02-16,25.0,28.0,24.69,27.5,272000,1.0,0.0
2000-02-17,27.94,29.38,26.88,27.13,176000,1.0,0.0
2000-02-18,28.13,32.5,27.75,31.13,330400,1.0,0.0
2000-02-22,35.0,35.63,28.5,30.81,338400,1.0,0.0
2000-02-23,28.88,31.81,27.06,30.88,221200,1.0,0.0
2000-02-24,31.81,33.75,29.0,32.38,80300,1.0,0.0
2000-02-25,31.63,32.56,28.53,29.0,128600,1.0,0.0
2000-02-28,28.5,32.5,28.5,32.5,112600,1.0,0.0
2000-02-29,32.5,35.06,32.38,34.38,236400,1.0,0.0
2000-03-01,35.13,35.13,34.0,35.0,95500,1.0,0.0
2000-03-02,52.0,62.75,49.25,60.0,2155100,1.0,0.0
