date,open,high,low,close,volume
2000-01-03,47.78,48.69,46.88,48.38,7600
2000-01-04,48.38,49.75,47.63,49.34,6800
2000-01-05,49.47,51.0,48.5,51.0,10200
2000-01-06,49.38,51.25,49.25,50.06,4300
2000-01-07,50.5,51.0,49.81,50.0,6900
2000-01-10,50.88,51.25,50.0,50.88,10800
2000-01-11,51.0,51.06,50.0,50.38,5700
2000-01-12,50.94,51.06,50.0,50.0,11300
2000-01-13,50.13,52.0,50.06,52.0,11700
2000-01-14,52.13,52.25,50.5,50.5,12500
2000-01-18,51.25,51.5,50.0,50.0,9700
2000-01-19,50.38,51.0,49.5,49.63,10000
2000-01-20,50.06,50.13,49.63,50.13,4500
2000-01-21,49.59,49.59,48.88,49.0,5000
2000-01-24,49.34,49.81,47.25,47.28,14900
2000-01-25,47.13,48.0,46.5,47.56,10900
2000-01-26,48.0,49.0,47.5,49.0,8600
2000-01-27,49.69,50.0,47.75,49.38,18300
2000-01-28,48.75,50.13,48.75,50.06,8300
2000-01-31,50.44,51.0,49.75,50.75,11300
2000-02-01,50.94,50.94,47.0,47.0,9600
2000-02-02,47.31,49.38,47.0,48.63,5200
2000-02-03,48.5,50.13,47.75,48.25,8200
2000-02-04,48.25,48.25,47.5,47.5,6200
2000-02-07,47.25,48.0,46.5,47.0,11100
2000-02-08,47.0,48.0,46.75,47.44,5100
2000-02-09,47.75,49.13,47.25,48.66,11800
2000-02-10,48.06,49.75,48.0,49.13,15200
2000-02-11,48.88,49.75,48.5,49.0,23500
2000-02-14,49.0,49.5,48.75,49.5,4200
2000-02-15,48.75,49.5,48.75,49.5,7200
2000-02-16,49.5,49.75,49.0,49.25,2500
2000-02-17,49.38,49.75,49.25,49.5,12800
2000-02-18,49.5,49.75,49.25,49.56,5500
2000-02-22,49.25,50.0,49.25,49.75,17700
2000-02-23,49.75,50.25,49.5,50.0,7000
2000-02-24,49.75,50.75,49.75,50.13,10500
2000-02-25,50.75,50.75,50.0,50.28,11500
2000-02-28,50.94,50.94,50.0,50.13,8000
2000-02-29,50.0,50.88,50.0,50.47,12800
2000-03-01,50.75,50.81,50.25,50.41,4300
2000-03-02,50.31,50.88,49.94,50.63,6700
2000-03-03,50.63,51.0,50.25,51.0,11400
2000-03-06,50.5,51.06,50.5,50.5,3500
2000-03-07,50.94,50.94,50.25,50.94,20500
2000-03-08,50.78,53.0,50.56,53.0,10100
2000-03-09,52.0,53.0,50.63,50.63,1600
2000-03-10,50.88,51.31,50.88,51.13,10700
2000-03-13,50.81,51.38,50.75,51.03,9500
2000-03-14,51.88,52.25,51.5,51.69,6800
2000-03-15,51.63,52.25,51.0,52.0,5000
2000-03-16,51.56,52.81,51.0,52.0,9500
2000-03-17,51.31,53.0,51.31,51.75,5900
2000-03-20,52.94,52.94,51.44,51.44,9300
2000-03-21,52.63,52.63,51.44,51.44,2500
2000-03-22,51.72,52.25,51.44,52.13,5100
2000-03-23,53.0,53.0,51.44,52.75,9200
2000-03-24,52.31,53.0,51.44,51.56,14700
2000-03-27,52.0,52.0,51.44,51.44,3100
2000-03-28,52.13,52.5,51.75,51.75,2300
2000-03-29,52.44,53.0,51.44,51.63,5900
2000-03-30,53.0,53.0,51.5,52.13,28000
2000-03-31,51.84,52.94,51.56,52.94,3200
2000-04-03,52.63,52.75,50.0,51.25,5600
2000-04-04,51.75,52.13,50.0,52.0,16300
2000-04-05,52.0,52.25,50.0,51.94,9900
2000-04-06,51.38,52.0,50.75,51.88,2100
2000-04-07,50.38,51.94,50.0,50.25,3500
2000-04-10,51.09,52.0,49.0,50.5,43300
2000-04-11,50.5,50.5,49.31,50.13,4200
2000-04-12,50.0,51.75,49.63,50.0,3400
2000-04-13,50.0,51.75,48.0,49.06,7600
2000-04-14,50.0,50.0,48.5,48.88,5400
2000-04-17,50.38,51.25,48.13,50.25,5100
2000-04-18,50.75,51.38,49.0,49.0,5500
2000-04-19,51.75,51.75,50.0,50.0,2800
2000-04-20,51.44,51.44,49.25,50.13,5600
2000-04-24,51.13,51.44,51.0,51.44,1700
2000-04-25,49.5,51.5,49.5,51.5,5900
2000-04-26,51.75,51.75,49.5,51.25,5300
2000-04-27,49.63,51.0,49.63,51.0,1800
2000-04-28,50.0,51.0,50.0,51.0,32400
2000-05-01,49.69,50.5,49.0,50.0,6700
2000-05-02,50.69,50.69,49.13,50.0,3000
2000-05-03,49.25,50.5,49.0,50.36,3300
2000-05-04,49.25,50.38,49.25,50.0,4000
2000-05-05,50.38,50.38,50.0,50.0,3900
2000-05-08,50.25,50.25,49.94,49.94,1800
2000-05-09,50.06,50.25,49.69,50.25,13800
2000-05-10,50.25,50.25,46.5,46.5,11400
2000-05-11,49.44,50.0,48.0,50.0,5100
2000-05-12,48.0,50.38,48.0,49.25,8500
2000-05-15,49.0,49.0,45.25,46.69,6300
2000-05-16,46.31,50.0,45.0,50.0,7100
2000-05-17,49.94,50.0,48.0,50.0,2800
2000-05-18,50.0,50.0,48.0,48.5,2200
2000-05-19,48.5,49.5,48.0,49.5,2600
2000-05-22,48.88,49.75,48.0,49.5,1400
