date,open,high,low,close,volume
2000-01-03,30.38,30.38,28.88,29.5,71200
2000-01-04,29.38,30.0,29.0,29.75,78800
2000-01-05,29.75,30.69,29.75,29.94,216700
2000-01-06,29.94,29.94,29.5,29.94,31700
2000-01-07,29.94,30.19,29.81,30.19,213400
2000-01-10,30.19,30.25,30.0,30.25,112100
2000-01-11,30.12,30.25,29.88,30.06,58400
2000-01-12,29.94,30.56,29.94,30.38,65500
2000-01-13,30.44,30.94,30.31,30.94,89900
2000-01-14,30.94,31.25,30.56,31.0,138300
2000-01-18,30.75,31.12,30.75,31.06,48300
2000-01-19,31.06,32.69,31.0,32.5,120100
2000-01-20,32.5,33.62,32.5,32.56,146100
2000-01-21,32.31,32.38,31.56,32.19,94700
2000-01-24,32.19,32.44,31.19,31.25,65500
2000-01-25,31.12,31.62,31.12,31.56,33500
2000-01-26,31.75,31.94,31.0,31.19,268300
2000-01-27,31.0,31.38,30.75,31.38,164000
2000-01-28,31.25,31.38,30.88,31.0,48600
2000-01-31,30.75,30.94,29.62,30.25,66200
2000-02-01,30.31,30.94,30.19,30.88,42200
2000-02-02,30.75,30.75,30.12,30.5,31100
2000-02-03,30.38,31.25,30.06,31.25,39900
2000-02-04,31.12,31.75,31.06,31.31,82600
2000-02-07,31.12,31.62,31.0,31.38,39800
2000-02-08,31.25,31.56,30.44,30.5,52900
2000-02-09,30.31,31.06,30.25,30.69,39100
2000-02-10,30.56,30.88,30.25,30.62,44600
2000-02-11,30.75,30.94,30.25,30.25,26000
2000-02-14,30.19,30.19,29.75,29.81,90200
2000-02-15,29.81,30.0,29.75,29.81,17000
2000-02-16,29.62,30.0,29.5,29.56,52900
2000-02-17,29.75,30.12,29.56,29.94,101800
2000-02-18,30.19,30.19,29.88,29.94,70100
2000-02-22,30.06,30.06,29.44,29.94,100200
2000-02-23,30.06,30.5,30.06,30.38,55500
2000-02-24,30.62,31.25,30.5,30.56,119500
2000-02-25,30.56,30.62,29.12,29.12,46100
2000-02-28,29.12,29.19,28.06,28.25,76700
2000-02-29,28.25,28.44,27.12,27.12,124000
2000-03-01,27.44,27.69,26.81,27.0,75800
2000-03-02,27.0,27.75,26.62,27.75,119600
2000-03-03,27.88,29.0,27.88,28.75,99400
2000-03-06,28.62,28.94,28.0,28.75,52600
2000-03-07,28.0,28.0,27.25,27.5,56900
2000-03-08,27.38,27.38,26.88,27.12,38000
2000-03-09,27.0,27.25,26.62,26.88,26400
2000-03-10,26.75,26.75,25.69,25.69,76700
2000-03-13,25.62,25.62,25.0,25.38,78700
2000-03-14,25.25,25.94,25.25,25.56,103800
2000-03-15,25.31,26.0,25.0,25.94,58000
2000-03-16,25.88,28.62,25.69,28.62,163600
2000-03-17,28.62,28.62,28.12,28.44,55300
2000-03-20,28.44,29.81,28.44,29.81,147800
2000-03-21,29.81,30.06,29.44,30.0,95300
2000-03-22,30.38,31.5,30.38,31.25,111900
2000-03-23,36.0,36.0,33.25,33.94,919700
2000-03-24,34.19,34.25,30.56,31.62,199200
2000-03-27,31.56,31.56,30.81,30.81,79100
2000-03-28,30.81,31.31,30.62,31.31,134500
2000-03-29,31.31,32.38,31.25,31.94,127300
2000-03-30,32.19,32.56,30.31,30.38,44900
2000-03-31,30.38,32.19,30.38,32.19,93600
2000-04-03,32.19,33.94,31.56,33.38,150500
2000-04-04,33.31,33.31,32.19,33.06,111900
2000-04-05,33.06,35.5,32.5,34.5,258200
