date,open,high,low,close,volume
2000-01-03,35.75,35.88,34.19,34.5,74300
2000-01-04,34.25,34.31,33.25,33.5,101900
2000-01-05,33.75,34.81,33.44,34.56,68800
2000-01-06,34.5,35.81,34.31,35.56,77400
2000-01-07,35.5,35.5,34.0,35.0,102700
2000-01-10,35.0,35.0,33.94,34.13,87900
2000-01-11,34.0,34.19,33.44,33.44,168700
2000-01-12,34.0,34.25,33.31,33.5,76600
2000-01-13,33.31,33.94,33.13,33.5,121200
2000-01-14,33.69,33.69,33.0,33.06,54200
2000-01-18,33.06,33.88,32.25,33.13,76400
2000-01-19,33.25,33.25,32.63,32.88,54100
2000-01-20,32.81,33.06,32.63,32.75,137100
2000-01-21,32.81,33.0,32.63,32.63,77000
2000-01-24,32.63,32.94,32.0,32.13,86700
2000-01-25,32.0,32.13,31.25,31.56,85700
2000-01-26,31.44,32.56,31.44,32.38,94500
2000-01-27,32.38,32.75,31.88,31.88,48700
2000-01-28,32.0,32.0,31.31,31.56,88100
2000-01-31,31.56,32.31,31.56,32.31,71400
2000-02-01,32.25,32.25,31.0,31.19,61300
2000-02-02,31.13,31.69,31.13,31.56,31100
2000-02-03,31.63,32.75,31.63,32.56,141300
2000-02-04,32.44,34.38,32.44,33.81,169000
2000-02-07,33.63,33.63,33.06,33.38,73700
2000-02-08,33.38,33.56,32.75,32.88,83400
2000-02-09,32.94,33.38,32.63,32.69,101800
2000-02-10,32.56,32.75,32.25,32.38,84900
2000-02-11,32.25,32.5,32.0,32.06,64300
2000-02-14,31.88,32.69,31.63,32.56,87500
2000-02-15,32.63,33.56,32.56,33.44,90100
2000-02-16,33.0,33.38,32.88,33.25,39600
2000-02-17,34.0,34.75,33.59,34.19,97000
2000-02-18,34.06,34.19,32.88,32.94,38600
2000-02-22,32.81,33.38,32.13,32.63,129000
2000-02-23,32.56,32.94,32.56,32.81,75900
2000-02-24,32.63,32.63,30.94,31.81,77100
2000-02-25,31.81,31.94,31.31,31.56,62400
2000-02-28,31.5,32.19,31.38,32.13,77400
2000-02-29,31.63,33.13,31.63,33.13,64700
2000-03-01,33.25,33.75,32.19,32.81,56000
2000-03-02,32.88,33.44,32.38,32.94,70500
2000-03-03,33.13,33.38,32.75,33.0,147700
2000-03-06,32.94,32.94,31.75,32.0,205000
2000-03-07,32.13,32.13,31.5,32.06,89200
2000-03-08,32.0,32.75,32.0,32.56,54600
2000-03-09,33.0,33.38,32.88,33.0,146300
2000-03-10,32.88,33.0,32.63,32.75,31100
2000-03-13,32.63,32.63,31.88,32.19,68600
2000-03-14,32.06,32.69,31.94,32.5,55700
2000-03-15,32.5,33.63,32.5,33.44,164600
2000-03-16,33.19,35.19,33.19,35.19,105600
2000-03-17,34.81,35.13,34.38,34.69,96800
2000-03-20,34.63,35.06,34.63,34.81,37200
2000-03-21,34.94,35.13,34.81,34.94,38800
2000-03-22,35.0,35.06,34.63,35.06,54100
2000-03-23,35.0,36.0,34.81,35.94,75400
2000-03-24,36.0,37.13,36.0,37.0,103800
2000-03-27,36.88,37.38,36.25,36.25,149000
2000-03-28,36.38,39.13,36.38,38.75,144000
2000-03-29,38.63,42.0,38.63,39.88,203100
2000-03-30,39.94,40.75,39.75,40.44,101100
2000-03-31,40.5,41.63,39.94,40.0,207100
2000-04-03,39.88,39.94,39.0,39.31,96400
2000-04-04,39.38,39.94,37.88,38.88,108500
2000-04-05,38.63,39.88,38.63,39.5,101900
2000-04-06,39.38,39.94,39.38,39.88,34800
2000-04-07,39.88,39.88,39.25,39.81,44700
2000-04-10,39.56,39.69,39.13,39.63,53200
2000-04-11,39.5,40.19,39.13,39.5,117100
2000-04-12,39.63,41.38,39.63,40.81,109100
2000-04-13,40.88,41.0,40.25,40.69,45000
2000-04-14,40.56,40.63,38.44,39.13,125900
2000-04-17,39.0,39.13,38.44,39.13,62200
2000-04-18,39.38,40.94,39.38,40.06,95700
2000-04-19,39.81,40.88,39.81,40.31,70100
2000-04-20,40.19,40.94,40.06,40.88,91200
2000-04-24,40.88,40.88,40.44,40.69,37600
2000-04-25,40.69,40.69,39.81,40.38,83700
2000-04-26,40.63,41.0,40.06,40.19,64000
2000-04-27,40.0,40.31,39.88,40.25,37900
2000-04-28,40.13,41.25,40.06,41.19,42500
2000-05-01,41.25,42.0,41.0,41.88,99500
2000-05-02,41.75,42.13,41.75,41.81,44900
2000-05-03,42.0,42.63,41.5,41.63,54900
2000-05-04,41.56,43.94,41.56,43.31,129700
2000-05-05,43.19,43.75,43.06,43.38,28900
2000-05-08,43.25,45.0,42.88,44.5,334900
2000-05-09,44.5,44.5,43.25,43.75,143900
2000-05-10,43.38,43.44,42.5,43.06,58100
2000-05-11,43.31,44.75,43.06,44.25,177800
2000-05-12,44.25,44.63,42.81,43.38,50500
2000-05-15,43.38,43.5,42.63,43.31,60200
2000-05-16,43.44,44.56,42.94,44.19,108200
2000-05-17,44.06,44.63,44.06,44.25,62900
2000-05-18,44.25,44.38,44.0,44.0,57500
2000-05-19,43.94,44.0,43.38,43.38,19600
2000-05-22,43.25,43.81,42.31,43.13,62400
2000-05-23,43.38,43.94,43.0,43.0,36700
2000-05-24,42.88,43.13,42.25,42.88,33000
2000-05-25,43.0,43.06,41.56,42.13,56500
2000-05-26,42.38,42.5,41.38,41.56,44600
2000-05-30,41.5,42.63,41.5,42.5,83400
2000-05-31,42.56,42.56,42.0,42.0,66500
2000-06-01,41.69,42.0,41.63,41.88,43900
2000-06-02,42.13,45.5,42.13,45.38,516200
2000-06-05,45.38,45.94,44.63,45.31,108600
2000-06-06,45.56,45.56,44.31,44.75,48100
2000-06-07,44.69,45.63,44.69,45.19,53600
