date,open,high,low,close,volume
2016-01-04,1.1,1.1,0.86,1.0,9550
2016-01-05,1.0,1.09,1.0,1.09,5717
2016-01-07,1.09,1.09,1.09,1.09,33
2016-01-08,1.09,1.09,1.0,1.0,2500
2016-01-11,1.09,1.1,1.09,1.1,530
2016-01-12,1.1,1.1,1.1,1.1,100
2016-01-13,1.1,1.1,1.1,1.1,247
2016-01-14,1.1,1.1,1.0,1.03,1123
2016-01-19,0.86,0.86,0.77,0.77,4666
2016-01-20,0.807,0.807,0.77,0.77,8900
2016-01-21,0.75,0.75,0.701,0.701,6540
2016-01-22,0.71,0.72,0.61,0.72,120134
2016-01-25,0.7,0.72,0.6975,0.72,81910
2016-01-26,0.675,0.69,0.67,0.67,46000
2016-01-27,0.67,0.67,0.67,0.67,3900
2016-01-28,0.635,0.67,0.635,0.67,1100
2016-01-29,0.67,0.77,0.67,0.72,37100
2016-02-05,0.742,0.75,0.71,0.71,1327
2016-02-08,0.71,0.71,0.635,0.7,4180
2016-02-17,0.68,0.7,0.68,0.7,1300
2016-02-19,0.7,0.7,0.7,0.7,1850
2016-02-22,0.7,0.7,0.7,0.7,800
2016-02-23,0.68,0.68,0.68,0.68,1000
2016-02-24,0.72,0.72,0.718,0.72,5000
2016-03-02,0.77,0.79,0.77,0.79,1750
2016-03-03,0.79,0.79,0.79,0.79,1650
2016-03-04,0.778,0.83,0.778,0.83,14250
2016-03-07,0.821,0.9,0.821,0.89,28314
2016-03-08,0.9,1.0,0.9,0.92,12843
2016-03-09,1.0,1.1,0.89,1.1,80850
2016-03-10,1.07,1.086,1.06,1.086,36613
2016-03-11,1.05,1.05,1.05,1.05,200
2016-03-14,1.05,1.05,1.05,1.05,1
2016-03-15,1.09,1.09,1.05,1.05,4500
2016-03-16,1.1,1.1,1.05,1.05,2150
2016-03-17,1.05,1.25,1.05,1.2,40976
2016-03-18,1.2,1.2,1.2,1.2,1
2016-03-21,1.19,1.19,1.18,1.18,840
2016-03-22,1.18,1.18,1.18,1.18,10
2016-03-23,1.218,1.31,1.2,1.31,14774
2016-03-24,1.3,1.35,1.25,1.35,3483
2016-03-28,1.34,1.34,1.34,1.34,522
2016-04-04,1.21,1.44,1.21,1.44,800
2016-04-05,1.44,1.44,1.44,1.44,89
2016-04-06,1.44,1.45,1.44,1.45,1100
2016-04-07,1.5,1.5,1.45,1.45,1203
2016-04-08,1.405,1.405,1.35,1.35,2119
2016-04-13,1.35,1.35,1.22,1.324,631
2016-04-15,1.4,1.4345,1.4,1.415,1900
2016-04-18,1.4,1.4001,1.4,1.4,5901
2016-04-19,1.4,1.42,1.4,1.4,9200
2016-04-20,1.4,1.4,1.4,1.4,2510
2016-05-02,1.23,1.23,1.23,1.23,666
2016-05-03,1.31,1.4,1.31,1.4,800
2016-05-04,1.35,1.35,1.35,1.35,9855
2016-05-06,1.35,1.35,1.35,1.35,1000
2016-05-10,1.34,1.34,1.34,1.34,215
2016-05-11,1.39,1.4,1.39,1.4,1000
2016-05-13,1.41,1.44,1.41,1.44,1700
2016-05-16,1.44,1.442,1.44,1.44,6650
2016-05-18,1.45,1.55,1.45,1.55,2000
2016-05-23,1.55,1.55,1.55,1.55,1
2016-05-26,1.55,1.55,1.55,1.55,20
2016-05-27,1.5,1.5,1.5,1.5,200
2016-05-31,1.5,1.5,1.5,1.5,5
2016-06-01,1.5,1.5,1.5,1.5,1520
2016-06-03,1.5,1.5,1.5,1.5,1400
2016-06-07,1.5,1.5,1.5,1.5,10
2016-06-08,1.5,1.5,1.5,1.5,1695
2016-06-10,1.38,1.5,1.38,1.5,516
2016-06-13,1.38,1.38,1.38,1.38,200
2016-06-14,1.38,1.38,1.3,1.3,300
2016-06-15,1.3,1.3,1.3,1.3,50
2016-06-16,1.3,1.3614,1.3,1.3614,509
2016-06-17,1.37,1.37,1.37,1.37,100
2016-06-20,1.37,1.37,1.3,1.3,1379
2016-06-23,1.35,1.35,1.3,1.3,325
2016-06-29,1.3,1.3,1.3,1.3,2000
2016-06-30,1.35,1.36,1.35,1.36,1395
2016-07-01,1.3577,1.36,1.3577,1.36,670
2016-07-05,1.35,1.35,1.35,1.35,630
2016-07-06,1.35,1.35,1.35,1.35,43
2016-07-11,1.36,1.36,1.3,1.3,4100
2016-07-12,1.3,1.3,1.3,1.3,200
2016-07-13,1.3,1.3,1.3,1.3,20
2016-07-14,1.3,1.3,1.3,1.3,3200
2016-07-15,1.3,1.3,1.3,1.3,393
2016-07-19,1.3,1.3,1.3,1.3,90
2016-07-22,1.32,1.32,1.3,1.3,8410
2016-07-25,1.3,1.3,1.3,1.3,31
2016-07-26,1.3115,1.35,1.3115,1.35,700
2016-07-27,1.35,1.35,1.35,1.35,1000
2016-07-28,1.35,1.35,1.35,1.35,1
2016-07-29,1.35,1.35,1.3,1.3,2701
2016-08-01,1.33,1.33,1.33,1.33,150
2016-08-03,1.3,1.3,1.3,1.3,11000
2016-08-04,1.3,1.33,1.3,1.3,750
2016-08-05,1.35,1.37,1.35,1.37,10300
2016-08-08,1.37,1.38,1.32,1.32,22600
2016-08-09,1.35,1.35,1.35,1.35,27500
2016-08-11,1.35,1.35,1.35,1.35,1001
2016-08-12,1.37,1.39,1.37,1.38,1100
2016-08-16,1.38,1.38,1.38,1.38,1
2016-08-17,1.38,1.38,1.38,1.38,5
2016-08-23,1.36,1.36,1.35,1.35,9500
2016-08-24,1.3592,1.3592,1.3592,1.3592,661
2016-08-25,1.35,1.35,1.35,1.35,1549
2016-08-30,1.35,1.35,1.35,1.35,1000
2016-09-01,1.39,1.39,1.39,1.39,401
2016-09-02,1.4115,1.45,1.4115,1.45,5600
2016-09-06,1.45,1.45,1.45,1.45,18
2016-09-07,1.45,1.49,1.4,1.4,9020
2016-09-08,1.4,1.4,1.4,1.4,87
2016-09-12,1.4,1.45,1.4,1.4,2750
2016-09-13,1.4,1.4,1.4,1.4,1800
2016-09-16,1.4,1.4,1.4,1.4,3
2016-09-20,1.425,1.45,1.425,1.45,200
2016-09-22,1.49,1.5,1.49,1.5,2100
2016-10-06,1.45,1.5,1.45,1.5,3000
2016-10-07,1.45,1.5,1.45,1.5,259
2016-10-10,1.4,1.4,1.4,1.4,410
2016-10-11,1.49,1.49,1.49,1.49,900
2016-10-12,1.49,1.5,1.49,1.5,1300
2016-10-17,1.45,1.45,1.45,1.45,723
2016-10-18,1.4,1.4,1.4,1.4,24300
2016-10-19,1.39,1.5,1.36,1.36,2662
