date,open,high,low,close,volume
2018-12-21,42.6822,42.6822,42.1733,42.1733,92700
2018-12-24,42.1733,42.1733,42.1733,42.1733,0
2018-12-26,44.25,44.91,43.5,44.91,406231
2018-12-27,45.0,45.0,43.79,44.6,330866
2018-12-28,46.0,46.5,44.77,45.43,4501295
2018-12-31,45.5,48.87,45.5,48.87,5818707
2019-01-02,48.23,49.1,46.06,47.12,6108745
2019-01-03,46.56,47.0,44.78,45.13,6902591
2019-01-04,45.66,46.96,44.86,46.02,8906759
2019-01-07,45.93,47.38,45.53,46.32,4925854
2019-01-08,47.14,47.82,46.39,46.87,7286293
2019-01-09,47.07,47.39,46.78,46.94,3299487
2019-01-10,46.94,47.39,44.9,45.19,3563658
2019-01-11,44.95,45.72,44.4,44.47,2699938
2019-01-14,44.07,44.25,42.76,42.8,3665791
2019-01-15,43.05,43.7,42.48,43.01,2829122
2019-01-16,42.8,43.21,42.02,42.62,2457785
2019-01-17,42.71,43.72,42.57,43.71,3542398
2019-01-18,43.78,43.79,43.11,43.35,3256453
2019-01-22,43.88,44.65,43.31,44.06,3170925
2019-01-23,45.18,45.89,44.42,44.62,3151667
2019-01-24,44.91,45.14,44.21,44.96,3552057
2019-01-25,45.23,46.0,45.22,45.91,2618199
2019-01-28,45.9,47.39,45.62,46.9,5951169
2019-01-29,47.1,47.33,46.5,46.85,3558667
2019-01-30,47.35,48.0,47.16,48.0,3981677
2019-01-31,47.83,49.5,47.71,48.59,3741082
2019-02-01,48.98,49.75,48.5,49.65,1816212
2019-02-04,50.01,51.81,50.01,50.83,3190359
2019-02-05,51.27,51.6,50.64,51.07,2754687
2019-02-06,51.15,51.91,50.84,50.94,2836225
2019-02-07,50.6,50.81,49.78,50.44,1782469
2019-02-08,50.05,51.59,49.65,51.49,1793835
2019-02-11,51.87,52.07,51.05,52.02,2720050
2019-02-12,52.42,53.79,52.21,53.6,3379095
2019-02-13,53.9,54.62,53.38,53.95,1776079
2019-02-14,53.68,54.59,53.52,54.38,2599127
2019-02-15,54.79,55.89,54.0,55.0,2295810
2019-02-19,55.09,55.4793,54.55,55.04,1257524
2019-02-20,55.27,55.8,54.63,55.54,1382086
2019-02-21,55.56,56.08,55.28,55.54,1943303
2019-02-22,55.83,56.18,55.55,56.18,1847279
2019-02-25,56.46,56.91,56.31,56.64,2337605
2019-02-26,56.3,57.11,55.62,56.73,2341283
2019-02-27,56.54,56.8,56.19,56.25,1690779
2019-02-28,56.2,56.5,55.17,55.82,4132144
2019-03-01,57.68,58.99,56.19,56.65,3514824
2019-03-04,57.07,57.14,54.5,55.34,2978420
2019-03-05,55.25,55.84,54.46,55.12,2789067
2019-03-06,54.82,54.82,52.85,53.73,2515284
