date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,18.75,18.75,18.38,18.38,40800,1.0,0.0
2000-01-04,18.38,18.75,18.25,18.75,16800,1.0,0.0
2000-01-05,19.0,19.38,18.88,18.88,54800,1.0,0.0
2000-01-06,19.0,19.13,18.38,18.75,50800,1.0,0.0
2000-01-07,18.88,19.13,18.25,18.44,50800,1.0,0.0
2000-01-10,18.38,18.69,18.25,18.44,61600,1.0,0.0
2000-01-11,18.5,18.5,18.38,18.5,31000,1.0,0.0
2000-01-12,18.5,18.56,18.44,18.44,23200,1.0,0.0
2000-01-13,18.38,18.88,18.25,18.25,65800,1.0,0.0
2000-01-14,18.38,18.81,18.38,18.75,21600,1.0,0.0
2000-01-18,18.75,19.63,18.75,19.5,84800,1.0,0.0
2000-01-19,19.69,20.06,19.56,19.81,77800,1.0,0.0
2000-01-20,19.81,19.94,19.5,19.56,55600,1.0,0.0
2000-01-21,19.31,19.5,19.06,19.38,43600,1.0,0.0
2000-01-24,20.0,20.0,19.44,19.75,73800,1.0,0.0
2000-01-25,20.13,20.13,19.88,20.0,42400,1.0,0.0
2000-01-26,20.13,20.25,20.0,20.06,26600,1.0,0.0
2000-01-27,19.63,19.75,19.38,19.38,47800,1.0,0.25
2000-01-28,19.63,20.13,19.63,19.81,59400,1.0,0.0
2000-01-31,19.88,20.38,19.88,20.38,26600,1.0,0.0
2000-02-01,20.38,20.5,20.0,20.19,35600,1.0,0.0
2000-02-02,20.31,20.31,19.0,19.0,64000,1.0,0.0
2000-02-03,19.13,20.06,19.13,20.0,31000,1.0,0.0
2000-02-04,20.25,20.25,20.06,20.13,29600,1.0,0.0
2000-02-07,20.25,20.5,19.75,19.75,77400,1.0,0.0
2000-02-08,19.38,19.5,19.0,19.13,62400,1.0,0.0
2000-02-09,19.5,19.75,19.0,19.0,44000,1.0,0.0
2000-02-10,19.13,19.63,18.81,19.5,43400,1.0,0.0
2000-02-11,19.63,19.63,19.38,19.5,60200,1.0,0.0
2000-02-14,19.25,19.69,19.25,19.63,14400,1.0,0.0
2000-02-15,19.81,19.81,19.56,19.56,15200,1.0,0.0
2000-02-16,19.56,20.13,19.56,20.0,27400,1.0,0.0
2000-02-17,20.25,20.5,20.13,20.25,41400,1.0,0.0
2000-02-18,20.13,20.13,19.75,19.75,21200,1.0,0.0
2000-02-22,19.88,20.0,19.75,19.94,15000,1.0,0.0
2000-02-23,19.81,19.94,19.69,19.81,22600,1.0,0.0
2000-02-24,19.69,19.69,19.38,19.44,50200,1.0,0.0
2000-02-25,19.56,19.69,19.31,19.31,18200,1.0,0.0
2000-02-28,19.56,19.75,19.5,19.69,41800,1.0,0.0
2000-02-29,19.69,19.88,19.69,19.75,27000,1.0,0.0
2000-03-01,20.0,20.0,19.75,19.75,47400,1.0,0.0
2000-03-02,19.88,20.0,19.75,19.75,29400,1.0,0.0
2000-03-03,20.0,20.12,19.94,19.94,47000,1.0,0.0
2000-03-06,19.56,19.81,19.56,19.63,21600,1.0,0.0
2000-03-07,19.88,20.0,19.56,20.0,27800,1.0,0.0
2000-03-08,19.88,20.25,19.88,20.0,23600,1.0,0.0
2000-03-09,20.0,20.5,19.88,20.44,60000,1.0,0.0
2000-03-10,20.38,20.5,20.25,20.44,25000,1.0,0.0
2000-03-13,20.38,20.38,20.0,20.13,19400,1.0,0.0
2000-03-14,20.0,20.75,20.0,20.5,32000,1.0,0.0
2000-03-15,20.25,20.88,20.19,20.38,73800,1.0,0.0
2000-03-16,20.13,20.25,19.5,19.75,119200,1.0,0.0
2000-03-17,19.75,20.0,19.63,19.75,28000,1.0,0.0
2000-03-20,19.75,20.0,19.5,19.88,24200,1.0,0.0
2000-03-21,19.88,20.0,19.75,19.75,17200,1.0,0.0
2000-03-22,19.88,20.13,19.75,20.13,37800,1.0,0.0
2000-03-23,20.13,20.25,19.88,20.06,37000,1.0,0.0
2000-03-24,20.0,20.13,19.75,19.88,11400,1.0,0.0
2000-03-27,20.0,20.25,19.94,20.0,37000,1.0,0.0
2000-03-28,20.13,20.13,19.88,20.0,44200,1.0,0.0
2000-03-29,20.0,20.13,19.88,20.06,41200,1.0,0.0
2000-03-30,19.88,20.0,19.75,20.0,18200,1.0,0.0
2000-03-31,19.88,20.0,19.63,19.75,19800,1.0,0.0
2000-04-03,19.81,19.88,19.63,19.69,59800,1.0,0.0
2000-04-04,19.63,19.81,19.56,19.81,17000,1.0,0.0
2000-04-05,19.69,19.75,19.5,19.63,38400,1.0,0.0
2000-04-06,19.75,19.75,19.5,19.63,19600,1.0,0.0
2000-04-07,19.5,19.94,19.5,19.75,32000,1.0,0.0
2000-04-10,19.94,20.0,19.75,19.88,21200,1.0,0.0
2000-04-11,19.88,20.0,19.88,20.0,7000,1.0,0.0
