date,open,high,low,close,volume,splitfactor,divcash
2006-02-03,23.0,23.29,22.43,22.65,10524600,1.0,0.0
2006-02-06,22.74,22.89,22.6,22.76,1118100,1.0,0.0
2006-02-07,22.65,22.65,22.3,22.44,743600,1.0,0.0
2006-02-08,22.48,22.48,21.71,21.9,776600,1.0,0.0
2006-02-09,21.93,22.1,21.75,21.95,471400,1.0,0.0
2006-02-10,21.95,22.18,21.85,22.05,386600,1.0,0.0
2006-02-13,21.95,22.0,21.58,21.75,237800,1.0,0.0
2006-02-14,21.85,21.9,21.61,21.65,277500,1.0,0.0
2006-02-15,21.7,21.91,21.5,21.85,250500,1.0,0.0
2006-02-16,21.95,22.1,21.86,21.91,249000,1.0,0.0
2006-02-17,22.06,22.06,21.85,21.86,269300,1.0,0.0
2006-02-21,21.83,22.05,21.81,21.89,184800,1.0,0.0
2006-02-22,21.98,21.99,21.85,21.9,267300,1.0,0.0
2006-02-23,21.9,21.96,21.85,21.95,228300,1.0,0.0
2006-02-24,21.95,22.07,21.86,22.05,255300,1.0,0.0
2006-02-27,22.0,22.17,21.99,22.04,120500,1.0,0.0
2006-02-28,22.05,22.05,21.92,21.99,175400,1.0,0.0
2006-03-01,21.92,22.09,21.86,21.87,233100,1.0,0.0
2006-03-02,21.85,22.0,21.85,21.95,186100,1.0,0.0
2006-03-03,21.87,22.0,21.85,21.98,198300,1.0,0.0
2006-03-06,21.8,21.9,21.6,21.79,380800,1.0,0.0
2006-03-07,21.6,21.7,21.41,21.6,250100,1.0,0.0
2006-03-08,21.54,21.85,21.45,21.82,228200,1.0,0.0
2006-03-09,21.87,22.3,21.75,22.15,327400,1.0,0.0
2006-03-10,22.35,22.6,22.04,22.59,320600,1.0,0.0
2006-03-13,22.78,22.88,22.5,22.83,251800,1.0,0.0
2006-03-14,23.0,23.0,22.79,22.84,358000,1.0,0.0
2006-03-15,22.96,22.98,22.6,22.71,261500,1.0,0.0
2006-03-16,22.7,23.09,22.6,23.09,259500,1.0,0.0
2006-03-17,23.1,23.12,22.9,23.12,182900,1.0,0.0
2006-03-20,23.15,23.3,23.0,23.13,182500,1.0,0.0
2006-03-21,23.02,23.25,23.0,23.24,231600,1.0,0.0
2006-03-22,23.25,23.44,23.2,23.38,257100,1.0,0.0
2006-03-23,23.45,23.65,23.4,23.6,257200,1.0,0.0
2006-03-24,23.75,23.95,23.4,23.6,106800,1.0,0.0
2006-03-27,23.73,24.39,23.6,24.3,278900,1.0,0.0
2006-03-28,24.3,24.35,24.0,24.06,169000,1.0,0.0
2006-03-29,23.95,24.1,23.8,23.9,197600,1.0,0.0578
2006-03-30,23.89,24.08,23.28,23.5,342100,1.0,0.0
2006-03-31,23.4,23.95,23.01,23.95,174400,1.0,0.0
2006-04-03,23.9,23.9,23.4,23.65,87800,1.0,0.0
2006-04-04,23.61,23.61,23.02,23.37,195200,1.0,0.0
2006-04-05,23.37,23.6,23.35,23.46,128600,1.0,0.0
2006-04-06,23.5,23.5,23.22,23.49,139700,1.0,0.0
2006-04-07,23.25,23.5,23.03,23.42,135800,1.0,0.0
2006-04-10,23.65,24.229,23.65,23.95,333600,1.0,0.0
2006-04-11,23.85,24.31,23.65,24.2,287300,1.0,0.0
2006-04-12,24.1,24.19,23.9,23.95,481900,1.0,0.0
2006-04-13,24.15,24.2,23.9,23.96,110900,1.0,0.0
2006-04-17,24.0,24.05,23.8,23.91,59300,1.0,0.0
2006-04-18,24.0,24.65,24.0,24.6,228500,1.0,0.0
2006-04-19,24.64,24.819,24.45,24.8,263700,1.0,0.0
2006-04-20,25.12,25.2,24.88,25.05,246200,1.0,0.0
2006-04-21,25.24,25.49,25.21,25.45,189300,1.0,0.0
2006-04-24,25.7,25.7,25.05,25.3,107000,1.0,0.0
2006-04-25,25.25,25.26,25.02,25.17,113500,1.0,0.0
2006-04-26,25.01,25.09,24.62,24.83,102500,1.0,0.0
2006-04-27,24.63,24.99,24.45,24.89,88300,1.0,0.0
2006-04-28,24.79,24.92,24.56,24.9,98700,1.0,0.0
2006-05-01,24.95,24.99,24.6,24.8,53000,1.0,0.0
2006-05-02,24.71,25.0,24.71,24.95,55600,1.0,0.0
2006-05-03,24.8,24.9,24.5,24.9,80700,1.0,0.0
2006-05-04,24.92,25.1,24.53,24.98,102700,1.0,0.0
2006-05-05,26.0,26.0,25.5,25.89,418400,1.0,0.0
2006-05-08,26.24,26.94,26.13,26.85,390700,1.0,0.0
2006-05-09,27.6,27.65,26.86,27.28,424400,1.0,0.0
2006-05-10,27.3,27.44,27.1,27.37,211400,1.0,0.0
2006-05-11,27.5,27.55,26.35,27.15,305300,1.0,0.0
2006-05-12,27.3,27.3,26.9,26.98,93900,1.0,0.0
2006-05-15,26.88,26.89,26.21,26.45,124200,1.0,0.0
2006-05-16,26.9,27.04,26.38,26.9,241200,1.0,0.0
2006-05-17,26.9,26.95,26.5,26.78,94700,1.0,0.0
2006-05-18,27.0,27.0,26.76,26.78,147800,1.0,0.0
2006-05-19,26.98,27.0,26.56,26.8,172800,1.0,0.0
2006-05-22,26.94,26.95,26.35,26.89,86300,1.0,0.0
2006-05-23,26.8,26.99,26.6,26.85,85300,1.0,0.0
2006-05-24,26.6,26.75,26.3,26.5,116300,1.0,0.0
2006-05-25,26.72,26.81,26.54,26.67,40700,1.0,0.0
2006-05-26,26.75,26.75,26.4,26.7,90100,1.0,0.0
2006-05-30,27.0,27.0,26.42,26.5,135300,1.0,0.0
2006-05-31,26.66,26.95,26.41,26.7,150800,1.0,0.0
2006-06-01,26.7,26.73,26.3,26.38,156100,1.0,0.0
2006-06-02,26.4,26.69,26.4,26.5,263200,1.0,0.0
2006-06-05,26.7,27.0,26.2,26.3,203100,1.0,0.0
2006-06-06,26.35,26.9,26.26,26.63,87000,1.0,0.0
2006-06-07,26.55,26.9,26.37,26.45,146700,1.0,0.0
2006-06-08,26.45,26.56,25.85,26.0,78000,1.0,0.0
2006-06-09,25.95,26.49,25.95,26.49,28500,1.0,0.0
2006-06-12,26.7399,26.9,25.9,26.6,109400,1.0,0.0
2006-06-13,26.4,26.57,26.036,26.16,70800,1.0,0.0
2006-06-14,26.22,26.4,25.92,26.27,132600,1.0,0.0
2006-06-15,26.17,26.5,26.0,26.48,77000,1.0,0.0
2006-06-16,26.58,26.64,26.31,26.38,27500,1.0,0.0
2006-06-19,26.45,26.55,25.6,25.95,70200,1.0,0.0
2006-06-20,25.72,26.19,25.65,25.83,89600,1.0,0.0
2006-06-21,25.6,25.8,25.37,25.59,119000,1.0,0.0
2006-06-22,25.5,25.61,25.36,25.46,19400,1.0,0.0
2006-06-23,25.5,26.02,25.35,25.65,79400,1.0,0.0
2006-06-26,25.9,26.0,25.38,25.65,94400,1.0,0.0
2006-06-27,25.8,26.21,25.8,25.96,178500,1.0,0.0
2006-06-28,25.83,26.2,25.83,26.07,82700,1.0,0.2375
2006-06-29,26.32,26.32,25.73,26.29,65300,1.0,0.0
2006-06-30,26.15,26.77,26.15,26.49,103900,1.0,0.0
2006-07-03,26.48,26.53,26.34,26.34,38100,1.0,0.0
2006-07-05,26.34,26.5,26.09,26.2,102600,1.0,0.0
2006-07-06,26.15,26.2,25.86,26.1,32700,1.0,0.0
2006-07-07,26.25,26.25,25.95,26.11,35900,1.0,0.0
2006-07-10,26.1,26.11,25.77,25.95,30100,1.0,0.0
2006-07-11,26.1,26.79,26.05,26.2,71600,1.0,0.0
2006-07-12,26.45,26.5,26.15,26.35,230900,1.0,0.0
2006-07-13,26.25,26.48,25.9,26.15,73800,1.0,0.0
2006-07-14,25.95,26.03,25.87,26.0,219400,1.0,0.0
2006-07-17,25.99,26.0,25.6,25.82,91600,1.0,0.0
2006-07-18,26.0,26.04,25.6865,25.75,137900,1.0,0.0
2006-07-19,25.75,25.94,25.35,25.44,150500,1.0,0.0
2006-07-20,25.44,25.9,25.41,25.49,42900,1.0,0.0
2006-07-21,25.41,25.438,24.98,25.2,66700,1.0,0.0
2006-07-24,25.35,25.75,25.2,25.74,51200,1.0,0.0
2006-07-25,25.55,25.87,25.5,25.6,48700,1.0,0.0
2006-07-26,25.52,25.9,25.5,25.89,42400,1.0,0.0
2006-07-27,26.1,26.1,25.72,25.72,91200,1.0,0.0
2006-07-28,25.72,26.25,25.7,26.2,50600,1.0,0.0
