date,open,high,low,close,volume
2000-01-03,1.688,1.688,1.438,1.438,200
2000-01-04,1.438,1.5,1.438,1.5,2700
2000-01-05,1.375,1.375,1.375,1.375,1400
2000-01-06,1.375,1.375,1.375,1.375,1500
2000-01-07,1.5,1.5,1.375,1.5,13600
2000-01-10,1.688,1.75,1.625,1.688,8200
2000-01-11,1.813,1.813,1.563,1.563,10300
2000-01-12,1.56,1.56,1.56,1.56,0
2000-01-13,1.438,1.438,1.25,1.25,8200
2000-01-14,1.375,1.5,1.375,1.5,9500
2000-01-18,1.625,2.25,1.625,2.125,32600
2000-01-19,2.25,3.5,2.25,2.875,117000
2000-01-20,2.875,3.125,2.625,2.75,32500
2000-01-21,2.75,3.625,2.75,3.625,93500
2000-01-24,3.5,4.125,3.375,3.875,108700
2000-01-25,3.875,4.0,3.75,3.75,15600
2000-01-26,3.625,3.625,3.25,3.25,10100
2000-01-27,3.25,3.25,3.0,3.0,10300
2000-01-28,3.0,3.625,3.0,3.625,13300
2000-01-31,3.625,4.0,3.625,3.938,43300
2000-02-01,4.0,4.5,3.938,4.375,86000
2000-02-02,4.375,4.5,4.0,4.375,27600
2000-02-03,4.438,4.5,4.0,4.5,64300
2000-02-04,4.5,4.625,3.0,3.25,141700
2000-02-07,3.25,4.25,3.25,3.938,66300
2000-02-08,4.0,4.625,4.0,4.625,88400
2000-02-09,4.75,5.125,4.688,4.688,67800
2000-02-10,4.813,4.938,4.625,4.625,34100
2000-02-11,4.688,4.688,4.188,4.375,28000
2000-02-14,4.375,4.375,4.0,4.0,9600
2000-02-15,4.0,4.875,4.0,4.563,27200
2000-02-16,4.375,4.375,4.25,4.25,1600
2000-02-17,4.25,4.375,3.875,4.375,17800
2000-02-18,4.5,4.5,3.813,3.813,14700
2000-02-22,3.688,3.688,3.688,3.688,5800
2000-02-23,3.563,3.813,3.563,3.688,15500
2000-02-24,3.75,3.875,3.5,3.625,6400
2000-02-25,3.5,4.063,3.5,4.0,19700
2000-02-28,3.875,4.0,3.75,3.813,5400
2000-02-29,3.75,4.875,3.75,4.688,57100
2000-03-01,5.0,5.0,4.563,4.875,72400
2000-03-02,5.25,5.375,4.875,4.938,92400
2000-03-03,5.0,5.0,4.25,4.813,73500
2000-03-06,5.125,5.688,4.375,4.438,82900
