date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,21.06,21.44,20.75,21.19,727500,1.0,0.0
2000-01-04,20.94,21.0,19.94,20.0,809100,1.0,0.0
2000-01-05,20.06,20.75,20.06,20.69,767800,1.0,0.0
2000-01-06,20.75,20.94,19.81,20.13,1148300,1.0,0.0
2000-01-07,19.88,20.5,19.31,19.63,1126500,1.0,0.0
2000-01-10,20.25,20.25,19.69,19.75,584600,1.0,0.0
2000-01-11,19.69,20.0,19.56,19.88,422700,1.0,0.0
2000-01-12,19.75,19.81,19.13,19.56,892000,1.0,0.0
2000-01-13,19.5,19.88,19.38,19.44,948800,1.0,0.0
2000-01-14,19.31,19.44,18.75,19.0,993400,1.0,0.0
2000-01-18,19.13,19.5,18.69,19.5,678000,1.0,0.0
2000-01-19,19.5,20.0,19.38,20.0,543000,1.0,0.0
2000-01-20,20.0,20.0,19.06,19.06,565200,1.0,0.0
2000-01-21,19.25,19.25,18.38,18.38,570500,1.0,0.0
2000-01-24,18.5,18.5,17.5,17.88,355700,1.0,0.0
2000-01-25,17.75,17.81,17.0,17.63,296100,1.0,0.0
2000-01-26,17.5,17.5,16.31,16.69,438700,1.0,0.0
2000-01-27,16.81,17.81,16.75,17.81,528400,1.0,0.0
2000-01-28,17.5,18.25,17.13,17.44,885400,1.0,0.0
2000-01-31,17.31,17.69,17.31,17.44,429700,1.0,0.0
2000-02-01,17.19,17.81,17.19,17.44,367800,1.0,0.0
2000-02-02,17.44,17.75,17.38,17.44,737600,1.0,0.0
2000-02-03,17.38,17.63,17.31,17.5,770500,1.0,0.0
2000-02-04,18.0,18.75,18.0,18.56,739700,1.0,0.0
2000-02-07,18.88,18.94,18.38,18.38,765400,1.0,0.0
2000-02-08,18.38,18.44,17.94,18.0,539900,1.0,0.0
2000-02-09,18.0,18.31,17.81,17.94,733300,1.0,0.0
2000-02-10,18.0,18.06,17.75,17.81,784500,1.0,0.0
2000-02-11,17.69,18.19,17.63,18.19,535700,1.0,0.0
2000-02-14,18.06,18.5,18.06,18.38,378900,1.0,0.0
2000-02-15,18.44,18.69,18.25,18.31,842200,1.0,0.0
2000-02-16,18.25,18.38,17.94,18.13,308300,1.0,0.0
2000-02-17,18.0,18.56,17.88,18.13,387900,1.0,0.0
2000-02-18,18.06,18.38,17.94,18.0,563200,1.0,0.0
2000-02-22,17.88,18.25,17.38,17.75,457700,1.0,0.0
2000-02-23,17.88,17.88,16.63,16.69,385700,1.0,0.0
2000-02-24,16.69,16.69,14.94,14.94,741300,1.0,0.0
2000-02-25,14.88,14.88,14.0,14.0,723200,1.0,0.0
2000-02-28,14.38,14.81,13.63,13.75,863300,1.0,0.0
2000-02-29,13.81,14.25,13.63,13.75,443200,1.0,0.0
2000-03-01,13.81,14.25,13.25,14.06,558300,1.0,0.0
2000-03-02,14.06,14.06,13.0,13.31,543400,1.0,0.0
2000-03-03,13.31,13.94,13.0,13.69,515200,1.0,0.0
2000-03-06,13.63,13.88,13.25,13.31,449700,1.0,0.0
2000-03-07,13.44,13.94,13.44,13.94,462900,1.0,0.0
2000-03-08,13.63,13.81,13.31,13.56,609600,1.0,0.0
2000-03-09,13.44,13.69,13.06,13.25,318300,1.0,0.0
2000-03-10,13.69,13.69,13.06,13.06,231600,1.0,0.0
2000-03-13,13.19,13.31,12.88,12.94,226900,1.0,0.0
2000-03-14,12.81,13.0,12.5,12.63,284500,1.0,0.0
2000-03-15,12.63,13.38,12.63,13.31,612800,1.0,0.0
2000-03-16,13.25,14.0,13.25,13.75,1156000,1.0,0.0
