date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,47.25,48.88,44.25,45.25,2253900,1.0,0.0
2000-01-04,44.5,45.0,41.0,41.06,1474500,1.0,0.0
2000-01-05,40.5,41.0,38.31,40.75,1433000,1.0,0.0
2000-01-06,41.75,42.5,39.38,40.81,2494600,1.0,0.0
2000-01-07,39.25,42.63,38.38,42.5,3643900,1.0,0.0
2000-01-10,44.13,46.25,43.38,45.81,2250000,1.0,0.0
2000-01-11,45.88,46.56,45.38,46.0,2202000,1.0,0.0
2000-01-12,46.25,46.25,43.81,44.13,1708300,1.0,0.0
2000-01-13,44.13,44.81,43.25,43.75,1348900,1.0,0.0
2000-01-14,44.25,47.31,44.06,46.38,3470200,1.0,0.0
2000-01-18,46.13,46.13,44.63,44.75,2073700,1.0,0.0
2000-01-19,45.13,46.5,44.69,45.0,1794600,1.0,0.0
2000-01-20,45.69,48.69,45.63,46.75,3551500,1.0,0.0
2000-01-21,53.75,55.5,51.5,54.88,9426100,1.0,0.0
2000-01-24,55.56,59.5,55.5,57.94,5274500,1.0,0.0
2000-01-25,58.94,59.25,56.5,56.5,3489000,1.0,0.0
2000-01-26,56.94,57.13,54.63,55.31,1941900,1.0,0.0
2000-01-27,55.44,56.38,50.88,51.88,3000900,1.0,0.0
2000-01-28,51.25,52.94,50.44,51.0,1956400,1.0,0.0
2000-01-31,51.31,51.31,47.5,49.69,2326900,1.0,0.0
2000-02-01,50.25,51.5,49.31,50.06,2006800,1.0,0.0
2000-02-02,51.0,53.75,50.5,51.81,2629000,1.0,0.0
2000-02-03,52.69,59.44,52.63,57.63,3333600,1.0,0.0
2000-02-04,57.25,57.5,55.88,56.27,2080800,1.0,0.0
2000-02-07,56.81,56.88,55.63,56.25,948400,1.0,0.0
2000-02-08,57.38,58.88,56.25,57.63,2174700,1.0,0.0
2000-02-09,58.13,61.5,57.56,60.5,2275800,1.0,0.0
2000-02-10,61.13,61.19,57.06,58.13,1786200,1.0,0.0
2000-02-11,58.56,58.56,55.75,55.94,1038900,1.0,0.0
2000-02-14,56.56,56.69,54.13,55.5,1077300,1.0,0.0
2000-02-15,55.5,55.5,52.31,54.0,1581100,1.0,0.0
2000-02-16,54.19,55.38,54.0,55.06,1499200,1.0,0.0
2000-02-17,56.63,56.88,53.0,53.44,1720900,1.0,0.0
2000-02-18,54.25,55.13,52.88,52.94,1593800,1.0,0.0
2000-02-22,56.38,57.94,55.88,57.5,3974800,1.0,0.0
2000-02-23,59.5,63.81,59.31,62.38,4926600,1.0,0.0
2000-02-24,65.0,66.63,60.88,61.27,3752900,1.0,0.0
2000-02-25,60.0,62.31,58.88,61.31,3925700,1.0,0.0
2000-02-28,63.25,63.44,60.0,62.25,1903600,1.0,0.0
2000-02-29,62.5,62.88,60.0,60.88,2673600,1.0,0.0
2000-03-01,61.13,63.0,59.13,60.5,2500200,1.0,0.0
2000-03-02,62.0,65.31,60.56,64.94,3079300,1.0,0.0
2000-03-03,66.5,68.88,65.88,68.5,2456200,1.0,0.0
2000-03-06,69.94,70.0,65.88,66.25,2138000,1.0,0.0
2000-03-07,68.0,69.5,66.25,67.88,1710000,1.0,0.0
2000-03-08,69.25,69.5,63.5,65.88,1487300,1.0,0.0
2000-03-09,66.38,68.5,65.63,68.19,1381600,1.0,0.0
2000-03-10,69.25,72.63,68.94,72.38,3408500,1.0,0.0
2000-03-13,68.88,72.13,67.69,68.5,1774000,1.0,0.0
2000-03-14,70.44,71.31,63.25,64.06,1777300,1.0,0.0
2000-03-15,66.0,66.13,60.56,61.63,2308500,1.0,0.0
2000-03-16,61.88,63.0,60.38,62.69,2119800,1.0,0.0
2000-03-17,62.31,65.0,62.25,64.63,2126300,1.0,0.0
2000-03-20,66.25,69.38,63.69,64.0,2826700,1.0,0.0
2000-03-21,64.56,68.19,62.25,68.13,2124900,1.0,0.0
2000-03-22,69.25,70.56,68.69,69.94,1594200,1.0,0.0
2000-03-23,72.5,72.63,69.63,71.0,2843600,1.0,0.0
2000-03-24,72.25,75.12,71.88,74.0,2659900,1.0,0.0
2000-03-27,75.63,77.5,74.83,77.06,1982000,1.0,0.0
2000-03-28,78.38,79.75,77.0,78.13,1983200,1.0,0.0
2000-03-29,78.0,78.31,71.38,72.63,2232700,1.0,0.0
2000-03-30,70.75,70.88,62.63,66.44,3493400,1.0,0.0
2000-03-31,68.13,70.88,66.38,70.44,2342600,1.0,0.0
2000-04-03,70.25,70.31,62.13,63.56,2215200,1.0,0.0
2000-04-04,64.34,64.5,58.0,60.19,4741700,1.0,0.0
2000-04-05,59.56,63.94,57.94,61.5,4171000,1.0,0.0
