date,open,high,low,close,volume
2000-01-03,29.06,29.12,28.06,28.06,134500
2000-01-04,28.06,28.12,27.69,27.94,199600
2000-01-05,27.94,29.69,27.94,29.56,294500
2000-01-06,29.56,29.88,29.5,29.75,213100
2000-01-07,29.69,30.19,29.69,30.12,80600
2000-01-10,30.0,30.06,29.75,29.88,102200
2000-01-11,29.88,29.94,29.31,29.56,79100
2000-01-12,29.56,30.0,29.5,29.69,62900
2000-01-13,29.69,29.75,29.5,29.69,67400
2000-01-14,29.88,29.88,29.19,29.62,70500
2000-01-18,29.62,29.62,29.12,29.31,88100
2000-01-19,29.38,29.38,29.19,29.38,116100
2000-01-20,29.31,29.62,29.12,29.62,93600
2000-01-21,29.62,30.0,29.62,29.62,204300
2000-01-24,29.62,29.88,29.19,29.56,164200
2000-01-25,30.0,30.12,29.5,29.69,145200
2000-01-26,29.69,30.0,29.69,30.0,143700
2000-01-27,30.19,30.44,30.0,30.0,123200
2000-01-28,30.19,30.5,30.0,30.0,131400
2000-01-31,30.06,30.25,29.81,30.12,133100
2000-02-01,30.38,30.38,30.06,30.19,95200
2000-02-02,30.06,30.69,30.06,30.25,103000
2000-02-03,30.38,31.12,30.38,30.94,177800
2000-02-04,30.75,30.81,30.25,30.44,93800
2000-02-07,30.5,30.5,30.25,30.25,69800
2000-02-08,30.5,30.56,30.31,30.44,81200
2000-02-09,30.38,30.38,30.0,30.06,124300
2000-02-10,30.19,30.38,29.69,29.69,112600
2000-02-11,29.88,30.06,29.81,29.88,302700
2000-02-14,29.5,29.5,29.12,29.38,158200
2000-02-15,29.38,29.38,28.88,29.12,128200
2000-02-16,29.06,29.19,28.94,29.12,138300
2000-02-17,29.25,29.5,29.19,29.44,152400
2000-02-18,29.5,29.62,28.62,28.62,93800
2000-02-22,28.94,29.12,28.75,29.06,92300
2000-02-23,29.06,29.06,28.5,28.56,69000
2000-02-24,28.5,28.5,27.81,27.94,147900
2000-02-25,28.0,28.12,27.88,27.88,71500
2000-02-28,28.12,28.56,27.75,28.56,91400
2000-02-29,28.62,28.81,28.31,28.81,108500
2000-03-01,28.81,28.81,28.25,28.38,65400
2000-03-02,28.44,28.5,28.25,28.5,94300
2000-03-03,28.62,28.81,28.56,28.75,72900
2000-03-06,28.69,28.81,27.81,27.81,113000
2000-03-07,27.94,28.56,27.94,28.38,163400
2000-03-08,28.44,28.69,28.38,28.62,138700
2000-03-09,28.69,28.75,28.62,28.75,119500
2000-03-10,28.75,28.75,28.06,28.44,88700
2000-03-13,28.44,28.44,28.06,28.06,83400
2000-03-14,28.12,28.69,28.12,28.69,195800
2000-03-15,28.69,29.88,28.56,29.62,154200
2000-03-16,29.81,31.0,29.81,30.75,140300
2000-03-17,30.5,30.69,29.5,29.75,99800
2000-03-20,30.0,30.19,29.31,29.44,87700
2000-03-21,29.44,30.0,29.44,29.88,92200
2000-03-22,29.88,29.88,29.5,29.56,99700
2000-03-23,29.56,30.75,29.56,30.38,239900
2000-03-24,30.44,30.44,30.12,30.25,64500
2000-03-27,30.25,30.81,30.19,30.44,94000
2000-03-28,30.19,30.81,30.12,30.44,145200
2000-03-29,30.5,31.12,30.5,30.69,71800
2000-03-30,30.88,31.44,30.88,31.06,65300
2000-03-31,31.06,31.81,31.0,31.81,156100
2000-04-03,31.81,31.88,31.19,31.25,71600
2000-04-04,31.38,32.0,30.88,31.62,123100
2000-04-05,31.62,32.56,31.62,32.31,116900
2000-04-06,32.12,32.69,31.88,32.0,87500
2000-04-07,32.12,32.25,31.88,32.0,33000
2000-04-10,31.69,32.19,31.69,32.0,80800
2000-04-11,32.06,32.38,32.06,32.31,63800
2000-04-12,32.44,32.88,32.31,32.31,82400
2000-04-13,32.31,33.31,32.31,33.31,72100
2000-04-14,33.06,33.38,32.25,32.44,123800
2000-04-17,32.31,33.19,32.25,33.12,168200
2000-04-18,33.0,33.62,32.94,33.25,79000
2000-04-19,33.0,33.56,32.69,33.56,78300
2000-04-20,33.56,33.75,33.38,33.62,55400
2000-04-24,33.12,33.75,33.12,33.56,102500
2000-04-25,33.75,36.25,33.75,36.0,431100
2000-04-26,36.0,37.38,36.0,37.06,313600
2000-04-27,37.0,37.19,36.88,37.0,178800
2000-04-28,37.06,37.12,36.75,37.0,202000
2000-05-01,36.81,37.44,36.75,37.44,243600
2000-05-02,37.19,37.44,36.5,36.62,149400
2000-05-03,36.5,36.62,36.0,36.25,179800
2000-05-04,36.12,37.12,36.06,37.0,120700
2000-05-05,36.75,37.0,36.38,37.0,76500
2000-05-08,36.38,37.44,36.38,37.31,206200
2000-05-09,37.12,37.12,36.56,37.0,83100
2000-05-10,36.94,36.94,36.44,36.62,56800
2000-05-11,36.88,37.5,36.69,37.44,151300
2000-05-12,37.5,37.69,36.62,37.12,91900
2000-05-15,36.88,37.44,36.81,37.38,63100
2000-05-16,37.12,37.12,36.0,36.0,371000
2000-05-17,36.0,36.0,34.75,34.81,134100
2000-05-18,34.75,36.0,34.75,35.19,88200
2000-05-19,35.06,35.5,34.56,35.44,68400
2000-05-22,35.62,36.0,35.44,35.75,72600
2000-05-23,35.75,36.0,35.25,35.56,96000
2000-05-24,35.69,36.88,35.38,35.62,90900
2000-05-25,35.44,35.56,35.06,35.12,45900
2000-05-26,35.25,35.88,35.12,35.5,64300
2000-05-30,35.75,36.0,34.38,36.0,75600
2000-05-31,36.0,36.31,35.12,35.31,84900
2000-06-01,35.44,35.75,35.31,35.38,71500
2000-06-02,35.62,36.12,35.38,35.56,63200
2000-06-05,35.56,35.56,34.0,34.25,125300
2000-06-06,34.5,34.94,34.38,34.44,59000
2000-06-07,34.44,35.0,34.44,34.62,30600
2000-06-08,34.88,34.88,34.12,34.56,49800
2000-06-09,34.44,35.94,34.44,35.38,89400
2000-06-12,35.38,35.75,35.0,35.19,365100
2000-06-13,35.38,35.5,35.25,35.5,31300
2000-06-14,35.56,35.62,34.56,34.56,58300
2000-06-15,34.56,35.56,34.56,35.56,64000
2000-06-16,35.31,35.56,35.19,35.44,92600
2000-06-19,35.44,35.56,35.38,35.5,44200
2000-06-20,35.5,35.75,35.38,35.56,84800
2000-06-21,35.44,36.0,35.0,35.06,37500
2000-06-22,35.06,35.06,34.25,34.25,64900
2000-06-23,34.19,35.38,34.19,35.0,55700
2000-06-26,34.88,35.31,34.75,35.06,38500
2000-06-27,35.12,35.19,34.0,34.0,81400
2000-06-28,34.06,34.44,33.44,34.44,164600
2000-06-29,34.31,34.75,33.88,34.0,51000
