date,open,high,low,close,volume,splitfactor,divcash
2015-10-19,18.5,18.5,16.48,16.55,1581576,1.0,0.0
2015-10-20,16.25,16.93,16.25,16.87,709632,1.0,0.0
2015-10-21,17.25,17.35,16.4,16.48,78598,1.0,0.0
2015-10-22,16.71,17.05,16.24,16.95,110000,1.0,0.0
2015-10-23,17.25,17.25,16.85,17.0,59910,1.0,0.0
2015-10-26,17.11,17.11,16.31,16.42,514799,1.0,0.0
2015-10-27,16.56,16.75,15.6,15.73,636017,1.0,0.0
2015-10-28,15.9,16.35,15.845,16.28,296321,1.0,0.0
2015-10-29,16.01,16.27,15.55,15.95,290446,1.0,0.0
2015-10-30,15.9,16.1,14.72,14.72,2449278,1.0,0.0
2015-11-02,14.99,15.17,13.86,14.49,40865891,1.0,0.0
2015-11-03,14.07,14.71,13.675,14.36,40205612,1.0,0.0
2015-11-04,14.39,14.51,13.61,13.66,31516491,1.0,0.0
2015-11-05,13.64,13.89,13.12,13.28,22189959,1.0,0.0
2015-11-06,13.18,14.48,13.15,14.4,30049669,1.0,0.0
2015-11-09,14.26,14.48,14.13,14.2,17528088,1.0,0.0
2015-11-10,14.13,14.44,14.01,14.41,14777765,1.0,0.0
2015-11-11,14.2,14.31,14.09,14.11,11009387,1.0,0.0
2015-11-12,13.81,13.82,13.59,13.7,20371666,1.0,0.0
2015-11-13,13.61,13.76,13.15,13.39,14924533,1.0,0.0
2015-11-16,13.37,13.61,13.14,13.38,13781375,1.0,0.0
2015-11-17,13.38,13.49,13.12,13.22,12420759,1.0,0.0
2015-11-18,13.48,13.73,13.1886,13.64,13020475,1.0,0.0
2015-11-19,13.53,13.89,13.52,13.78,13171491,1.0,0.0
2015-11-20,13.78,14.63,13.68,14.21,18558586,1.0,0.0
2015-11-23,14.17,14.21,13.57,13.85,15317345,1.0,0.0
2015-11-24,13.58,14.025,13.5,13.69,24108918,1.0,0.0
2015-11-25,13.91,14.86,13.84,14.12,22674894,1.0,0.0
2015-11-27,14.12,14.64,14.05,14.35,6041718,1.0,0.0
2015-11-30,14.23,15.0,14.18,14.86,29096030,1.0,0.0
