date,open,high,low,close,volume
2020-12-23,10.67,11.8,9.31,9.9,4494762
2020-12-24,10.1,11.2,9.5,9.8,1845261
2020-12-28,9.55,9.88,8.61,9.34,610892
2020-12-29,9.1,9.3,7.29,7.6,665822
2020-12-30,7.68,8.1615,7.16,7.16,718439
2020-12-31,7.14,7.1999,6.42,6.9,548865
2021-01-04,7.16,7.16,6.61,6.96,150456
2021-01-05,6.77,7.7,6.77,7.49,133254
2021-01-06,7.45,7.8842,6.89,6.94,114201
2021-01-07,7.03,7.54,7.03,7.25,200714
2021-01-08,7.31,7.69,7.1201,7.42,142749
2021-01-11,7.42,7.91,7.1,7.3,225659
2021-01-12,7.28,7.6902,7.28,7.47,180942
2021-01-13,7.66,7.68,7.2,7.47,95761
2021-01-14,7.29,7.3398,6.815,7.0301,141723
2021-01-15,7.03,7.0859,6.62,6.84,108486
2021-01-19,7.09,7.09,6.6,6.82,73394
2021-01-20,6.95,6.9933,6.53,6.63,61692
2021-01-21,6.61,6.6599,6.48,6.53,57715
2021-01-22,6.53,6.9924,6.4,6.6,115885
2021-01-25,6.89,6.89,6.5701,6.7,90308
2021-01-26,6.86,6.86,6.54,6.56,85119
2021-01-27,6.56,6.68,6.4,6.42,63670
2021-01-28,6.42,7.31,6.42,7.25,347751
2021-01-29,7.36,7.52,6.66,6.66,190588
2021-02-01,6.78,7.5,6.7101,7.3,136392
2021-02-02,7.26,9.16,7.1,7.95,1098996
2021-02-03,7.79,8.1633,7.1696,7.52,179937
2021-02-04,7.68,7.98,7.68,7.75,82113
2021-02-05,7.72,7.8299,7.07,7.15,60652
2021-02-08,7.33,7.68,7.235,7.65,72193
2021-02-09,7.62,7.655,7.25,7.27,77111
2021-02-10,7.41,7.43,7.15,7.17,38991
2021-02-11,7.32,7.4599,7.16,7.16,43939
2021-02-12,7.16,7.627,7.143,7.2,52457
2021-02-16,7.2,7.285,6.85,7.05,104781
2021-02-17,7.63,8.29,7.21,7.81,594218
2021-02-18,7.62,7.9799,7.62,7.81,119472
2021-02-19,7.81,7.95,7.51,7.83,90482
2021-02-22,7.75,7.88,7.51,7.59,48419
2021-02-23,7.49,7.49,6.915,7.0,95773
2021-02-24,7.09,7.5,7.04,7.31,37647
2021-02-25,7.35,7.66,7.01,7.09,41315
2021-02-26,7.18,7.4403,6.65,6.7,64978
2021-03-01,6.75,7.163,6.71,6.71,15007
2021-03-02,6.74,6.9,6.68,6.7,33128
2021-03-03,6.83,6.83,6.31,6.39,55059
2021-03-04,6.7599,6.7599,5.6,5.83,86386
2021-03-05,6.06,6.15,5.61,5.95,79977
2021-03-08,5.95,6.18,5.61,5.79,18577
2021-03-09,5.87,6.42,5.87,6.31,29285
2021-03-10,6.3868,6.78,6.1022,6.69,81562
2021-03-11,6.85,7.41,6.5,6.55,158823
2021-03-12,6.41,6.6299,6.1456,6.37,15955
2021-03-15,6.48,6.64,6.44,6.53,19401
2021-03-16,6.59,6.6,6.23,6.31,15310
2021-03-17,6.44,6.49,6.2,6.21,16984
2021-03-18,6.22,6.42,6.12,6.13,18366
2021-03-19,6.14,6.39,5.79,5.79,45318
2021-03-22,5.94,6.0948,5.63,5.63,22890
2021-03-23,5.72,5.9751,5.63,5.66,31458
2021-03-24,5.74,5.74,5.53,5.55,14934
2021-03-25,5.5,5.69,5.21,5.21,73036
2021-03-26,5.23,5.4753,5.12,5.2,18774
2021-03-29,5.35,5.63,5.23,5.58,50914
2021-03-30,5.65,6.0,5.3001,5.71,93577
2021-03-31,5.65,6.33,5.65,6.01,34716
2021-04-01,5.99,6.96,5.9023,6.23,144893
2021-04-05,6.21,6.34,5.88,5.93,15831
2021-04-06,5.83,6.24,5.8,6.02,36586
2021-04-07,5.87,5.93,5.631,5.66,60713
2021-04-08,5.68,5.85,5.5001,5.6,27083
2021-04-09,5.6027,5.69,5.6,5.62,11288
2021-04-12,5.6365,5.8299,5.42,5.56,15986
2021-04-13,5.37,5.55,5.37,5.43,7548
2021-04-14,5.587,5.587,5.21,5.31,11962
2021-04-15,5.21,5.44,5.21,5.42,5355
2021-04-16,5.52,5.52,5.21,5.24,11161
2021-04-19,5.29,5.29,5.11,5.19,5934
2021-04-20,5.155,5.155,5.0,5.03,25314
2021-04-21,5.05,5.15,5.04,5.13,18344
2021-04-22,5.1979,5.89,5.1979,5.89,59785
2021-04-23,5.6733,6.04,5.6733,5.96,26844
2021-04-26,6.1,6.1,5.64,5.81,41557
2021-04-27,5.62,5.71,5.55,5.57,15487
2021-04-28,5.36,5.49,5.22,5.43,6625
2021-04-29,5.35,5.43,5.24,5.25,9614
2021-04-30,5.3257,5.34,5.1283,5.23,5963
2021-05-03,5.2784,5.35,5.165,5.17,5065
2021-05-04,5.18,5.35,5.15,5.19,4735
2021-05-05,5.18,5.4,5.02,5.3711,58981
2021-05-06,5.3,5.3,5.1001,5.13,6714
2021-05-07,5.14,5.85,5.14,5.4,39778
2021-05-10,5.35,5.49,5.28,5.48,17739
2021-05-11,5.4691,5.4691,5.15,5.2293,7469
2021-05-12,5.144,5.35,5.04,5.34,10326
2021-05-13,5.2232,5.35,4.7801,4.9,13464
2021-05-14,4.92,4.92,4.52,4.59,34387
2021-05-17,4.61,4.75,4.51,4.75,5778
2021-05-18,4.69,4.79,4.51,4.59,20905
2021-05-19,4.51,4.61,4.45,4.52,6249
2021-05-20,4.48,5.15,4.28,4.7611,65990
2021-05-21,4.5912,4.81,4.555,4.69,25093
2021-05-24,4.9,5.25,4.65,5.089,38865
2021-05-25,4.8697,5.08,4.73,4.75,4933
2021-05-26,4.99,5.46,4.82,4.82,24557
2021-05-27,4.9101,5.46,4.9101,5.35,39792
2021-05-28,5.34,5.47,5.26,5.35,29900
2021-06-01,5.35,5.82,5.29,5.82,44288
2021-06-02,5.65,5.96,5.44,5.48,61948
2021-06-03,5.56,5.56,5.09,5.37,20082
2021-06-04,5.3219,5.35,5.05,5.26,45973
2021-06-07,5.3,5.7899,5.11,5.65,88196
2021-06-08,5.8791,5.96,5.65,5.8,76519
2021-06-09,5.72,6.04,5.7,5.7,14745
2021-06-10,5.75,6.41,5.7,6.16,77884
2021-06-11,6.02,6.28,5.91,5.9559,86841
2021-06-14,5.35,5.3601,4.48,4.86,427283
2021-06-15,4.91,5.02,4.025,4.035,636893
2021-06-16,3.08,3.16,2.87,2.94,9166914
2021-06-17,2.93,2.99,2.82,2.89,2914599
2021-06-18,2.85,2.92,2.82,2.9,1374188
2021-06-21,2.93,2.94,2.8,2.9,1879814
2021-06-22,2.9242,2.93,2.814,2.87,1476257
2021-06-23,2.86,2.9,2.82,2.9,1042835
2021-06-24,2.91,3.08,2.8601,3.05,1742220
2021-06-25,3.05,3.05,2.88,2.92,1058447
2021-06-28,2.9016,2.93,2.83,2.89,914237
2021-06-29,2.85,2.9,2.83,2.84,657052
2021-06-30,2.81,2.83,2.71,2.8,1112084
2021-07-01,2.86,2.86,2.77,2.81,456185
2021-07-02,2.79,2.94,2.77,2.8,830678
2021-07-06,2.8,2.85,2.71,2.8,942598
2021-07-07,2.81,2.83,2.66,2.72,695515
2021-07-08,2.66,2.67,2.58,2.62,502352
2021-07-09,2.62,2.77,2.57,2.72,451598
2021-07-12,2.73,2.77,2.6735,2.7,143203
2021-07-13,2.73,2.74,2.62,2.63,243739
2021-07-14,2.66,2.69,2.381,2.44,544460
2021-07-15,2.51,2.68,2.45,2.53,1129120
2021-07-16,2.59,2.59,2.39,2.42,378304
2021-07-19,2.4,2.4,2.2,2.25,732973
2021-07-20,2.28,2.44,2.2601,2.4,288640
2021-07-21,2.43,2.58,2.38,2.58,345770
2021-07-22,2.54,2.57,2.42,2.48,173569
2021-07-23,2.48,2.52,2.35,2.44,158889
2021-07-26,2.73,2.73,2.14,2.4,8720812
2021-07-27,2.4,2.4,2.03,2.18,1759245
2021-07-28,2.2,2.5,2.12,2.28,1311649
2021-07-29,2.25,2.431,2.2,2.37,812748
2021-07-30,2.34,2.4,2.19,2.27,402749
2021-08-02,2.22,2.35,2.2001,2.33,326412
2021-08-03,2.37,2.4,2.14,2.2,1031888
2021-08-04,2.23,2.269,2.07,2.16,484665
2021-08-05,2.19,2.45,2.12,2.3,1667384
2021-08-06,2.21,2.28,2.1,2.16,885678
2021-08-09,2.16,2.18,2.1,2.15,320092
2021-08-10,2.12,2.23,2.06,2.2,363185
