date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,21.13,21.19,19.81,20.94,35500,1.0,0.0
2000-01-04,20.69,21.0,20.56,21.0,35900,1.0,0.0
2000-01-05,20.75,21.94,20.75,21.94,40300,1.0,0.0
2000-01-06,21.44,21.94,21.44,21.94,48100,1.0,0.0
2000-01-07,21.69,22.5,21.56,22.38,82600,1.0,0.0
2000-01-10,22.5,23.25,22.5,22.81,49400,1.0,0.0
2000-01-11,22.81,22.81,22.25,22.75,53000,1.0,0.0
2000-01-12,22.56,23.0,22.25,22.81,41800,1.0,0.0
2000-01-13,23.19,23.19,22.5,22.81,143700,1.0,0.0
2000-01-14,22.81,22.81,21.88,22.19,56200,1.0,0.0
2000-01-18,22.94,23.38,22.75,23.31,130900,1.0,0.0
2000-01-19,23.19,23.19,22.13,22.88,32100,1.0,0.0
2000-01-20,23.0,23.19,22.75,23.0,46100,1.0,0.0
2000-01-21,23.25,23.5,22.81,22.88,78000,1.0,0.0
2000-01-24,23.0,23.44,22.56,22.88,158900,1.0,0.0
2000-01-25,23.06,23.38,22.63,23.06,130300,1.0,0.0
2000-01-26,22.94,23.0,22.38,22.44,46400,1.0,0.0
2000-01-27,22.38,22.56,21.5,21.5,106300,1.0,0.0
2000-01-28,21.56,21.56,21.0,21.38,90600,1.0,0.0
2000-01-31,20.88,21.06,20.0,20.0,140800,1.0,0.0
2000-02-01,19.94,20.63,19.94,20.5,206900,1.0,0.0
2000-02-02,20.75,20.81,20.44,20.5,91800,1.0,0.0
2000-02-03,20.63,21.25,20.31,20.63,62800,1.0,0.0
2000-02-04,20.56,20.56,19.69,19.75,52400,1.0,0.0
2000-02-07,19.75,20.06,19.75,20.0,100300,1.0,0.0
2000-02-08,20.0,20.31,19.5,19.63,119700,1.0,0.0
2000-02-09,19.88,19.94,19.13,19.19,59300,1.0,0.0
2000-02-10,19.25,19.44,18.75,19.19,50100,1.0,0.0
2000-02-11,19.31,19.44,19.19,19.31,40900,1.0,0.0
2000-02-14,19.44,19.88,19.19,19.19,252300,1.0,0.0
2000-02-15,19.44,20.13,19.38,19.81,51100,1.0,0.0
2000-02-16,20.06,20.31,20.0,20.06,63300,1.0,0.0
2000-02-17,20.63,20.63,19.75,19.75,74500,1.0,0.0
2000-02-18,19.63,20.06,19.0,19.06,50900,1.0,0.0
2000-02-22,19.06,19.13,18.69,18.88,44100,1.0,0.0
2000-02-23,19.06,19.06,18.69,18.88,42400,1.0,0.0
2000-02-24,18.81,19.19,18.81,19.0,42900,1.0,0.0
2000-02-25,18.94,19.19,18.94,19.0,22000,1.0,0.0
2000-02-28,18.75,19.31,18.75,19.06,54100,1.0,0.0
2000-02-29,19.19,19.25,18.69,18.81,95600,1.0,0.0
2000-03-01,18.81,18.94,18.63,18.94,63000,1.0,0.13
