date,open,high,low,close,volume
2000-01-03,10.63,10.63,10.38,10.5,109500
2000-01-04,10.44,10.5,10.31,10.38,59400
2000-01-05,10.31,10.5,10.22,10.22,21500
2000-01-06,10.44,11.44,10.38,11.44,40600
2000-01-07,11.38,13.0,11.38,12.63,87900
2000-01-10,12.63,12.75,12.38,12.56,36700
2000-01-11,12.5,12.63,12.5,12.56,10100
2000-01-12,12.44,12.44,12.25,12.38,17400
2000-01-13,12.5,12.5,12.44,12.5,12000
2000-01-14,12.5,12.5,12.31,12.31,56100
2000-01-18,12.25,12.44,12.25,12.44,10900
2000-01-19,12.44,12.44,12.25,12.25,5100
2000-01-20,12.25,12.25,11.81,11.88,25900
2000-01-21,11.81,11.94,11.75,11.75,9300
2000-01-24,11.75,11.75,11.13,11.19,12000
2000-01-25,11.13,11.13,10.38,10.38,29500
2000-01-26,10.38,10.5,10.38,10.44,9700
2000-01-27,10.38,10.5,10.38,10.44,6800
2000-01-28,10.44,10.88,10.44,10.81,8200
2000-01-31,10.88,11.0,10.69,11.0,12700
2000-02-01,10.94,10.94,10.56,10.81,14000
2000-02-02,10.81,10.88,10.69,10.88,5900
2000-02-03,10.81,11.0,10.69,11.0,12100
2000-02-04,11.06,11.19,11.0,11.0,32600
2000-02-07,11.0,11.0,10.75,10.81,30000
2000-02-08,10.81,10.88,10.5,10.5,19100
2000-02-09,10.5,10.63,10.5,10.56,16800
2000-02-10,10.69,10.75,10.5,10.75,19700
2000-02-11,10.75,10.94,10.5,10.5,20400
2000-02-14,10.5,10.56,10.13,10.13,63200
2000-02-15,10.06,10.09,9.688,9.688,36900
2000-02-16,9.688,10.0,9.625,9.625,19600
2000-02-17,9.5,9.625,9.5,9.5,11100
2000-02-18,9.5,9.5,9.375,9.375,14100
2000-02-22,9.438,9.438,9.125,9.375,19900
2000-02-23,9.5,9.5,9.25,9.25,17500
2000-02-24,9.375,9.625,9.125,9.188,26300
2000-02-25,9.063,9.063,8.5,8.563,21400
2000-02-28,8.563,8.563,8.25,8.25,55500
2000-02-29,8.375,9.375,8.375,9.375,41400
2000-03-01,9.375,9.5,9.375,9.375,9600
2000-03-02,9.25,9.75,9.25,9.75,22300
2000-03-03,9.625,10.0,9.625,9.938,12900
2000-03-06,9.813,10.0,9.75,9.938,9000
2000-03-07,9.813,10.06,9.813,10.0,13600
2000-03-08,9.875,10.25,9.75,10.13,27300
2000-03-09,10.13,10.13,9.75,9.75,6800
2000-03-10,9.625,9.75,9.625,9.75,4600
2000-03-13,9.625,9.625,9.563,9.563,7900
2000-03-14,9.563,10.25,9.563,10.13,26000
2000-03-15,10.06,10.06,9.875,9.875,19800
2000-03-16,9.75,10.19,9.688,10.0,11900
2000-03-17,9.875,10.13,9.875,10.13,8200
2000-03-20,10.0,10.0,10.0,10.0,1000
2000-03-21,9.875,10.0,9.875,9.938,9700
2000-03-22,9.813,10.0,9.813,10.0,13100
2000-03-23,9.875,10.25,9.875,10.25,11900
2000-03-24,10.38,10.38,10.25,10.25,13200
2000-03-27,10.13,10.25,9.875,10.0,18800
2000-03-28,10.0,10.25,9.875,10.0,18200
2000-03-29,10.13,10.13,9.938,10.0,11400
2000-03-30,10.0,10.0,9.813,9.875,23600
2000-03-31,9.75,9.813,9.75,9.75,7800
