date,open,high,low,close,volume,splitfactor,divcash
2011-02-11,31.7,32.14,30.75,31.05,50610600,1.0,0.0
2011-02-14,31.05,31.3,30.7,30.7,6275900,1.0,0.0
2011-02-15,30.9,31.15,30.73,30.94,4337800,1.0,0.0
2011-02-16,31.05,31.44,30.66,30.72,4627100,1.0,0.0
2011-02-17,30.68,31.09,30.51,30.55,3290700,1.0,0.0
2011-02-18,30.65,31.39,30.4,31.37,2583800,1.0,0.0
2011-02-22,31.14,31.43,30.71,30.72,2454300,1.0,0.0
2011-02-23,30.76,30.9,30.25,30.42,2671200,1.0,0.0
2011-02-24,30.55,30.65,30.3,30.46,1698000,1.0,0.0
2011-02-25,30.53,30.75,30.3,30.5,2225900,1.0,0.0
2011-02-28,30.57,30.79,30.42,30.5,2380400,1.0,0.0
2011-03-01,30.65,30.78,30.23,30.45,1908000,1.0,0.0
2011-03-02,30.57,30.69,30.26,30.57,2197000,1.0,0.0
2011-03-03,30.68,30.77,30.53,30.77,1901800,1.0,0.0
2011-03-04,30.8,30.9392,30.66,30.85,892300,1.0,0.0
2011-03-07,30.94,31.04,30.7,30.9,1049600,1.0,0.0
2011-03-08,30.8,31.04,30.8,30.97,827400,1.0,0.0
2011-03-09,30.9,30.98,30.74,30.75,294100,1.0,0.0
2011-03-10,30.71,30.71,29.75,30.1,2715200,1.0,0.0
2011-03-11,30.1,30.48,29.97,30.1,1896900,1.0,0.0
2011-03-14,30.0,30.22,29.8,29.99,1967700,1.0,0.0
2011-03-15,29.81,30.2,29.6,29.88,1968400,1.0,0.0
2011-03-16,29.89,30.16,29.76,30.05,2062200,1.0,0.0
2011-03-17,30.2,30.41,30.06,30.15,1511400,1.0,0.0
2011-03-18,30.21,30.5,30.08,30.5,1906600,1.0,0.0
2011-03-21,30.53,31.0,30.4,30.82,1253000,1.0,0.0
2011-03-22,30.9,30.98,30.57,30.7,1014700,1.0,0.0
2011-03-23,30.53,30.67,29.95,30.02,2570500,1.0,0.0
2011-03-24,30.1,30.25,29.9,30.05,1411600,1.0,0.0
2011-03-25,30.01,30.0899,29.5,29.52,2687100,1.0,0.0
2011-03-28,29.74,29.93,29.56,29.62,1552900,1.0,0.0
2011-03-29,29.75,29.8846,29.54,29.79,1313800,1.0,0.0
2011-03-30,29.87,29.89,29.58,29.69,769700,1.0,0.0
2011-03-31,29.8,29.87,29.51,29.64,884400,1.0,0.0
2011-04-01,29.79,29.85,29.49,29.5,1869200,1.0,0.0
2011-04-04,29.44,29.7,29.25,29.44,1177900,1.0,0.0
2011-04-05,29.49,29.64,29.0,29.44,1021200,1.0,0.0
2011-04-06,29.46,29.49,29.21,29.46,725100,1.0,0.0
2011-04-07,29.52,29.56,29.13,29.22,1226100,1.0,0.0
2011-04-08,29.22,29.42,29.12,29.33,934800,1.0,0.0
2011-04-11,29.3,29.41,29.07,29.25,1160900,1.0,0.0
2011-04-12,29.1,29.24,28.27,28.73,1278100,1.0,0.0
2011-04-13,28.74,29.02,28.66,28.83,2766900,1.0,0.0
2011-04-14,28.79,29.16,28.57,29.12,785800,1.0,0.0
2011-04-15,29.11,29.15,28.69,28.88,863900,1.0,0.0
2011-04-18,28.79,28.8399,28.23,28.52,882400,1.0,0.0
2011-04-19,28.59,28.86,28.53,28.78,1121200,1.0,0.0
2011-04-20,28.98,29.6,28.79,29.45,2054000,1.0,0.0
2011-04-21,29.32,29.93,29.07,29.63,1516900,1.0,0.0
2011-04-25,29.81,29.81,29.07,29.36,604100,1.0,0.0
2011-04-26,29.54,29.589,29.05,29.12,1100000,1.0,0.0
2011-04-27,29.3,29.49,28.75,28.86,1479600,1.0,0.0
2011-04-28,28.84,28.95,28.69,28.83,1041000,1.0,0.14
2011-04-29,29.04,29.29,28.35,28.58,1843400,1.0,0.0
2011-05-02,28.73,28.99,28.38,28.82,1036600,1.0,0.0
2011-05-03,28.84,28.89,28.05,28.19,1158700,1.0,0.0
2011-05-04,28.2,28.3597,27.31,27.96,2537800,1.0,0.0
2011-05-05,28.02,28.26,27.41,27.98,1618300,1.0,0.0
2011-05-06,28.08,28.41,27.85,28.0,653600,1.0,0.0
2011-05-09,28.11,28.45,28.01,28.29,752100,1.0,0.0
2011-05-10,28.27,28.69,28.08,28.52,777800,1.0,0.0
2011-05-11,28.53,28.63,28.01,28.31,1400100,1.0,0.0
2011-05-12,28.2,28.45,27.82,28.45,1800000,1.0,0.0
2011-05-13,28.37,28.37,27.75,27.93,1344100,1.0,0.0
2011-05-16,28.06,28.48,27.4,27.54,1737600,1.0,0.0
2011-05-17,27.6,27.71,26.87,27.5,2404600,1.0,0.0
2011-05-18,27.77,27.88,27.42,27.56,895200,1.0,0.0
2011-05-19,27.68,28.34,27.53,28.29,1096500,1.0,0.0
2011-05-20,28.25,28.9,27.97,28.5,1535400,1.0,0.0
2011-05-23,28.41,28.57,28.19,28.33,2927600,1.0,0.0
2011-05-24,28.53,29.06,28.47,29.06,2587700,1.0,0.0
2011-05-25,28.98,29.28,28.8,29.02,3304700,1.0,0.0
2011-05-26,29.1,29.22,28.61,28.69,1507000,1.0,0.0
2011-05-27,28.9,29.18,28.5,29.18,1896600,1.0,0.0
2011-05-31,29.53,29.76,29.0,29.29,5489900,1.0,0.0
2011-06-01,29.4,29.47,28.85,29.0,1042800,1.0,0.0
2011-06-02,29.15,29.38,28.44,29.38,978400,1.0,0.0
2011-06-03,29.06,29.76,28.73,29.75,1566400,1.0,0.0
2011-06-06,29.6,29.77,29.25,29.52,1402100,1.0,0.0
2011-06-07,29.58,29.97,29.42,29.79,1980000,1.0,0.0
2011-06-08,29.58,29.86,29.46,29.73,766800,1.0,0.0
2011-06-09,29.72,29.8899,29.64,29.69,1215900,1.0,0.0
2011-06-10,29.74,29.846,29.43,29.53,895800,1.0,0.0
2011-06-13,29.62,29.93,29.2,29.45,901900,1.0,0.0
2011-06-14,29.41,29.86,29.06,29.5,760200,1.0,0.0
2011-06-15,29.42,29.65,28.89,29.36,1149000,1.0,0.0
2011-06-16,29.4,29.44,29.0708,29.21,792100,1.0,0.0
2011-06-17,29.36,29.74,29.15,29.7,2448200,1.0,0.0
2011-06-20,29.61,29.6699,29.4,29.61,866700,1.0,0.0
2011-06-21,29.7,29.7,29.34,29.62,631300,1.0,0.0
2011-06-22,29.62,29.97,29.445,29.62,1587400,1.0,0.0
2011-06-23,29.59,29.59,28.91,29.1,1963100,1.0,0.0
2011-06-24,29.19,29.3,28.5879,28.6,11554800,1.0,0.0
