date,open,high,low,close,volume
2000-01-03,16.56,16.69,16.38,16.69,5867
2000-01-04,16.56,16.75,16.25,16.75,32652
2000-01-05,16.38,16.81,16.38,16.38,12978
2000-01-06,16.44,16.75,16.38,16.75,4168
2000-01-07,16.59,16.88,16.38,16.38,21768
2000-01-10,16.88,16.88,16.44,16.63,44168
2000-01-11,16.75,16.94,16.63,16.75,43378
2000-01-12,16.63,16.78,16.56,16.63,19200
2000-01-13,16.94,17.31,16.63,17.19,26153
2000-01-14,17.56,18.13,16.75,16.75,32830
2000-01-18,17.0,18.0,16.75,18.0,24257
2000-01-19,18.06,18.13,17.38,18.13,34035
2000-01-20,16.75,17.25,16.75,16.94,44978
2000-01-21,16.88,17.13,16.81,17.0,36030
2000-01-24,16.88,17.25,16.88,17.13,15230
2000-01-25,17.0,17.31,17.0,17.13,27042
2000-01-26,17.19,17.19,17.06,17.06,5590
2000-01-27,16.88,17.31,16.88,17.0,1620
2000-01-28,17.25,17.31,16.69,17.31,17185
2000-01-31,17.31,17.5,16.91,17.38,23368
2000-02-01,17.13,17.5,16.88,16.88,61630
2000-02-02,16.88,17.0,16.88,17.0,23052
2000-02-03,16.75,17.5,16.75,17.38,11200
2000-02-04,17.0,18.19,17.0,17.69,12800
2000-02-07,18.19,19.0,17.81,18.06,9778
2000-02-08,17.5,18.27,17.25,17.25,2568
2000-02-09,17.25,17.25,17.0,17.0,5768
2000-02-10,17.25,17.75,17.0,17.75,3635
2000-02-11,17.0,18.0,16.88,17.0,13768
2000-02-14,16.81,17.25,16.75,16.75,109768
2000-02-15,16.75,17.0,16.63,16.63,52030
2000-02-16,16.94,17.0,16.25,16.5,30578
2000-02-17,16.56,16.56,16.25,16.25,48790
2000-02-18,16.5,16.5,16.25,16.38,6775
2000-02-22,16.25,16.5,16.13,16.38,68800
2000-02-23,16.13,16.56,16.13,16.56,3852
2000-02-24,16.56,16.75,16.38,16.5,2568
2000-02-25,16.47,17.0,16.38,16.94,10667
2000-02-28,16.59,17.0,16.25,16.38,6163
2000-02-29,16.44,17.25,16.31,16.38,92820
2000-03-01,17.25,17.5,15.88,17.0,352435
2000-03-02,16.5,17.0,16.13,16.13,8652
2000-03-03,16.28,16.38,16.13,16.38,125867
2000-03-06,16.38,16.5,16.25,16.25,4563
2000-03-07,16.19,16.38,16.13,16.38,4642
2000-03-08,16.13,16.38,15.88,15.88,23368
2000-03-09,15.88,16.13,15.88,16.0,7190
2000-03-10,15.88,16.06,15.88,15.94,5985
2000-03-13,15.88,16.06,15.88,16.06,33244
2000-03-14,15.94,16.06,15.69,15.84,117452
2000-03-15,15.91,15.91,15.69,15.88,9363
2000-03-16,15.88,16.38,15.75,16.38,7842
2000-03-17,15.88,16.56,15.88,16.06,26568
2000-03-20,15.88,16.25,15.88,16.06,15644
2000-03-21,15.88,16.25,15.88,15.88,4030
2000-03-22,15.88,16.25,15.88,16.0,163635
2000-03-23,15.88,16.13,15.81,15.94,127230
2000-03-24,16.13,16.13,15.87,15.87,142163
2000-03-27,16.13,16.63,16.0,16.63,134044
2000-03-28,16.25,18.88,16.25,18.0,12267
2000-03-29,17.5,17.5,17.13,17.13,76800
2000-03-30,17.69,17.88,17.13,17.81,22775
2000-03-31,16.88,17.63,16.88,17.5,13985
2000-04-03,17.0,17.75,17.0,17.38,5235
2000-04-04,17.13,18.0,17.0,17.5,8257
2000-04-05,16.75,18.13,16.75,17.38,28444
2000-04-06,18.63,19.0,17.88,18.63,22400
2000-04-07,18.75,18.88,17.63,17.88,34667
2000-04-10,18.0,18.0,17.69,17.81,2390
2000-04-11,17.81,18.13,17.81,18.13,4563
2000-04-12,18.03,18.03,17.75,17.94,12563
2000-04-13,17.75,18.13,17.75,17.94,6400
2000-04-14,17.88,18.06,17.31,17.31,20267
2000-04-17,17.25,17.5,15.38,15.81,28168
2000-04-18,15.81,17.25,15.81,17.25,11457
2000-04-19,17.38,17.5,16.88,17.5,4820
2000-04-20,17.5,17.75,17.25,17.75,5768
2000-04-24,17.88,18.5,17.63,18.5,6657
2000-04-25,18.63,19.69,17.88,19.19,12444
2000-04-26,19.75,19.75,18.5,18.5,110835
2000-04-27,18.5,18.5,17.75,18.22,14242
