date,open,high,low,close,volume
2000-01-03,9.0,9.25,9.0,9.25,6750
2000-01-04,9.12,9.12,9.12,9.12,400
2000-01-05,9.0,9.0,9.0,9.0,6400
2000-01-06,9.12,9.12,9.12,9.12,1750
2000-01-07,9.12,9.12,9.12,9.12,1550
2000-01-10,9.0,9.25,9.0,9.25,4200
2000-01-11,9.25,9.25,9.25,9.25,600
2000-01-12,9.12,9.12,9.12,9.12,400
2000-01-13,9.25,9.25,9.12,9.12,42200
2000-01-14,9.25,9.38,9.19,9.19,2500
2000-01-18,9.19,9.19,9.19,9.19,0
2000-01-19,9.31,9.44,9.31,9.38,1500
2000-01-20,9.25,9.25,9.06,9.06,5150
2000-01-21,9.06,9.19,9.06,9.19,900
2000-01-24,9.31,9.31,9.31,9.31,1050
2000-01-25,9.25,9.38,9.25,9.38,1850
2000-01-26,9.25,9.38,9.25,9.38,3650
2000-01-27,9.31,9.44,9.31,9.44,650
2000-01-28,9.38,9.44,9.38,9.44,750
2000-01-31,9.56,9.62,9.38,9.38,1900
2000-02-01,9.25,9.38,9.25,9.25,500
2000-02-02,9.25,9.25,9.25,9.25,400
2000-02-03,9.25,9.25,9.25,9.25,400
2000-02-04,9.25,9.25,9.25,9.25,0
2000-02-07,9.12,9.25,9.0,9.12,6400
2000-02-08,9.06,9.06,9.06,9.06,450
2000-02-09,9.0,9.12,9.0,9.0,9450
2000-02-10,9.0,9.0,9.0,9.0,1000
2000-02-11,9.0,9.0,9.0,9.0,550
2000-02-14,8.88,8.88,8.75,8.75,2300
2000-02-15,8.75,8.75,8.75,8.75,0
2000-02-16,8.62,8.75,8.62,8.62,4750
2000-02-17,8.69,8.69,8.69,8.69,750
2000-02-18,8.62,8.69,8.62,8.62,1650
2000-02-22,8.5,8.5,8.5,8.5,3200
2000-02-23,8.44,8.44,8.25,8.25,1600
2000-02-24,8.38,8.38,8.31,8.31,16250
2000-02-25,8.31,8.31,8.31,8.31,0
2000-02-28,8.19,8.19,8.0,8.0,1000
2000-02-29,8.0,8.12,8.0,8.12,10450
2000-03-01,8.0,8.19,8.0,8.19,3950
2000-03-02,8.12,8.12,8.0,8.0,750
2000-03-03,7.88,7.88,7.75,7.88,9350
2000-03-06,7.88,7.88,7.88,7.88,0
2000-03-07,7.75,7.75,7.62,7.62,23000
2000-03-08,7.56,7.56,7.5,7.5,3100
2000-03-09,7.5,7.62,7.5,7.62,600
2000-03-10,7.5,7.5,7.5,7.5,2450
2000-03-13,7.38,7.62,7.25,7.62,2200
2000-03-14,7.5,7.62,7.5,7.62,200
2000-03-15,7.5,7.5,7.31,7.44,1100
2000-03-16,7.56,7.62,7.56,7.62,850
2000-03-17,7.5,7.62,7.5,7.62,750
2000-03-20,7.62,7.62,7.38,7.38,1900
2000-03-21,7.38,7.38,7.38,7.38,0
2000-03-22,7.38,7.38,7.25,7.38,800
2000-03-23,7.25,7.56,7.25,7.56,2250
2000-03-24,7.62,7.62,7.5,7.5,2500
2000-03-27,7.38,7.38,7.38,7.38,600
2000-03-28,7.25,7.38,7.25,7.38,2800
2000-03-29,7.38,7.38,7.0,7.0,800
2000-03-30,7.0,7.0,7.0,7.0,850
2000-03-31,7.0,7.12,7.0,7.0,2400
2000-04-03,7.0,7.0,7.0,7.0,350
2000-04-04,7.0,7.0,6.75,7.0,4100
2000-04-05,6.88,7.12,6.88,7.0,4050
2000-04-06,6.88,6.88,6.88,6.88,1950
2000-04-07,7.0,7.12,6.88,7.12,2300
2000-04-10,7.12,7.12,7.12,7.12,0
2000-04-11,7.12,7.12,7.12,7.12,0
2000-04-12,7.0,7.0,7.0,7.0,700
2000-04-13,7.0,7.38,7.0,7.38,3100
2000-04-14,7.25,7.25,7.12,7.12,150
2000-04-17,7.12,7.12,7.12,7.12,0
2000-04-18,7.0,7.25,7.0,7.25,9100
