date,open,high,low,close,volume
2021-06-25,22.1,23.0,18.45,18.5,3940142
2021-06-28,21.0,24.4,20.078,22.7,1450533
2021-06-29,22.11,28.32,22.07,27.6,3005369
2021-06-30,27.6,34.0,27.0,30.73,1353869
2021-07-01,31.04,32.4899,27.25,28.25,690370
2021-07-02,27.4358,29.6363,25.5,28.39,296225
2021-07-06,28.37,28.98,26.0531,26.39,276833
2021-07-07,26.04,27.315,23.75,24.26,251087
2021-07-08,24.75,26.5899,23.46,24.29,387989
2021-07-09,25.24,26.5,24.42,24.49,638400
2021-07-12,24.89,26.0,24.45,25.75,259488
2021-07-13,26.0,26.5299,24.85,25.74,298984
2021-07-14,25.35,26.19,24.1729,25.64,165468
2021-07-15,25.43,25.95,24.13,24.8,290982
2021-07-16,24.61,28.2,24.57,25.81,316997
2021-07-19,24.69,27.95,24.69,27.54,314740
2021-07-20,27.69,28.99,25.16,25.51,330830
2021-07-21,25.5531,25.895,23.91,24.54,193900
2021-07-22,24.34,25.48,24.08,24.99,136124
2021-07-23,25.01,26.5553,24.2,24.52,216854
2021-07-26,24.62,25.0,21.55,22.21,261496
2021-07-27,22.44,23.5,19.76,21.65,433249
2021-07-28,22.0,22.49,20.71,21.48,383981
2021-07-29,21.5,22.03,21.13,21.52,152789
2021-07-30,21.33,21.99,21.0113,21.36,107450
2021-08-02,21.25,21.79,20.62,21.0,260618
2021-08-03,21.24,21.42,20.68,20.72,143335
2021-08-04,20.83,21.442,20.42,20.84,203129
2021-08-05,20.83,21.615,20.3,20.65,430452
2021-08-06,21.0,21.97,20.25,20.68,695868
2021-08-09,21.33,21.33,20.54,20.75,376520
2021-08-10,20.89,22.57,20.7,22.47,731453
2021-08-11,22.75,23.3699,21.3501,22.03,251646
2021-08-12,22.23,22.49,21.785,22.03,434916
2021-08-13,22.44,22.44,21.17,21.63,164245
2021-08-16,21.4,21.96,20.71,20.98,176145
2021-08-17,20.98,20.98,19.52,19.87,121020
2021-08-18,19.75,21.15,19.52,19.61,253427
2021-08-19,19.5,19.99,18.06,18.19,146472
2021-08-20,18.23,18.74,17.35,17.91,346158
2021-08-23,18.03,20.4412,18.03,20.06,611379
2021-08-24,20.09,20.29,19.33,20.01,470018
2021-08-25,20.28,20.315,19.58,20.0,98931
2021-08-26,19.87,21.86,19.05,19.21,227045
2021-08-27,19.42,20.59,19.26,19.91,225751
2021-08-30,20.17,20.925,20.17,20.26,201643
2021-08-31,20.34,20.685,18.9,19.54,380789
2021-09-01,19.74,20.235,19.39,19.63,173190
2021-09-02,19.81,20.86,19.5,19.95,304567
2021-09-03,19.82,20.6,19.59,20.43,170424
2021-09-07,20.5,21.06,18.7615,19.95,334714
2021-09-08,20.12,20.25,18.8,19.4,246325
2021-09-09,19.33,20.32,18.95,20.13,296854
2021-09-10,20.11,20.6,19.51,19.99,195706
2021-09-13,20.0,20.45,19.15,19.41,185757
2021-09-14,19.41,19.79,19.0,19.44,363460
2021-09-15,19.35,20.25,19.2,19.99,373202
2021-09-16,19.79,20.25,19.6,20.15,240225
2021-09-17,20.03,20.44,19.37,19.37,3220916
2021-09-20,19.34,19.34,15.9001,16.91,582455
2021-09-21,17.02,17.27,15.95,16.08,502704
2021-09-22,16.08,16.88,15.05,15.81,325476
2021-09-23,16.03,17.19,15.12,17.02,487021
2021-09-24,16.91,17.3,16.49,16.67,154400
2021-09-27,17.07,17.12,16.38,16.81,215136
2021-09-28,16.58,16.94,15.81,16.3,198158
2021-09-29,16.71,17.13,16.46,16.67,132878
2021-09-30,16.81,16.865,16.18,16.39,224875
2021-10-01,16.39,17.1,15.8601,16.71,415441
2021-10-04,16.54,16.9,15.15,15.32,238074
2021-10-05,15.37,16.32,14.1,14.28,239716
2021-10-06,13.95,14.42,13.33,14.02,238704
2021-10-07,14.12,15.2067,14.09,15.06,76855
2021-10-08,15.13,15.13,12.83,13.35,300707
2021-10-11,14.11,15.55,13.95,14.37,240971
2021-10-12,14.32,14.55,13.55,13.86,269447
2021-10-13,14.01,14.08,12.7,12.8,511765
2021-10-14,12.88,13.12,12.48,12.73,198045
2021-10-15,12.96,13.1,12.42,12.78,294866
2021-10-18,12.89,13.35,11.72,12.42,308568
2021-10-19,12.44,12.93,12.3,12.83,124329
2021-10-20,12.84,13.0,12.55,12.9,117709
2021-10-21,12.85,12.9999,12.35,12.69,107690
2021-10-22,12.62,12.62,11.87,12.32,85344
2021-10-25,12.31,12.4799,12.035,12.35,64533
2021-10-26,12.49,12.78,12.08,12.64,130146
2021-10-27,12.51,12.6,12.045,12.32,116534
2021-10-28,12.33,12.87,11.7391,12.44,203537
2021-10-29,12.34,13.1599,12.34,12.74,143020
2021-11-01,12.72,13.29,12.54,12.66,135686
2021-11-02,12.6,12.91,12.3,12.91,56395
2021-11-03,12.98,13.225,12.35,13.16,66235
2021-11-04,13.21,13.49,12.71,12.72,194780
