date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,58.81,59.44,55.0,55.75,2023400,1.0,0.0
2000-01-04,55.0,55.06,51.38,52.75,1955500,1.0,0.0
2000-01-05,52.63,53.94,51.75,52.88,1230300,1.0,0.0
2000-01-06,52.0,54.0,51.88,52.56,1129900,1.0,0.0
2000-01-07,52.94,54.44,52.75,53.75,917100,1.0,0.0
2000-01-10,54.0,55.5,53.81,55.38,1121400,1.0,0.0
2000-01-11,54.63,55.75,53.44,53.88,1047900,1.0,0.0
2000-01-12,53.81,54.19,51.75,52.94,2261100,1.0,0.035
2000-01-13,53.0,53.0,52.0,52.38,1307000,1.0,0.0
2000-01-14,53.0,54.88,52.88,54.13,2269700,1.0,0.0
2000-01-18,54.75,54.75,52.88,53.25,1155300,1.0,0.0
2000-01-19,53.5,53.69,52.75,52.88,1125700,1.0,0.0
2000-01-20,52.88,52.94,49.0,50.75,2999300,1.0,0.0
2000-01-21,50.63,50.69,46.69,47.38,3900000,1.0,0.0
2000-01-24,47.5,48.88,46.19,46.75,2165000,1.0,0.0
2000-01-25,47.0,47.19,45.0,46.0,2283400,1.0,0.0
2000-01-26,45.75,47.0,44.25,46.63,2747900,1.0,0.0
2000-01-27,46.75,46.94,45.06,45.81,2376700,1.0,0.0
2000-01-28,45.63,45.69,43.31,44.56,1738300,1.0,0.0
2000-01-31,44.69,45.31,43.06,44.63,2493500,1.0,0.0
2000-02-01,44.88,47.5,44.88,47.06,2948000,1.0,0.0
2000-02-02,46.63,48.25,45.81,47.25,2657100,1.0,0.0
2000-02-03,47.5,48.25,46.5,47.13,1493600,1.0,0.0
2000-02-04,47.06,48.81,47.06,48.38,2500200,1.0,0.0
2000-02-07,47.63,47.63,46.69,46.94,1766900,1.0,0.0
2000-02-08,47.0,48.75,45.19,48.44,1683800,1.0,0.0
2000-02-09,48.44,48.44,46.06,46.38,1239200,1.0,0.0
2000-02-10,46.25,46.31,45.19,46.06,948500,1.0,0.0
2000-02-11,46.13,47.0,45.94,46.0,834600,1.0,0.0
2000-02-14,46.06,47.31,45.63,46.81,1009000,1.0,0.0
2000-02-15,46.56,46.75,45.63,46.0,1385000,1.0,0.0
2000-02-16,45.5,45.69,43.44,43.75,1611300,1.0,0.0
2000-02-17,45.19,45.19,41.19,42.5,2781500,1.0,0.0
2000-02-18,42.56,44.44,42.5,43.5,2881900,1.0,0.0
2000-02-22,44.13,45.19,42.25,43.06,2502900,1.0,0.0
2000-02-23,42.75,43.13,41.0,42.56,2322000,1.0,0.0
2000-02-24,43.56,43.56,40.75,40.75,1812000,1.0,0.0
2000-02-25,42.5,42.88,41.38,41.75,1799600,1.0,0.0
2000-02-28,42.38,46.25,41.75,45.69,2595700,1.0,0.0
2000-02-29,47.63,47.94,46.25,47.81,2425100,1.0,0.0
2000-03-01,48.5,48.56,45.63,47.81,2506200,1.0,0.0
2000-03-02,46.88,47.19,45.75,46.0,1469400,1.0,0.0
2000-03-03,46.5,47.44,46.38,47.0,1961000,1.0,0.0
2000-03-06,47.5,47.5,44.5,45.0,1556400,1.0,0.0
2000-03-07,45.5,45.56,41.06,41.63,3415100,1.0,0.0
2000-03-08,42.44,44.81,41.94,43.88,2076800,1.0,0.0
2000-03-09,43.88,47.0,43.31,46.44,1511300,1.0,0.0
2000-03-10,46.38,47.13,45.0,45.0,818100,1.0,0.0
2000-03-13,43.0,44.38,43.0,43.5,1270500,1.0,0.0
2000-03-14,43.75,43.75,42.13,42.38,4197800,1.0,0.0
