date,open,high,low,close,volume
2024-07-17,9.98,9.99,9.96,9.96,11030
2024-07-18,9.98,9.98,9.96,9.96,610936
2024-07-19,9.95,9.95,9.95,9.95,1069
2024-07-22,9.95,9.95,9.95,9.95,936
2024-07-23,9.96,9.96,9.9501,9.9501,1775
2024-07-24,9.9501,9.9501,9.9501,9.9501,11
2024-07-25,9.96,9.98,9.96,9.98,4278
2024-07-26,9.98,9.98,9.98,9.98,13
2024-07-29,9.9823,9.9823,9.9823,9.9823,1164
2024-07-30,9.98,9.9821,9.97,9.98,19712
2024-07-31,9.97,9.98,9.96,9.98,291385
2024-08-01,9.99,9.99,9.99,9.99,710
2024-08-02,9.99,9.99,9.99,9.99,0
2024-08-05,9.96,9.96,9.96,9.96,301
2024-08-06,9.96,9.96,9.96,9.96,2
2024-08-07,9.97,9.97,9.97,9.97,325050
2024-08-08,9.99,10.005,9.99,9.99,509703
2024-08-09,9.99,9.99,9.97,9.98,109961
2024-08-12,9.98,9.98,9.975,9.975,21098
2024-08-13,9.97,9.985,9.97,9.985,140710
2024-08-14,9.98,9.985,9.98,9.985,9459
2024-08-15,9.98,10.0,9.98,9.99,857001
2024-08-16,9.99,9.99,9.99,9.99,175
2024-08-19,9.99,9.99,9.99,9.99,32
2024-08-20,9.99,9.99,9.99,9.99,118
2024-08-21,9.987,9.987,9.98,9.98,719
2024-08-22,9.99,9.99,9.99,9.99,3477
2024-08-23,9.99,9.99,9.99,9.99,332
2024-08-26,9.99,9.99,9.99,9.99,32
2024-08-27,9.99,9.99,9.96,9.96,277907
2024-08-28,9.96,9.97,9.96,9.96,20042
2024-08-29,9.97,9.97,9.965,9.97,11575
2024-08-30,9.97,9.98,9.97,9.98,31794
2024-09-03,9.98,9.98,9.97,9.97,56921
2024-09-04,9.98,9.99,9.975,9.98,238675
2024-09-05,9.98,10.0,9.97,9.98,58529
2024-09-06,9.98,9.985,9.98,9.98,23550
2024-09-09,9.99,9.99,9.98,9.98,217173
2024-09-10,9.98,9.98,9.975,9.98,31409
2024-09-11,9.98,10.0,9.975,9.98,37104
2024-09-12,9.97,9.98,9.97,9.98,712975
2024-09-13,9.97,9.97,9.97,9.97,4193
2024-09-16,9.97,9.97,9.97,9.97,0
2024-09-17,9.99,9.99,9.99,9.99,986
2024-09-18,9.9793,9.99,9.9793,9.99,6717
2024-09-19,9.99,9.99,9.99,9.99,88
2024-09-20,9.98,9.98,9.98,9.98,553
2024-09-23,10.0,10.0,10.0,10.0,106
2024-09-24,9.9737,9.9737,9.9737,9.9737,1500
2024-09-25,9.9801,9.99,9.98,9.985,31939
2024-09-26,9.99,9.99,9.99,9.99,90004
2024-09-27,9.99,9.99,9.99,9.99,105
2024-09-30,9.9913,9.995,9.99,9.995,62917
2024-10-01,9.995,9.995,9.995,9.995,273
2024-10-02,10.0,10.0,10.0,10.0,11090
2024-10-03,10.0,10.0,10.0,10.0,25031
2024-10-04,10.02,10.03,10.02,10.03,13912
2024-10-07,10.03,10.03,10.03,10.03,82
2024-10-08,10.03,10.03,10.03,10.03,3
2024-10-09,10.03,10.03,10.02,10.03,50452
2024-10-10,9.98,10.01,9.96,9.96,3686
2024-10-11,9.95,9.95,9.95,9.95,3967
2024-10-14,9.98,9.98,9.98,9.98,2820
2024-10-15,9.982,9.982,9.98,9.98,1381
2024-10-16,9.98,9.98,9.98,9.98,20
2024-10-17,9.98,9.98,9.98,9.98,19
2024-10-18,9.98,9.98,9.98,9.98,77
2024-10-21,9.9876,9.99,9.9876,9.99,53774
2024-10-22,9.99,9.99,9.99,9.99,1
