date,open,high,low,close,volume
2014-07-17,2.0,2.09,1.86,1.97,12999
2014-07-18,1.68,1.88,1.68,1.88,4562
2014-07-21,1.9,2.01,1.8,2.01,26750
2014-07-22,2.1,2.1,1.8,1.8,23371
2014-07-23,1.8,2.12,1.5,1.58,10731
2014-07-24,1.5,1.5,1.15,1.3,9752
2014-07-25,1.41,1.49,1.41,1.45,7895
2014-07-28,1.26,1.45,1.26,1.45,2175
2014-07-29,1.46,1.46,1.44,1.44,5920
2014-07-30,1.45,1.8,1.45,1.8,8883
2014-07-31,1.8,2.2,1.8,1.85,19215
2014-08-01,1.85,2.0,1.85,1.89,5284
2014-08-04,1.89,2.39,1.89,2.39,1625
2014-08-05,2.39,2.45,2.39,2.45,16370
2014-08-06,2.5,5.0,2.5,3.0,71110
2014-08-07,3.0,3.0,2.75,2.75,5032
2014-08-08,2.5,2.85,2.5,2.75,9119
2014-08-11,2.8,3.1,2.8,2.85,2592
2014-08-12,2.85,2.85,2.8,2.85,15966
2014-08-13,2.54,2.84,2.54,2.84,700
2014-08-14,2.83,2.84,2.83,2.84,700
2014-08-18,2.49,2.5,2.49,2.5,6200
2014-08-19,2.5,2.5,2.5,2.5,100
2014-08-20,2.49,2.49,2.49,2.49,300
2014-08-21,2.5,2.5,2.5,2.5,2574
2014-08-22,2.49,2.49,2.49,2.49,1600
2014-08-25,2.49,2.49,2.49,2.49,0
2014-08-26,2.25,2.35,2.25,2.35,980
2014-08-27,2.3,2.3,2.3,2.3,400
2014-08-28,2.3,2.3,2.3,2.3,0
2014-08-29,2.3,2.3,2.3,2.3,0
2014-09-02,2.4,2.64,2.4,2.64,250
2014-09-03,2.4,2.64,2.4,2.64,0
2014-09-04,2.375,2.51,2.375,2.51,1250
2014-09-05,2.44,2.44,2.26,2.4,750
2014-09-08,2.44,2.44,2.26,2.4,0
2014-09-11,2.08,2.08,1.9,1.98,4195
2014-09-12,2.14,2.24,2.14,2.24,925
2014-09-17,2.05,2.05,2.0,2.0,880
2014-09-18,1.94,1.99,1.85,1.85,5300
2014-09-19,1.94,1.99,1.85,1.85,0
2014-09-22,1.94,1.99,1.85,1.85,0
2014-09-23,1.94,1.99,1.85,1.85,0
2014-09-24,1.94,1.99,1.85,1.85,0
2014-09-25,2.32,2.32,2.32,2.32,240
2014-09-26,2.32,2.32,2.32,2.32,0
2014-09-29,2.32,2.32,2.32,2.32,0
2014-09-30,2.0,2.0,2.0,2.0,1380
2014-10-01,2.0,2.0,1.8,1.8,6316
2014-10-02,1.93,2.0,1.93,2.0,6519
2014-10-03,1.93,2.0,1.93,2.0,0
2014-10-06,2.0,2.0,2.0,2.0,2000
2014-10-07,2.0,2.0,2.0,2.0,0
2014-10-08,2.0,2.0,2.0,2.0,0
2014-10-09,2.0,2.0,2.0,2.0,0
2014-10-10,2.0,2.0,2.0,2.0,0
2014-10-13,1.81,1.82,1.81,1.82,800
2014-10-14,1.81,1.82,1.81,1.82,0
2014-10-15,1.81,1.82,1.81,1.82,0
2014-10-16,1.88,1.88,1.84,1.84,2700
2014-10-17,1.88,1.88,1.84,1.84,0
2014-10-20,2.0,2.0,1.8,1.8,3095
2014-10-21,2.5,2.75,2.2,2.25,8551
2014-10-22,2.329,2.35,2.0,2.15,6444
2014-10-23,2.329,2.35,2.0,2.15,0
2014-10-24,2.329,2.35,2.0,2.15,0
2014-10-27,2.329,2.35,2.0,2.15,0
2014-10-28,2.0,2.15,2.0,2.01,1705
2014-10-29,2.01,2.1,2.0,2.0,1580
2014-10-30,2.0,2.1,2.0,2.1,800
2014-10-31,2.0,2.1,2.0,2.1,1120
2014-11-03,2.1,2.1,2.1,2.1,1500
2014-11-04,2.09,2.09,2.0,2.0,2789
2014-11-05,2.05,2.05,2.0,2.0,3342
2014-11-06,2.0,2.0,2.0,2.0,255
2014-11-07,2.01,2.01,2.0,2.0,2512
2014-11-10,2.0,2.0,2.0,2.0,1225
2014-11-11,2.0,2.0,2.0,2.0,400
2014-11-12,2.0,2.0,2.0,2.0,1650
2014-11-13,2.0,2.0,2.0,2.0,736
2014-11-14,2.0,2.0,2.0,2.0,0
2014-11-17,1.99,1.99,1.99,1.99,637
2014-11-18,2.01,2.01,1.87,1.87,1979
2014-11-19,1.98,1.98,1.98,1.98,500
2014-11-20,1.98,1.98,1.87,1.89,1550
2014-11-21,1.89,1.89,1.89,1.89,1000
2014-11-24,1.88,1.98,1.88,1.97,1400
2014-11-25,1.98,1.98,1.87,1.87,2050
2014-11-26,1.98,1.98,1.98,1.98,100
2014-11-28,1.98,1.98,1.98,1.98,0
2014-12-01,1.87,1.98,1.83,1.83,5000
2014-12-02,1.98,1.98,1.945,1.95,2225
2014-12-03,1.98,1.98,1.945,1.95,0
2014-12-04,1.98,1.98,1.945,1.95,0
2014-12-05,1.95,1.95,1.95,1.95,954
2014-12-08,1.95,1.95,1.95,1.95,5000
2014-12-09,1.95,1.95,1.95,1.95,460
2014-12-10,1.95,1.95,1.95,1.95,800
2014-12-11,1.95,1.95,1.95,1.95,0
2014-12-12,1.95,1.95,1.95,1.95,0
2014-12-15,1.95,2.0,1.95,1.95,3031
2014-12-16,1.9,1.9,1.9,1.9,160
2014-12-17,1.9,1.9,1.9,1.9,0
2014-12-18,2.0,2.0,2.0,2.0,1500
2014-12-19,2.0,2.0,2.0,2.0,0
2014-12-22,2.0,2.0,2.0,2.0,237
2014-12-23,1.9,1.9,1.58,1.85,1650
2014-12-24,1.9,1.9,1.58,1.85,0
2014-12-26,1.9,1.9,1.58,1.85,0
2014-12-29,2.0,2.0,2.0,2.0,3075
2014-12-30,2.0,2.0,1.9,1.9,3359
2014-12-31,1.9,1.9,1.9,1.9,100
2015-01-02,1.9,1.9,1.86,1.86,3000
2015-01-05,1.87,1.87,1.87,1.87,1100
2015-01-06,1.87,1.87,1.87,1.87,100
2015-01-07,1.9,2.08,1.85,1.85,28434
2015-01-08,1.85,1.85,1.75,1.79,2025
2015-01-09,1.7,1.7,1.6,1.6,5035
2015-01-12,1.7,1.7,1.56,1.57,1000
2015-01-13,1.6,1.6,1.57,1.57,1825
2015-01-14,1.57,1.7,1.45,1.7,3600
2015-01-15,1.7,1.7,1.5,1.5,2600
2015-01-16,1.6,1.6,1.55,1.55,1619
2015-01-20,1.53,1.53,1.5,1.51,3045
2015-01-21,1.51,1.55,1.51,1.55,3933
2015-01-22,1.51,1.55,1.51,1.55,0
2015-01-23,1.55,1.55,1.5,1.5,12460
2015-01-26,1.55,1.55,1.5,1.5,0
2015-01-27,1.55,1.55,1.5,1.5,0
2015-01-28,1.44,1.44,1.44,1.44,500
2015-01-29,1.44,1.44,1.44,1.44,0
2015-01-30,1.41,1.45,1.0,1.45,3000
2015-02-02,1.45,1.45,1.45,1.45,10727
2015-02-03,1.49,1.5,1.49,1.5,700
2015-02-04,1.5,1.55,1.5,1.55,1697
2015-02-05,1.55,1.55,1.55,1.55,200
2015-02-06,1.55,1.55,1.55,1.55,0
2015-02-09,1.5,1.55,1.5,1.55,4622
2015-02-10,1.55,1.55,1.55,1.55,300
2015-02-11,1.55,1.55,1.55,1.55,0
2015-02-12,1.47,1.5,1.45,1.5,2025
2015-02-13,1.5,1.5,1.5,1.5,1530
2015-02-17,1.4,1.4,1.4,1.4,2010
2015-02-18,1.41,1.45,1.41,1.45,2400
2015-02-19,1.41,1.45,1.41,1.45,0
2015-02-20,1.49,1.49,1.49,1.49,585
2015-02-23,1.49,1.49,1.49,1.49,0
2015-02-24,1.5,1.5,1.5,1.5,728
2015-02-25,1.5,1.5,1.49,1.49,4652
2015-02-26,1.49,1.49,1.49,1.49,494
2015-02-27,1.4905,1.5,1.4,1.49,6564
2015-03-02,1.4905,1.5,1.4,1.49,0
2015-03-03,1.4,1.4,1.4,1.4,250
2015-03-04,1.45,1.45,1.45,1.45,450
2015-03-05,1.5,1.5,1.5,1.5,1663
2015-03-06,1.5,1.5,1.5,1.5,100
2015-03-09,1.5,1.5,1.5,1.5,0
2015-03-10,1.5,1.5,1.45,1.45,750
2015-03-11,1.5,1.5,1.45,1.45,0
2015-03-12,1.5,1.5,1.45,1.45,0
2015-03-13,1.5,1.5,1.5,1.5,700
2015-03-16,1.5,1.5,1.5,1.5,0
2015-03-17,1.45,1.45,1.45,1.45,1400
2015-03-18,1.45,1.45,1.4,1.4,5300
2015-03-19,1.4,1.45,1.4,1.45,900
2015-03-20,1.43,1.43,1.43,1.43,2381
2015-03-23,1.21,1.35,1.21,1.35,1910
2015-03-24,1.25,1.38,1.2,1.38,5450
2015-03-25,1.29,1.29,1.2,1.2,8963
2015-03-26,1.25,1.44,1.11,1.44,11509
2015-03-27,1.25,1.44,1.11,1.44,0
2015-03-30,1.2,1.21,1.11,1.11,1300
2015-03-31,1.2,1.42,1.2,1.35,2500
2015-04-01,1.2,1.42,1.2,1.35,0
2015-04-02,1.34,1.34,1.34,1.34,2500
