date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,22.12,22.12,21.62,21.62,678400,1.0,0.0
2000-01-04,21.62,21.75,20.88,21.0,563300,1.0,0.0
2000-01-05,21.0,21.0,20.38,20.62,639400,1.0,0.0
2000-01-06,20.62,20.88,20.62,20.62,1071400,1.0,0.0
2000-01-07,21.0,21.25,21.0,21.12,1392100,1.0,0.0
2000-01-10,21.12,21.25,21.0,21.12,482100,1.0,0.0
2000-01-11,21.12,21.5,21.12,21.38,828200,1.0,0.0
2000-01-12,21.38,21.5,21.25,21.25,859700,1.0,0.0
2000-01-13,21.38,21.88,21.38,21.62,473900,1.0,0.0
2000-01-14,21.62,21.75,21.38,21.38,369700,1.0,0.0
2000-01-18,21.25,21.25,20.88,20.88,401400,1.0,0.0
2000-01-19,20.88,21.88,20.88,21.25,573000,1.0,0.0
2000-01-20,21.25,21.25,21.0,21.0,516400,1.0,0.0
2000-01-21,21.0,21.38,21.0,21.12,980700,1.0,0.0
2000-01-24,21.12,21.25,20.88,20.88,830500,1.0,0.0
2000-01-25,20.88,21.0,20.25,20.38,1289300,1.0,0.0
2000-01-26,20.25,20.25,19.38,19.38,1037300,1.0,0.0
2000-01-27,19.38,19.75,19.12,19.62,937900,1.0,0.0
2000-01-28,19.5,19.5,19.12,19.12,795000,1.0,0.0
2000-01-31,19.12,19.12,18.88,18.88,901400,1.0,0.0
2000-02-01,18.88,19.62,18.88,19.5,752300,1.0,0.0
2000-02-02,19.5,19.62,19.38,19.5,477600,1.0,0.0
2000-02-03,19.5,20.0,19.38,19.62,660100,1.0,0.0
2000-02-04,19.62,19.62,19.5,19.5,1054000,1.0,0.0
2000-02-07,19.5,19.75,19.5,19.62,380400,1.0,0.0
2000-02-08,19.62,20.12,19.62,19.88,598500,1.0,0.0
2000-02-09,19.88,19.88,19.62,19.62,950700,1.0,0.0
2000-02-10,19.62,19.75,18.88,19.25,970900,1.0,0.0
2000-02-11,19.12,19.12,18.5,18.88,2208100,1.0,0.0
2000-02-14,18.88,19.75,18.88,19.75,1148700,1.0,0.0
2000-02-15,20.12,21.38,20.12,20.38,1389000,1.0,0.0
