date,open,high,low,close,volume
2025-07-24,17.0,17.24,16.25,17.0,10941427
2025-07-25,16.94,17.25,16.76,16.81,1618192
2025-07-28,16.93,17.09,16.5,16.58,1054380
2025-07-29,16.77,16.8,16.0,16.35,1110901
2025-07-30,16.5,16.67,16.0,16.0,3618490
2025-07-31,16.0,16.45,15.92,16.09,1146959
2025-08-01,15.91,16.165,15.16,15.32,1236790
2025-08-04,15.32,15.73,15.0,15.24,898982
2025-08-05,15.0,15.07,13.4,13.41,2201517
2025-08-06,13.08,13.51,12.55,13.19,3115478
2025-08-07,13.14,13.24,12.71,12.95,1071122
2025-08-08,13.02,13.405,12.59,13.31,737199
2025-08-11,13.36,13.48,12.75,13.01,590610
2025-08-12,12.84,13.365,12.84,13.23,451851
2025-08-13,13.13,14.16,13.13,14.13,799025
2025-08-14,13.92,14.005,13.3,13.31,620805
2025-08-15,13.27,13.49,13.11,13.35,294193
2025-08-18,13.76,14.75,13.75,14.5,1290569
2025-08-19,14.58,14.8811,14.27,14.6,855276
2025-08-20,14.51,15.52,14.31,15.21,706846
2025-08-21,15.04,15.71,14.99,15.35,582439
2025-08-22,15.35,15.98,14.3,14.6,836604
2025-08-25,14.84,14.965,14.0,14.46,510967
2025-08-26,14.5,14.9,14.21,14.89,248499
2025-08-27,15.0,15.47,14.71,15.45,330747
2025-08-28,15.6,15.71,15.0067,15.16,402456
2025-08-29,15.23,15.28,14.44,14.52,296446
2025-09-02,14.37,14.6,13.92,14.19,395378
2025-09-03,14.16,15.19,14.04,14.92,601417
2025-09-04,14.55,14.9803,14.4442,14.82,194125
2025-09-05,14.84,15.17,14.4,14.99,511628
2025-09-08,14.99,15.27,14.84,15.04,381021
2025-09-09,14.96,15.2,14.525,14.76,273537
2025-09-10,14.69,14.885,14.39,14.46,484323
2025-09-11,14.51,15.53,14.455,15.03,1264787
2025-09-12,14.88,14.99,14.16,14.83,737262
2025-09-15,14.95,15.03,14.28,14.64,640635
2025-09-16,14.73,14.85,14.34,14.36,562256
2025-09-17,14.43,14.615,14.01,14.02,587665
2025-09-18,14.0,14.3,13.76,13.79,526456
2025-09-19,13.69,13.99,13.47,13.54,5108859
2025-09-22,13.5,13.97,13.35,13.97,631011
2025-09-23,13.91,14.025,13.56,13.89,471250
2025-09-24,13.86,14.02,13.56,13.84,547654
2025-09-25,13.72,13.8,13.01,13.29,930521
2025-09-26,13.27,13.77,13.27,13.75,564748
2025-09-29,13.75,13.91,13.48,13.69,787083
2025-09-30,13.6,13.6,12.04,12.55,1748054
2025-10-01,12.56,12.81,12.075,12.08,1421053
2025-10-02,12.0,12.041,11.17,11.7,1723094
2025-10-03,11.78,12.5,11.71,11.99,858247
2025-10-06,12.23,12.42,11.4559,11.72,706028
2025-10-07,11.69,11.82,11.34,11.79,664095
2025-10-08,11.88,12.555,11.83,12.5,587362
2025-10-09,12.49,12.78,12.4,12.46,560725
2025-10-10,12.43,12.55,12.02,12.05,474304
2025-10-13,12.06,12.45,11.9,12.3,476413
2025-10-14,12.16,12.695,12.14,12.6,443307
2025-10-15,12.67,12.845,12.15,12.42,596031
2025-10-16,12.41,12.57,12.145,12.47,290055
2025-10-17,12.57,12.69,12.225,12.5,518579
2025-10-20,12.56,13.07,12.4544,13.0,593363
2025-10-21,13.01,13.16,12.823,13.06,382683
2025-10-22,13.06,13.06,12.53,12.78,324163
2025-10-23,12.78,12.99,12.33,12.62,494930
2025-10-24,12.81,12.9699,12.625,12.7,248478
2025-10-27,12.83,12.83,12.47,12.67,270821
2025-10-28,12.56,12.7,12.23,12.35,246258
2025-10-29,12.31,12.31,10.96,11.2,817934
2025-10-30,11.16,11.37,10.755,10.87,547612
2025-10-31,10.91,11.205,10.75,11.16,488616
2025-11-03,11.03,11.23,10.745,10.9,400025
2025-11-04,10.79,11.05,10.745,10.9,353504
2025-11-05,10.9,11.09,10.85,10.9,322184
2025-11-06,10.9,11.3,10.695,11.24,428149
2025-11-07,11.07,11.63,11.07,11.34,591936
2025-11-10,11.44,11.44,10.95,11.05,381522
2025-11-11,10.94,11.43,10.925,11.37,416026
2025-11-12,13.32,14.135,12.6,14.09,1969684
2025-11-13,14.07,15.03,13.5006,14.97,1327240
2025-11-14,15.03,16.5598,14.62,15.73,1969044
2025-11-17,15.55,15.875,15.04,15.27,667979
2025-11-18,15.31,16.365,14.9862,16.24,875806
2025-11-19,16.6,17.1,16.33,16.89,917363
2025-11-20,16.85,16.96,16.2901,16.63,639866
2025-11-21,16.64,17.0,16.29,16.64,660406
2025-11-24,16.73,17.168,16.38,16.96,641122
2025-11-25,17.09,18.0,16.8342,17.99,694568
2025-11-26,18.0,18.0,17.03,17.13,543737
2025-11-28,17.11,17.63,16.88,17.55,302606
2025-12-01,17.3,17.555,16.95,17.3,252272
2025-12-02,17.32,17.48,16.93,17.02,411111
2025-12-03,17.06,17.8,16.95,17.27,515579
2025-12-04,17.18,17.28,16.25,17.05,1005314
2025-12-05,17.09,17.17,16.66,16.82,306574
2025-12-08,16.86,17.3,16.29,16.68,332492
2025-12-09,16.55,17.08,16.55,16.76,357018
2025-12-10,16.67,17.294,16.495,16.92,414501
2025-12-11,16.93,17.509,16.76,17.2,509429
2025-12-12,17.11,17.46,16.96,17.15,566300
2025-12-15,17.34,17.41,16.86,17.25,463306
2025-12-16,17.3,17.77,17.06,17.07,706686
2025-12-17,17.33,17.345,16.53,16.67,726881
2025-12-18,16.86,17.48,16.86,17.25,492691
2025-12-19,17.16,17.4,16.9701,17.12,1650246
2025-12-22,16.595,17.41,16.595,17.27,488933
2025-12-23,17.26,17.3986,17.03,17.35,365683
2025-12-24,17.46,17.48,17.065,17.15,178669
2025-12-26,17.14,17.23,16.83,16.99,511832
2025-12-29,16.88,17.32,16.61,16.78,612792
2025-12-30,16.83,17.02,16.35,16.49,630227
2025-12-31,16.54,16.7431,16.38,16.5,645175
2026-01-02,16.51,16.655,15.87,16.35,1030519
2026-01-05,16.25,16.96,16.225,16.66,800606
2026-01-06,15.66,16.29,14.45,14.83,1470338
2026-01-07,15.16,15.16,14.59,14.63,856795
2026-01-08,14.51,15.19,14.21,15.01,585757
2026-01-09,15.06,16.0,14.94,15.87,624170
2026-01-12,15.84,16.21,15.545,15.83,478084
2026-01-13,15.77,15.82,15.33,15.35,439495
2026-01-14,15.18,15.44,14.84,15.04,953803
2026-01-15,15.08,15.46,14.74,14.81,560999
2026-01-16,14.68,15.1,14.35,14.5,778562
2026-01-20,14.26,14.54,13.99,14.0,392064
2026-01-21,14.03,14.71,13.74,14.57,787503
2026-01-22,14.72,15.59,14.72,15.09,778703
2026-01-23,15.01,15.69,14.72,15.12,963616
2026-01-26,15.04,15.27,14.58,14.9,369726
2026-01-27,14.92,15.02,14.65,14.81,366519
2026-01-28,14.97,15.21,14.59,14.59,332954
2026-01-29,14.64,14.92,14.4,14.83,486731
2026-01-30,14.66,14.84,14.46,14.75,313068
2026-02-02,14.75,15.08,14.58,14.59,377997
2026-02-03,14.52,14.52,12.975,13.05,1017315
2026-02-04,13.01,13.2,12.3,12.57,739422
2026-02-05,12.5,12.7066,12.03,12.13,392587
2026-02-06,12.25,12.78,12.04,12.62,691673
2026-02-09,12.56,12.89,12.02,12.71,621328
2026-02-10,12.77,13.33,12.71,13.0,558953
2026-02-11,12.57,12.895,12.08,12.34,1107387
2026-02-12,14.95,15.9,14.24,14.31,4079182
2026-02-13,14.5,14.839,13.67,13.67,902034
2026-02-17,13.71,14.27,13.34,13.84,1051358
2026-02-18,13.79,14.12,13.4,13.57,327592
2026-02-19,13.55,13.73,13.27,13.27,425694
2026-02-20,14.16,14.36,13.66,13.71,638252
2026-02-23,13.53,13.53,12.96,13.11,456524
2026-02-24,13.15,13.555,13.01,13.24,333813
2026-02-25,13.28,13.29,12.88,13.14,267956
2026-02-26,13.25,13.6,12.7328,13.53,372218
2026-02-27,13.26,14.06,13.16,14.0,544077
2026-03-02,13.58,14.35,13.58,14.06,490565
2026-03-03,13.83,14.35,13.775,14.28,517113
2026-03-04,14.49,14.835,14.06,14.12,894160
2026-03-05,14.15,14.67,13.965,14.34,702087
2026-03-06,14.28,14.3151,13.85,14.19,276658
2026-03-09,14.15,14.19,13.835,13.91,420628
2026-03-10,13.81,14.225,13.35,14.14,364612
2026-03-11,14.17,14.3,13.735,14.07,231457
2026-03-12,13.86,14.18,13.81,13.84,278973
2026-03-13,13.98,14.32,13.55,13.59,351308
2026-03-16,13.75,13.83,13.39,13.61,261612
2026-03-17,13.71,14.14,13.62,13.66,360984
2026-03-18,13.54,13.66,13.09,13.56,412262
2026-03-19,13.6,13.935,13.44,13.57,355450
2026-03-20,13.46,13.46,13.04,13.26,990821
2026-03-23,13.64,13.94,13.435,13.9,227465
2026-03-24,13.78,13.95,13.62,13.67,232730
2026-03-25,13.83,14.07,13.38,13.61,381926
2026-03-26,13.53,14.0,13.455,13.49,574837
2026-03-27,13.39,13.39,12.86,13.06,285543
2026-03-30,13.09,13.3,12.86,13.26,464965
2026-03-31,13.44,13.9,13.26,13.7,547670
2026-04-01,13.83,14.15,13.35,13.78,672691
2026-04-02,13.57,13.87,13.145,13.73,207593
2026-04-06,13.7,14.07,13.69,14.01,173825
2026-04-07,13.95,13.96,13.46,13.46,158815
2026-04-08,14.08,14.08,13.52,13.62,331053
2026-04-09,13.45,13.785,13.05,13.74,253248
