date,open,high,low,close,volume
2000-01-03,27.0,27.25,26.37,27.0,19230
2000-01-04,26.87,27.13,26.5,26.69,7585
2000-01-05,26.56,26.56,25.69,25.88,10667
2000-01-06,25.88,26.5,25.81,26.5,9985
2000-01-07,27.25,27.63,27.0,27.25,59230
2000-01-10,27.5,27.56,26.87,26.87,19378
2000-01-11,26.75,27.13,26.63,26.94,14785
2000-01-12,26.81,26.87,26.5,26.87,5630
2000-01-13,26.94,27.13,26.5,26.5,29067
2000-01-14,26.63,26.63,26.19,26.19,4267
2000-01-18,26.0,26.06,25.75,25.88,13363
2000-01-19,26.0,26.0,25.75,25.88,4000
2000-01-20,25.88,25.88,24.25,24.25,24000
2000-01-21,24.56,24.87,24.13,24.63,18430
2000-01-24,24.75,24.87,24.44,24.44,9244
2000-01-25,24.37,24.5,24.13,24.25,3763
2000-01-26,24.13,24.94,23.87,24.44,12800
2000-01-27,24.25,24.25,21.94,22.13,33067
2000-01-28,22.0,22.0,20.0,20.0,29067
2000-01-31,20.12,20.25,19.69,19.69,13244
2000-02-01,19.69,19.69,19.06,19.37,19644
2000-02-02,19.5,19.88,19.37,19.37,37363
2000-02-03,19.44,19.5,19.25,19.25,7585
2000-02-04,19.37,20.0,19.37,20.0,10785
2000-02-07,19.75,19.75,18.87,18.94,56267
2000-02-08,18.87,18.94,17.5,17.69,42252
2000-02-09,17.75,17.75,16.56,16.88,27052
2000-02-10,17.0,17.38,16.5,16.5,34963
2000-02-11,17.12,17.5,16.37,16.37,101363
2000-02-14,16.63,17.25,16.63,17.25,49630
2000-02-15,17.38,17.38,16.5,16.5,34844
2000-02-16,16.75,16.88,16.25,16.37,34430
2000-02-17,16.63,16.63,15.94,16.5,62400
2000-02-18,16.5,16.5,15.25,15.75,26400
2000-02-22,16.0,16.5,15.75,16.25,10578
2000-02-23,16.37,16.5,15.69,15.87,13600
2000-02-24,15.94,16.44,15.0,15.0,25185
2000-02-25,14.75,15.25,14.75,14.94,39763
2000-02-28,15.0,15.87,14.75,15.63,58667
2000-02-29,16.0,18.37,15.87,17.88,38400
