date,open,high,low,close,volume,splitfactor,divcash
2012-10-26,25.5,27.68,25.35,27.2,14401300,1.0,0.0
2012-10-31,27.1,27.73,26.01,27.25,705200,1.0,0.0
2012-11-01,27.5,27.5,26.5,26.69,343700,1.0,0.0
2012-11-02,26.5,27.06,26.06,27.06,430700,1.0,0.0
2012-11-05,27.06,27.44,26.8,27.0,383900,1.0,0.0
2012-11-06,26.5,28.3,26.5,27.53,264700,1.0,0.0
2012-11-07,27.12,27.5,26.75,27.22,235300,1.0,0.0
2012-11-08,27.03,27.35,26.86,27.0,185300,1.0,0.0
2012-11-09,26.51,27.67,26.5,27.44,185800,1.0,0.0
2012-11-12,27.61,27.89,27.41,27.46,185200,1.0,0.0
2012-11-13,27.4,27.68,26.67,27.39,543700,1.0,0.0
2012-11-14,27.37,27.49,26.82,26.89,203500,1.0,0.0
2012-11-15,26.52,27.02,26.5,26.92,136400,1.0,0.0
2012-11-16,26.83,27.45,26.54,27.18,256700,1.0,0.0
2012-11-19,27.5,27.66,26.88,27.05,155600,1.0,0.0
2012-11-20,27.25,27.57,26.86,27.0,262800,1.0,0.0
2012-11-21,26.77,27.25,26.77,26.9,130100,1.0,0.0
2012-11-23,27.17,27.17,26.7501,26.97,11000,1.0,0.0
2012-11-26,27.0,27.3,26.63,27.2,837800,1.0,0.0
2012-11-27,26.71,27.44,26.71,27.4,105600,1.0,0.0
2012-11-28,27.18,28.24,27.14,28.03,243800,1.0,0.0
2012-11-29,27.97,29.15,27.97,28.69,163100,1.0,0.0
2012-11-30,28.6,28.9,28.2701,28.86,56700,1.0,0.0
2012-12-03,28.9,30.05,28.526,29.9,171800,1.0,0.0
2012-12-04,29.74,30.07,29.5,29.56,147400,1.0,0.0
2012-12-05,30.0,30.0,29.34,29.36,73100,1.0,0.0
2012-12-06,29.16,29.59,28.74,29.34,54400,1.0,0.0
2012-12-07,30.36,30.68,29.75,30.15,191000,1.0,0.0
2012-12-10,30.75,30.8578,29.82,30.49,112200,1.0,0.0
2012-12-11,30.44,31.41,30.44,31.3,15345,1.0,0.0
2012-12-12,31.3,31.99,31.02,31.31,99300,1.0,0.0
2012-12-13,31.27,31.99,30.0,30.96,133100,1.0,0.0
2012-12-14,30.83,31.27,30.39,30.71,93800,1.0,0.0
2012-12-17,30.64,30.9999,30.36,30.6,58600,1.0,0.0
2012-12-18,30.39,31.0,30.26,30.69,130800,1.0,0.0
2012-12-19,30.6,30.94,30.43,30.73,110900,1.0,0.0
2012-12-20,30.58,30.81,30.2,30.432,151900,1.0,0.0
2012-12-21,30.37,30.77,29.725,30.57,173500,1.0,0.0
2012-12-24,30.5,30.83,30.21,30.21,15600,1.0,0.0
2012-12-26,30.32,30.52,30.07,30.33,59300,1.0,0.0
2012-12-27,30.33,30.71,30.08,30.59,45600,1.0,0.0
2012-12-28,30.5,30.59,29.91,30.25,45000,1.0,0.0
2012-12-31,30.09,31.34,29.7,31.19,221900,1.0,0.0
2013-01-02,31.6,33.0,31.48,32.85,126000,1.0,0.0
2013-01-03,32.88,33.39,31.96,32.6,108800,1.0,0.0
2013-01-04,32.73,33.3789,32.12,32.25,110000,1.0,0.0
2013-01-07,32.01,33.01,32.0,32.04,75300,1.0,0.0
2013-01-08,32.45,32.95,32.12,32.36,83700,1.0,0.0
2013-01-09,32.39,32.83,32.12,32.31,39100,1.0,0.0
2013-01-10,32.39,32.51,32.14,32.34,118000,1.0,0.0
2013-01-11,32.34,33.05,32.04,32.43,93100,1.0,0.0
2013-01-14,32.55,32.6,32.08,32.18,52900,1.0,0.0
2013-01-15,32.24,32.75,32.17,32.64,94400,1.0,0.0
2013-01-16,32.64,33.52,32.48,33.3,251900,1.0,0.0
2013-01-17,33.5,34.13,32.92,32.93,143900,1.0,0.0
2013-01-18,33.08,33.309,31.65,32.2,191200,1.0,0.0
2013-01-22,32.2,33.6999,32.2,32.86,85400,1.0,0.0
2013-01-23,32.64,33.7,32.32,32.92,92700,1.0,0.0
2013-01-24,32.85,34.251,32.85,33.05,90600,1.0,0.0
2013-01-25,33.23,33.585,33.04,33.1,83100,1.0,0.0
2013-01-28,33.2,33.99,33.02,33.89,94800,1.0,0.0
2013-01-29,33.88,33.9,33.27,33.37,79400,1.0,0.0
2013-01-30,33.3,34.6,33.04,34.25,177200,1.0,0.0
2013-01-31,33.16,35.73,33.09,34.42,153700,1.0,0.1769
2013-02-01,34.73,36.28,34.73,35.56,185400,1.0,0.0
2013-02-04,35.37,35.67,34.86,34.92,58500,1.0,0.0
2013-02-05,35.09,35.1,34.85,34.89,25000,1.0,0.0
2013-02-06,34.8,34.9999,34.1,34.27,146400,1.0,0.0
2013-02-07,34.27,34.37,34.01,34.26,113500,1.0,0.0
2013-02-08,34.29,34.84,34.26,34.42,24600,1.0,0.0
2013-02-11,34.92,36.39,34.85,35.21,168700,1.0,0.0
2013-02-12,35.27,35.95,35.27,35.71,60200,1.0,0.0
2013-02-13,35.98,36.24,35.7701,35.95,62800,1.0,0.0
2013-02-14,35.95,37.04,35.31,35.5,122200,1.0,0.0
2013-02-15,35.8,35.98,35.0,35.14,75800,1.0,0.0
2013-02-19,35.46,36.5,35.35,36.32,122600,1.0,0.0
2013-02-20,36.36,36.49,35.0,35.01,83600,1.0,0.0
2013-02-21,35.0,35.02,33.51,34.26,141900,1.0,0.0
2013-02-22,34.25,34.773,33.51,33.73,118700,1.0,0.0
2013-02-25,33.86,33.92,33.45,33.53,61000,1.0,0.0
2013-02-26,33.6,33.75,32.7,33.15,263800,1.0,0.0
2013-02-27,33.11,33.339,32.12,32.97,223300,1.0,0.0
2013-02-28,32.86,33.17,32.56,32.69,174300,1.0,0.0
2013-03-01,32.78,32.98,32.53,32.88,95300,1.0,0.0
2013-03-04,33.0,33.88,33.0,33.42,127600,1.0,0.0
2013-03-05,33.7,34.69,33.5,34.55,412700,1.0,0.0
2013-03-06,34.66,35.42,34.0,35.3,474100,1.0,0.0
2013-03-07,35.42,36.66,35.02,36.6,597400,1.0,0.0
2013-03-08,36.62,38.12,36.48,37.51,292500,1.0,0.0
2013-03-11,37.4,38.61,36.75,37.9,366400,1.0,0.0
2013-03-12,38.0,38.0,37.26,37.93,444800,1.0,0.0
2013-03-13,37.82,38.205,36.93,37.22,235300,1.0,0.0
2013-03-14,37.12,37.12,36.27,36.63,308100,1.0,0.0
2013-03-15,36.54,36.54,34.97,36.36,424600,1.0,0.0
2013-03-18,35.88,36.24,35.115,36.0,199400,1.0,0.0
2013-03-19,36.22,36.53,35.69,36.14,228600,1.0,0.0
2013-03-20,36.54,37.15,36.16,37.01,145400,1.0,0.0
2013-03-21,36.81,37.9,36.57,37.04,224800,1.0,0.0
2013-03-22,37.05,37.61,36.85,37.6,81300,1.0,0.0
2013-03-25,37.9,37.9,37.46,37.69,67600,1.0,0.0
2013-03-26,38.04,38.04,37.252,37.7,103700,1.0,0.0
2013-03-27,37.51,37.93,37.0,37.26,67500,1.0,0.0
2013-03-28,37.35,37.52,36.9501,37.45,123000,1.0,0.0
2013-04-01,37.47,37.95,37.41,37.7,60300,1.0,0.0
2013-04-02,37.96,38.16,37.36,37.71,63600,1.0,0.0
2013-04-03,37.7,37.7,35.9409,36.39,98800,1.0,0.0
2013-04-04,36.45,36.51,35.97,36.05,108700,1.0,0.0
2013-04-05,35.95,36.0,34.74,35.09,335800,1.0,0.0
2013-04-08,35.09,36.48,35.001,36.3,69800,1.0,0.0
2013-04-09,36.56,36.89,36.43,36.68,70000,1.0,0.0
2013-04-10,36.82,36.885,36.25,36.32,59600,1.0,0.0
2013-04-11,36.25,36.87,35.3,36.57,96300,1.0,0.0
2013-04-12,36.37,37.06,35.93,36.82,82900,1.0,0.0
2013-04-15,36.54,36.58,34.7,35.38,169800,1.0,0.0
2013-04-16,35.87,36.45,34.5,35.02,125400,1.0,0.0
2013-04-17,34.94,35.085,34.51,34.88,97100,1.0,0.0
2013-04-18,34.85,36.22,34.85,35.75,33300,1.0,0.0
2013-04-19,35.88,36.415,35.57,35.75,61700,1.0,0.0
2013-04-22,35.75,36.274,35.64,36.18,10000,1.0,0.0
2013-04-23,36.05,36.49,35.9,36.38,47900,1.0,0.0
2013-04-24,36.22,38.46,36.22,38.19,248100,1.0,0.0
2013-04-25,38.19,39.16,38.19,38.88,115600,1.0,0.0
2013-04-26,38.6,39.315,38.54,38.7,129600,1.0,0.0
2013-04-29,38.98,39.22,37.27,39.1,367500,1.0,0.0
2013-04-30,39.0,39.2378,37.65,38.27,166100,1.0,0.0
2013-05-01,38.13,38.13,36.39,36.99,147900,1.0,0.0
2013-05-02,37.07,38.06,36.55,36.64,82000,1.0,0.0
2013-05-03,36.64,38.08,35.12,37.92,175500,1.0,0.0
2013-05-06,37.8,38.646,37.05,38.31,77000,1.0,0.0
2013-05-07,38.43,38.55,37.92,38.14,57200,1.0,0.0
2013-05-08,38.05,38.25,37.1774,37.27,5600,1.0,0.2725
2013-05-09,37.15,37.59,37.0,37.02,214500,1.0,0.0
2013-05-10,36.94,37.08,36.0,36.63,122900,1.0,0.0
2013-05-13,36.75,36.8,36.26,36.5,119300,1.0,0.0
2013-05-14,36.68,36.68,36.11,36.5,181900,1.0,0.0
2013-05-15,36.34,36.68,36.25,36.68,82000,1.0,0.0
2013-05-16,36.75,37.9899,36.75,37.62,47500,1.0,0.0
2013-05-17,37.81,37.85,36.9226,37.27,278500,1.0,0.0
2013-05-20,37.37,38.21,37.15,38.08,21000,1.0,0.0
2013-05-21,38.13,39.08,38.13,38.53,50600,1.0,0.0
2013-05-22,38.5,38.79,38.2,38.53,51900,1.0,0.0
2013-05-23,38.39,39.61,38.15,39.2,36600,1.0,0.0
2013-05-24,39.25,39.69,38.52,38.63,44100,1.0,0.0
2013-05-28,38.76,38.87,37.88,37.91,61500,1.0,0.0
2013-05-29,37.73,39.0,37.402,38.97,43800,1.0,0.0
2013-05-30,38.99,39.45,36.5,38.18,183300,1.0,0.0
2013-05-31,38.0,38.75,36.7719,37.13,77000,1.0,0.0
2013-06-03,36.98,37.62,36.21,36.75,129000,1.0,0.0
2013-06-04,36.97,36.97,35.0,35.21,463300,1.0,0.0
2013-06-05,35.01,35.1399,34.4,35.0,174900,1.0,0.0
2013-06-06,35.53,35.53,34.52,34.57,241900,1.0,0.0
2013-06-07,34.67,36.249,34.67,36.0,90400,1.0,0.0
2013-06-10,36.1,38.319,35.82,37.98,92500,1.0,0.0
2013-06-11,37.57,37.84,36.86,37.66,125100,1.0,0.0
2013-06-12,37.31,37.31,35.68,37.25,93000,1.0,0.0
2013-06-13,37.08,38.5325,36.735,37.6,177600,1.0,0.0
2013-06-14,37.98,38.67,37.68,37.82,260200,1.0,0.0
2013-06-17,38.08,39.24,38.06,38.72,193100,1.0,0.0
2013-06-18,38.93,39.5,38.3,38.93,260000,1.0,0.0
2013-06-19,38.4,39.17,38.1,38.98,191600,1.0,0.0
2013-06-20,38.99,39.0,37.37,38.36,190500,1.0,0.0
2013-06-21,38.21,38.77,35.9,36.76,876200,1.0,0.0
2013-06-24,36.45,36.62,35.77,36.55,148300,1.0,0.0
2013-06-25,36.6,36.91,36.0,36.22,77800,1.0,0.0
2013-06-26,36.5,37.67,36.5,37.2,66400,1.0,0.0
2013-06-27,37.22,37.549,36.698,37.24,66500,1.0,0.0
2013-06-28,37.02,37.2,36.17,36.81,143700,1.0,0.0
2013-07-01,37.12,37.45,36.81,36.85,40700,1.0,0.0
2013-07-02,37.01,37.45,36.327,36.64,38200,1.0,0.0
2013-07-03,36.75,37.0499,36.395,36.79,484100,1.0,0.0
2013-07-05,37.12,37.24,36.83,36.9,19500,1.0,0.0
2013-07-08,36.85,37.62,36.4801,37.33,166500,1.0,0.0
2013-07-09,37.24,37.4999,36.81,36.99,28000,1.0,0.0
2013-07-10,37.0,37.32,36.9698,37.2,22800,1.0,0.0
2013-07-11,37.43,37.7,37.28,37.49,35100,1.0,0.0
2013-07-12,37.49,38.04,37.19,37.61,31900,1.0,0.0
2013-07-15,37.5,38.0,37.5,37.73,73600,1.0,0.0
2013-07-16,37.69,37.94,36.77,37.5,44400,1.0,0.0
2013-07-17,37.54,37.9299,36.77,37.03,92800,1.0,0.0
2013-07-18,37.35,37.35,36.77,36.95,112900,1.0,0.0
2013-07-19,37.0,37.5,36.67,36.97,110500,1.0,0.0
2013-07-22,36.92,37.47,36.72,36.83,103000,1.0,0.0
2013-07-23,36.99,37.6,36.69,36.77,183400,1.0,0.0
2013-07-24,36.77,36.85,36.2657,36.36,26500,1.0,0.0
2013-07-25,36.36,36.52,36.15,36.3,22200,1.0,0.0
2013-07-26,36.35,37.07,36.35,36.84,27500,1.0,0.0
2013-07-29,36.95,37.09,36.33,36.7,101200,1.0,0.0
2013-07-30,36.67,36.919,36.07,36.08,68200,1.0,0.0
2013-07-31,36.01,36.12,35.21,35.75,113200,1.0,0.285
2013-08-01,35.5,36.03,35.21,35.39,124500,1.0,0.0
2013-08-02,35.5,36.2,35.06,35.14,70700,1.0,0.0
2013-08-05,35.27,35.775,34.81,35.08,64000,1.0,0.0
2013-08-06,34.97,35.23,34.82,34.85,23800,1.0,0.0
2013-08-07,34.95,36.29,34.51,35.95,48100,1.0,0.0
2013-08-08,36.23,37.09,35.71,36.79,57600,1.0,0.0
2013-08-09,36.96,37.71,36.64,37.1,35500,1.0,0.0
2013-08-12,37.01,38.54,37.01,37.77,18100,1.0,0.0
2013-08-13,37.99,38.294,36.32,36.55,35700,1.0,0.0
2013-08-14,36.66,37.14,35.45,35.95,88400,1.0,0.0
2013-08-15,35.57,36.09,35.49,35.6,67600,1.0,0.0
2013-08-16,35.45,35.9,34.83,34.88,86100,1.0,0.0
2013-08-19,34.9,35.262,34.56,34.78,42900,1.0,0.0
2013-08-20,34.75,36.0,34.66,35.42,110800,1.0,0.0
2013-08-21,35.53,35.93,35.19,35.57,48800,1.0,0.0
2013-08-22,35.29,36.5,35.095,35.55,85600,1.0,0.0
2013-08-23,35.45,35.79,35.1,35.13,58200,1.0,0.0
2013-08-26,35.25,35.64,35.0,35.08,39100,1.0,0.0
2013-08-27,35.06,35.35,34.75,34.8,49600,1.0,0.0
2013-08-28,34.95,35.46,34.95,35.18,21200,1.0,0.0
2013-08-29,35.23,35.57,35.0,35.09,19100,1.0,0.0
2013-08-30,34.98,36.16,34.98,35.7,23800,1.0,0.0
2013-09-03,35.68,36.13,35.1,35.3,89000,1.0,0.0
2013-09-04,35.18,35.37,35.07,35.11,40200,1.0,0.0
2013-09-05,35.25,35.45,34.95,34.98,32200,1.0,0.0
2013-09-06,35.05,35.85,34.98,35.17,52800,1.0,0.0
2013-09-09,35.2,35.27,35.06,35.15,38900,1.0,0.0
2013-09-10,35.22,35.28,35.07,35.14,23100,1.0,0.0
2013-09-11,35.13,36.29,35.095,36.01,88100,1.0,0.0
2013-09-12,36.14,36.64,35.54,36.15,41700,1.0,0.0
2013-09-13,36.37,36.72,35.73,36.01,59200,1.0,0.0
2013-09-16,36.22,36.53,35.91,36.35,35700,1.0,0.0
2013-09-17,36.08,36.46,35.36,35.96,68400,1.0,0.0
2013-09-18,35.83,36.034,35.53,35.81,61600,1.0,0.0
