date,open,high,low,close,volume,splitfactor,divcash
2004-11-19,9.06,9.93,8.5,9.84,3906200,1.0,0.0
2004-11-22,9.9,11.0,9.51,9.62,728000,1.0,0.0
2004-11-23,9.5,9.75,8.76,9.38,505800,1.0,0.0
2004-11-24,9.5,10.0,9.5,9.779,319500,1.0,0.0
2004-11-26,9.3,9.95,9.25,9.8,65600,1.0,0.0
2004-11-29,10.0,10.1,9.46,9.799,130700,1.0,0.0
2004-11-30,9.8,9.99,9.31,9.88,194900,1.0,0.0
2004-12-01,9.5,10.22,9.5,9.99,209800,1.0,0.0
2004-12-02,10.03,11.0,9.97,10.85,337400,1.0,0.0
2004-12-03,10.99,11.35,10.58,11.14,288100,1.0,0.0
2004-12-06,11.39,11.68,11.0,11.13,192600,1.0,0.0
2004-12-07,11.38,11.38,10.64,10.91,195900,1.0,0.0
2004-12-08,10.96,11.2,10.51,10.9,78500,1.0,0.0
2004-12-09,10.8,10.96,10.53,10.81,40900,1.0,0.0
2004-12-10,10.71,10.71,10.15,10.41,86100,1.0,0.0
2004-12-13,10.1,10.97,9.88,10.33,77500,1.0,0.0
2004-12-14,10.85,10.85,10.1,10.23,29800,1.0,0.0
2004-12-15,10.0,10.45,9.9,10.05,191400,1.0,0.0
2004-12-16,9.85,10.18,9.85,10.01,108800,1.0,0.0
2004-12-17,9.9,10.15,9.32,9.5,418100,1.0,0.0
2004-12-20,9.9,9.9,9.04,9.3,173700,1.0,0.0
2004-12-21,9.0,9.755,9.0,9.47,81400,1.0,0.0
2004-12-22,9.37,9.69,9.0,9.61,50000,1.0,0.0
2004-12-23,9.6,9.9,9.59,9.765,29900,1.0,0.0
2004-12-27,9.72,9.79,9.46,9.72,72000,1.0,0.0
2004-12-28,9.63,9.73,9.22,9.5,58200,1.0,0.0
2004-12-29,9.4,9.65,9.4,9.5,80100,1.0,0.0
2004-12-30,9.33,9.61,9.3,9.39,33300,1.0,0.0
2004-12-31,9.39,9.55,9.25,9.3,53000,1.0,0.0
2005-01-03,9.31,9.45,8.8,8.87,91300,1.0,0.0
2005-01-04,8.73,9.05,8.59,8.65,105900,1.0,0.0
2005-01-05,8.62,8.64,8.1,8.3,76500,1.0,0.0
2005-01-06,8.25,8.69,8.15,8.24,29700,1.0,0.0
2005-01-07,8.15,8.575,8.1,8.25,17500,1.0,0.0
2005-01-10,8.16,8.16,7.6,7.8,75600,1.0,0.0
2005-01-11,7.64,7.96,7.15,7.22,52400,1.0,0.0
2005-01-12,7.3,7.3,6.4,6.6,113000,1.0,0.0
2005-01-13,6.77,6.77,6.12,6.23,346100,1.0,0.0
2005-01-14,6.1,6.42,6.06,6.28,109600,1.0,0.0
2005-01-18,6.43,6.43,6.21,6.29,102100,1.0,0.0
2005-01-19,6.42,6.43,6.25,6.34,61000,1.0,0.0
2005-01-20,6.19,6.89,6.19,6.85,112300,1.0,0.0
2005-01-21,6.99,7.79,6.82,7.66,197500,1.0,0.0
2005-01-24,7.49,8.06,7.49,7.92,126400,1.0,0.0
2005-01-25,8.0,8.27,7.5,7.84,124700,1.0,0.0
2005-01-26,7.85,8.0,7.3,7.77,42200,1.0,0.0
2005-01-27,7.58,8.04,7.34,7.66,42200,1.0,0.0
2005-01-28,7.24,8.37,7.24,7.62,68000,1.0,0.0
2005-01-31,7.7,7.75,7.25,7.38,69000,1.0,0.0
2005-02-01,7.29,7.8,7.29,7.5,136100,1.0,0.0
2005-02-02,7.6,7.78,7.33,7.57,83900,1.0,0.0
2005-02-03,7.5,7.52,7.3,7.35,131400,1.0,0.0
2005-02-04,7.37,7.66,7.15,7.57,107600,1.0,0.0
2005-02-07,7.65,7.65,7.15,7.52,92800,1.0,0.0
2005-02-08,7.61,7.62,7.3,7.62,149900,1.0,0.0
2005-02-09,7.65,7.72,7.01,7.09,38400,1.0,0.0
2005-02-10,7.0,7.4,6.9,6.91,18400,1.0,0.0
2005-02-11,6.91,7.61,6.91,7.17,37800,1.0,0.0
2005-02-14,7.45,7.6,7.17,7.52,26900,1.0,0.0
2005-02-15,7.43,7.6,7.25,7.36,35000,1.0,0.0
2005-02-16,7.24,7.61,7.0,7.139,32800,1.0,0.0
2005-02-17,6.89,7.19,6.85,6.96,30400,1.0,0.0
2005-02-18,6.93,7.25,6.25,6.48,165200,1.0,0.0
2005-02-22,6.35,6.82,6.16,6.45,267000,1.0,0.0
2005-02-23,6.29,6.56,6.25,6.36,51800,1.0,0.0
2005-02-24,6.25,6.4,6.2,6.37,64900,1.0,0.0
2005-02-25,6.25,6.7,6.25,6.53,134700,1.0,0.0
2005-02-28,6.96,6.96,6.3,6.39,66000,1.0,0.0
2005-03-01,6.28,6.5,6.27,6.44,45900,1.0,0.0
2005-03-02,6.28,6.5,6.28,6.34,68100,1.0,0.0
2005-03-03,6.67,6.67,6.22,6.38,29300,1.0,0.0
2005-03-04,6.52,6.62,6.2,6.62,245600,1.0,0.0
