date,open,high,low,close,volume
2000-06-30,55.23,59.0,50.75,57.0,879500
2000-07-03,57.44,57.44,53.63,55.0,194700
2000-07-05,54.25,55.0,50.0,51.56,746500
2000-07-06,51.63,52.0,42.25,45.5,899000
2000-07-07,45.63,48.38,43.0,47.88,484700
2000-07-10,47.5,54.56,45.5,49.88,706100
2000-07-11,49.0,54.0,46.38,48.38,696700
2000-07-12,50.06,58.44,48.5,58.13,1142600
2000-07-13,59.75,63.75,54.06,60.38,1473600
2000-07-14,60.5,60.5,54.5,55.25,451300
2000-07-17,55.75,60.63,52.0,59.19,394500
2000-07-18,58.0,64.69,56.25,62.75,541500
2000-07-19,63.25,68.0,60.75,66.13,767200
2000-07-20,67.56,70.5,65.75,68.38,396600
2000-07-21,68.0,69.44,61.5,61.56,350500
2000-07-24,66.06,66.06,55.0,55.0,830200
2000-07-25,56.5,58.13,52.75,56.63,397100
2000-07-26,56.75,56.75,50.75,52.69,481100
2000-07-27,52.25,52.25,46.5,48.31,608000
2000-07-28,49.38,49.5,45.0,49.5,453500
2000-07-31,49.81,50.13,45.5,45.69,415500
2000-08-01,46.5,47.0,43.0,43.19,223600
2000-08-02,43.13,46.5,41.63,46.0,474200
2000-08-03,45.0,53.63,44.31,53.63,374800
2000-08-04,52.44,57.75,52.44,57.75,368700
2000-08-07,58.81,59.0,53.31,55.0,123100
2000-08-08,55.25,56.88,54.0,54.0,80900
2000-08-09,55.06,56.0,52.0,52.63,92300
2000-08-10,53.31,53.31,50.0,52.0,75100
2000-08-11,52.0,52.75,49.56,51.88,33500
2000-08-14,51.25,52.0,49.5,49.88,148300
2000-08-15,49.75,51.38,49.0,51.0,51000
2000-08-16,51.19,55.13,51.0,55.0,185200
2000-08-17,55.0,55.25,51.25,52.88,143800
2000-08-18,52.88,54.0,51.0,52.23,49700
2000-08-21,52.25,55.5,51.25,55.0,65800
2000-08-22,54.0,57.88,54.0,55.88,94900
2000-08-23,55.88,56.06,52.75,53.5,113600
2000-08-24,53.28,56.0,53.0,55.13,481000
2000-08-25,55.75,57.19,53.13,55.38,437000
2000-08-28,56.63,58.5,55.5,58.5,410700
2000-08-29,58.0,69.44,57.88,67.88,815500
2000-08-30,66.06,74.69,66.0,70.25,441800
2000-08-31,70.13,73.94,69.75,71.38,212700
2000-09-01,72.63,73.31,70.13,71.75,116900
2000-09-05,70.63,77.75,70.25,74.88,257000
2000-09-06,74.5,85.25,74.5,83.0,671400
2000-09-07,83.19,97.25,81.5,95.5,689300
2000-09-08,98.13,101.2,93.0,94.88,984600
2000-09-11,93.0,94.94,86.38,93.88,815100
2000-09-12,93.88,103.3,91.5,98.81,551500
2000-09-13,98.0,105.0,96.94,101.5,319600
2000-09-14,103.4,109.8,98.5,100.0,591500
2000-09-15,101.5,102.0,96.63,97.06,140800
2000-09-18,93.88,101.4,89.56,89.88,446300
2000-09-19,89.56,91.56,83.5,90.25,408200
2000-09-20,90.13,97.0,89.5,93.5,480200
2000-09-21,93.0,93.88,86.69,92.0,150300
2000-09-22,87.06,91.0,84.13,89.38,220800
2000-09-25,91.63,94.5,83.0,86.56,277900
2000-09-26,84.5,86.0,76.0,81.13,384900
2000-09-27,82.25,84.0,74.0,75.75,180300
2000-09-28,75.0,80.13,73.5,77.75,409700
2000-09-29,77.5,79.0,74.88,77.13,279400
2000-10-02,77.13,83.25,77.06,79.25,244200
2000-10-03,80.5,82.88,77.5,77.63,322900
2000-10-04,76.38,76.69,71.0,74.75,346600
2000-10-05,75.61,78.0,73.63,76.0,151500
2000-10-06,77.0,77.0,72.88,72.88,136600
2000-10-09,72.88,80.63,72.88,79.75,255800
2000-10-10,79.5,82.63,79.13,79.88,421800
2000-10-11,77.75,87.94,77.63,83.0,366400
2000-10-12,87.11,87.13,81.75,84.56,177100
2000-10-13,84.5,92.5,84.5,90.75,160000
2000-10-16,91.5,91.52,79.06,81.75,135100
2000-10-17,63.56,63.56,55.13,57.06,6093500
2000-10-18,53.25,55.0,49.0,50.56,1414600
2000-10-19,53.97,56.25,53.0,55.31,1001000
2000-10-20,55.5,62.13,55.0,60.5,1175500
2000-10-23,60.19,60.25,56.06,59.69,372800
2000-10-24,59.33,60.44,58.69,59.0,244300
2000-10-25,57.0,57.0,52.69,54.0,361700
2000-10-26,54.88,54.88,50.5,51.25,504400
2000-10-27,52.11,56.75,52.0,54.13,207500
2000-10-30,54.25,54.38,51.5,52.38,339700
2000-10-31,53.02,57.44,52.63,55.75,321900
2000-11-01,55.0,55.13,51.13,52.0,226100
2000-11-02,52.25,54.31,52.25,53.13,492600
2000-11-03,54.0,54.0,52.56,53.0,165700
2000-11-06,53.25,56.0,53.0,53.88,100100
2000-11-07,50.48,50.5,48.25,48.81,436500
2000-11-08,49.02,50.0,48.38,48.38,161500
2000-11-09,48.38,48.56,46.56,48.5,232100
2000-11-10,48.23,48.23,42.75,45.94,539100
2000-11-13,45.75,47.75,43.13,46.56,100900
2000-11-14,47.75,49.5,47.0,48.38,87600
2000-11-15,49.56,51.0,47.38,49.75,152900
2000-11-16,48.52,48.63,44.25,45.13,574000
2000-11-17,45.38,46.13,43.88,45.38,169700
2000-11-20,44.5,44.63,41.0,42.0,643500
2000-11-21,41.88,43.38,39.5,40.25,171600
2000-11-22,39.38,40.25,34.5,37.31,129600
2000-11-24,37.13,39.44,35.75,39.38,35900
2000-11-27,40.06,40.19,31.5,33.69,204300
2000-11-28,33.75,33.75,27.75,28.0,422100
2000-11-29,28.25,29.0,26.19,27.44,597800
2000-11-30,26.5,28.75,25.0,28.63,353400
2000-12-01,28.5,30.75,28.25,29.44,336600
2000-12-04,29.5,29.5,26.06,26.69,334300
2000-12-05,27.0,30.5,27.0,30.31,378200
2000-12-06,30.56,32.0,27.94,28.5,135200
2000-12-07,28.73,28.73,27.25,27.63,272200
2000-12-08,29.0,32.25,28.31,31.75,219000
2000-12-11,32.06,34.06,30.69,33.06,350000
2000-12-12,32.27,34.0,32.13,33.0,434400
2000-12-13,33.94,33.94,30.19,30.44,414100
2000-12-14,30.27,30.38,27.75,27.94,328800
2000-12-15,28.06,28.25,25.25,26.0,153700
2000-12-18,27.0,27.0,24.75,25.0,219700
2000-12-19,24.89,26.25,22.56,23.0,359200
2000-12-20,22.81,23.88,19.63,20.13,456200
2000-12-21,20.13,21.75,18.69,19.0,326000
2000-12-22,19.5,20.03,18.5,19.75,216500
2000-12-26,18.88,19.12,15.38,17.0,907500
2000-12-27,17.13,19.69,16.38,19.13,1352100
2000-12-28,18.44,22.69,18.38,22.19,814900
2000-12-29,22.63,22.63,21.5,21.94,602400
2001-01-02,21.06,22.0,21.06,21.38,555400
2001-01-03,21.63,22.5,20.0,21.69,816000
2001-01-04,21.88,24.75,21.75,24.25,1162000
2001-01-05,24.38,24.44,22.14,22.5,378500
2001-01-08,22.63,23.0,22.06,22.81,487200
2001-01-09,22.44,23.25,22.44,22.75,530800
2001-01-10,22.44,22.94,20.75,22.81,912700
2001-01-11,22.8,27.25,22.0,25.31,1273300
2001-01-12,25.81,28.25,24.5,27.5,573200
2001-01-16,27.13,27.5,25.06,25.38,355000
2001-01-17,26.5,28.0,26.44,27.69,1178000
2001-01-18,28.5,29.63,26.5,28.25,1028800
