date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,151.25,153.63,146.25,149.0,7982567,1.0,0.0
2000-01-04,143.5,145.75,137.0,137.88,9655800,1.0,0.0
2000-01-05,137.0,137.38,130.75,134.25,10930733,1.0,0.0
2000-01-06,133.5,134.0,118.0,119.0,11145867,1.0,0.0
2000-01-07,123.0,129.13,121.94,128.81,15293133,1.0,0.0
2000-01-10,132.38,143.63,131.38,139.75,11980733,1.0,0.0
2000-01-11,135.13,140.88,132.44,132.75,8109733,1.0,0.0
2000-01-12,134.88,138.94,132.75,133.81,8121167,1.0,0.0
2000-01-13,136.38,140.5,134.25,138.56,5951400,1.0,0.0
2000-01-14,144.0,154.13,144.0,151.0,12251400,1.0,0.0
2000-01-18,143.5,147.31,142.63,144.0,16059167,1.0,0.0
2000-01-19,143.75,145.44,140.0,140.75,8098067,1.0,0.0
2000-01-20,141.63,145.5,140.38,141.0,8869233,1.0,0.0
2000-01-21,147.25,147.69,143.38,144.38,7137667,1.0,0.0
2000-01-24,146.5,147.44,139.25,139.25,6176800,1.0,0.0
2000-01-25,140.38,142.31,137.31,142.13,7215600,1.0,0.0
2000-01-26,141.88,146.0,136.25,139.5,7768833,1.0,0.0
2000-01-27,140.0,140.63,135.75,136.0,8293367,1.0,0.0
2000-01-28,138.5,140.5,125.0,128.25,11014967,1.0,0.0
2000-01-31,128.5,136.75,126.31,136.0,9912467,1.0,0.0
2000-02-01,137.75,139.5,133.19,136.88,8103667,1.0,0.0
2000-02-02,137.0,147.63,136.94,144.63,9596067,1.0,0.0
2000-02-03,146.13,152.94,146.13,152.75,10355333,1.0,0.0
2000-02-04,152.94,157.56,150.38,156.0,10179867,1.0,0.0
2000-02-07,154.63,159.06,153.19,158.88,4782400,1.0,0.0
2000-02-08,160.0,161.38,156.56,159.88,7603633,1.0,0.0
2000-02-09,160.0,160.0,152.13,153.56,7389900,1.0,0.0
2000-02-10,153.81,157.44,153.63,155.28,7763233,1.0,0.0
2000-02-11,154.5,155.25,148.5,151.25,7042000,1.0,0.0
2000-02-14,152.63,152.63,146.31,147.25,7035000,1.0,0.0
2000-02-15,148.31,149.94,143.06,148.94,8389733,1.0,0.0
2000-02-16,148.94,151.0,147.13,147.88,5831233,1.0,0.0
2000-02-17,145.5,148.63,143.0,147.25,7932167,1.0,0.0
2000-02-18,147.13,148.0,144.63,144.94,5938800,1.0,0.0
2000-02-22,146.0,158.38,144.56,156.75,9562467,1.0,0.0
2000-02-23,153.88,161.81,151.44,160.75,9418033,1.0,0.0
2000-02-24,159.75,164.75,157.56,164.25,10147200,1.0,0.0
2000-02-25,162.0,163.5,158.0,159.25,6664467,1.0,0.0
2000-02-28,160.19,161.75,154.69,158.5,6583267,1.0,0.0
2000-02-29,160.0,175.25,159.69,172.0,13318433,1.0,0.0
2000-03-01,171.5,171.69,164.75,170.13,8944600,1.0,0.0
2000-03-02,170.0,175.0,166.38,174.19,9435767,1.0,0.0
2000-03-03,175.5,180.44,174.5,175.31,7388267,1.0,0.0
2000-03-06,176.5,183.88,176.5,180.63,6434400,1.0,0.0
2000-03-07,184.0,184.63,177.0,177.31,8425667,1.0,0.0
2000-03-08,178.06,178.06,168.31,169.44,12643167,1.0,0.0
2000-03-09,167.25,169.0,160.0,164.0,10135300,1.0,0.0
2000-03-10,167.0,179.94,165.69,175.0,19508767,1.0,0.0
2000-03-13,167.0,177.06,165.0,167.5,11170367,1.0,0.12
2000-03-14,165.75,171.5,160.5,161.19,10999800,1.0,0.0
2000-03-15,161.44,163.0,149.75,150.88,13573233,1.0,0.0
2000-03-16,154.88,156.63,143.5,151.75,15133767,1.0,0.0
2000-03-17,151.0,152.5,148.25,149.5,13800733,1.0,0.0
2000-03-20,149.38,158.44,149.31,154.13,11520133,1.0,0.0
2000-03-21,152.13,163.25,149.63,158.94,10270867,1.0,0.0
2000-03-22,161.5,166.38,160.5,163.94,9338467,1.0,0.0
2000-03-23,163.06,164.0,160.94,161.5,7009567,1.0,0.0
2000-03-24,162.0,166.94,159.38,163.56,7528267,1.0,0.0
2000-03-27,164.5,164.69,161.63,163.5,5740233,1.0,0.0
2000-03-28,161.5,168.75,161.5,164.0,9571800,1.0,0.0
2000-03-29,163.0,163.63,151.13,155.0,12519733,1.0,0.0
2000-03-30,150.0,156.31,139.88,144.0,15562633,1.0,0.0
2000-03-31,147.75,148.5,140.06,146.0,13453067,1.0,0.0
2000-04-03,143.0,146.69,136.0,138.25,11808067,1.0,0.0
2000-04-04,140.25,143.75,129.06,134.63,19868100,1.0,0.0
2000-04-05,133.0,147.81,130.25,147.0,17617833,1.0,0.0
2000-04-06,146.0,148.44,142.06,144.75,8676733,1.0,0.0
2000-04-07,145.19,154.0,145.19,153.75,8562400,1.0,0.0
2000-04-10,154.5,157.94,148.13,151.0,12580167,1.0,0.0
2000-04-11,125.0,134.0,120.25,124.0,58456767,1.0,0.0
2000-04-12,122.25,124.0,113.0,115.88,30904300,1.0,0.0
2000-04-13,118.0,123.19,116.0,117.0,24788400,1.0,0.0
2000-04-14,115.06,117.88,108.25,109.0,19346133,1.0,0.0
2000-04-17,110.0,117.0,109.0,116.5,16602133,1.0,0.0
2000-04-18,116.44,118.44,112.5,118.0,13064567,1.0,0.0
2000-04-19,117.5,118.0,107.0,107.25,10674767,1.0,0.0
2000-04-20,108.88,111.5,107.81,111.0,9904067,1.0,0.0
2000-04-24,109.0,110.81,104.25,105.0,9876067,1.0,0.0
2000-04-25,109.88,113.06,108.0,112.5,10374933,1.0,0.0
2000-04-26,113.38,119.0,112.5,118.0,11749267,1.0,0.0
2000-04-27,115.5,118.5,114.13,116.5,9071067,1.0,0.0
2000-04-28,118.5,120.88,117.63,119.0,7817133,1.0,0.0
2000-05-01,122.0,123.63,119.5,121.63,8223833,1.0,0.0
2000-05-02,121.63,121.63,116.06,116.38,7338100,1.0,0.0
2000-05-03,116.13,117.56,110.0,113.75,7753200,1.0,0.0
2000-05-04,114.75,116.5,110.13,110.75,7841167,1.0,0.0
2000-05-05,110.75,113.25,108.19,109.5,8895367,1.0,0.0
2000-05-08,109.0,109.25,105.81,106.88,7656600,1.0,0.0
2000-05-09,108.13,108.75,103.19,104.5,10203667,1.0,0.0
2000-05-10,95.25,96.56,86.0,86.75,51338000,1.0,0.0
2000-05-11,89.0,93.0,88.31,92.19,27001100,1.0,0.0
2000-05-12,93.0,96.94,92.38,95.69,17809400,1.0,0.0
2000-05-15,95.69,97.5,94.0,96.25,11636567,1.0,0.0
2000-05-16,97.5,99.81,97.38,98.19,13398933,1.0,0.0
2000-05-17,94.0,96.56,94.0,95.0,10935167,1.0,0.0
2000-05-18,95.75,95.81,93.06,94.0,8211700,1.0,0.0
2000-05-19,92.5,92.94,89.19,90.13,11377567,1.0,0.0
2000-05-22,91.38,91.38,86.0,87.88,12068933,1.0,0.0
2000-05-23,88.5,91.88,87.5,88.0,11769567,1.0,0.0
2000-05-24,89.06,97.0,88.0,97.0,13516767,1.0,0.0
2000-05-25,95.0,98.5,90.38,92.13,12831933,1.0,0.0
2000-05-26,91.75,93.88,91.0,92.13,8146367,1.0,0.0
2000-05-30,95.0,97.13,94.5,95.19,10368867,1.0,0.0
2000-05-31,98.0,101.19,93.31,93.75,27314700,1.0,0.0
2000-06-01,97.0,101.0,96.25,101.0,18100133,1.0,0.0
