date,open,high,low,close,volume
2000-01-03,5.25,5.438,5.063,5.25,22116
2000-01-04,5.25,5.25,5.125,5.188,33304
2000-01-05,5.188,5.438,5.188,5.375,35840
2000-01-06,5.313,5.438,5.188,5.25,13748
2000-01-07,5.375,5.406,5.25,5.406,11970
2000-01-10,5.406,5.5,5.406,5.406,10880
2000-01-11,5.438,5.563,5.438,5.438,34062
2000-01-12,5.438,5.563,5.375,5.438,30601
2000-01-13,5.563,5.563,5.438,5.563,17588
2000-01-14,5.563,5.688,5.5,5.5,4622
2000-01-18,5.688,6.0,5.5,5.75,38068
2000-01-19,5.75,6.688,5.75,6.375,52148
2000-01-20,6.563,6.625,6.5,6.625,26050
2000-01-21,6.625,6.75,6.25,6.5,47170
2000-01-24,6.75,6.75,6.313,6.344,19224
2000-01-25,6.25,6.5,6.25,6.313,10050
2000-01-26,6.313,6.625,6.313,6.438,22613
2000-01-27,6.375,6.563,6.375,6.375,10050
2000-01-28,6.313,6.5,6.25,6.25,10382
2000-01-31,6.5,6.625,6.25,6.625,18584
2000-02-01,6.625,6.625,6.438,6.5,11188
2000-02-02,6.375,6.5,6.375,6.375,2228
2000-02-03,6.313,6.625,6.313,6.5,15573
2000-02-04,6.625,6.625,6.313,6.313,4930
2000-02-07,6.313,6.625,6.25,6.375,16356
2000-02-08,6.5,6.688,6.438,6.625,14933
2000-02-09,6.531,6.688,6.375,6.438,5641
2000-02-10,6.688,6.688,6.25,6.375,24960
2000-02-11,6.375,6.563,6.188,6.313,33304
2000-02-14,6.5,6.688,6.344,6.406,25268
2000-02-15,6.188,6.375,6.125,6.25,26050
2000-02-16,6.125,6.5,6.125,6.25,18584
2000-02-17,6.375,6.375,6.313,6.375,15028
2000-02-18,6.438,6.75,6.375,6.375,35982
2000-02-22,6.625,6.625,6.375,6.625,35200
2000-02-23,6.438,6.625,6.25,6.375,20361
2000-02-24,6.344,6.438,6.125,6.188,31716
2000-02-25,6.125,6.25,6.063,6.063,9813
2000-02-28,6.25,6.563,6.188,6.188,60942
2000-02-29,6.188,6.375,6.188,6.25,19721
2000-03-01,6.281,6.5,6.281,6.375,19224
2000-03-02,6.313,6.5,6.25,6.5,8770
2000-03-03,6.25,6.594,6.25,6.25,13440
2000-03-06,6.25,6.5,6.25,6.25,21428
2000-03-07,6.125,6.313,6.0,6.031,16948
2000-03-08,6.063,6.188,5.875,5.938,33801
2000-03-09,5.75,6.0,5.375,5.625,41742
2000-03-10,5.625,6.375,5.563,6.0,20788
2000-03-13,5.75,6.438,5.75,6.125,18062
2000-03-14,6.375,7.813,6.25,7.5,243342
2000-03-15,7.313,7.375,7.0,7.25,93156
2000-03-16,7.0,7.375,7.0,7.25,31028
2000-03-17,7.0,7.5,7.0,7.313,44160
2000-03-20,7.313,7.5,7.125,7.25,56960
2000-03-21,7.313,7.313,7.0,7.188,21262
2000-03-22,7.188,7.25,6.875,7.25,27401
2000-03-23,7.438,7.75,7.25,7.5,134424
2000-03-24,7.938,8.063,7.0,7.5,122240
2000-03-27,8.25,8.25,7.5,7.625,76824
2000-03-28,7.938,8.0,7.563,7.875,38116
2000-03-29,8.0,8.0,7.5,7.813,22613
2000-03-30,7.563,7.813,7.5,7.5,42453
2000-03-31,7.5,7.75,7.5,7.625,14436
2000-04-03,7.625,7.625,6.75,6.75,26121
2000-04-04,6.875,7.0,6.75,7.0,5760
2000-04-05,6.875,7.5,6.75,6.75,21262
2000-04-06,7.0,7.25,7.0,7.125,16853
2000-04-07,7.0,7.25,6.75,6.75,7822
2000-04-10,6.688,6.75,6.5,6.5,5144
2000-04-11,6.5,6.5,6.125,6.188,16782
2000-04-12,6.5,6.5,6.0,6.0,19413
2000-04-13,6.0,6.5,6.0,6.125,28184
2000-04-14,6.125,6.25,6.125,6.125,25742
2000-04-17,6.125,6.25,6.0,6.0,27662
2000-04-18,6.0,6.25,6.0,6.25,8533
2000-04-19,6.156,6.188,6.0,6.188,6613
2000-04-20,6.188,6.188,6.0,6.125,17304
2000-04-24,6.0,6.188,6.0,6.125,9624
2000-04-25,6.125,6.156,6.125,6.125,8628
2000-04-26,6.25,6.25,6.125,6.25,13250
2000-04-27,6.125,6.438,6.125,6.125,1636
2000-04-28,6.094,6.094,6.0,6.0,22068
2000-05-01,6.125,6.188,6.0,6.0,3224
2000-05-02,6.125,6.125,6.0,6.0,13653
2000-05-03,6.0,6.0,6.0,6.0,14933
2000-05-04,6.0,6.094,6.0,6.0,6542
2000-05-05,6.094,6.125,6.0,6.125,13961
2000-05-08,6.25,6.25,6.063,6.063,19556
2000-05-09,6.25,6.313,6.188,6.313,30436
2000-05-10,6.375,6.438,6.0,6.0,11544
2000-05-11,6.313,7.0,6.25,6.75,47170
2000-05-12,7.188,7.5,6.0,6.25,31360
2000-05-15,6.125,6.125,6.0,6.0,3200
2000-05-16,6.25,6.375,6.063,6.25,14862
2000-05-17,6.25,6.438,6.188,6.25,3342
2000-05-18,6.125,6.25,6.031,6.188,3982
2000-05-19,6.188,6.438,6.188,6.25,7822
2000-05-22,6.375,6.375,6.188,6.188,12516
2000-05-23,6.188,6.313,6.063,6.313,14530
2000-05-24,6.313,6.313,6.063,6.188,3721
2000-05-25,6.313,6.375,6.25,6.25,14530
2000-05-26,6.375,6.375,6.125,6.125,4053
2000-05-30,5.75,6.125,5.75,6.031,23348
2000-05-31,6.0,6.0,6.0,6.0,2441
2000-06-01,6.25,6.25,6.0,6.125,7396
2000-06-02,6.25,6.438,6.25,6.438,14080
2000-06-05,6.375,6.563,6.375,6.563,12800
2000-06-06,6.375,6.563,6.375,6.375,11733
2000-06-07,6.563,6.813,6.375,6.688,6424
2000-06-08,6.625,6.75,6.5,6.5,6068
2000-06-09,6.375,6.75,6.375,6.75,6424
2000-06-12,6.625,6.813,6.438,6.5,4361
2000-06-13,6.625,6.75,6.5,6.625,4148
2000-06-14,6.5,6.5,6.125,6.156,17588
2000-06-15,6.375,6.375,6.188,6.313,3840
2000-06-16,6.188,6.75,6.188,6.5,5641
2000-06-19,6.25,6.5,6.25,6.5,5001
2000-06-20,6.375,6.875,6.25,6.625,20504
2000-06-21,6.406,6.75,6.406,6.5,9813
2000-06-22,6.375,6.5,6.375,6.375,1636
2000-06-23,6.375,6.438,6.375,6.438,4622
2000-06-26,6.5,6.5,6.25,6.25,16640
2000-06-27,6.25,6.5,6.25,6.313,4148
2000-06-28,6.313,6.313,6.219,6.25,41410
2000-06-29,6.25,6.25,6.219,6.219,23680
2000-06-30,6.125,6.5,6.125,6.25,32024
2000-07-03,6.188,6.375,6.188,6.188,11401
2000-07-05,6.188,6.563,6.188,6.5,8344
2000-07-06,6.125,6.5,6.125,6.5,15028
2000-07-07,6.25,6.438,6.25,6.438,22921
2000-07-10,6.375,6.5,6.375,6.5,6424
2000-07-11,6.375,6.5,6.375,6.5,3650
2000-07-12,6.5,6.5,6.125,6.125,11022
2000-07-13,6.25,6.5,6.25,6.313,6850
2000-07-14,6.313,6.313,6.313,6.313,9624
2000-07-17,6.313,6.344,6.313,6.344,5001
2000-07-18,6.5,6.625,6.375,6.5,25813
2000-07-19,6.5,6.625,6.125,6.625,61440
2000-07-20,6.75,6.813,6.625,6.656,27733
2000-07-21,6.813,6.813,6.5,6.813,13250
2000-07-24,6.875,7.125,6.75,7.125,17588
2000-07-25,6.875,7.063,6.75,6.75,17801
2000-07-26,7.0,7.063,6.625,6.875,14080
2000-07-27,6.75,7.0,6.625,6.625,18228
2000-07-28,6.625,6.625,6.5,6.531,3840
2000-07-31,6.531,6.75,6.375,6.75,15028
2000-08-01,6.75,7.0,6.25,6.75,23182
2000-08-02,6.938,6.938,6.75,6.75,1280
2000-08-03,6.5,6.563,6.5,6.5,2773
2000-08-04,6.438,6.5,6.438,6.5,948
2000-08-07,6.5,6.5,6.375,6.375,1280
2000-08-08,6.375,6.688,6.313,6.5,12516
2000-08-09,6.5,6.5,6.25,6.25,6068
2000-08-10,6.5,6.75,6.5,6.5,3650
2000-08-11,6.5,6.563,6.5,6.5,13582
2000-08-14,6.625,6.625,6.25,6.5,10904
2000-08-15,6.5,6.531,6.313,6.531,3721
2000-08-16,6.469,6.75,6.313,6.75,6850
2000-08-17,6.5,6.688,6.5,6.5,8984
2000-08-18,6.25,6.688,6.25,6.25,8462
2000-08-21,6.25,6.375,6.0,6.188,18370
2000-08-22,6.188,6.25,6.063,6.125,8462
2000-08-23,6.063,6.375,6.063,6.125,1588
2000-08-24,6.188,6.188,5.5,5.875,49944
2000-08-25,6.0,6.188,5.875,6.188,3982
2000-08-28,6.063,6.313,6.063,6.313,42596
2000-08-29,6.313,6.406,6.313,6.313,5001
2000-08-30,6.313,6.375,6.188,6.188,28610
2000-08-31,6.188,6.438,6.188,6.313,7704
2000-09-01,6.375,6.375,6.125,6.125,13250
2000-09-05,6.156,6.625,6.125,6.5,14388
2000-09-06,6.5,6.688,6.25,6.5,8841
2000-09-07,6.688,6.688,6.313,6.313,18584
2000-09-08,6.406,6.938,6.25,6.938,10880
2000-09-11,6.688,6.875,6.375,6.813,10548
2000-09-12,6.375,6.875,6.375,6.438,4148
2000-09-13,6.438,6.875,6.313,6.5,10761
2000-09-14,6.656,6.875,6.5,6.75,13748
2000-09-15,6.438,6.75,6.438,6.75,11022
2000-09-18,6.813,6.938,6.75,6.75,16213
2000-09-19,7.0,7.313,6.844,7.125,50868
2000-09-20,6.75,7.25,6.625,6.875,10548
2000-09-21,6.75,7.0,6.625,6.625,6756
2000-09-22,6.813,7.0,6.625,7.0,3721
2000-09-25,6.875,6.875,6.875,6.875,1636
2000-09-26,6.875,7.125,6.75,6.813,18133
2000-09-27,6.625,6.625,6.438,6.438,3413
2000-09-28,6.875,7.0,6.625,7.0,13748
2000-09-29,7.0,7.125,6.938,6.938,35010
2000-10-02,7.0,7.0,6.875,7.0,9742
2000-10-03,6.813,7.063,6.813,7.063,12373
2000-10-04,7.0,7.188,6.938,6.938,7348
2000-10-05,7.125,7.125,6.875,6.875,8533
2000-10-06,6.938,7.0,6.938,7.0,11828
2000-10-09,7.0,7.063,7.0,7.0,1801
2000-10-10,6.938,6.938,6.813,6.813,15360
2000-10-11,6.75,6.75,6.625,6.75,17588
