date,open,high,low,close,volume
2011-05-16,20.76,21.05,20.75,20.89,57000
2011-05-17,20.88,21.0,20.6,21.0,56500
2011-05-18,21.05,21.29,20.91,21.29,96300
2011-05-19,21.2,21.85,21.17,21.75,137700
2011-05-20,22.0,22.0,21.3,21.68,67200
2011-05-23,21.28,21.59,21.13,21.46,50100
2011-05-24,21.6,21.68,21.0,21.2,56400
2011-05-25,21.1,21.36,20.4,20.74,60100
2011-05-26,20.88,20.89,20.52,20.69,38300
2011-05-27,20.5,20.6,20.3,20.5,20200
2011-05-31,20.5,20.98,20.5,20.94,32900
2011-06-01,20.75,21.05,20.6,20.63,33500
2011-06-02,20.9,20.9,20.63,20.76,16800
2011-06-03,20.86,20.86,20.27,20.29,44300
2011-06-06,20.27,20.27,19.34,19.37,56600
2011-06-07,19.4,19.43,18.34,18.75,116000
2011-06-08,18.69,19.49,18.4,19.49,29200
2011-06-09,19.36,20.35,19.36,20.11,16600
2011-06-10,19.9,20.48,19.5,20.15,25000
2011-06-13,20.2,20.4,19.14,19.89,23600
2011-06-14,19.75,20.2,19.7,20.12,29400
2011-06-15,20.1,20.11,19.08,19.2,13900
2011-06-16,19.4,19.4,18.6,18.62,17700
2011-06-17,18.75,18.79,18.6,18.65,18000
2011-06-20,18.75,18.97,18.6,18.9,27200
2011-06-21,19.2,19.99,19.2,19.99,54600
2011-06-22,19.85,20.25,19.42,19.99,55200
2011-06-23,20.0,20.0,19.27,19.58,35300
2011-06-24,19.7,20.0,19.56,19.72,11400
2011-06-27,19.7,20.24,19.7,19.95,18400
2011-06-28,19.9,20.49,19.51,20.0,39600
2011-06-29,20.15,20.49,19.87,20.49,26500
2011-06-30,20.25,20.49,19.68,19.94,41500
2011-07-01,19.85,20.15,19.75,20.0,11300
2011-07-05,20.0,20.34,20.0,20.34,8300
2011-07-06,20.48,20.49,20.05,20.05,7300
2011-07-07,20.17,20.7,20.17,20.7,22700
2011-07-08,20.2,20.7,20.2,20.55,15400
2011-07-11,20.55,20.55,20.14,20.25,11100
2011-07-12,20.39,20.39,19.51,19.75,24500
2011-07-13,19.85,20.2,19.26,19.31,16500
2011-07-14,19.4,19.9,19.4,19.7,4500
2011-07-15,19.6,20.0,19.25,19.84,20200
2011-07-18,19.8,20.25,19.71,20.02,12400
2011-07-19,20.15,20.49,20.15,20.4,5900
2011-07-20,20.41,20.41,20.0,20.1,17100
2011-07-21,20.2,20.49,20.1,20.3,3500
2011-07-22,20.2,20.34,20.0,20.0,16300
2011-07-25,20.02,20.25,19.7,19.82,17700
2011-07-26,19.71,20.2,19.71,19.8,28400
2011-07-27,20.0,20.46,19.75,19.75,19600
2011-07-28,20.05,20.44,20.02,20.32,20200
2011-07-29,20.0,20.2,19.8,19.8,16600
2011-08-01,19.98,20.15,19.58,20.1,4100
2011-08-02,20.25,20.25,19.5,19.5,11400
2011-08-03,19.6,19.75,19.08,19.2,12000
2011-08-04,19.38,19.55,18.66,18.69,25400
2011-08-05,19.5,19.6,18.9,19.27,38000
2011-08-08,20.7,20.7,18.0,18.52,43800
2011-08-09,18.25,18.65,18.25,18.59,24100
2011-08-10,18.25,18.5,18.1,18.48,21900
2011-08-11,18.5,18.8,18.1,18.4,19500
2011-08-12,18.5,18.89,18.34,18.68,17900
2011-08-15,18.7,19.74,18.68,19.55,102700
2011-08-16,19.55,19.91,19.11,19.61,82400
2011-08-17,19.61,20.9,19.61,20.7,258400
2011-08-18,20.4,20.58,19.86,20.34,35600
2011-08-19,20.19,20.64,20.17,20.4,30300
2011-08-22,20.4,20.78,19.64,20.1,21800
2011-08-23,21.77,21.77,19.5,20.2,15800
2011-08-24,20.0,20.46,19.8,20.4,16100
2011-08-25,20.5,20.5,20.0,20.16,8100
2011-08-26,20.1,20.62,19.9,20.35,18500
2011-08-29,20.38,20.7,20.38,20.62,47300
2011-08-30,20.59,20.7,20.02,20.4,27500
