date,open,high,low,close,volume
2007-04-13,4.0,4.0,4.0,4.0,400
2007-04-16,4.0,4.0,4.0,4.0,0
2007-04-17,4.0,4.0,4.0,4.0,0
2007-04-18,4.0,4.0,4.0,4.0,0
2007-04-19,4.0,4.0,4.0,4.0,0
2007-04-20,4.0,4.0,4.0,4.0,0
2007-04-23,4.0,4.0,4.0,4.0,0
2007-04-24,4.0,4.0,4.0,4.0,0
2007-04-25,3.4,3.4,3.4,3.4,2000
2007-04-26,3.4,3.4,3.4,3.4,0
2007-04-27,3.4,3.4,3.4,3.4,2400
2007-04-30,3.4,3.4,3.4,3.4,0
2007-05-01,3.4,3.4,3.4,3.4,0
2007-05-02,3.75,4.0,3.75,4.0,2000
2007-05-03,4.0,5.0,4.0,4.75,5600
2007-05-04,5.0,5.0,4.1,4.5,3100
2007-05-07,4.5,4.8,4.0,4.8,6900
2007-05-08,4.8,4.8,4.8,4.8,0
2007-05-09,4.8,4.8,4.8,4.8,0
2007-05-10,4.9,4.9,4.9,4.9,500
2007-05-11,4.9,4.9,4.9,4.9,500
2007-05-14,4.9,4.9,4.9,4.9,500
2007-05-15,4.9,4.9,4.9,4.9,0
2007-05-16,4.9,4.9,4.9,4.9,0
2007-05-17,4.9,4.9,4.9,4.9,0
2007-05-18,4.8,4.8,4.75,4.75,2000
2007-05-21,4.3,4.5,4.3,4.5,2100
2007-05-22,4.4,4.5,4.4,4.4,4000
2007-05-23,4.4,4.4,4.4,4.4,200
2007-05-24,4.2,4.4,4.1,4.4,1600
2007-05-25,4.4,4.4,4.4,4.4,1000
2007-05-29,4.4,4.4,4.4,4.4,0
2007-05-30,4.3,4.3,4.15,4.15,1000
2007-05-31,4.3,4.3,4.3,4.3,1000
2007-06-01,4.25,4.25,4.25,4.25,1300
2007-06-04,4.25,4.3,4.15,4.3,3400
2007-06-05,4.25,4.25,4.0,4.0,3500
2007-06-06,4.4,4.4,4.35,4.4,5300
2007-06-07,4.4,4.4,4.0,4.3,2200
2007-06-08,4.4,4.4,4.2,4.3,3500
2007-06-11,4.3,4.3,4.3,4.3,300
2007-06-12,4.1,4.35,4.1,4.35,1000
2007-06-13,4.35,4.35,4.35,4.35,0
2007-06-14,4.35,4.35,4.35,4.35,3300
2007-06-15,4.35,4.35,4.1,4.1,1400
