date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,20.25,20.38,19.88,20.13,694200,1.0,0.0
2000-01-04,20.13,20.38,19.88,20.25,859600,1.0,0.0
2000-01-05,20.38,20.38,19.81,19.88,969300,1.0,0.0
2000-01-06,20.19,21.56,19.69,21.31,1390700,1.0,0.0
2000-01-07,21.25,21.38,20.5,20.69,730800,1.0,0.0
2000-01-10,20.81,21.31,20.38,21.31,700400,1.0,0.0
2000-01-11,21.13,21.69,21.13,21.38,749700,1.0,0.0
2000-01-12,21.63,21.81,20.94,21.19,666400,1.0,0.0
2000-01-13,21.44,22.75,21.31,21.75,1058900,1.0,0.0
2000-01-14,21.75,21.88,21.25,21.44,871300,1.0,0.0
2000-01-18,21.0,21.0,20.13,20.38,1251300,1.0,0.0
2000-01-19,20.25,20.44,20.0,20.06,1144700,1.0,0.0
2000-01-20,20.06,20.25,19.19,19.75,2308200,1.0,0.0
2000-01-21,20.0,20.0,19.44,19.69,728400,1.0,0.0
2000-01-24,19.94,19.94,18.94,18.94,743800,1.0,0.0
2000-01-25,19.0,19.81,18.31,18.81,848000,1.0,0.0
2000-01-26,18.44,18.75,17.31,17.75,1686100,1.0,0.0
2000-01-27,18.13,18.44,17.31,17.5,1854000,1.0,0.0
2000-01-28,17.25,17.69,17.06,17.25,1595000,1.0,0.0
2000-01-31,17.25,17.31,16.56,17.0,1309500,1.0,0.0
2000-02-01,16.75,17.25,16.75,16.75,1023700,1.0,0.0
2000-02-02,16.56,16.75,16.25,16.31,1065900,1.0,0.2
2000-02-03,16.38,16.5,16.0,16.06,1025200,1.0,0.0
2000-02-04,16.06,16.06,15.63,15.75,1264800,1.0,0.0
2000-02-07,16.0,16.44,15.75,16.25,1249800,1.0,0.0
2000-02-08,16.0,16.25,15.31,15.38,1128600,1.0,0.0
2000-02-09,15.88,15.94,15.31,15.31,1693300,1.0,0.0
2000-02-10,15.5,15.75,15.0,15.0,1809900,1.0,0.0
2000-02-11,15.31,15.31,14.56,14.63,986200,1.0,0.0
2000-02-14,15.0,15.63,14.81,15.13,2381300,1.0,0.0
2000-02-15,15.13,15.5,15.0,15.19,1072600,1.0,0.0
2000-02-16,15.25,15.38,14.69,15.25,1664900,1.0,0.0
2000-02-17,14.81,15.19,14.69,14.81,1176800,1.0,0.0
2000-02-18,14.94,15.12,14.81,14.81,1047000,1.0,0.0
2000-02-22,14.69,15.31,14.69,15.13,1024400,1.0,0.0
2000-02-23,14.88,15.0,14.69,14.75,1218800,1.0,0.0
2000-02-24,14.75,14.75,13.69,13.75,2180200,1.0,0.0
2000-02-25,13.75,14.06,13.69,13.75,1923700,1.0,0.0
2000-02-28,14.06,14.13,13.56,13.94,2864500,1.0,0.0
2000-02-29,13.94,14.13,13.44,13.56,2224400,1.0,0.0
2000-03-01,13.63,14.19,13.44,13.88,1533600,1.0,0.0
2000-03-02,13.94,13.94,13.13,13.44,1834500,1.0,0.0
2000-03-03,13.44,14.13,13.38,13.94,1200500,1.0,0.0
2000-03-06,13.75,13.75,13.06,13.38,1080500,1.0,0.0
2000-03-07,13.38,13.5,12.69,12.94,1652600,1.0,0.0
2000-03-08,13.0,13.31,12.88,12.94,1023800,1.0,0.0
2000-03-09,13.0,13.25,12.75,13.19,1030600,1.0,0.0
2000-03-10,12.94,13.19,12.81,13.19,1382200,1.0,0.0
2000-03-13,12.88,13.13,12.69,12.94,1201400,1.0,0.0
2000-03-14,12.88,12.88,12.69,12.75,1871700,1.0,0.0
2000-03-15,12.88,13.69,12.75,13.63,1619900,1.0,0.0
2000-03-16,13.88,15.13,13.81,15.13,2207900,1.0,0.0
2000-03-17,15.13,15.94,15.0,15.88,2308700,1.0,0.0
2000-03-20,15.94,16.0,14.69,15.0,1052800,1.0,0.0
2000-03-21,14.69,15.06,14.38,15.0,755100,1.0,0.0
2000-03-22,15.0,15.19,14.56,14.94,875200,1.0,0.0
2000-03-23,14.75,14.94,14.31,14.38,792000,1.0,0.0
2000-03-24,14.25,14.69,13.94,14.25,955000,1.0,0.0
2000-03-27,14.5,15.0,14.25,15.0,1018400,1.0,0.0
2000-03-28,14.69,14.94,13.81,13.88,958300,1.0,0.0
2000-03-29,14.0,14.44,13.88,14.0,726200,1.0,0.0
2000-03-30,14.0,14.38,13.88,14.13,914800,1.0,0.0
2000-03-31,14.06,14.63,13.81,14.25,1318100,1.0,0.0
2000-04-03,14.38,14.75,14.19,14.38,1347800,1.0,0.0
2000-04-04,14.5,15.13,14.5,14.81,1387000,1.0,0.0
2000-04-05,15.0,16.13,15.0,15.94,1770300,1.0,0.0
2000-04-06,16.0,16.63,15.88,15.88,1329300,1.0,0.0
2000-04-07,15.94,16.5,15.56,16.38,1865200,1.0,0.0
2000-04-10,16.31,16.44,16.19,16.31,908100,1.0,0.0
2000-04-11,16.31,18.0,16.31,17.63,1667100,1.0,0.0
2000-04-12,18.0,19.19,17.63,18.26,1431300,1.0,0.0
2000-04-13,17.75,17.75,16.75,17.44,719600,1.0,0.0
2000-04-14,16.94,17.25,16.31,17.06,983700,1.0,0.0
