date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,54.81,54.81,53.56,54.31,1141600,1.0,0.0
2000-01-04,54.25,54.94,53.38,53.75,778200,1.0,0.0
2000-01-05,53.63,55.5,53.63,55.0,1420000,1.0,0.0
2000-01-06,55.13,56.25,55.0,55.75,934800,1.0,0.0
2000-01-07,55.63,56.44,54.81,55.94,515600,1.0,0.0
2000-01-10,55.94,55.94,53.19,53.94,699600,1.0,0.0
2000-01-11,54.38,55.19,54.13,55.06,814400,1.0,0.0
2000-01-12,55.06,55.06,53.13,53.19,544200,1.0,0.0
2000-01-13,53.5,55.75,53.5,55.0,530800,1.0,0.0
2000-01-14,55.0,55.5,54.25,54.81,722600,1.0,0.0
2000-01-18,55.0,55.0,53.0,53.75,978600,1.0,0.0
2000-01-19,53.88,55.44,53.81,55.25,1231400,1.0,0.0
2000-01-20,55.13,55.19,52.19,52.38,896000,1.0,0.0
2000-01-21,52.63,52.63,50.25,51.06,817400,1.0,0.0
2000-01-24,51.31,51.56,49.19,49.31,563400,1.0,0.0
2000-01-25,50.0,50.38,48.06,48.94,539800,1.0,0.0
2000-01-26,48.75,49.88,47.0,48.69,1173200,1.0,0.0
2000-01-27,48.75,51.0,48.69,50.56,1294800,1.0,0.0
2000-01-28,50.44,51.94,49.94,50.69,1124000,1.0,0.0
2000-01-31,49.88,49.88,48.88,49.75,855600,1.0,0.0
2000-02-01,49.88,51.13,49.56,49.88,581000,1.0,0.0
2000-02-02,50.0,50.25,49.56,49.56,745600,1.0,0.0
2000-02-03,49.75,49.94,48.81,49.88,587400,1.0,0.0
2000-02-04,48.75,49.75,48.63,48.75,512400,1.0,0.0
2000-02-07,47.5,48.0,46.0,48.0,1470200,1.0,0.0
2000-02-08,48.25,48.88,46.31,46.31,591600,1.0,0.0
2000-02-09,48.0,48.38,47.31,47.44,1736200,1.0,0.0
2000-02-10,47.44,47.44,45.0,45.25,1528200,1.0,0.0
2000-02-11,46.13,47.88,46.06,47.13,1081600,1.0,0.0
2000-02-14,47.38,47.88,47.13,47.63,1602400,1.0,0.0
2000-02-15,47.75,53.75,47.75,51.88,1851600,1.0,0.0
