date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,10.75,11.25,10.75,11.25,3845,1.0,0.0
2000-01-04,11.0,11.0,11.0,11.0,13,1.0,0.0
2000-01-05,12.38,12.38,12.38,12.38,13,1.0,0.0
2000-01-06,11.25,11.25,11.25,11.25,171,1.0,0.0
2000-01-07,11.25,11.25,11.25,11.25,1435,1.0,0.0
2000-01-10,11.63,12.5,11.63,12.5,4556,1.0,0.0
2000-01-11,12.25,12.63,10.88,10.88,11378,1.0,0.0
2000-01-12,11.13,11.13,11.13,11.13,2660,1.0,0.0
2000-01-13,11.62,11.62,11.62,11.62,0,1.0,0.0
2000-01-14,11.75,11.75,11.38,11.38,1435,1.0,0.0
2000-01-18,11.38,12.0,11.38,12.0,5057,1.0,0.0
2000-01-19,11.88,12.38,11.88,12.38,6650,1.0,0.0
2000-01-20,12.25,12.75,12.25,12.75,790,1.0,0.0
2000-01-21,12.38,12.38,12.38,12.38,1857,1.0,0.0
2000-01-24,12.63,12.69,12.63,12.63,1356,1.0,0.0
2000-01-25,12.63,12.63,12.38,12.56,3213,1.0,0.0
2000-01-26,12.69,12.69,12.63,12.63,2252,1.0,0.0
2000-01-27,12.63,12.63,12.63,12.63,553,1.0,0.0
2000-01-28,12.75,12.75,12.75,12.75,171,1.0,0.0
2000-01-31,12.63,12.63,11.5,11.88,20030,1.0,0.0
2000-02-01,12.06,12.25,11.75,11.88,10667,1.0,0.0
2000-02-02,12.69,12.69,11.88,12.0,12444,1.0,0.0
2000-02-03,12.0,12.75,12.0,12.75,4030,1.0,0.0
2000-02-04,12.75,12.75,12.75,12.75,1067,1.0,0.0
2000-02-07,12.75,12.75,12.5,12.56,3569,1.0,0.0
2000-02-08,12.38,12.75,12.38,12.75,553,1.0,0.0
2000-02-09,12.5,12.5,12.5,12.5,250,1.0,0.0
2000-02-10,12.38,12.38,12.38,12.38,1435,1.0,0.0
2000-02-11,12.38,12.5,12.38,12.5,3635,1.0,0.0
2000-02-14,12.75,12.75,12.0,12.0,2028,1.0,0.0
2000-02-15,12.0,12.0,12.0,12.0,0,1.0,0.0
2000-02-16,12.38,12.5,12.38,12.5,1435,1.0,0.0
2000-02-17,12.38,12.38,12.38,12.38,790,1.0,0.0
2000-02-18,12.38,12.38,12.38,12.38,7190,1.0,0.0
2000-02-22,12.13,13.0,12.13,12.5,4267,1.0,0.0
2000-02-23,12.25,12.25,12.25,12.25,4556,1.0,0.0
2000-02-24,12.44,12.44,12.44,12.44,13,1.0,0.0
2000-02-25,12.25,12.38,12.25,12.25,3213,1.0,0.0
2000-02-28,12.25,12.25,12.25,12.25,435,1.0,0.0
2000-02-29,12.44,12.44,12.25,12.25,1435,1.0,0.0
2000-03-01,12.25,12.38,12.25,12.38,2384,1.0,0.0
2000-03-02,12.44,12.44,12.44,12.44,961,1.0,0.0
2000-03-03,12.0,12.0,12.0,12.0,3371,1.0,0.0
2000-03-06,12.0,12.0,12.0,12.0,0,1.0,0.0
2000-03-07,12.5,12.5,12.06,12.06,3990,1.0,0.0
2000-03-08,12.06,12.06,12.06,12.06,961,1.0,0.0
2000-03-09,12.06,12.5,12.06,12.06,2568,1.0,0.0
2000-03-10,12.06,12.06,12.06,12.06,790,1.0,0.0
2000-03-13,12.06,12.06,12.06,12.06,0,1.0,0.0
2000-03-14,12.06,12.06,12.06,12.06,1435,1.0,0.0
2000-03-15,12.06,12.06,12.06,12.06,0,1.0,0.0
2000-03-16,12.06,12.06,12.06,12.06,790,1.0,0.0
2000-03-17,12.75,12.75,12.06,12.13,6650,1.0,0.0
2000-03-20,12.73,12.75,12.73,12.75,3990,1.0,0.0
2000-03-21,12.06,12.06,12.06,12.06,13,1.0,0.0
2000-03-22,12.06,12.06,12.06,12.06,0,1.0,0.0
2000-03-23,12.06,12.06,12.06,12.06,0,1.0,0.0
2000-03-24,12.75,12.75,12.75,12.75,171,1.0,0.0
2000-03-27,12.75,12.75,12.75,12.75,3042,1.0,0.0
2000-03-28,12.06,12.06,12.06,12.06,171,1.0,0.0
2000-03-29,12.75,12.75,12.75,12.75,1185,1.0,0.0
2000-03-30,11.94,11.94,11.94,11.94,553,1.0,0.0
2000-03-31,11.94,11.94,11.94,11.94,0,1.0,0.0
2000-04-03,11.94,11.94,11.94,11.94,13,1.0,0.0
2000-04-04,12.0,12.0,11.94,12.0,2423,1.0,0.0
2000-04-05,12.5,12.5,10.88,10.88,5623,1.0,0.0
2000-04-06,11.31,11.31,10.0,10.06,2660,1.0,0.0
2000-04-07,12.0,12.0,10.88,10.88,13985,1.0,0.0
2000-04-10,11.75,11.75,10.63,10.63,553,1.0,0.0
2000-04-11,10.63,11.25,10.5,10.88,3845,1.0,0.0
2000-04-12,10.31,10.5,10.31,10.38,3635,1.0,0.0
2000-04-13,10.5,11.0,10.31,10.88,1857,1.0,0.0
2000-04-14,10.88,11.5,10.38,10.88,3450,1.0,0.0
2000-04-17,10.31,10.38,10.31,10.38,1857,1.0,0.0
2000-04-18,10.31,10.38,10.02,10.25,4030,1.0,0.0
2000-04-19,10.38,10.75,10.38,10.75,2147,1.0,0.0
2000-04-20,10.63,10.75,10.44,10.75,3213,1.0,0.0
2000-04-24,10.5,10.5,10.44,10.5,1067,1.0,0.0
2000-04-25,10.5,10.63,10.38,10.63,2384,1.0,0.0
2000-04-26,10.5,10.88,10.5,10.63,2028,1.0,0.0
2000-04-27,10.25,10.25,10.25,10.25,4978,1.0,0.0
2000-04-28,11.0,11.0,10.89,11.0,6953,1.0,0.0
2000-05-01,10.94,10.94,10.13,10.5,4161,1.0,0.0
2000-05-02,10.75,10.75,10.75,10.75,369,1.0,0.0
2000-05-03,11.0,11.0,11.0,11.0,171,1.0,0.0
2000-05-04,10.88,11.0,10.88,11.0,1067,1.0,0.0
2000-05-05,10.94,11.0,10.94,11.0,1593,1.0,0.0
2000-05-08,10.63,10.63,10.63,10.63,171,1.0,0.0
2000-05-09,10.63,10.63,10.0,10.06,2963,1.0,0.0
2000-05-10,10.75,10.75,10.06,10.06,1857,1.0,0.0
2000-05-11,10.06,10.06,10.06,10.06,13,1.0,0.0
2000-05-12,10.38,10.38,10.06,10.06,2147,1.0,0.0
2000-05-15,10.5,10.5,10.0,10.0,2147,1.0,0.0
2000-05-16,10.5,10.5,10.02,10.06,3200,1.0,0.0
2000-05-17,10.25,10.25,10.25,10.25,13,1.0,0.0
2000-05-18,10.5,10.5,10.5,10.5,553,1.0,0.0
2000-05-19,10.5,10.5,10.5,10.5,645,1.0,0.0
2000-05-22,10.13,10.14,9.938,10.0,7045,1.0,0.0
2000-05-23,10.5,10.63,10.5,10.63,171,1.0,0.0
2000-05-24,10.13,10.13,10.13,10.13,961,1.0,0.0
2000-05-25,10.0,10.0,10.0,10.0,2963,1.0,0.0
2000-05-26,10.0,10.0,9.781,9.781,6650,1.0,0.0
2000-05-30,9.625,10.13,9.625,10.0,4793,1.0,0.0
2000-05-31,10.13,10.13,8.875,8.875,5860,1.0,0.0
2000-06-01,9.25,9.5,9.25,9.5,645,1.0,0.0
2000-06-02,9.75,10.25,9.5,9.5,15460,1.0,0.0
2000-06-05,9.625,10.13,9.25,9.5,10245,1.0,0.0
2000-06-06,9.5,9.5,9.5,9.5,553,1.0,0.0
2000-06-07,9.75,9.875,9.688,9.688,9244,1.0,0.0
2000-06-08,10.13,10.13,10.0,10.0,1356,1.0,0.0
2000-06-09,10.0,10.0,10.0,10.0,0,1.0,0.0
2000-06-12,9.875,9.875,9.875,9.875,13,1.0,0.0
2000-06-13,9.875,9.875,9.875,9.875,553,1.0,0.0
2000-06-14,9.875,9.875,9.0,9.0,16369,1.0,0.0
2000-06-15,9.0,9.0,9.0,9.0,1975,1.0,0.0
2000-06-16,9.25,9.375,9.25,9.25,961,1.0,0.0
2000-06-19,9.5,10.13,9.5,9.75,3635,1.0,0.0
2000-06-20,9.125,10.0,9.125,9.5,9442,1.0,0.0
2000-06-21,9.125,9.5,9.125,9.375,8652,1.0,0.0
2000-06-22,9.375,9.5,9.125,9.375,1857,1.0,0.0
2000-06-23,9.875,9.875,9.875,9.875,961,1.0,0.0
2000-06-26,9.87,9.87,9.87,9.87,0,1.0,0.0
2000-06-27,9.87,9.87,9.87,9.87,0,1.0,0.0
2000-06-28,9.87,9.87,9.87,9.87,0,1.0,0.0
2000-06-29,9.75,9.75,9.625,9.625,2028,1.0,0.0
2000-06-30,9.625,11.75,8.875,9.75,31223,1.0,0.0
2000-07-03,10.0,10.0,9.75,10.0,1185,1.0,0.0
