date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,25.25,25.25,24.63,24.81,230375,1.0,0.0
2000-01-04,24.69,25.0,24.38,24.5,100850,1.0,0.0
2000-01-05,24.75,24.81,24.5,24.69,251950,1.0,0.0
2000-01-06,24.81,25.13,24.56,24.75,142650,1.0,0.0
2000-01-07,24.88,25.69,24.88,25.69,117175,1.0,0.0
2000-01-10,25.63,25.81,25.5,25.63,96275,1.0,0.0
2000-01-11,25.56,25.75,25.31,25.31,98550,1.0,0.0
2000-01-12,25.5,26.0,25.5,25.94,176125,1.0,0.0
2000-01-13,25.94,26.56,25.94,26.5,122650,1.0,0.0
2000-01-14,26.44,26.75,25.88,26.25,104500,1.0,0.0
2000-01-18,26.0,26.25,25.75,25.81,65675,1.0,0.0
2000-01-19,26.0,26.88,26.0,26.13,71825,1.0,0.0
2000-01-20,26.25,26.38,26.0,26.31,56075,1.0,0.0
2000-01-21,26.31,27.69,26.13,27.56,106325,1.0,0.0
2000-01-24,27.56,28.25,27.31,27.56,143225,1.0,0.0
2000-01-25,27.56,28.0,27.06,27.06,84850,1.0,0.0
2000-01-26,27.31,27.69,26.94,27.0,79950,1.0,0.0
2000-01-27,26.69,26.75,26.06,26.06,60750,1.0,0.31
2000-01-28,26.06,26.38,25.94,26.06,65775,1.0,0.0
2000-01-31,26.13,26.56,25.5,26.13,86000,1.0,0.0
2000-02-01,26.0,26.5,25.25,26.25,64625,1.0,0.0
2000-02-02,26.5,26.69,26.13,26.5,73550,1.0,0.0
2000-02-03,26.38,26.69,25.63,26.5,67725,1.0,0.0
2000-02-04,26.5,26.5,25.5,25.81,67600,1.0,0.0
2000-02-07,25.81,25.81,25.19,25.25,126550,1.0,0.0
2000-02-08,25.25,25.25,24.06,24.88,234600,1.0,0.0
2000-02-09,24.63,24.88,24.19,24.44,141050,1.0,0.0
2000-02-10,24.31,24.88,24.31,24.69,53550,1.0,0.0
2000-02-11,24.5,24.75,23.5,23.75,105300,1.0,0.0
2000-02-14,24.0,24.63,23.44,24.31,69100,1.0,0.0
2000-02-15,24.38,25.0,24.38,24.88,116950,1.0,0.0
2000-02-16,24.88,24.94,24.06,24.19,99250,1.0,0.0
2000-02-17,24.31,24.81,24.25,24.31,66925,1.0,0.0
2000-02-18,24.31,24.38,23.94,23.94,73325,1.0,0.0
2000-02-22,23.81,23.81,23.13,23.5,48875,1.0,0.0
2000-02-23,23.5,23.5,23.0,23.19,37900,1.0,0.0
2000-02-24,23.0,23.19,22.19,22.44,120825,1.0,0.0
2000-02-25,22.44,22.75,21.75,21.75,100725,1.0,0.0
2000-02-28,21.88,22.5,21.81,22.38,78450,1.0,0.0
2000-02-29,22.19,22.81,22.13,22.69,82350,1.0,0.0
2000-03-01,22.69,23.0,22.69,23.0,100500,1.0,0.0
2000-03-02,22.81,23.13,22.69,22.75,142200,1.0,0.0
2000-03-03,22.63,23.13,22.31,22.81,91025,1.0,0.0
2000-03-06,22.69,22.75,22.38,22.5,64300,1.0,0.0
2000-03-07,22.56,23.31,22.31,22.88,79725,1.0,0.0
2000-03-08,23.06,23.69,23.0,23.56,98000,1.0,0.0
2000-03-09,23.38,23.75,23.06,23.75,109075,1.0,0.0
2000-03-10,23.63,23.94,23.25,23.81,98675,1.0,0.0
2000-03-13,23.56,23.94,23.19,23.94,144925,1.0,0.0
2000-03-14,23.75,23.75,22.63,22.69,146525,1.0,0.0
2000-03-15,22.88,23.63,22.38,23.13,111125,1.0,0.0
2000-03-16,23.06,24.63,23.06,24.63,103125,1.0,0.0
2000-03-17,24.38,24.38,23.31,24.31,136700,1.0,0.0
2000-03-20,24.56,24.63,24.25,24.63,76750,1.0,0.0
2000-03-21,24.44,25.0,24.31,25.0,76275,1.0,0.0
2000-03-22,25.0,25.56,23.88,24.19,85300,1.0,0.0
2000-03-23,24.44,24.81,23.94,24.13,43175,1.0,0.0
2000-03-24,24.0,24.44,23.94,24.44,57675,1.0,0.0
2000-03-27,24.31,24.75,24.25,24.44,46125,1.0,0.0
2000-03-28,24.44,24.5,23.75,23.75,54700,1.0,0.0
2000-03-29,23.5,24.69,23.5,24.38,48300,1.0,0.0
2000-03-30,24.5,24.75,24.25,24.69,98100,1.0,0.0
2000-03-31,24.69,25.25,24.31,25.0,83375,1.0,0.0
2000-04-03,25.06,25.06,24.75,25.06,44875,1.0,0.0
2000-04-04,24.94,25.13,24.13,24.94,63025,1.0,0.0
2000-04-05,25.13,25.19,24.44,24.63,144600,1.0,0.0
2000-04-06,24.75,25.06,24.44,25.06,58125,1.0,0.0
2000-04-07,25.19,25.31,24.56,24.88,46475,1.0,0.0
2000-04-10,25.06,25.13,24.63,24.69,63725,1.0,0.0
2000-04-11,24.69,24.81,24.25,24.69,90100,1.0,0.0
2000-04-12,24.69,25.0,24.44,24.75,179550,1.0,0.0
