date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,22.12,22.12,20.06,21.5,124000,1.0,0.0
2000-01-04,21.0,21.0,19.56,19.94,147500,1.0,0.0
2000-01-05,20.0,20.63,19.75,20.06,389100,1.0,0.0
2000-01-06,20.25,20.25,18.81,18.94,409600,1.0,0.0
2000-01-07,19.25,19.5,16.19,16.63,1091300,1.0,0.0
2000-01-10,17.0,17.13,16.44,16.81,1644800,1.0,0.0
2000-01-11,17.0,17.06,16.44,16.56,937500,1.0,0.0
2000-01-12,16.56,16.63,15.75,16.25,476800,1.0,0.0
2000-01-13,16.53,16.63,16.19,16.38,445300,1.0,0.0
2000-01-14,16.63,16.63,14.25,14.28,1276700,1.0,0.0
2000-01-18,15.0,15.0,13.56,14.13,2111700,1.0,0.0
2000-01-19,14.5,14.81,13.14,13.31,690900,1.0,0.0
2000-01-20,13.75,13.88,13.19,13.31,602500,1.0,0.0
2000-01-21,13.94,14.06,13.31,13.56,594800,1.0,0.0
2000-01-24,13.84,14.38,13.5,13.5,465300,1.0,0.0
2000-01-25,14.0,14.06,13.25,13.75,478400,1.0,0.0
2000-01-26,13.81,13.88,12.38,12.63,754900,1.0,0.0
2000-01-27,13.25,13.5,12.75,13.31,656400,1.0,0.0
2000-01-28,13.38,13.38,13.0,13.0,871600,1.0,0.0
2000-01-31,13.19,13.44,13.0,13.13,859000,1.0,0.0
2000-02-01,13.06,13.75,13.0,13.38,499400,1.0,0.0
2000-02-02,13.5,13.56,12.63,12.75,593300,1.0,0.0
2000-02-03,13.0,13.75,12.63,13.56,1062800,1.0,0.0
2000-02-04,13.56,13.56,13.13,13.25,558400,1.0,0.0
2000-02-07,13.31,13.5,12.88,13.0,632600,1.0,0.0
2000-02-08,13.06,13.25,12.5,13.25,787200,1.0,0.0
2000-02-09,13.13,13.13,12.06,12.06,629600,1.0,0.0
2000-02-10,12.13,13.13,12.0,13.06,503600,1.0,0.0
2000-02-11,13.06,13.19,11.88,12.19,522800,1.0,0.0
2000-02-14,12.19,12.75,12.13,12.69,397600,1.0,0.0
2000-02-15,12.75,12.75,12.13,12.19,248300,1.0,0.0
2000-02-16,12.25,12.31,11.25,11.5,335700,1.0,0.0
2000-02-17,11.69,11.75,10.5,10.75,842100,1.0,0.0
2000-02-18,10.94,11.63,10.75,10.75,618500,1.0,0.0
2000-02-22,10.94,11.88,10.75,11.25,846900,1.0,0.0
2000-02-23,11.25,11.75,11.0,11.53,271500,1.0,0.0
2000-02-24,11.63,13.63,11.56,13.06,349700,1.0,0.0
2000-02-25,13.03,13.06,12.63,12.88,351000,1.0,0.0
2000-02-28,13.0,13.31,12.69,13.09,300600,1.0,0.0
2000-02-29,13.44,14.5,13.19,14.0,247600,1.0,0.0
2000-03-01,13.94,13.94,12.0,12.06,637300,1.0,0.0
2000-03-02,12.06,12.06,11.06,11.06,487900,1.0,0.0
2000-03-03,11.69,12.13,11.13,12.13,351900,1.0,0.0
2000-03-06,12.06,12.31,10.94,10.94,331000,1.0,0.0
