date,open,high,low,close,volume
2005-02-10,17.5,18.01,17.0,17.75,12701300
2005-02-11,17.6,18.05,17.6,17.92,1738400
2005-02-14,17.8,18.3,17.7,17.9,1009500
2005-02-15,18.0,18.03,17.6,17.72,867300
2005-02-16,17.62,17.7,17.45,17.58,1585800
2005-02-17,17.58,18.19,17.5,18.0,278400
2005-02-18,17.9,18.8,17.9,18.65,436000
2005-02-22,18.66,18.66,17.77,18.1,230500
2005-02-23,18.0,18.24,17.96,18.0,184100
2005-02-24,17.75,18.15,17.7,18.07,267000
2005-02-25,18.13,18.37,18.01,18.15,366900
2005-02-28,18.12,18.22,17.75,18.0,426000
2005-03-01,18.0,18.2,17.75,17.8,459800
2005-03-02,17.8,17.93,17.78,17.82,120700
2005-03-03,17.88,17.88,17.65,17.75,164200
2005-03-04,17.75,18.1,17.69,18.0,436400
2005-03-07,17.95,18.07,17.82,17.96,242000
2005-03-08,17.9,18.0,17.8,18.0,208700
2005-03-09,17.9,17.9,17.6,17.72,314800
2005-03-10,17.7,17.7,17.55,17.6,175100
2005-03-11,17.5,18.51,17.5,18.5,328700
2005-03-14,18.2,18.25,17.87,18.25,206600
2005-03-15,18.1,18.1,17.63,17.63,150600
2005-03-16,17.55,17.65,17.15,17.28,556500
2005-03-17,17.4,17.68,17.33,17.59,339900
2005-03-18,17.6,18.35,17.59,18.2,370500
2005-03-21,18.0,18.1,17.4,18.0,394500
2005-03-22,17.9,17.95,17.45,17.5,194900
2005-03-23,17.48,17.99,17.48,17.87,115000
2005-03-24,18.0,18.15,17.8,17.99,370500
2005-03-28,17.95,17.98,17.56,17.9,77000
2005-03-29,17.75,18.0,17.57,18.0,545400
2005-03-30,18.0,18.04,17.63,18.0,412900
2005-03-31,17.95,18.28,17.54,17.65,1264900
2005-04-01,17.5,17.64,17.15,17.49,946600
2005-04-04,17.4,17.45,16.8,16.94,602300
2005-04-05,16.9,17.0,16.79,17.0,375200
2005-04-06,17.0,17.14,16.95,17.04,231200
2005-04-07,16.9,17.0,16.5,17.0,313300
2005-04-08,17.0,17.0,16.6,16.75,187000
2005-04-11,16.75,17.3,16.71,17.17,144500
2005-04-12,17.2,17.28,16.97,17.28,96300
2005-04-13,17.28,17.35,17.15,17.35,227200
2005-04-14,17.35,17.93,17.35,17.66,132900
2005-04-15,17.8,18.24,17.8,17.85,619800
2005-04-18,17.9,18.15,17.7,18.02,259500
2005-04-19,18.01,18.23,17.85,17.95,378400
2005-04-20,18.0,18.2,17.8,17.9,143100
2005-04-21,17.99,18.27,17.88,18.2,196300
2005-04-22,18.02,18.02,17.12,17.37,232600
2005-04-25,17.45,17.65,17.21,17.52,169300
2005-04-26,17.45,17.45,17.06,17.31,121500
2005-04-27,17.3,17.35,16.95,17.15,178600
2005-04-28,17.1,17.45,16.95,17.3,88700
2005-04-29,17.4,18.0,17.25,18.0,197400
2005-05-02,18.0,18.0,17.64,17.8,299800
2005-05-03,17.8,17.8,17.64,17.76,312600
2005-05-04,17.79,17.95,17.53,17.54,56300
2005-05-05,17.6,17.98,17.59,17.95,83700
2005-05-06,17.93,17.97,17.8,17.85,38300
2005-05-09,17.8,17.98,17.75,17.98,78400
2005-05-10,17.9,18.05,17.6,17.9,418000
2005-05-11,17.8,17.85,17.5,17.6,210200
2005-05-12,17.55,17.64,17.23,17.3,174600
2005-05-13,17.3,17.31,17.1,17.31,267400
2005-05-16,17.25,17.58,17.21,17.36,350300
2005-05-17,17.26,17.3,17.12,17.2,296300
2005-05-18,17.23,17.25,17.08,17.12,281200
2005-05-19,17.1,17.12,17.0,17.03,303700
2005-05-20,16.99,17.03,16.9,16.92,159300
2005-05-23,16.91,17.0,16.66,16.84,575700
2005-05-24,16.83,16.84,16.2,16.47,685100
2005-05-25,16.4,16.5,15.8,16.49,325000
2005-05-26,16.49,16.51,16.35,16.5,244100
2005-05-27,16.5,17.07,16.5,16.9,40700
2005-05-31,16.9,17.18,16.84,17.0,321300
2005-06-01,17.0,17.98,17.0,17.53,179300
2005-06-02,17.53,17.6,17.37,17.55,101000
2005-06-03,17.65,17.75,17.4,17.5,99900
2005-06-06,17.5,17.61,17.42,17.61,104500
2005-06-07,17.62,17.65,16.98,17.12,70800
2005-06-08,17.1,17.1,16.75,16.9,89300
2005-06-09,16.89,17.2,16.82,17.05,173900
2005-06-10,17.1,17.1,16.88,17.08,93800
2005-06-13,17.0,17.35,17.0,17.2,67400
2005-06-14,17.15,17.94,17.15,17.85,110700
2005-06-15,17.95,18.09,17.69,18.08,180900
2005-06-16,18.07,18.1,17.78,17.95,140800
2005-06-17,17.94,18.0,17.3,17.7,374400
2005-06-20,17.65,18.5,17.59,18.19,65700
2005-06-21,18.21,18.33,18.0,18.28,119100
2005-06-22,18.28,18.39,18.26,18.38,120600
2005-06-23,18.38,18.7,18.31,18.45,237400
2005-06-24,18.45,18.78,18.13,18.75,675500
2005-06-27,18.75,18.75,18.1,18.43,213200
2005-06-28,18.45,19.0,18.45,19.0,158500
2005-06-29,19.0,19.5,19.0,19.5,194600
2005-06-30,19.5,19.67,19.25,19.5,122300
2005-07-01,19.5,19.97,19.41,19.9,94900
2005-07-05,19.91,20.2,19.753,20.2,259400
2005-07-06,20.17,20.32,20.01,20.25,92600
2005-07-07,20.05,20.65,19.75,20.57,154700
2005-07-08,20.6,21.11,20.6,21.03,182200
2005-07-11,21.1,21.15,20.624,20.7,201000
2005-07-12,20.7,20.7,19.99,20.0,193700
2005-07-13,20.05,20.2,19.4,19.42,104100
2005-07-14,19.65,19.77,19.5,19.5,174000
2005-07-15,19.45,19.58,19.35,19.4,33400
2005-07-18,19.4,19.47,19.25,19.44,170500
2005-07-19,19.5,19.88,19.5,19.65,238700
2005-07-20,19.6,20.4,19.6,19.85,91300
2005-07-21,20.0,20.0,19.45,19.66,107100
2005-07-22,19.61,19.64,18.96,19.6,98200
2005-07-25,19.65,19.75,19.57,19.75,71400
2005-07-26,19.7,20.0,19.7,20.0,153200
2005-07-27,20.0,20.04,19.8,20.04,133000
2005-07-28,14.9,14.9,10.1,11.9,14748300
2005-07-29,11.9,11.91,11.02,11.25,2481700
2005-08-01,11.24,11.35,11.15,11.24,1157000
2005-08-02,11.24,11.93,11.19,11.93,1516500
2005-08-03,11.93,13.15,11.9,13.01,2028600
2005-08-04,12.95,13.01,12.5,12.95,1041400
2005-08-05,12.85,13.15,12.77,13.05,672300
2005-08-08,13.25,13.5,13.0,13.08,222200
2005-08-09,13.18,13.25,12.5,12.75,303300
2005-08-10,12.76,12.84,12.43,12.6,228800
2005-08-11,12.61,12.7,12.31,12.55,310500
2005-08-12,12.5,12.75,12.4,12.53,196500
2005-08-15,12.52,12.58,12.43,12.49,160200
2005-08-16,12.47,12.6,12.4,12.6,306400
2005-08-17,12.58,12.95,12.5,12.84,91000
2005-08-18,12.79,12.8,12.5,12.54,117900
2005-08-19,12.54,12.57,12.43,12.49,170800
2005-08-22,12.48,12.65,12.45,12.57,193100
2005-08-23,12.6,13.0,12.6,12.8,113000
2005-08-24,12.82,13.17,12.78,13.01,219800
2005-08-25,13.07,13.08,12.8,12.93,215800
2005-08-26,12.9,13.02,12.74,12.92,224100
2005-08-29,13.0,13.04,12.95,13.0,195100
2005-08-30,13.0,13.02,12.84,12.9,129900
2005-08-31,12.86,12.99,12.83,12.87,172900
2005-09-01,12.83,12.99,12.8,12.89,141200
2005-09-02,12.89,12.98,12.84,12.86,237100
2005-09-06,12.86,12.89,12.73,12.85,149500
2005-09-07,12.8,12.83,12.45,12.5,184300
2005-09-08,12.45,12.5,12.38,12.42,127200
2005-09-09,12.4,12.46,11.99,12.27,181200
2005-09-12,12.21,12.32,12.1,12.26,136600
2005-09-13,12.25,12.35,11.85,12.0,201000
2005-09-14,11.9,12.02,11.8,11.81,241200
2005-09-15,11.86,12.0,11.85,11.97,161700
2005-09-16,12.03,12.04,11.72,11.84,218900
2005-09-19,12.06,12.12,11.92,11.99,178000
2005-09-20,11.95,12.05,11.93,11.93,316400
2005-09-21,11.95,11.95,11.6,11.61,514200
2005-09-22,11.63,11.63,11.5,11.51,107800
2005-09-23,11.8,12.35,11.8,12.28,842000
2005-09-26,12.35,12.75,12.13,12.45,395000
2005-09-27,12.4,12.46,12.21,12.31,434100
2005-09-28,12.25,12.42,12.05,12.3,232800
2005-09-29,12.3,12.4,12.1,12.29,157400
2005-09-30,12.25,12.35,12.15,12.32,148800
2005-10-03,12.35,12.45,12.25,12.31,288900
2005-10-04,12.35,12.42,12.1,12.15,541600
2005-10-05,12.18,12.2,11.89,11.99,275400
2005-10-06,11.98,12.04,11.9,11.95,232500
2005-10-07,11.95,12.1,11.93,12.05,396600
2005-10-10,12.06,12.2,12.06,12.16,85100
2005-10-11,12.18,12.24,11.9,12.01,555100
2005-10-12,12.0,12.13,11.96,12.0,140400
2005-10-13,12.0,12.1,11.95,12.09,64900
2005-10-14,12.09,12.17,11.95,11.96,231900
2005-10-17,11.96,12.0,11.9,12.0,134300
2005-10-18,12.0,12.0299,11.85,12.0,279300
2005-10-19,11.95,12.15,11.8,12.09,120000
2005-10-20,12.09,12.1,11.7,11.9,127500
2005-10-21,11.9,12.0,11.56,11.71,160000
2005-10-24,11.71,11.95,11.71,11.93,54800
2005-10-25,11.9,11.9899,11.55,11.98,74700
2005-10-26,11.98,12.0,11.71,11.93,59200
2005-10-27,11.87,11.95,11.56,11.65,140900
2005-10-28,11.71,12.01,11.41,11.97,245400
2005-10-31,11.97,12.13,11.85,12.05,705400
2005-11-01,12.05,12.05,11.75,11.87,492200
2005-11-02,11.91,12.0,11.81,11.97,93100
2005-11-03,12.0,12.25,12.0,12.2,167200
2005-11-04,12.2,12.2,11.95,12.16,81600
2005-11-07,12.18,12.2,12.1,12.2,92100
2005-11-08,12.13,12.2,12.0,12.03,272300
2005-11-09,12.03,12.03,11.45,11.8,343400
2005-11-10,11.8,11.8,11.31,11.56,253300
2005-11-11,11.52,11.68,11.42,11.43,127400
2005-11-14,11.33,11.33,10.3,10.42,489200
2005-11-15,10.1,10.11,9.37,9.8,1507900
2005-11-16,9.79,9.85,9.62,9.72,834100
2005-11-17,9.75,10.3,9.62,10.11,1234100
2005-11-18,10.12,10.93,10.1,10.57,818800
2005-11-21,10.55,10.94,10.45,10.6,432300
2005-11-22,10.62,11.2,10.435,11.12,398000
2005-11-23,11.18,12.0,11.18,11.92,817800
2005-11-25,11.82,11.94,11.82,11.9,72200
2005-11-28,11.95,11.99,11.63,11.84,270400
2005-11-29,11.93,11.97,11.63,11.92,187000
2005-11-30,11.94,12.05,11.9,12.02,322600
2005-12-01,12.05,12.3,12.05,12.1,737900
2005-12-02,12.06,12.36,12.03,12.1,198300
2005-12-05,12.09,12.14,11.85,12.12,153600
2005-12-06,12.05,12.1,11.66,11.79,238500
2005-12-07,11.84,11.88,11.56,11.75,162300
2005-12-08,11.7,11.82,11.4,11.59,347600
2005-12-09,11.66,11.69,11.33,11.47,196600
2005-12-12,11.48,11.54,11.3,11.36,198400
2005-12-13,11.35,11.36,11.2,11.3,195000
2005-12-14,11.31,11.45,11.2,11.45,169800
2005-12-15,11.42,11.55,11.22,11.36,235600
2005-12-16,11.39,11.66,11.3501,11.57,1406200
2005-12-19,11.58,11.75,11.52,11.7,161200
2005-12-20,11.75,11.85,11.53,11.74,71700
2005-12-21,11.82,11.98,11.7,11.95,146900
2005-12-22,11.95,11.97,11.82,11.97,197800
2005-12-23,11.97,12.0,11.95,11.99,97500
2005-12-27,11.99,12.07,11.58,11.68,101300
2005-12-28,11.68,11.88,11.67,11.83,45600
