date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,32.06,32.38,31.63,31.88,12213800,1.0,0.0
2000-01-04,31.25,31.5,30.0,30.69,13481000,1.0,0.0
2000-01-05,30.88,31.88,30.81,31.25,12316500,1.0,0.0
2000-01-06,31.25,32.75,31.19,32.31,10545800,1.0,0.0
2000-01-07,34.0,34.88,32.31,34.5,17041900,1.0,0.0
2000-01-10,35.0,35.0,34.06,34.44,9880200,1.0,0.0
2000-01-11,34.25,35.0,34.13,34.38,9247700,1.0,0.0
2000-01-12,34.5,35.31,34.44,35.13,10838000,1.0,0.0
2000-01-13,34.94,37.13,34.63,37.0,26286400,1.0,0.0
2000-01-14,37.44,37.63,37.0,37.0,16182000,1.0,0.0
2000-01-18,37.13,37.25,35.81,36.5,10872500,1.0,0.0
2000-01-19,36.75,37.06,36.31,37.0,10053500,1.0,0.0
2000-01-20,36.75,36.88,35.81,36.39,7980400,1.0,0.0
2000-01-21,36.56,36.56,35.0,35.06,12355600,1.0,0.0
2000-01-24,35.0,35.25,33.38,34.38,13030800,1.0,0.0
2000-01-25,34.5,35.44,34.31,34.88,9396200,1.0,0.0
2000-01-26,34.81,35.0,34.38,34.88,7332800,1.0,0.0
2000-01-27,34.56,35.44,34.5,34.5,8594600,1.0,0.0
2000-01-28,34.5,35.69,33.88,35.19,11228300,1.0,0.0
2000-01-31,34.0,36.5,34.0,36.19,10089700,1.0,0.0
2000-02-01,35.56,37.19,35.5,37.0,11713200,1.0,0.0
2000-02-02,36.94,37.0,36.0,36.0,7141500,1.0,0.0
2000-02-03,36.06,36.63,35.31,35.63,8794000,1.0,0.0
2000-02-04,36.13,36.13,35.31,35.75,6609100,1.0,0.0
2000-02-07,35.88,37.0,35.56,37.0,12713400,1.0,0.0
2000-02-08,37.06,37.94,36.88,37.81,15360700,1.0,0.0
2000-02-09,37.63,37.69,36.13,36.13,11207200,1.0,0.0
2000-02-10,36.5,36.5,35.0,35.0,10577500,1.0,0.0
2000-02-11,35.56,35.56,34.0,35.0,10172000,1.0,0.0
2000-02-14,33.56,35.31,33.56,35.0,8393400,1.0,0.0
2000-02-15,35.06,35.88,34.75,35.56,7832700,1.0,0.0
2000-02-16,35.0,35.06,33.75,33.75,9873900,1.0,0.09
2000-02-17,34.13,34.38,33.63,34.0,8495100,1.0,0.0
2000-02-18,34.0,34.0,32.88,34.0,10314100,1.0,0.0
2000-02-22,33.44,33.81,33.13,33.5,8735300,1.0,0.0
2000-02-23,33.81,34.0,32.94,34.0,9090200,1.0,0.0
2000-02-24,32.88,33.31,32.56,33.06,9286600,1.0,0.0
2000-02-25,33.0,33.25,32.0,32.38,8255000,1.0,0.0
2000-02-28,32.13,32.44,31.94,32.19,8108300,1.0,0.0
2000-02-29,32.88,32.88,31.63,32.13,11809600,1.0,0.0
2000-03-01,32.13,32.44,31.5,31.88,10993200,1.0,0.0
2000-03-02,32.0,32.0,31.5,32.0,8352200,1.0,0.0
2000-03-03,33.5,33.5,31.5,32.63,10046100,1.0,0.0
2000-03-06,32.06,32.56,31.5,31.69,10581200,1.0,0.0
2000-03-07,31.38,31.5,30.0,30.0,14535400,1.0,0.0
2000-03-08,31.0,33.13,30.19,32.44,18806400,1.0,0.0
2000-03-09,32.63,34.38,32.25,34.38,18199200,1.0,0.0
2000-03-10,35.13,35.25,34.0,35.0,19474800,1.0,0.0
2000-03-13,35.13,35.13,33.5,34.31,11671200,1.0,0.0
2000-03-14,34.19,34.19,33.0,33.25,8641400,1.0,0.0
2000-03-15,33.88,35.63,33.75,35.25,15513800,1.0,0.0
2000-03-16,36.19,36.56,35.63,36.5,18352100,1.0,0.0
2000-03-17,36.06,36.31,35.5,35.81,12775500,1.0,0.0
2000-03-20,36.0,36.06,34.0,35.0,7863500,1.0,0.0
2000-03-21,36.06,37.0,35.81,36.69,13597400,1.0,0.0
2000-03-22,35.75,36.13,34.63,35.63,17387200,1.0,0.0
2000-03-23,34.81,35.94,34.81,35.25,10118600,1.0,0.0
2000-03-24,35.25,35.88,34.81,34.88,8998600,1.0,0.0
2000-03-27,34.88,35.5,34.69,34.75,9267300,1.0,0.0
2000-03-28,34.25,35.56,34.25,35.06,8812800,1.0,0.0
2000-03-29,35.25,36.75,35.1,36.38,13952700,1.0,0.0
2000-03-30,36.44,36.81,36.06,36.5,9920100,1.0,0.0
2000-03-31,36.56,36.88,35.69,36.56,8655100,1.0,0.0
2000-04-03,37.0,38.63,36.75,38.0,19046500,1.0,0.0
2000-04-04,38.69,40.0,38.0,39.75,33556300,1.0,0.0
2000-04-05,38.5,39.19,38.38,38.63,9818400,1.0,0.0
2000-04-06,38.13,38.63,37.75,38.38,9527600,1.0,0.0
2000-04-07,38.5,39.44,38.44,38.81,9315500,1.0,0.0
2000-04-10,38.94,40.31,38.75,39.81,15381000,1.0,0.0
2000-04-11,39.75,40.5,39.56,39.81,13082800,1.0,0.0
2000-04-12,39.5,41.0,39.25,40.38,16946900,1.0,0.0
2000-04-13,40.19,40.38,38.94,39.63,12536000,1.0,0.0
2000-04-14,38.94,39.06,36.88,37.94,13730900,1.0,0.0
2000-04-17,37.25,38.88,37.0,38.0,13853300,1.0,0.0
2000-04-18,38.0,39.63,38.0,39.56,14219400,1.0,0.0
2000-04-19,39.69,42.5,39.38,41.81,20078700,1.0,0.0
2000-04-20,42.13,42.13,40.75,41.5,10864700,1.0,0.0
2000-04-24,41.5,44.25,41.25,43.5,14900400,1.0,0.0
2000-04-25,43.13,43.75,42.19,43.44,10370700,1.0,0.0
2000-04-26,42.75,43.5,42.5,43.5,10414700,1.0,0.0
2000-04-27,42.0,43.56,42.0,42.75,10267500,1.0,0.0
2000-04-28,42.75,42.88,41.75,42.13,8958800,1.0,0.0
2000-05-01,42.25,43.5,41.31,41.81,8255400,1.0,0.0
2000-05-02,42.0,43.25,41.88,42.94,10711100,1.0,0.0
2000-05-03,42.94,43.44,42.25,42.69,11521700,1.0,0.0
2000-05-04,42.5,43.31,42.25,43.0,6383900,1.0,0.0
2000-05-05,42.38,44.94,42.06,44.63,12594200,1.0,0.0
2000-05-08,45.0,46.38,44.94,46.13,18289500,1.0,0.0
2000-05-09,45.56,45.69,44.38,44.63,11133100,1.0,0.09
2000-05-10,44.06,45.19,43.13,43.39,10410100,1.0,0.0
2000-05-11,43.56,43.63,42.31,42.7,9846200,1.0,0.0
2000-05-12,42.38,43.38,41.69,43.09,7795100,1.0,0.0
2000-05-15,42.81,44.25,42.69,44.0,8204100,1.0,0.0
2000-05-16,44.44,44.88,43.25,44.5,12376600,1.0,0.0
2000-05-17,44.5,45.31,44.19,45.0,14091000,1.0,0.0
2000-05-18,45.13,45.56,44.75,45.19,7234800,1.0,0.0
2000-05-19,44.69,44.75,43.81,44.19,7276100,1.0,0.0
2000-05-22,44.44,45.19,43.25,43.94,9069600,1.0,0.0
2000-05-23,43.81,44.5,43.19,44.19,6953200,1.0,0.0
2000-05-24,43.38,44.94,43.38,44.25,8318300,1.0,0.0
2000-05-25,44.56,45.75,44.44,45.66,10206700,1.0,0.0
2000-05-26,44.88,45.44,44.69,45.13,5971500,1.0,0.0
2000-05-30,44.06,44.44,43.69,44.19,8301200,1.0,0.0
2000-05-31,43.75,44.75,43.69,44.5,7012900,1.0,0.0
2000-06-01,45.69,46.13,44.88,45.0,9953800,1.0,0.0
2000-06-02,45.94,45.94,43.25,43.56,10402400,1.0,0.0
2000-06-05,43.81,43.94,42.25,42.75,9707400,1.0,0.0
2000-06-06,43.0,43.81,42.44,43.44,9478800,1.0,0.0
2000-06-07,43.44,44.19,43.25,43.5,5563800,1.0,0.0
2000-06-08,43.75,44.44,43.56,44.25,6412700,1.0,0.0
2000-06-09,44.38,46.0,44.13,46.0,6633600,1.0,0.0
2000-06-12,45.06,45.75,44.38,44.38,5685000,1.0,0.0
2000-06-13,45.38,46.38,45.06,45.84,11281600,1.0,0.0
2000-06-14,45.94,46.94,45.88,46.59,11057900,1.0,0.0
2000-06-15,46.38,47.0,46.13,47.0,8344800,1.0,0.0
2000-06-16,46.44,48.13,46.44,47.94,14399100,1.0,0.0
2000-06-19,47.81,47.81,46.75,46.75,8305600,1.0,0.0
2000-06-20,46.63,46.88,45.25,46.25,11017800,1.0,0.0
