date,open,high,low,close,volume
2015-10-09,11.0,13.4,11.0,12.17,7318429
2015-10-12,13.05,13.5,12.6886,12.87,1718490
2015-10-13,13.45,13.45,12.35,12.4,580653
2015-10-14,12.73,12.84,12.25,12.53,381556
2015-10-15,12.6,13.29,12.5,12.74,736154
2015-10-16,12.93,12.99,12.46,12.53,751934
2015-10-19,12.41,12.5,11.99,12.02,563039
2015-10-20,12.01,12.26,11.4,11.46,679479
2015-10-21,11.18,11.4,10.49,11.06,730307
2015-10-22,11.12,11.12,10.54,10.62,536952
2015-10-23,10.62,10.864,10.49,10.53,405236
2015-10-26,10.6,10.87,10.53,10.87,261896
2015-10-27,11.0,11.2899,10.77,10.94,158452
2015-10-28,10.91,11.23,10.86,11.22,104060
2015-10-29,11.11,11.3008,10.8822,11.05,183736
2015-10-30,11.1,11.12,10.98,11.1,117706
2015-11-02,11.0,11.12,10.93,11.03,139392
2015-11-03,11.32,11.71,11.115,11.41,333788
2015-11-04,11.5,11.73,11.4101,11.7,477316
2015-11-05,11.97,12.23,11.8,12.13,376958
2015-11-06,12.34,12.34,11.66,11.9,323173
2015-11-09,12.3,12.3,11.71,11.87,146023
2015-11-10,11.76,12.4,11.7236,12.11,193343
2015-11-11,12.54,12.58,12.16,12.3,575235
2015-11-12,12.5,12.5,10.0504,11.74,1340857
2015-11-13,12.0,12.0,9.66,10.91,1177739
2015-11-16,10.75,10.965,10.52,10.75,209010
2015-11-17,10.52,10.6399,10.02,10.28,272949
2015-11-18,10.28,10.37,10.0,10.1,372658
2015-11-19,10.06,10.16,8.42,10.1,750021
2015-11-20,10.1,10.719,9.5724,10.71,498951
2015-11-23,10.75,10.99,10.33,10.42,489760
2015-11-24,10.31,10.74,9.78,9.94,431274
2015-11-25,9.85,10.14,9.53,9.7,185503
2015-11-27,9.74,9.9899,9.52,9.66,145469
2015-11-30,9.56,10.09,9.56,9.71,520156
2015-12-01,9.77,9.77,9.16,9.54,471675
2015-12-02,9.46,10.02,9.41,9.94,274676
2015-12-03,9.95,9.95,9.5,9.78,304415
2015-12-04,9.84,10.05,9.8,9.95,180292
2015-12-07,10.11,10.401,9.95,9.97,400156
2015-12-08,10.04,10.1,9.96,10.0,164145
2015-12-09,10.05,10.2,9.95,9.98,412081
2015-12-10,10.2,10.2,9.95,9.99,159680
2015-12-11,10.13,10.35,10.02,10.17,314558
2015-12-14,10.21,10.2899,9.95,9.97,178151
2015-12-15,9.95,10.28,9.915,9.98,424306
2015-12-16,10.03,10.23,9.72,9.75,396159
2015-12-17,9.73,10.03,9.705,9.94,539998
2015-12-18,9.97,10.58,9.72,9.72,2831900
2015-12-21,9.78,10.18,9.51,10.07,257480
2015-12-22,10.34,10.34,9.91,10.05,221856
2015-12-23,9.98,10.2,9.93,10.09,149020
2015-12-24,9.97,10.62,9.94,10.62,142306
2015-12-28,10.42,10.59,10.06,10.5,235074
2015-12-29,10.45,10.475,10.16,10.37,173921
2015-12-30,10.32,10.61,10.2,10.52,344348
2015-12-31,10.47,10.89,9.75,10.66,416127
2016-01-04,10.39,10.9,10.3,10.9,338392
2016-01-05,10.72,11.1,10.72,11.08,264938
2016-01-06,10.83,11.065,10.67,10.78,211138
2016-01-07,10.5,10.765,10.1001,10.3,273860
2016-01-08,10.19,10.51,10.16,10.28,162737
2016-01-11,10.53,10.53,9.5902,10.37,334883
2016-01-12,10.23,10.38,9.68,9.88,632761
2016-01-13,9.75,9.9,9.27,9.45,168830
2016-01-14,9.4,9.7,9.12,9.42,153153
2016-01-15,9.23,9.35,8.695,8.97,356380
2016-01-19,8.97,9.05,8.68,8.94,203595
2016-01-20,9.0,9.0,8.132,8.88,296144
2016-01-21,9.1,9.115,7.61,7.7,569155
2016-01-22,8.04,8.7,7.52,7.8,1101536
2016-01-25,7.59,7.95,7.345,7.87,370366
2016-01-26,7.77,8.45,7.66,8.28,405326
2016-01-27,8.1,8.5,8.1,8.47,287126
2016-01-28,8.43,9.05,8.28,8.62,508221
2016-01-29,8.69,8.79,8.16,8.41,361200
2016-02-01,8.22,8.68,8.0801,8.42,212330
2016-02-02,8.4,8.79,8.1,8.16,295112
2016-02-03,8.19,8.25,7.86,8.05,140613
2016-02-04,8.17,8.22,7.79,7.91,204311
2016-02-05,7.8,8.13,7.6,7.9,91491
2016-02-08,7.82,8.23,7.8,8.13,303115
2016-02-09,8.02,8.3,7.95,8.12,191685
2016-02-10,8.28,8.28,7.76,7.88,273783
2016-02-11,7.67,8.1799,7.51,7.79,347329
2016-02-12,7.8,7.81,7.66,7.81,120109
2016-02-16,8.0,8.0,7.77,7.91,335028
2016-02-17,7.86,8.0,7.79,8.0,228482
2016-02-18,7.83,8.0,7.73,7.76,346347
2016-02-19,7.76,7.99,7.63,7.85,323053
2016-02-22,7.81,8.02,7.67,7.71,158395
2016-02-23,7.62,8.15,7.6174,7.89,643644
2016-02-24,7.79,7.91,7.36,7.58,234059
2016-02-25,7.6,8.0,7.38,8.0,556996
2016-02-26,7.99,8.0,7.81,7.92,334338
2016-02-29,7.9,8.0,7.83,7.91,293945
2016-03-01,7.95,7.95,7.79,7.89,233167
2016-03-02,7.85,7.95,7.83,7.91,144050
2016-03-03,7.96,8.35,7.85,8.03,251962
2016-03-04,8.1,8.5,7.973,8.03,132074
2016-03-07,7.97,8.42,7.97,8.1,259714
2016-03-08,8.07,8.195,7.78,7.97,202774
2016-03-09,8.03,8.18,7.88,7.9,79062
2016-03-10,7.87,8.089,7.8,7.83,79893
2016-03-11,7.88,8.04,7.55,7.79,261302
2016-03-14,7.91,8.225,7.76,7.98,488872
2016-03-15,8.01,8.01,7.83,7.87,181674
2016-03-16,7.9,8.04,7.79,7.9,136461
2016-03-17,7.96,8.05,7.72,8.0,335873
2016-03-18,8.0,8.1344,7.85,7.9,233556
2016-03-21,7.99,7.99,7.67,7.73,226904
2016-03-22,7.79,7.8,7.65,7.67,118275
2016-03-23,7.75,8.04,7.52,7.7,274965
2016-03-24,7.76,7.95,7.61,7.8,174666
2016-03-28,7.81,7.99,7.58,7.91,57910
2016-03-29,7.99,8.05,7.77,8.0,98283
2016-03-30,8.0,8.1,7.98,8.02,331757
2016-03-31,8.06,8.24,8.03,8.24,274118
2016-04-01,8.17,8.1899,7.93,8.0,141799
2016-04-04,8.0,8.2,7.97,8.01,226904
2016-04-05,7.99,8.13,7.93,8.0,106553
2016-04-06,8.0,8.4,8.0,8.39,204703
2016-04-07,8.31,8.51,8.08,8.47,263006
2016-04-08,8.55,8.85,8.51,8.83,136321
2016-04-11,8.81,8.98,8.73,8.79,111693
2016-04-12,8.81,9.07,8.75,9.03,145664
2016-04-13,9.25,9.25,8.89,8.97,359672
2016-04-14,8.95,9.075,8.73,8.84,290981
2016-04-15,8.78,8.96,8.75,8.78,95581
2016-04-18,8.81,8.8399,8.53,8.7,213544
2016-04-19,8.71,8.85,8.59,8.64,232559
2016-04-20,8.66,8.88,8.59,8.8,234208
2016-04-21,8.78,8.86,8.71,8.75,182746
2016-04-22,8.81,8.85,8.38,8.52,147589
2016-04-25,8.58,8.58,8.3,8.39,184582
2016-04-26,8.42,8.51,8.26,8.34,162743
2016-04-27,8.32,8.5,8.1,8.14,175938
2016-04-28,8.08,8.3,8.07,8.19,164109
2016-04-29,8.21,8.34,7.91,7.93,169396
2016-05-02,7.9,8.15,7.9,8.08,54414
2016-05-03,8.02,8.02,7.79,7.86,142292
2016-05-04,7.88,7.9344,7.6708,7.8,137415
2016-05-05,7.9,7.95,7.72,7.77,120112
2016-05-06,7.73,7.8795,7.7,7.86,91072
2016-05-09,7.87,7.87,7.79,7.79,90003
2016-05-10,7.76,7.94,7.62,7.84,162556
2016-05-11,7.83,7.85,7.62,7.66,189970
2016-05-12,4.54,4.87,3.89,4.01,3164754
2016-05-13,4.01,4.24,3.81,4.03,582105
2016-05-16,4.23,4.23,3.94,3.98,315272
2016-05-17,4.12,4.155,3.8,3.875,422921
2016-05-18,3.88,3.94,3.83,3.88,469353
2016-05-19,3.88,3.9465,3.54,3.59,407347
2016-05-20,3.6,3.8,3.38,3.78,753732
2016-05-23,3.8,4.0,3.7901,3.99,251822
2016-05-24,3.98,4.07,3.9021,4.05,153682
2016-05-25,4.05,4.18,4.02,4.13,207882
2016-05-26,4.15,4.17,4.01,4.03,247436
2016-05-27,4.04,4.14,4.04,4.1,147765
2016-05-31,4.16,4.2,4.06,4.16,343119
2016-06-01,4.11,4.2,4.05,4.2,87732
2016-06-02,4.21,4.46,4.2,4.37,183967
2016-06-03,4.35,4.35,4.23,4.23,148498
2016-06-06,4.25,4.42,4.25,4.3,234595
2016-06-07,4.4,4.59,4.39,4.44,358621
2016-06-08,4.47,4.7,4.45,4.66,323422
2016-06-09,4.69,4.7,4.61,4.62,247999
2016-06-10,4.59,4.61,4.45,4.6,541901
2016-06-13,4.57,4.63,4.5,4.62,164676
2016-06-14,4.52,4.72,4.515,4.7,108566
2016-06-15,4.73,4.76,4.56,4.62,92988
2016-06-16,4.63,4.705,4.4801,4.65,76554
2016-06-17,4.67,4.71,4.54,4.64,220027
2016-06-20,4.68,4.89,4.61,4.83,209729
2016-06-21,4.85,4.89,4.63,4.83,187909
2016-06-22,4.85,4.97,4.73,4.8,147971
2016-06-23,4.9,4.9,4.71,4.75,175902
2016-06-24,4.62,4.69,4.3,4.5,815554
2016-06-27,4.44,4.67,4.43,4.48,222008
2016-06-28,4.71,4.99,4.54,4.69,414449
2016-06-29,4.75,4.89,4.69,4.83,153564
2016-06-30,4.83,5.02,4.75,5.01,236325
2016-07-01,5.02,5.05,4.86,5.0,118969
2016-07-05,4.99,5.08,4.93,5.0,115806
2016-07-06,4.98,4.98,4.8,4.91,126830
2016-07-07,4.9,4.9721,4.81,4.83,95678
2016-07-08,4.84,4.96,4.73,4.75,295477
2016-07-11,4.73,4.77,4.45,4.48,354053
2016-07-12,4.47,4.84,4.47,4.75,391798
2016-07-13,4.8,5.15,4.76,5.05,218761
2016-07-14,5.09,5.14,4.94,4.96,218408
2016-07-15,5.0,5.08,4.9005,5.0,198400
2016-07-18,5.01,5.05,4.7638,4.78,196400
2016-07-19,4.76,4.78,4.68,4.72,160802
2016-07-20,4.72,4.88,4.69,4.8,173334
2016-07-21,4.78,4.83,4.72,4.76,93923
2016-07-22,4.75,4.82,4.73,4.74,100040
2016-07-25,4.77,4.82,4.7,4.74,77796
2016-07-26,4.74,4.95,4.7,4.79,243849
2016-07-27,4.82,4.88,4.7,4.85,138164
2016-07-28,4.88,4.89,4.7,4.84,145254
2016-07-29,4.79,4.8199,4.65,4.72,91834
2016-08-01,4.73,4.73,4.48,4.6,108671
2016-08-02,4.59,4.75,4.59,4.6,157992
2016-08-03,4.58,4.62,4.55,4.6,82198
2016-08-04,4.6,4.75,4.56,4.61,245212
2016-08-05,4.6,4.6318,4.51,4.58,161849
2016-08-08,4.6,4.67,4.34,4.44,186167
2016-08-09,4.4,4.64,4.4,4.44,219348
2016-08-10,4.4,4.43,4.16,4.17,370608
2016-08-11,4.25,4.83,4.23,4.6,1097599
2016-08-12,4.54,4.83,4.53,4.75,530138
2016-08-15,4.79,4.89,4.75,4.83,391481
2016-08-16,4.8,4.85,4.76,4.82,172125
2016-08-17,4.79,4.9,4.75,4.82,145378
2016-08-18,4.84,4.945,4.78,4.86,380341
2016-08-19,4.84,4.89,4.795,4.87,133097
2016-08-22,4.85,5.2,4.82,5.0,429910
2016-08-23,5.0,5.24,4.91,5.2,232719
2016-08-24,5.2,5.2312,5.0301,5.04,108165
2016-08-25,5.01,5.09,5.01,5.09,74553
2016-08-26,5.06,5.25,4.87,5.025,148027
2016-08-29,5.04,5.41,5.0,5.28,456855
2016-08-30,5.3,5.719,5.3,5.52,388734
2016-08-31,5.53,5.66,5.41,5.52,216079
2016-09-01,5.51,5.61,5.31,5.52,106700
2016-09-02,5.57,5.62,5.4,5.46,135509
2016-09-06,5.46,5.57,5.4001,5.57,125156
2016-09-07,5.55,5.6885,5.55,5.65,122180
2016-09-08,5.69,5.865,5.65,5.75,142751
2016-09-09,5.72,5.74,5.3277,5.55,175891
2016-09-12,5.52,5.83,5.52,5.83,246187
2016-09-13,5.74,5.88,5.57,5.87,154939
2016-09-14,5.83,5.88,5.75,5.85,145583
2016-09-15,5.87,6.15,5.86,6.02,248664
2016-09-16,6.05,6.05,5.86,6.0,224541
2016-09-19,5.98,6.04,5.92,5.99,249585
2016-09-20,6.0,6.05,5.91,5.94,78910
2016-09-21,5.93,6.0,5.83,5.93,143074
2016-09-22,5.94,6.05,5.84,6.04,120006
2016-09-23,6.05,6.1,5.98,6.06,151150
2016-09-26,6.05,6.05,5.96,6.0,116967
2016-09-27,5.95,6.09,5.86,6.07,97184
2016-09-28,6.01,6.09,5.941,6.07,131686
2016-09-29,6.04,6.09,5.93,5.95,86570
2016-09-30,5.94,6.09,5.875,6.04,73283
2016-10-03,6.06,6.15,6.01,6.11,127382
2016-10-04,6.08,6.14,6.05,6.06,136790
2016-10-05,6.11,6.15,6.05,6.12,80929
