date,open,high,low,close,volume
2013-04-19,30.56,34.67,30.26,33.52,21676800
2013-04-22,33.68,33.93,32.75,32.92,1611700
2013-04-23,32.92,33.46,32.55,32.85,821900
2013-04-24,32.64,33.2,31.765,32.47,702900
2013-04-25,32.48,34.12,32.03,33.2,719000
2013-04-26,32.93,33.19,32.01,32.32,893500
2013-04-29,32.04,33.24,32.04,33.16,368100
2013-04-30,32.95,33.85,32.94,33.6,345300
2013-05-01,33.2,33.51,32.63,33.05,151400
2013-05-02,33.12,33.78,33.12,33.69,215700
2013-05-03,34.0,34.0,32.85,33.13,212900
2013-05-06,33.0,33.12,32.63,33.0,366700
2013-05-07,32.89,33.84,32.79,33.72,711400
2013-05-08,33.27,35.94,33.26,34.02,824600
2013-05-09,33.75,34.82,33.6,34.35,296500
2013-05-10,34.49,35.19,34.49,35.16,220900
2013-05-13,35.19,37.0,35.11,36.86,593800
2013-05-14,36.96,37.062,36.36,36.92,171000
2013-05-15,36.9,37.58,36.9,37.35,506200
2013-05-16,37.4,37.5,37.325,37.35,206500
2013-05-17,37.61,39.03,37.41,38.88,1053000
2013-05-20,38.55,39.65,38.18,38.85,452500
2013-05-21,38.78,39.23,37.83,38.11,783200
2013-05-22,38.11,38.68,37.17,37.73,451000
2013-05-23,37.0,37.49,34.62,37.46,959800
2013-05-24,37.4,38.54,37.176,37.99,155100
2013-05-28,38.72,38.78,37.51,37.71,339700
2013-05-29,36.26,37.13,35.6,36.15,572400
2013-05-30,36.03,36.23,35.351,35.6,451400
2013-05-31,35.67,36.39,34.84,35.39,454100
2013-06-03,35.02,35.64,34.17,35.64,807900
2013-06-04,36.01,37.27,35.7825,36.6,286000
2013-06-05,36.59,37.15,36.37,36.39,130200
2013-06-06,36.47,37.49,36.35,37.45,253100
2013-06-07,37.48,37.775,37.15,37.56,105900
2013-06-10,37.53,37.848,37.0001,37.73,254300
2013-06-11,37.22,37.315,36.75,37.02,195800
2013-06-12,37.18,37.25,36.39,36.63,206000
2013-06-13,36.49,37.13,35.64,37.13,232300
2013-06-14,36.85,38.08,36.56,37.95,271600
2013-06-17,38.34,39.058,37.48,37.9,301200
2013-06-18,37.7,38.48,37.64,37.99,115000
2013-06-19,37.97,38.49,37.72,38.28,408100
2013-06-20,37.98,38.37,37.72,38.0,580900
2013-06-21,37.99,38.31,37.68,37.73,1200100
2013-06-24,37.43,37.68,36.3,37.43,220800
2013-06-25,37.65,37.7,36.08,36.3,271600
2013-06-26,36.49,36.555,34.88,35.55,837100
2013-06-27,35.6,35.9,34.81,35.1,395300
2013-06-28,35.13,35.9692,35.04,35.1,1664200
2013-07-01,35.1,36.73,34.86,36.41,375600
2013-07-02,36.4,36.52,35.37,35.7,248100
2013-07-03,35.55,35.5706,34.88,35.17,226400
2013-07-05,35.28,36.2,35.2,35.45,188900
2013-07-08,35.48,36.61,35.48,36.49,380500
2013-07-09,36.74,38.5,36.49,38.47,1122800
2013-07-10,38.5,38.94,37.854,38.53,286500
2013-07-11,38.95,39.0,38.2,38.92,355300
2013-07-12,38.949,38.99,37.992,38.32,199100
2013-07-15,38.36,39.19,38.32,38.88,194400
2013-07-16,38.88,38.92,37.9,38.71,171200
2013-07-17,38.55,38.72,38.15,38.3,68200
2013-07-18,38.3,38.48,37.73,38.18,107100
2013-07-19,38.06,38.669,37.99,38.3,128900
2013-07-22,38.23,38.23,37.89,38.05,76500
2013-07-23,38.06,38.94,38.0,38.33,466900
2013-07-24,38.29,38.5775,37.5,37.81,846700
2013-07-25,37.7,37.9,37.14,37.47,128700
2013-07-26,37.27,37.67,36.79,37.63,108400
2013-07-29,37.53,37.91,37.3,37.54,12800
2013-07-30,37.41,37.95,36.58,36.81,368700
2013-07-31,36.76,37.265,36.15,36.67,246600
2013-08-01,36.76,37.13,36.67,37.01,105600
2013-08-02,37.04,37.48,36.46,36.61,341000
2013-08-05,36.6,37.17,36.27,37.0,320300
2013-08-06,37.0,37.0,36.5585,36.88,260800
2013-08-07,36.7,36.95,36.43,36.51,153300
2013-08-08,36.69,36.706,35.74,35.74,214700
2013-08-09,35.75,36.02,35.17,35.95,194500
2013-08-12,35.71,36.52,35.31,36.46,195300
2013-08-13,36.47,36.6798,35.88,36.31,345400
2013-08-14,33.0,35.4,32.83,34.94,2239400
2013-08-15,34.76,34.76,33.41,33.49,312400
2013-08-16,33.62,34.23,33.38,33.88,133000
2013-08-19,33.76,33.912,33.37,33.51,105500
2013-08-20,33.57,33.81,33.43,33.47,91100
2013-08-21,33.48,33.83,33.01,33.38,78500
2013-08-22,33.37,33.61,33.0,33.54,227000
2013-08-23,33.64,33.665,33.0,33.29,189200
2013-08-26,33.36,33.71,33.0,33.07,79500
2013-08-27,32.9,33.06,31.66,31.76,1150200
2013-08-28,31.69,31.9,29.6,29.7,959400
2013-08-29,30.0,31.7,29.49,29.59,1862600
2013-08-30,29.83,30.24,29.6,29.93,396000
2013-09-03,30.31,30.88,29.53,29.8,663500
2013-09-04,29.69,29.775,28.97,29.34,999800
2013-09-05,29.43,30.07,28.85,30.05,485200
2013-09-06,30.01,30.29,29.35,30.0,847400
2013-09-09,30.02,30.12,28.84,29.26,592800
2013-09-10,29.28,30.17,29.25,29.78,526300
2013-09-11,29.68,29.83,28.38,28.65,608900
2013-09-12,30.5,31.34,29.56,30.84,1210700
2013-09-13,30.91,31.43,30.11,31.43,348200
2013-09-16,31.55,31.79,30.72,30.96,367300
2013-09-17,30.89,31.28,30.85,31.21,237400
2013-09-18,30.95,31.64,30.85,31.3,162100
2013-09-19,31.31,31.73,31.1,31.56,267300
2013-09-20,31.63,31.91,31.51,31.73,394900
2013-09-23,31.65,32.0,31.36,31.73,585400
2013-09-24,31.77,31.88,31.3701,31.65,218100
2013-09-25,31.64,31.84,30.55,30.78,1184700
2013-09-26,30.76,30.969,30.2,30.53,174800
2013-09-27,30.42,30.7,30.09,30.21,77700
2013-09-30,30.0,30.24,29.39,29.63,310700
2013-10-01,29.71,30.68,29.65,30.3,358200
2013-10-02,30.21,30.32,29.9,30.08,77600
2013-10-03,30.0,30.18,29.455,29.65,213100
2013-10-04,29.68,29.68,28.73,29.3,882900
2013-10-07,29.07,29.34,29.07,29.13,85200
2013-10-08,29.06,29.145,27.91,28.19,259000
2013-10-09,28.19,28.3444,27.4801,27.66,447300
2013-10-10,27.91,28.2,27.82,28.05,500600
2013-10-11,27.95,28.89,27.9,28.62,285700
2013-10-14,28.62,28.76,27.92,28.74,491000
2013-10-15,28.62,29.17,28.39,28.56,270900
2013-10-16,28.8,29.41,28.8,29.21,270200
2013-10-17,29.19,29.76,29.09,29.57,285900
2013-10-18,29.72,30.21,29.6,29.98,287700
2013-10-21,29.96,29.96,29.43,29.76,252300
2013-10-22,29.77,30.13,29.22,29.43,232700
2013-10-23,29.17,29.39,28.69,28.71,196700
2013-10-24,28.71,29.8,28.675,29.76,260500
2013-10-25,29.76,30.145,29.48,29.99,124300
2013-10-28,29.94,30.56,29.6,30.33,328200
2013-10-29,30.39,30.62,29.91,30.03,230000
2013-10-30,30.12,30.49,29.48,29.85,176500
2013-10-31,29.78,30.19,29.72,30.03,197300
2013-11-01,29.96,29.96,29.4,29.73,256100
2013-11-04,29.75,29.96,28.99,29.67,114900
2013-11-05,29.52,29.71,29.13,29.33,146500
2013-11-06,29.37,30.78,29.2,30.48,312500
2013-11-07,30.49,31.01,30.35,30.87,536700
2013-11-08,30.85,31.07,30.38,30.67,165500
2013-11-11,30.6,31.72,30.505,31.2,502700
2013-11-12,32.68,33.02,31.78,31.92,766200
2013-11-13,31.9,32.87,31.8,32.82,559700
2013-11-14,32.73,34.0,30.37,30.68,2573600
2013-11-15,30.79,32.25,30.79,31.5,1520800
2013-11-18,31.45,32.26,31.45,32.05,512500
2013-11-19,31.9,32.4,31.65,31.81,386800
2013-11-20,31.24,32.29,29.73,31.19,569100
2013-11-21,31.12,31.59,30.53,30.59,270000
2013-11-22,30.64,30.93,30.37,30.52,203400
2013-11-25,30.65,30.72,29.61,29.86,314400
2013-11-26,29.86,30.26,29.45,29.6,591900
2013-11-27,29.34,30.28,29.314,29.65,319800
2013-11-29,29.65,29.82,29.43,29.82,123900
2013-12-02,29.73,30.35,29.46,30.01,416200
2013-12-03,29.99,30.25,29.39,29.65,859600
2013-12-04,29.66,30.2,29.39,29.55,280000
2013-12-05,29.61,30.25,29.468,29.68,356000
2013-12-06,29.83,30.2,29.568,29.66,200700
2013-12-09,29.48,30.004,29.25,29.85,286700
2013-12-10,29.35,30.13,29.26,29.63,1526500
2013-12-11,29.6,30.24,29.45,30.08,1555600
2013-12-12,29.79,30.14,29.11,29.41,7587400
2013-12-13,29.4,29.61,28.76,29.31,3148500
2013-12-16,29.36,29.94,29.22,29.49,1443700
2013-12-17,29.5,29.78,29.25,29.33,644600
2013-12-18,29.08,29.87,28.97,29.72,617400
2013-12-19,29.54,29.87,29.21,29.27,545200
2013-12-20,29.25,29.6,29.088,29.34,923300
2013-12-23,29.33,29.49,28.67,28.79,3287000
2013-12-24,28.77,29.09,28.43,29.07,972200
2013-12-26,29.03,29.14,28.44,28.54,802800
2013-12-27,28.68,28.68,28.25,28.63,1702900
2013-12-30,28.69,28.69,28.02,28.12,1294200
2013-12-31,28.1,28.98,28.0,28.77,2283100
