date,open,high,low,close,volume
2000-01-03,27.06,27.19,24.25,25.13,6071500
2000-01-04,17.88,21.56,17.88,20.0,35728500
2000-01-05,20.0,20.63,18.63,20.0,10122500
2000-01-06,19.56,21.0,18.56,19.19,6169000
2000-01-07,19.19,20.0,18.69,19.31,4340500
2000-01-10,19.69,19.75,18.88,19.38,6787250
2000-01-11,19.19,20.06,18.94,19.06,5475500
2000-01-12,19.44,19.44,18.19,19.25,4624500
2000-01-13,19.63,20.75,19.0,20.63,5272250
2000-01-14,20.94,21.13,19.69,19.81,3882000
2000-01-18,19.81,20.75,19.56,19.94,7438000
2000-01-19,20.5,23.0,20.13,22.0,8035000
2000-01-20,22.75,23.0,21.13,22.06,4013500
2000-01-21,22.38,22.5,21.25,21.44,4270000
2000-01-24,22.0,22.5,20.5,21.0,3396500
2000-01-25,21.25,23.63,21.25,22.88,5455750
2000-01-26,23.0,24.31,22.38,22.44,3190000
2000-01-27,23.19,23.38,20.75,22.19,2895750
2000-01-28,21.69,22.5,20.44,20.81,3650750
2000-01-31,20.56,21.75,19.94,21.44,4074750
2000-02-01,21.75,22.81,21.63,22.75,2909250
2000-02-02,22.88,22.88,21.19,22.13,3241750
2000-02-03,22.63,23.69,22.0,23.31,4328250
2000-02-04,23.44,24.19,22.25,22.88,3804500
2000-02-07,23.88,24.06,22.31,22.88,3173500
2000-02-08,23.13,24.0,22.69,22.88,3466500
2000-02-09,23.25,23.81,21.06,21.56,4102500
2000-02-10,21.75,23.0,21.69,22.94,2801750
2000-02-11,22.88,23.25,22.31,22.5,1978250
2000-02-14,23.0,23.0,21.88,22.5,3567250
2000-02-15,22.81,23.0,21.25,21.69,3912750
2000-02-16,22.13,22.56,21.81,22.25,3391750
2000-02-17,22.94,27.63,22.69,27.19,12437750
2000-02-18,26.88,27.0,25.25,25.63,6463500
2000-02-22,26.13,26.75,23.25,24.5,5313500
2000-02-23,24.69,27.69,24.69,27.0,6597250
2000-02-24,28.06,29.06,26.13,28.94,5564750
2000-02-25,29.31,29.5,27.44,27.88,4765250
2000-02-28,28.0,30.06,27.38,29.25,6650500
2000-02-29,30.06,30.69,29.31,30.31,5358250
2000-03-01,31.13,31.25,29.5,30.44,3892250
2000-03-02,30.56,30.63,27.81,28.75,4262000
2000-03-03,29.13,29.56,28.25,29.56,3304000
2000-03-06,29.63,29.69,28.5,28.69,2486500
2000-03-07,29.0,29.44,27.5,28.75,3568750
2000-03-08,28.88,29.0,27.19,28.94,3103000
2000-03-09,29.19,32.0,29.13,31.94,6936500
2000-03-10,31.94,32.88,30.25,30.88,4081750
2000-03-13,30.19,30.88,28.94,29.19,3903250
2000-03-14,29.64,30.0,27.44,27.5,4368500
2000-03-15,28.13,28.94,25.75,26.44,4386000
2000-03-16,26.69,29.69,26.44,28.75,4505000
2000-03-17,29.0,30.44,28.5,29.69,3906750
2000-03-20,29.75,29.94,25.0,25.56,5358500
2000-03-21,25.69,27.13,24.5,26.88,5625000
2000-03-22,27.13,28.13,26.0,27.06,3019000
2000-03-23,26.25,28.0,25.75,26.19,2729500
2000-03-24,26.81,27.88,26.31,27.19,3098750
2000-03-27,27.13,27.13,25.13,25.88,3584500
2000-03-28,25.81,26.44,25.38,25.5,2456250
2000-03-29,25.56,25.75,22.69,23.44,5397500
2000-03-30,23.0,24.25,21.0,22.13,3757500
2000-03-31,22.44,23.13,20.38,21.06,6916500
2000-04-03,19.88,19.94,10.5,10.75,28138750
2000-04-04,11.5,11.5,8.56,9.16,44278500
2000-04-05,9.0,9.75,8.66,9.47,22769500
2000-04-06,10.19,10.56,9.75,9.97,15114000
2000-04-07,10.56,11.38,10.0,11.25,15995000
2000-04-10,12.0,12.94,11.56,11.63,18114250
2000-04-11,11.63,11.75,10.44,10.56,11772500
2000-04-12,11.0,11.06,9.97,10.03,13373000
2000-04-13,10.38,10.44,9.25,9.33,10895750
2000-04-14,9.19,9.66,8.25,8.34,10791500
2000-04-17,8.44,9.06,7.75,8.06,13261500
2000-04-18,8.44,9.72,8.38,9.25,11882000
2000-04-19,9.25,9.25,8.19,8.63,7184250
2000-04-20,8.81,8.94,8.0,8.16,5711000
2000-04-24,8.13,8.38,7.38,8.34,10026750
2000-04-25,8.75,8.97,7.88,8.75,10011250
2000-04-26,8.75,8.75,7.88,8.06,11552000
2000-04-27,7.88,8.5,7.66,8.25,5603500
2000-04-28,8.44,8.69,8.0,8.16,4637500
2000-05-01,8.31,9.16,8.25,8.94,6638500
2000-05-02,8.81,8.94,8.0,8.03,4333000
2000-05-03,8.09,8.88,7.97,8.16,7441500
2000-05-04,8.44,8.75,8.22,8.5,4375250
2000-05-05,8.56,8.94,8.38,8.38,4162250
2000-05-08,8.44,10.44,8.34,10.38,11726250
2000-05-09,10.13,10.75,9.5,10.03,9031500
2000-05-10,9.75,10.13,9.38,9.94,4540250
2000-05-11,10.06,10.5,9.81,10.38,5450500
2000-05-12,10.44,10.94,10.25,10.38,3955750
2000-05-15,10.56,10.63,10.0,10.56,5974750
2000-05-16,11.0,11.13,10.75,10.88,7889500
2000-05-17,10.69,10.88,10.38,10.56,4659000
2000-05-18,10.44,10.56,9.13,9.34,7643000
2000-05-19,9.81,9.88,8.88,9.13,5049750
2000-05-22,9.22,9.28,8.13,8.91,4943500
2000-05-23,9.03,9.13,8.19,8.31,3492500
2000-05-24,8.69,8.69,8.03,8.56,6167000
2000-05-25,8.66,8.69,8.0,8.06,6139000
2000-05-26,8.25,8.38,7.97,8.0,4894250
2000-05-30,8.22,9.5,8.19,9.5,8983750
2000-05-31,9.25,11.63,9.0,10.63,16142750
2000-06-01,11.13,11.88,10.75,11.31,9243250
