date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,28.25,28.25,27.75,28.19,64000,1.0,0.0
2000-01-04,27.94,28.13,27.5,28.13,164267,1.0,0.0
2000-01-05,27.88,28.88,27.75,28.63,146600,1.0,0.0
2000-01-06,28.44,28.75,27.99,27.99,106600,1.0,0.0
2000-01-07,28.63,28.63,27.38,27.88,65467,1.0,0.0
2000-01-10,27.75,28.06,26.88,28.06,61467,1.0,0.0
2000-01-11,28.31,30.31,28.31,29.31,179267,1.0,0.0
2000-01-12,29.44,30.13,29.19,29.75,87067,1.0,0.0
2000-01-13,29.88,29.94,29.44,29.88,169400,1.0,0.0
2000-01-14,30.0,30.5,29.94,30.38,155800,1.0,0.0
2000-01-18,30.31,30.31,29.25,29.31,76000,1.0,0.0
2000-01-19,29.25,29.88,28.06,29.81,82667,1.0,0.0
2000-01-20,34.88,38.0,34.06,36.06,1298700,1.0,0.0
2000-01-21,36.31,37.38,34.5,35.25,318000,1.0,0.0
2000-01-24,35.5,36.13,34.63,35.25,163400,1.0,0.0
2000-01-25,35.38,36.75,35.06,35.69,134667,1.0,0.0
2000-01-26,35.63,35.69,35.19,35.69,90667,1.0,0.0
2000-01-27,35.75,35.75,34.0,34.13,51667,1.0,0.0
2000-01-28,34.13,34.13,33.38,33.63,47600,1.0,0.0
2000-01-31,33.38,33.38,32.44,32.75,40800,1.0,0.0
2000-02-01,32.63,34.13,32.5,33.56,136867,1.0,0.0
2000-02-02,33.63,34.88,33.38,34.88,275667,1.0,0.0
2000-02-03,34.81,35.75,34.5,35.06,224000,1.0,0.0
2000-02-04,35.19,35.19,34.0,34.13,118867,1.0,0.0
2000-02-07,34.25,34.75,34.25,34.5,65600,1.0,0.0
2000-02-08,34.56,35.94,34.56,35.88,136067,1.0,0.0
2000-02-09,36.0,37.88,35.94,36.63,217867,1.0,0.0
2000-02-10,36.63,37.25,35.88,36.0,63000,1.0,0.0
2000-02-11,36.06,36.25,35.5,35.69,28067,1.0,0.0
2000-02-14,35.44,35.44,35.0,35.13,95600,1.0,0.0
2000-02-15,34.88,35.13,34.69,34.88,86267,1.0,0.0
2000-02-16,35.0,35.0,34.5,34.5,92200,1.0,0.0
2000-02-17,34.63,34.75,34.19,34.44,82400,1.0,0.0
2000-02-18,34.5,35.5,34.38,35.31,190667,1.0,0.0
2000-02-22,35.38,38.0,35.38,37.13,342067,1.0,0.0
2000-02-23,37.88,40.88,37.81,40.31,862667,1.0,0.0
2000-02-24,41.75,41.88,39.5,39.75,430800,1.0,0.0
2000-02-25,39.75,40.0,38.56,38.88,181400,1.0,0.0
2000-02-28,39.0,39.44,38.5,39.06,155400,1.0,0.0
2000-02-29,39.25,40.88,39.13,40.5,308600,1.0,0.0
2000-03-01,40.88,44.5,40.81,44.0,874467,1.0,0.0
2000-03-02,44.25,48.0,44.0,47.0,814267,1.0,0.0
2000-03-03,47.44,47.5,46.0,46.38,282600,1.0,0.0
2000-03-06,46.63,46.75,45.25,45.75,123600,1.0,0.0
2000-03-07,46.0,46.75,44.75,46.0,392867,1.0,0.0
2000-03-08,46.25,47.25,45.88,46.88,244600,1.0,0.0
2000-03-09,47.13,47.31,45.5,46.5,346667,1.0,0.0
2000-03-10,47.75,51.63,47.69,50.75,541200,1.0,0.0
2000-03-13,50.75,53.25,49.75,52.25,520800,1.0,0.0
2000-03-14,55.0,56.25,54.38,54.94,495800,1.0,0.0
2000-03-15,55.5,56.88,51.25,56.56,604000,1.0,0.0
2000-03-16,56.44,58.0,56.0,57.94,428267,1.0,0.0
2000-03-17,58.0,59.44,58.0,59.13,213800,1.0,0.0
2000-03-20,59.69,60.0,58.5,58.63,277067,1.0,0.0
2000-03-21,58.38,58.5,57.44,57.75,466667,1.0,0.0
2000-03-22,57.5,57.5,56.0,56.5,330067,1.0,0.0
2000-03-23,56.25,62.0,56.13,62.0,543400,1.0,0.0
2000-03-24,62.0,65.62,62.0,65.0,344200,1.0,0.0
2000-03-27,67.88,70.25,63.0,63.0,671600,1.0,0.0
2000-03-28,63.13,63.5,59.75,60.0,358667,1.0,0.0
2000-03-29,60.0,60.13,56.75,58.06,335800,1.0,0.0
2000-03-30,58.13,60.88,57.25,60.0,432400,1.0,0.0
2000-03-31,60.75,62.0,60.0,60.69,304200,1.0,0.0
2000-04-03,61.25,63.94,60.75,63.0,311467,1.0,0.0
2000-04-04,63.0,63.31,53.0,53.88,589400,1.0,0.0
2000-04-05,53.88,59.63,51.0,58.88,551200,1.0,0.0
2000-04-06,59.13,61.88,58.88,61.63,356267,1.0,0.0
2000-04-07,61.88,63.0,59.25,61.19,349867,1.0,0.0
2000-04-10,41.38,43.44,41.25,41.94,240300,1.5,0.0
2000-04-11,41.75,41.75,39.56,40.0,419600,1.0,0.0
2000-04-12,40.25,42.88,40.19,41.5,277000,1.0,0.0
2000-04-13,41.5,42.0,39.0,40.25,347100,1.0,0.0
2000-04-14,39.25,39.25,37.0,39.25,692300,1.0,0.0
2000-04-17,38.5,38.75,36.25,37.38,587300,1.0,0.0
2000-04-18,37.0,39.69,36.75,39.31,371800,1.0,0.0
2000-04-19,39.56,41.38,39.0,41.0,288900,1.0,0.0
2000-04-20,41.06,42.69,41.06,42.0,226200,1.0,0.0
2000-04-24,41.75,41.81,39.19,39.5,288900,1.0,0.0
2000-04-25,39.5,41.81,39.5,41.75,211000,1.0,0.0
2000-04-26,41.75,42.56,39.88,40.25,168500,1.0,0.0
2000-04-27,40.31,41.69,39.5,41.44,133000,1.0,0.0
2000-04-28,41.63,47.0,41.63,46.44,638900,1.0,0.0
2000-05-01,46.63,49.75,46.63,49.75,576800,1.0,0.0
2000-05-02,49.75,50.5,49.0,49.19,420800,1.0,0.0
2000-05-03,48.94,48.94,46.81,47.69,350100,1.0,0.0
2000-05-04,53.0,54.0,50.31,52.63,1430600,1.0,0.0
2000-05-05,52.88,57.88,52.38,55.63,875900,1.0,0.0
2000-05-08,55.75,55.75,52.56,52.81,503800,1.0,0.0
2000-05-09,53.0,54.0,51.5,52.31,490700,1.0,0.0
2000-05-10,52.19,52.19,47.63,49.44,537200,1.0,0.0
2000-05-11,50.5,55.75,50.5,55.63,760400,1.0,0.0
2000-05-12,55.63,56.88,52.75,52.75,573500,1.0,0.0
2000-05-15,52.81,54.0,51.25,52.56,361000,1.0,0.0
2000-05-16,53.31,54.63,53.19,54.06,374600,1.0,0.0
2000-05-17,53.75,54.94,53.38,54.81,205600,1.0,0.0
2000-05-18,54.63,55.38,52.5,52.69,231200,1.0,0.0
2000-05-19,52.0,52.25,50.0,51.38,245000,1.0,0.0
2000-05-22,51.88,52.75,50.0,50.44,382900,1.0,0.0
2000-05-23,50.0,50.0,47.13,47.81,536400,1.0,0.0
2000-05-24,47.56,47.56,40.75,43.94,883300,1.0,0.0
2000-05-25,45.0,47.94,43.25,44.5,667400,1.0,0.0
2000-05-26,44.75,45.63,43.69,44.94,232700,1.0,0.0
2000-05-30,45.63,48.13,45.38,47.5,454000,1.0,0.0
2000-05-31,47.88,49.44,46.88,49.0,482300,1.0,0.0
