date,open,high,low,close,volume
2018-03-28,23.0,24.4,18.66,18.66,2961641
2018-03-29,18.74,19.858,18.203,18.7,637998
2018-04-02,18.68,19.095,16.57,17.72,198697
2018-04-03,17.7,17.79,16.12,16.49,286230
2018-04-04,16.45,18.0,16.3,17.66,220582
2018-04-05,17.91,18.94,17.785,18.69,324157
2018-04-06,18.92,18.92,17.885,18.04,219777
2018-04-09,18.7,18.9,17.5,17.68,138631
2018-04-10,18.0,18.395,16.31,16.93,336665
2018-04-11,16.89,18.86,16.89,18.86,203245
2018-04-12,18.88,20.26,18.769,20.03,134201
2018-04-13,20.38,20.79,19.85,20.0,95123
2018-04-16,20.18,20.5,20.0,20.37,180272
2018-04-17,20.63,22.4,20.585,20.97,302247
2018-04-18,20.88,21.99,20.6,21.4,125089
2018-04-19,21.19,21.45,20.8,21.0,54286
2018-04-20,21.05,21.534,20.1,20.4,86827
2018-04-23,20.61,20.81,19.727,19.9,166346
2018-04-24,19.97,21.235,19.53,20.08,153271
2018-04-25,20.02,20.29,19.88,20.01,23528
2018-04-26,20.12,21.01,20.12,20.64,26930
2018-04-27,20.8,21.17,20.8,20.85,85839
2018-04-30,20.95,20.95,19.79,19.99,94197
2018-05-01,20.0,20.63,19.873,20.08,91297
2018-05-02,20.08,20.99,19.97,20.5,118337
2018-05-03,20.46,21.53,20.221,21.22,142118
2018-05-04,21.26,21.865,20.86,21.55,80016
2018-05-07,21.73,22.134,20.95,21.1,64721
2018-05-08,21.15,21.79,20.82,21.25,115330
2018-05-09,21.27,21.98,20.605,20.99,234084
2018-05-10,21.23,21.6,20.34,20.58,70802
2018-05-11,20.67,21.0,19.968,20.18,76302
2018-05-14,20.2,21.21,18.07,19.43,236400
2018-05-15,19.19,20.2,18.76,19.39,85828
2018-05-16,19.67,20.76,19.125,19.56,133610
2018-05-17,19.49,20.114,19.06,19.35,71922
2018-05-18,19.35,20.71,19.05,19.86,71361
2018-05-21,20.02,20.18,19.3,19.73,67612
2018-05-22,19.88,20.25,19.52,20.03,45875
2018-05-23,19.757,20.13,19.44,19.77,27532
2018-05-24,19.75,20.25,19.2,19.81,53522
2018-05-25,19.76,20.28,19.31,19.87,91080
2018-05-29,19.9,20.3,19.37,19.62,57702
2018-05-30,19.82,20.19,19.6,20.1,87990
2018-05-31,19.99,20.53,19.78,20.13,105142
2018-06-01,20.3,20.62,19.82,20.2,139392
2018-06-04,20.37,20.82,20.11,20.45,105670
2018-06-05,20.35,20.8,19.6,19.99,150000
2018-06-06,20.28,21.28,19.87,20.9,94595
2018-06-07,20.795,21.36,20.345,20.98,53650
2018-06-08,20.65,21.24,20.27,20.66,162032
2018-06-11,20.8,21.35,19.9,20.3,236953
2018-06-12,20.15,21.25,19.73,19.82,157820
2018-06-13,20.18,20.22,19.215,19.68,253216
2018-06-14,19.7,20.55,19.64,19.84,181928
2018-06-15,19.77,20.325,19.43,19.57,423992
2018-06-18,19.49,19.845,18.315,18.66,175705
2018-06-19,18.6,19.285,18.05,19.06,203720
2018-06-20,19.37,20.51,19.05,20.12,191075
2018-06-21,20.09,20.589,19.47,19.81,125205
2018-06-22,19.84,21.395,19.51,20.75,1336945
2018-06-25,20.87,21.03,19.65,19.85,165412
2018-06-26,19.81,20.32,19.27,19.8,121237
2018-06-27,19.91,20.35,19.61,19.9,138546
2018-06-28,19.9,20.13,19.61,19.87,86981
2018-06-29,20.03,20.64,19.57,20.4,129218
2018-07-02,20.19,21.987,19.9,20.24,187878
2018-07-03,20.29,20.71,20.06,20.24,106021
2018-07-05,20.42,20.64,20.101,20.6,83139
2018-07-06,20.55,22.07,20.43,21.4,102317
2018-07-09,21.47,22.73,21.131,22.38,85607
2018-07-10,22.39,23.518,22.39,22.49,128543
2018-07-11,22.48,22.59,20.683,20.79,194246
2018-07-12,21.14,21.74,20.78,21.74,29625
2018-07-13,21.64,21.92,21.525,21.76,60703
2018-07-16,21.8,21.95,21.11,21.61,81399
2018-07-17,21.68,21.98,21.39,21.44,57281
2018-07-18,21.45,21.45,20.59,20.86,130327
2018-07-19,20.85,21.45,20.593,21.41,52549
2018-07-20,21.39,21.75,21.29,21.49,50854
2018-07-23,21.45,21.76,21.08,21.14,42634
2018-07-24,20.89,21.595,19.83,19.98,103092
2018-07-25,20.01,20.12,19.25,19.5,35186
2018-07-26,19.51,19.885,19.15,19.33,119859
2018-07-27,19.37,19.4,17.65,18.93,190540
2018-07-30,18.77,18.976,17.371,17.63,46111
2018-07-31,17.66,19.409,17.17,17.61,97527
2018-08-01,17.61,18.51,17.21,17.57,108432
2018-08-02,17.53,18.05,16.35,17.73,76321
2018-08-03,17.73,18.22,16.65,16.75,59998
2018-08-06,16.62,17.3,15.88,16.85,142266
2018-08-07,16.85,17.35,16.4,16.6,38940
2018-08-08,16.98,17.24,16.02,16.42,32359
2018-08-09,16.5,16.67,16.133,16.37,62156
2018-08-10,16.29,16.56,15.37,15.54,70083
2018-08-13,15.63,16.323,15.22,15.67,144427
2018-08-14,15.89,17.344,15.67,16.83,149049
2018-08-15,16.85,17.26,16.0,16.6,157291
2018-08-16,16.74,17.41,16.0,17.35,87475
2018-08-17,17.26,17.54,16.06,16.19,66104
2018-08-20,16.21,16.23,15.07,15.66,112640
2018-08-21,15.66,16.83,15.52,16.62,64693
2018-08-22,16.62,16.83,16.03,16.17,76051
2018-08-23,16.17,17.37,15.86,16.96,63987
2018-08-24,16.93,17.01,15.95,16.0,63481
2018-08-27,16.02,16.25,15.49,15.62,64243
2018-08-28,15.65,16.17,15.47,15.92,40307
2018-08-29,15.89,16.27,15.72,15.94,77517
2018-08-30,15.94,16.75,15.75,16.42,164375
2018-08-31,16.38,16.89,16.05,16.65,29097
2018-09-04,16.72,16.8,16.25,16.47,39159
2018-09-05,16.44,17.09,16.03,17.06,56595
2018-09-06,17.1,17.1,15.94,15.96,77649
2018-09-07,15.85,16.47,15.85,16.35,41253
2018-09-10,16.41,18.33,16.35,17.92,153664
2018-09-11,17.71,18.37,17.49,17.83,83397
