date,open,high,low,close,volume
2000-01-03,3.125,3.125,3.0,3.063,132400
2000-01-04,3.0,3.109,2.875,3.063,60500
2000-01-05,2.969,3.063,2.969,3.0,89100
2000-01-06,3.063,3.188,2.938,3.063,125500
2000-01-07,3.094,3.375,3.063,3.313,175700
2000-01-10,3.438,4.5,3.313,3.75,183700
2000-01-11,3.813,4.0,3.5,3.75,174700
2000-01-12,3.813,4.125,3.625,3.688,670500
2000-01-13,3.625,4.0,3.625,3.75,83000
2000-01-14,3.875,4.25,3.75,4.25,658100
2000-01-18,3.938,4.125,3.813,4.125,384000
2000-01-19,4.0,4.125,3.844,4.0,139700
2000-01-20,4.125,4.375,3.875,4.25,354300
2000-01-21,4.25,4.375,4.125,4.375,245300
2000-01-24,4.5,5.625,4.375,4.938,1203300
2000-01-25,5.063,5.438,4.75,5.188,428200
2000-01-26,5.188,5.25,4.813,5.0,451000
2000-01-27,5.0,5.25,4.688,4.75,259600
2000-01-28,4.781,5.125,4.5,4.563,227000
2000-01-31,4.563,4.625,4.125,4.5,196100
2000-02-01,4.563,4.625,4.313,4.5,150800
2000-02-02,4.5,4.5,4.188,4.375,215600
2000-02-03,4.563,4.625,4.25,4.375,113700
2000-02-04,4.438,5.0,4.406,4.688,265200
2000-02-07,4.438,4.75,4.25,4.375,345300
2000-02-08,4.25,4.625,4.25,4.594,148900
2000-02-09,4.813,5.5,4.625,5.469,365700
2000-02-10,5.406,7.5,5.406,7.438,1503100
2000-02-11,7.625,7.875,6.0,6.125,758300
2000-02-14,7.5,7.5,6.375,6.906,1253900
2000-02-15,7.031,7.813,6.813,7.688,579900
2000-02-16,8.375,9.438,8.125,8.5,2719500
2000-02-17,9.188,12.63,9.0,12.25,6480200
2000-02-18,14.06,14.06,12.13,13.44,2708200
2000-02-22,14.0,14.25,10.13,11.38,1936800
2000-02-23,12.0,12.0,10.0,10.75,927900
2000-02-24,10.06,10.38,8.625,9.938,1462100
2000-02-25,9.688,11.94,9.625,10.75,1805600
2000-02-28,10.88,13.0,10.88,12.88,1093400
2000-02-29,13.94,14.0,12.88,13.13,1194000
2000-03-01,13.44,16.63,13.38,16.25,2311200
2000-03-02,17.75,18.0,15.13,15.5,1947500
2000-03-03,17.0,17.06,15.5,16.63,1142700
2000-03-06,17.0,17.0,14.25,14.69,827600
2000-03-07,15.69,15.88,12.75,14.94,1325000
2000-03-08,15.63,15.88,13.38,13.75,652200
2000-03-09,14.13,14.13,12.31,13.69,871500
2000-03-10,13.88,14.75,12.75,14.44,608400
2000-03-13,12.38,13.13,11.0,11.63,955600
2000-03-14,11.69,12.0,9.563,9.75,1452000
2000-03-15,10.0,11.5,9.875,11.38,832100
2000-03-16,11.44,12.31,9.75,10.5,569800
2000-03-17,10.13,11.5,10.0,11.5,432600
2000-03-20,11.06,11.5,10.38,10.63,424000
2000-03-21,10.19,10.22,8.5,9.688,754800
2000-03-22,9.938,11.25,9.375,10.88,515000
2000-03-23,11.38,12.13,10.63,11.63,572700
