date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,48.38,49.75,47.69,49.38,416200,1.0,0.0
2000-01-04,49.44,50.5,47.44,47.56,422900,1.0,0.0
2000-01-05,48.94,49.38,48.0,48.06,247500,1.0,0.0
2000-01-06,47.0,47.31,46.31,46.88,397300,1.0,0.0
2000-01-07,48.0,49.0,47.0,48.31,286100,1.0,0.0
2000-01-10,48.88,49.69,48.31,48.31,306700,1.0,0.0
2000-01-11,47.56,48.13,46.75,47.38,302700,1.0,0.0
2000-01-12,47.19,48.0,46.75,47.75,281800,1.0,0.0
2000-01-13,47.13,49.19,46.63,48.94,497400,1.0,0.0
2000-01-14,48.69,48.69,47.31,48.19,325700,1.0,0.0
2000-01-18,50.0,50.81,49.38,50.75,795200,1.0,0.0
2000-01-19,52.0,54.5,51.5,51.94,1444400,1.0,0.0
2000-01-20,52.5,52.63,48.63,49.0,588000,1.0,0.0
2000-01-21,50.94,51.0,49.38,49.63,597800,1.0,0.0
2000-01-24,49.13,49.5,46.75,46.88,660700,1.0,0.0
2000-01-25,48.0,49.44,47.75,48.0,1033200,1.0,0.0
2000-01-26,48.38,48.88,47.88,48.25,645300,1.0,0.0
2000-01-27,48.25,49.75,48.25,48.75,567900,1.0,0.0
2000-01-28,49.0,49.94,48.5,48.5,703900,1.0,0.0
2000-01-31,48.5,49.69,47.56,49.44,571300,1.0,0.0
2000-02-01,49.44,49.75,48.13,49.44,338500,1.0,0.0
2000-02-02,49.31,49.88,48.38,48.5,387800,1.0,0.0
2000-02-03,49.0,49.0,48.06,48.5,540900,1.0,0.0
2000-02-04,48.69,49.0,47.5,47.69,739800,1.0,0.0
2000-02-07,47.69,47.88,46.13,46.31,408400,1.0,0.0
2000-02-08,47.0,47.38,45.63,46.0,501300,1.0,0.0
2000-02-09,45.94,45.94,43.69,44.06,594500,1.0,0.0
2000-02-10,44.38,45.25,44.38,45.19,581100,1.0,0.255
2000-02-11,45.19,45.25,43.75,44.38,388700,1.0,0.0
2000-02-14,44.0,44.44,43.25,43.75,270100,1.0,0.0
2000-02-15,43.63,46.0,43.38,45.81,439500,1.0,0.0
2000-02-16,45.56,46.69,45.44,46.56,346600,1.0,0.0
2000-02-17,46.06,47.25,45.81,47.06,370300,1.0,0.0
2000-02-18,48.38,48.94,48.0,48.56,604700,1.0,0.0
2000-02-22,48.19,51.25,48.19,51.13,682700,1.0,0.0
2000-02-23,50.88,50.88,49.0,49.25,988900,1.0,0.0
2000-02-24,49.0,49.19,46.69,47.63,577800,1.0,0.0
2000-02-25,48.13,48.38,46.0,46.38,614900,1.0,0.0
2000-02-28,46.38,46.44,44.13,45.0,403500,1.0,0.0
2000-02-29,44.75,46.75,44.44,45.25,468200,1.0,0.0
2000-03-01,45.25,45.5,44.38,45.0,667000,1.0,0.0
2000-03-02,44.88,46.5,44.38,45.63,1529400,1.0,0.0
2000-03-03,45.75,47.19,45.19,46.81,282200,1.0,0.0
2000-03-06,45.88,46.88,44.81,45.56,540400,1.0,0.0
2000-03-07,45.06,45.06,36.81,40.0,1434500,1.0,0.0
2000-03-08,40.0,40.5,38.88,39.06,961800,1.0,0.0
2000-03-09,39.0,39.5,38.63,39.44,562400,1.0,0.0
2000-03-10,39.38,40.19,39.0,39.25,503600,1.0,0.0
2000-03-13,38.5,39.13,37.81,38.5,516700,1.0,0.0
2000-03-14,38.5,38.94,37.63,38.38,1218600,1.0,0.0
2000-03-15,38.0,41.38,38.0,40.38,508400,1.0,0.0
2000-03-16,40.13,43.0,40.0,42.75,499400,1.0,0.0
2000-03-17,41.5,41.94,40.56,40.56,564100,1.0,0.0
2000-03-20,40.94,42.44,40.75,41.56,235300,1.0,0.0
2000-03-21,41.06,42.88,40.19,42.06,487100,1.0,0.0
2000-03-22,41.56,41.56,39.69,39.94,320900,1.0,0.0
2000-03-23,39.88,41.63,39.13,41.25,415000,1.0,0.0
2000-03-24,40.5,42.12,40.5,41.44,238200,1.0,0.0
2000-03-27,41.56,42.63,41.38,41.44,322500,1.0,0.0
2000-03-28,40.44,41.63,40.38,40.81,325700,1.0,0.0
2000-03-29,40.56,40.88,39.06,39.25,522200,1.0,0.0
2000-03-30,39.25,40.0,38.63,39.81,406800,1.0,0.0
2000-03-31,39.69,43.56,39.63,41.81,630200,1.0,0.0
2000-04-03,42.44,42.94,40.81,41.44,417400,1.0,0.0
2000-04-04,40.44,42.5,40.25,41.88,679200,1.0,0.0
2000-04-05,42.19,43.13,41.19,42.5,384700,1.0,0.0
2000-04-06,42.75,44.69,42.5,43.31,512300,1.0,0.0
2000-04-07,43.06,44.19,42.69,43.75,448100,1.0,0.0
2000-04-10,43.5,44.13,42.88,43.5,419700,1.0,0.0
2000-04-11,44.5,44.94,43.94,44.63,335600,1.0,0.0
