date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,14.63,14.63,14.13,14.13,511400,1.0,0.0
2000-01-04,13.94,13.94,13.06,13.25,449267,1.0,0.0
2000-01-05,13.38,13.44,12.88,12.94,521800,1.0,0.0
2000-01-06,13.0,13.06,12.75,12.94,743667,1.0,0.0
2000-01-07,13.06,13.63,13.0,13.63,595067,1.0,0.0
2000-01-10,13.5,13.75,13.13,13.69,267667,1.0,0.0
2000-01-11,13.69,14.0,13.25,13.38,522267,1.0,0.0
2000-01-12,13.38,13.44,13.25,13.44,307667,1.0,0.0
2000-01-13,13.38,13.81,13.25,13.5,613200,1.0,0.0
2000-01-14,13.38,13.44,13.25,13.44,854867,1.0,0.0
2000-01-18,13.5,13.69,13.13,13.25,865200,1.0,0.0
2000-01-19,13.13,13.25,12.81,13.0,527200,1.0,0.0
2000-01-20,13.0,13.13,12.88,13.0,720200,1.0,0.0
2000-01-21,13.06,13.13,12.75,13.0,411000,1.0,0.0
2000-01-24,13.0,13.0,12.56,12.69,350867,1.0,0.0
2000-01-25,12.75,12.75,12.25,12.5,352667,1.0,0.0
2000-01-26,12.38,12.38,11.56,11.88,1676467,1.0,0.0
2000-01-27,12.38,12.88,11.94,12.0,2576867,1.0,0.0
2000-01-28,12.0,12.25,11.5,11.75,2272467,1.0,0.0
2000-01-31,11.75,12.0,11.63,11.75,1141467,1.0,0.0
2000-02-01,11.88,11.88,11.13,11.13,1891600,1.0,0.0
2000-02-02,11.13,11.5,11.13,11.19,1068400,1.0,0.0
2000-02-03,11.06,11.13,10.63,10.81,3113267,1.0,0.0
2000-02-04,10.94,11.56,10.88,11.5,853667,1.0,0.0
2000-02-07,11.5,11.56,11.38,11.38,493200,1.0,0.0
2000-02-08,11.5,11.56,11.31,11.31,653867,1.0,0.0
2000-02-09,11.25,11.25,10.88,11.0,612000,1.0,0.0
2000-02-10,10.94,11.0,9.813,10.38,3370200,1.0,0.0
2000-02-11,10.38,10.56,10.0,10.06,1788800,1.0,0.0
2000-02-14,10.31,10.44,10.06,10.44,1015800,1.0,0.0
2000-02-15,10.31,10.94,10.06,10.94,1005000,1.0,0.0
2000-02-16,10.94,11.13,10.56,10.75,406000,1.0,0.0
2000-02-17,10.94,11.5,10.63,11.5,1314667,1.0,0.0
2000-02-18,11.63,11.63,10.25,10.88,942267,1.0,0.0
2000-02-22,11.06,11.31,10.56,11.31,314600,1.0,0.0
2000-02-23,11.19,11.94,11.13,11.56,875000,1.0,0.0
2000-02-24,11.69,11.69,11.06,11.31,599800,1.0,0.0
2000-02-25,11.06,11.63,11.0,11.31,497800,1.0,0.0
2000-02-28,11.25,11.31,10.63,10.69,600467,1.0,0.0
2000-02-29,10.69,10.88,10.44,10.75,515867,1.0,0.0
2000-03-01,10.5,10.63,10.06,10.63,1465600,1.0,0.0
2000-03-02,10.5,10.5,10.13,10.44,724267,1.0,0.0
2000-03-03,10.56,10.75,10.38,10.75,425467,1.0,0.0
2000-03-06,10.75,10.88,10.5,10.63,519067,1.0,0.0
2000-03-07,10.75,10.75,9.938,10.31,765667,1.0,0.0
2000-03-08,10.19,10.5,9.625,10.38,1479400,1.0,0.0
2000-03-09,10.5,11.19,10.38,11.13,812000,1.0,0.0
2000-03-10,11.06,11.13,10.75,10.94,732000,1.0,0.0
2000-03-13,10.81,11.38,10.81,11.13,521800,1.0,0.0
2000-03-14,11.13,11.19,10.19,10.38,579467,1.0,0.0
2000-03-15,10.38,10.44,10.19,10.25,611400,1.0,0.0
2000-03-16,10.25,10.5,10.13,10.5,1671800,1.0,0.0
2000-03-17,10.5,10.75,10.38,10.44,845067,1.0,0.0
2000-03-20,10.44,10.88,10.25,10.75,1061467,1.0,0.0
2000-03-21,10.63,10.63,10.25,10.38,537867,1.0,0.0
2000-03-22,10.44,10.75,10.38,10.56,937667,1.0,0.0
2000-03-23,10.63,11.06,10.56,10.81,1127200,1.0,0.0
2000-03-24,10.94,11.0,10.13,10.31,1176867,1.0,0.0
2000-03-27,10.25,11.13,10.19,10.94,1052667,1.0,0.0
2000-03-28,11.0,11.13,10.75,10.88,592400,1.0,0.0
2000-03-29,10.75,10.75,10.56,10.63,708800,1.0,0.0
2000-03-30,10.63,10.69,10.38,10.63,263000,1.0,0.0
2000-03-31,10.63,10.94,10.56,10.94,513467,1.0,0.0
2000-04-03,11.06,11.94,10.69,11.94,1013400,1.0,0.0
2000-04-04,11.81,12.06,10.88,11.63,1008000,1.0,0.0
2000-04-05,11.5,11.94,11.38,11.69,1345067,1.0,0.0
2000-04-06,12.25,12.75,12.0,12.44,1676000,1.0,0.0
2000-04-07,12.5,13.0,12.5,12.94,933467,1.0,0.0
2000-04-10,13.0,13.0,12.75,12.94,683600,1.0,0.0
2000-04-11,12.94,12.94,12.63,12.75,435067,1.0,0.0
2000-04-12,12.75,12.75,12.13,12.31,879200,1.0,0.0
2000-04-13,12.44,12.63,12.25,12.5,369400,1.0,0.0
2000-04-14,12.13,12.38,11.56,12.19,648000,1.0,0.0
2000-04-17,11.75,12.5,11.75,12.44,537067,1.0,0.0
2000-04-18,12.44,13.31,12.44,12.56,1259400,1.0,0.0
2000-04-19,12.5,12.56,12.25,12.25,411467,1.0,0.0
2000-04-20,12.38,12.56,12.25,12.44,673467,1.0,0.0
2000-04-24,12.38,12.69,11.94,12.63,508800,1.0,0.0
2000-04-25,12.19,12.81,12.13,12.69,303867,1.0,0.0
2000-04-26,12.81,13.69,12.5,13.06,1278000,1.0,0.0
2000-04-27,12.88,13.38,12.69,13.25,1027067,1.0,0.0
2000-04-28,13.94,13.94,13.38,13.69,882867,1.0,0.0
2000-05-01,13.63,14.31,13.63,14.0,1044667,1.0,0.0
2000-05-02,14.0,14.06,13.88,14.0,294067,1.0,0.0
2000-05-03,13.75,13.75,13.44,13.56,1233067,1.0,0.0
2000-05-04,13.69,13.88,13.5,13.69,865600,1.0,0.0
2000-05-05,13.63,14.19,13.63,14.0,286000,1.0,0.0
2000-05-08,13.88,13.94,13.63,13.88,384467,1.0,0.0
2000-05-09,13.94,13.94,13.63,13.88,354067,1.0,0.0
2000-05-10,13.75,14.06,13.69,14.0,380000,1.0,0.0
2000-05-11,13.88,16.31,13.88,16.25,3690667,1.0,0.0
2000-05-12,16.5,16.5,15.5,16.31,1615400,1.0,0.0
2000-05-15,15.94,16.63,15.56,16.25,806267,1.0,0.0
2000-05-16,16.25,16.44,15.75,15.88,680067,1.0,0.0
2000-05-17,16.0,16.25,15.88,16.19,508867,1.0,0.0
2000-05-18,16.06,16.19,15.31,15.69,480267,1.0,0.0
2000-05-19,15.0,15.25,14.56,15.25,505467,1.0,0.0
2000-05-22,15.25,15.25,14.56,14.94,287200,1.0,0.0
2000-05-23,14.5,15.0,14.5,14.56,557600,1.0,0.0
2000-05-24,14.56,14.81,14.56,14.69,202400,1.0,0.0
2000-05-25,14.31,15.69,14.31,15.69,1273200,1.0,0.0
2000-05-26,15.94,16.56,15.63,16.5,919867,1.0,0.0
2000-05-30,16.38,16.75,16.38,16.69,463800,1.0,0.0
2000-05-31,16.63,16.63,16.31,16.31,548867,1.0,0.0
2000-06-01,16.5,16.5,15.88,16.06,639467,1.0,0.0
2000-06-02,16.13,16.19,15.88,16.06,716867,1.0,0.0
2000-06-05,16.0,16.25,14.88,15.25,1056867,1.0,0.0
2000-06-06,15.13,15.25,14.31,14.56,472467,1.0,0.0
2000-06-07,14.69,14.69,14.13,14.25,884400,1.0,0.0
2000-06-08,14.38,14.75,14.13,14.5,225267,1.0,0.0
2000-06-09,14.31,14.81,14.31,14.81,156200,1.0,0.0
2000-06-12,14.63,14.81,14.25,14.75,260467,1.0,0.0
2000-06-13,14.63,14.63,13.5,13.94,689000,1.0,0.0
2000-06-14,14.19,14.56,14.0,14.19,462400,1.0,0.0
2000-06-15,14.38,14.44,14.13,14.38,508800,1.0,0.0
2000-06-16,14.38,14.5,13.88,14.06,380000,1.0,0.0
2000-06-19,14.06,14.5,13.31,14.38,553200,1.0,0.0
2000-06-20,14.31,14.38,13.69,14.31,897200,1.0,0.0
2000-06-21,14.38,14.94,14.31,14.38,327400,1.0,0.0
2000-06-22,14.25,14.38,14.0,14.06,226600,1.0,0.0
2000-06-23,14.0,14.25,13.69,14.0,281600,1.0,0.0
2000-06-26,14.13,14.44,14.06,14.25,219000,1.0,0.0
2000-06-27,14.38,14.44,14.0,14.19,526067,1.0,0.0
2000-06-28,13.88,14.5,13.81,14.38,864467,1.0,0.0
2000-06-29,14.38,16.0,14.38,15.81,578000,1.0,0.0
2000-06-30,15.81,16.69,15.75,15.9,1663267,1.0,0.0
2000-07-03,16.0,16.13,15.94,16.13,297800,1.0,0.0
2000-07-05,16.13,16.13,15.88,16.0,283400,1.0,0.0
2000-07-06,15.88,16.13,15.69,16.06,791467,1.0,0.0
2000-07-07,16.0,16.44,16.0,16.44,353800,1.0,0.0
2000-07-10,16.44,16.44,15.38,15.75,472067,1.0,0.0
2000-07-11,15.63,15.69,15.44,15.5,279067,1.0,0.0
2000-07-12,15.5,16.69,15.5,16.44,741400,1.0,0.0
2000-07-13,16.5,16.56,16.19,16.25,319000,1.0,0.0
2000-07-14,16.25,16.81,16.19,16.56,208000,1.0,0.0
2000-07-17,16.44,16.75,16.25,16.75,417267,1.0,0.0
2000-07-18,16.69,17.19,16.69,17.06,710867,1.0,0.0
2000-07-19,17.0,17.0,15.81,16.0,476600,1.0,0.0
2000-07-20,16.06,16.31,15.88,15.94,477467,1.0,0.0
2000-07-21,16.0,16.38,15.88,16.31,304067,1.0,0.0
2000-07-24,16.19,16.25,15.63,15.88,67400,1.0,0.0
2000-07-25,16.0,16.81,15.88,16.75,484600,1.0,0.0
2000-07-26,16.75,17.13,16.25,17.13,717200,1.0,0.0
2000-07-27,17.0,17.0,16.38,16.5,476467,1.0,0.0
