date,open,high,low,close,volume
2000-01-03,100.63,101.5,97.13,99.22,626400
2000-01-04,97.13,99.13,95.06,95.75,589950
2000-01-05,95.63,97.88,94.75,95.75,867450
2000-01-06,95.56,97.69,92.5,92.88,1071900
2000-01-07,92.5,92.5,90.0,91.75,1574700
2000-01-10,92.19,102.8,92.13,101.3,1159500
2000-01-11,99.38,102.4,95.13,96.63,889500
2000-01-12,95.13,97.63,94.25,94.25,482700
2000-01-13,94.38,99.38,94.25,98.5,563100
2000-01-14,99.03,101.0,97.31,97.44,756450
2000-01-18,97.88,100.6,96.75,99.69,484950
2000-01-19,103.8,106.4,99.88,105.0,1296000
2000-01-20,105.4,111.8,105.3,110.6,909150
2000-01-21,110.8,111.3,107.6,108.9,651900
2000-01-24,108.8,113.1,108.6,111.6,1161150
2000-01-25,111.3,112.4,104.8,111.7,950250
2000-01-26,111.0,111.8,104.0,104.6,1560150
2000-01-27,106.0,108.8,103.5,104.6,718200
2000-01-28,104.4,107.9,100.5,102.0,966300
2000-01-31,101.5,106.5,101.2,106.3,519150
2000-02-01,107.4,108.0,103.1,106.3,426300
2000-02-02,106.1,110.4,105.0,110.0,693300
2000-02-03,110.8,115.8,109.4,115.5,739800
2000-02-04,115.9,118.6,114.8,117.5,809100
2000-02-07,117.1,119.8,116.5,118.7,388500
2000-02-08,119.0,122.1,118.9,120.4,791250
2000-02-09,118.0,118.5,117.5,118.0,2923200
2000-02-10,118.0,121.0,117.0,118.8,1493550
2000-02-11,118.9,119.3,114.0,118.0,1007700
2000-02-14,117.2,117.5,111.6,114.8,454050
2000-02-15,113.5,115.8,109.6,113.8,887100
2000-02-16,113.0,117.4,112.5,112.9,421050
2000-02-17,113.8,118.0,112.6,117.4,640500
2000-02-18,116.9,116.9,112.0,112.5,443100
2000-02-22,111.5,118.5,111.0,117.9,729900
2000-02-23,117.3,121.5,114.9,119.5,847500
2000-02-24,119.6,122.4,116.8,122.3,1094250
2000-02-25,122.6,124.8,121.5,121.7,1126800
2000-02-28,121.8,121.9,107.5,116.2,1541550
2000-02-29,117.5,120.9,115.2,117.1,800100
2000-03-01,117.8,120.1,116.5,118.2,509100
2000-03-02,117.8,120.0,114.3,114.4,555450
2000-03-03,116.0,119.0,114.8,117.6,499200
2000-03-06,119.9,122.1,117.9,118.8,652500
2000-03-07,121.5,125.1,117.8,121.6,1032300
2000-03-08,123.8,123.8,117.3,122.3,490350
2000-03-09,122.0,127.9,121.9,127.8,682800
2000-03-10,127.6,130.4,126.0,127.1,593400
2000-03-13,124.3,125.3,120.8,121.0,496200
2000-03-14,124.8,128.0,116.0,116.0,1014600
2000-03-15,117.9,119.0,114.4,116.0,823500
2000-03-16,116.0,127.8,115.1,127.5,980250
2000-03-17,122.3,135.3,121.9,132.0,1098000
2000-03-20,133.3,133.6,123.1,128.0,822900
2000-03-21,128.1,129.0,121.1,129.0,702300
2000-03-22,128.6,133.4,128.6,129.9,446250
2000-03-23,63.25,66.75,62.38,64.19,580500
2000-03-24,65.56,66.75,64.75,66.0,1813500
2000-03-27,66.88,68.0,64.13,64.13,970800
2000-03-28,64.33,66.13,60.94,61.25,1163700
2000-03-29,61.5,62.88,59.88,61.19,1158300
2000-03-30,60.38,62.0,55.38,56.88,2355300
2000-03-31,57.0,67.75,55.88,67.56,3282600
2000-04-03,63.0,66.25,59.5,60.06,1716000
2000-04-04,60.75,62.5,55.25,61.44,1983600
2000-04-05,60.31,65.94,57.38,61.63,1566000
2000-04-06,62.06,64.94,61.25,64.0,1061100
2000-04-07,64.63,67.5,62.0,67.06,792600
2000-04-10,66.94,67.0,56.44,56.81,2311800
2000-04-11,56.5,57.81,54.94,55.94,2019000
2000-04-12,56.25,56.38,51.75,52.06,1386000
2000-04-13,53.25,55.13,51.14,51.5,1564800
2000-04-14,50.75,52.44,48.38,49.31,2120100
2000-04-17,48.06,51.63,47.25,50.94,3204900
2000-04-18,51.19,51.5,42.13,49.38,14249100
2000-04-19,51.0,59.69,50.88,55.5,7834200
2000-04-20,55.31,57.81,55.19,56.0,2227800
2000-04-24,55.75,56.13,53.88,54.94,2484000
2000-04-25,55.56,59.13,55.5,59.0,1463400
2000-04-26,59.0,59.63,57.75,58.88,1573800
2000-04-27,57.44,60.25,56.31,59.94,1535400
2000-04-28,60.44,60.5,58.25,60.06,1570500
2000-05-01,59.56,59.81,56.5,57.13,2556300
2000-05-02,57.13,57.13,52.13,52.38,1418700
2000-05-03,55.06,55.31,52.25,53.44,3410700
2000-05-04,54.0,54.38,53.75,54.06,2284200
2000-05-05,53.63,55.0,53.0,54.69,1576800
2000-05-08,54.38,55.56,53.63,53.75,1106100
2000-05-09,54.63,54.94,52.5,53.63,1335900
2000-05-10,52.69,53.0,49.75,50.25,1591500
2000-05-11,50.88,54.44,50.13,53.38,1715400
2000-05-12,53.88,56.69,53.88,56.0,2150400
2000-05-15,56.88,59.19,52.5,58.75,1700400
2000-05-16,58.75,60.5,57.19,59.38,1750800
2000-05-17,58.0,59.44,57.19,58.06,1255800
2000-05-18,58.13,60.5,58.0,59.0,1858200
2000-05-19,56.88,58.13,54.63,54.69,1408200
2000-05-22,54.69,57.63,50.63,57.56,1438500
2000-05-23,57.88,59.0,55.13,55.13,1402200
2000-05-24,55.13,57.31,51.13,56.88,1738500
2000-05-25,57.5,59.81,56.0,56.44,1743300
2000-05-26,59.94,60.5,56.5,57.63,2004900
2000-05-30,58.75,60.13,57.81,60.0,3280800
2000-05-31,60.39,64.25,60.31,62.13,3932100
2000-06-01,64.75,69.5,64.69,68.94,3932400
2000-06-02,73.25,76.25,70.25,72.5,3722100
2000-06-05,72.56,75.75,72.5,75.0,3336300
2000-06-06,74.94,77.0,73.63,75.0,2676900
2000-06-07,74.5,75.0,70.56,74.75,2126100
2000-06-08,76.0,76.0,70.13,71.38,2007000
2000-06-09,71.75,77.88,71.63,76.38,2459100
2000-06-12,76.59,78.5,74.13,74.38,1209900
2000-06-13,73.06,76.5,72.25,75.13,1783200
2000-06-14,75.63,78.5,74.5,74.81,2104200
2000-06-15,75.25,76.19,72.88,75.69,1544700
2000-06-16,76.31,78.25,74.5,78.19,1799100
2000-06-19,78.5,80.56,76.38,78.94,1769700
2000-06-20,79.56,87.81,79.0,84.5,24517200
2000-06-21,83.25,84.5,81.19,81.5,3216600
2000-06-22,81.5,84.5,80.63,82.75,1992300
2000-06-23,83.0,86.31,79.5,80.5,3573000
2000-06-26,80.94,85.13,80.75,85.0,3521400
2000-06-27,85.25,85.75,81.81,82.44,2843700
2000-06-28,84.0,85.88,82.83,85.25,4152300
2000-06-29,84.5,87.56,82.69,85.31,2144700
2000-06-30,85.31,87.5,83.44,85.5,2656500
2000-07-03,85.44,87.67,84.88,86.88,788100
2000-07-05,88.31,89.31,80.63,82.13,2634000
2000-07-06,83.19,89.38,81.38,89.19,2653800
2000-07-07,89.19,91.5,88.38,91.0,3629400
2000-07-10,90.25,94.0,90.25,91.88,3798600
2000-07-11,93.81,95.88,92.56,94.69,3109500
2000-07-12,96.25,99.88,93.88,95.5,5127900
2000-07-13,95.94,98.75,95.63,96.69,2772600
2000-07-14,99.25,100.4,96.25,96.94,1969800
2000-07-17,97.5,99.5,96.5,97.0,2094300
2000-07-18,97.75,98.63,93.38,97.25,3821400
2000-07-19,96.75,99.63,96.0,98.5,2225100
2000-07-20,98.44,103.8,98.44,102.6,4466400
2000-07-21,102.0,102.5,97.81,99.31,1788600
2000-07-24,98.31,100.9,98.25,100.3,2325000
2000-07-25,100.4,102.0,100.1,102.0,1965300
2000-07-26,100.6,100.7,96.69,98.0,2353800
2000-07-27,97.63,97.69,90.0,95.69,4021500
2000-07-28,95.63,95.66,83.19,85.0,3464400
2000-07-31,87.0,94.75,84.13,92.88,3538800
2000-08-01,93.5,95.56,88.25,91.31,2759100
2000-08-02,90.38,95.56,89.5,91.94,1800900
2000-08-03,87.38,96.06,87.31,95.94,2286300
2000-08-04,97.88,99.25,96.25,98.06,1999500
2000-08-07,104.0,110.3,103.3,108.9,5654100
2000-08-08,107.8,109.0,102.0,103.6,3784500
2000-08-09,104.9,109.1,104.9,107.8,2436300
2000-08-10,106.0,112.2,104.9,111.0,3379800
2000-08-11,110.3,110.4,106.2,109.0,1875900
2000-08-14,110.0,110.0,106.8,107.5,1453800
2000-08-15,107.9,108.4,104.4,106.3,2108700
2000-08-16,106.6,107.0,102.7,103.4,1885800
2000-08-17,101.8,108.1,101.3,107.6,2841600
2000-08-18,109.0,110.6,106.8,108.7,1939500
2000-08-21,109.4,112.1,107.8,108.0,1539300
2000-08-22,108.8,108.9,103.5,103.6,1952700
2000-08-23,102.9,105.4,99.16,100.2,2894400
2000-08-24,102.0,106.1,101.8,105.9,1970400
2000-08-25,106.4,107.0,102.4,103.8,1168800
2000-08-28,103.9,103.9,101.1,103.4,1266600
2000-08-29,103.5,106.2,101.4,105.8,1623000
2000-08-30,105.0,106.6,101.4,104.3,1582500
