date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,15.56,15.56,14.94,15.12,10100,1.0,0.0
2000-01-04,15.06,15.06,15.0,15.0,5900,1.0,0.0
2000-01-05,14.94,15.06,14.75,14.88,9300,1.0,0.0
2000-01-06,14.88,15.0,14.75,15.0,18200,1.0,0.0
2000-01-07,14.94,15.19,14.94,15.19,9400,1.0,0.0
2000-01-10,15.38,15.63,15.19,15.44,14500,1.0,0.0
2000-01-11,15.44,15.44,15.06,15.06,3100,1.0,0.0
2000-01-12,15.0,15.31,14.81,15.06,25000,1.0,0.0
2000-01-13,15.06,15.25,15.0,15.19,42100,1.0,0.0
2000-01-14,15.31,15.75,15.31,15.75,179100,1.0,0.0
2000-01-18,15.75,15.75,15.19,15.19,13900,1.0,0.0
2000-01-19,15.12,15.75,15.12,15.69,24300,1.0,0.0
2000-01-20,15.87,16.5,15.87,16.38,70700,1.0,0.0
2000-01-21,16.12,16.19,16.0,16.19,39200,1.0,0.0
2000-01-24,16.38,16.44,15.94,15.94,17700,1.0,0.0
2000-01-25,15.94,16.0,15.81,15.81,14400,1.0,0.0
2000-01-26,15.75,16.19,15.75,16.12,8800,1.0,0.0
2000-01-27,16.0,16.25,15.94,16.25,16600,1.0,0.0
2000-01-28,16.25,16.5,15.75,15.81,10700,1.0,0.0
2000-01-31,15.75,15.94,15.5,15.5,9400,1.0,0.0
2000-02-01,15.5,15.87,15.5,15.87,7500,1.0,0.0
2000-02-02,15.75,15.75,15.25,15.38,21400,1.0,0.0
2000-02-03,15.38,16.0,15.38,16.0,7500,1.0,0.0
2000-02-04,16.06,16.5,16.06,16.44,33200,1.0,0.0
2000-02-07,16.38,16.44,16.25,16.31,6100,1.0,0.0
2000-02-08,16.44,16.44,15.81,15.81,9500,1.0,0.0
2000-02-09,15.81,16.0,15.75,15.75,17000,1.0,0.0
2000-02-10,15.87,15.87,15.63,15.63,9200,1.0,0.0
2000-02-11,15.87,15.87,15.56,15.56,13700,1.0,0.0
2000-02-14,15.81,15.81,15.56,15.56,6900,1.0,0.0
2000-02-15,15.56,15.63,15.44,15.63,10500,1.0,0.0
2000-02-16,15.44,15.56,15.19,15.31,6300,1.0,0.0
2000-02-17,15.19,15.25,15.0,15.19,29600,1.0,0.0
2000-02-18,15.31,15.31,15.12,15.12,1500,1.0,0.0
2000-02-22,15.12,15.12,15.0,15.12,12000,1.0,0.0
2000-02-23,15.0,15.12,15.0,15.12,23600,1.0,0.0
2000-02-24,15.12,15.25,15.12,15.12,33900,1.0,0.0
2000-02-25,15.19,15.19,14.62,14.94,124200,1.0,0.0
2000-02-28,14.88,15.25,14.88,15.0,20900,1.0,0.0
2000-02-29,14.88,15.25,14.69,15.25,67000,1.0,0.0
2000-03-01,15.06,15.12,14.88,15.0,12100,1.0,0.0
2000-03-02,14.81,14.81,14.56,14.62,41200,1.0,0.0
2000-03-03,14.62,14.62,14.5,14.62,32000,1.0,0.0
2000-03-06,14.5,14.62,14.5,14.62,1100,1.0,0.0
