date,open,high,low,close,volume
2009-09-25,9.75,10.15,9.35,10.09,11964900
2009-09-28,10.23,10.55,9.9,10.45,1653300
2009-09-29,10.49,10.5,10.03,10.09,677900
2009-09-30,10.18,10.19,10.0,10.07,384300
2009-10-01,9.96,10.07,9.8,10.0,535400
2009-10-02,9.97,10.01,9.85,9.99,323200
2009-10-05,9.91,10.03,9.63,9.99,247800
2009-10-06,10.03,10.05,9.75,9.8,349600
2009-10-07,9.68,9.85,9.05,9.75,383400
2009-10-08,9.7,9.85,9.6,9.78,662300
2009-10-09,9.75,9.84,9.6,9.75,288000
2009-10-12,9.94,9.94,9.71,9.75,230100
2009-10-13,9.75,9.78,9.69,9.75,321800
2009-10-14,9.56,9.8,9.46,9.78,655500
2009-10-15,9.8,9.82,9.7,9.77,288700
2009-10-16,9.48,9.78,9.48,9.76,271200
2009-10-19,9.72,9.75,9.7,9.73,217000
2009-10-20,9.63,9.75,9.6,9.75,116600
2009-10-21,9.7,9.72,9.68,9.7,133900
2009-10-22,9.7,9.75,9.65,9.73,154200
2009-10-23,9.7,10.0,9.63,9.67,399900
2009-10-26,9.65,9.68,9.21,9.6,316200
2009-10-27,9.59,9.7,9.5,9.62,273100
2009-10-28,9.59,9.59,9.41,9.48,298600
2009-10-29,9.44,9.68,9.18,9.63,357300
2009-10-30,9.55,9.74,9.12,9.7,61900
2009-11-02,9.59,9.8,9.42,9.74,152000
2009-11-03,9.56,9.69,9.47,9.65,101500
2009-11-04,9.85,10.1,9.81,9.89,346700
2009-11-05,9.95,10.03,9.91,10.0,135900
2009-11-06,9.27,9.92,9.27,9.9,205700
2009-11-09,10.0,10.0,9.62,9.76,128800
2009-11-10,9.75,9.81,9.68,9.72,147000
2009-11-11,9.66,9.76,9.53,9.75,313400
2009-11-12,9.51,9.79,9.51,9.74,164700
2009-11-13,9.64,9.64,9.2,9.39,133800
2009-11-16,9.39,9.45,9.2,9.4,169600
2009-11-17,9.27,9.4,9.25,9.34,48300
2009-11-18,9.33,9.36,9.15,9.2,247900
2009-11-19,9.1,9.1,8.61,8.98,260900
2009-11-20,8.94,9.15,8.79,9.14,143900
2009-11-23,9.1,9.22,9.08,9.18,134100
2009-11-24,9.12,9.24,8.99,9.23,117200
2009-11-25,9.26,9.26,9.09,9.24,109800
2009-11-27,9.05,9.12,8.93,9.06,52100
2009-11-30,9.05,9.1,8.95,9.05,138100
2009-12-01,9.07,9.53,9.04,9.36,309700
2009-12-02,9.34,9.35,9.15,9.29,162300
2009-12-03,9.35,9.59,9.13,9.44,70100
2009-12-04,9.43,9.5,9.2,9.29,299500
2009-12-07,9.3,9.43,9.22,9.42,125100
2009-12-08,9.34,9.73,9.31,9.71,101600
2009-12-09,9.7,9.74,9.49,9.65,71400
2009-12-10,9.59,9.81,9.41,9.8,172300
2009-12-11,9.79,9.9,9.65,9.85,126000
2009-12-14,9.84,9.86,9.58,9.82,108100
