date,open,high,low,close,volume,splitfactor,divcash
2015-05-21,28.0,28.74,24.11,25.68,12303615,1.0,0.0
2015-05-22,26.17,31.1,26.0,28.31,2842781,1.0,0.0
2015-05-26,29.8,30.34,29.08,29.65,819733,1.0,0.0
2015-05-27,30.67,30.81,27.0,27.5,797976,1.0,0.0
2015-05-28,27.55,27.74,26.48,27.45,400367,1.0,0.0
2015-05-29,27.25,27.38,26.87,27.2,255419,1.0,0.0
2015-06-01,27.2,27.44,26.6,27.33,257040,1.0,0.0
2015-06-02,27.47,27.47,26.65,26.95,379765,1.0,0.0
2015-06-03,26.76,27.5,26.5,27.44,302948,1.0,0.0
2015-06-04,27.42,27.49,25.51,26.78,322577,1.0,0.0
2015-06-05,26.66,27.39,26.1,27.39,129560,1.0,0.0
2015-06-08,26.9,27.48,26.82,26.98,280925,1.0,0.0
2015-06-09,26.64,28.46,26.64,28.34,337785,1.0,0.0
2015-06-10,28.45,28.88,27.95,28.1,273588,1.0,0.0
2015-06-11,28.49,30.73,28.49,30.73,461719,1.0,0.0
2015-06-12,31.32,33.7,31.25,33.63,848352,1.0,0.0
2015-06-15,33.97,38.12,32.9201,35.5,1694460,1.0,0.0
2015-06-16,36.06,38.379,35.84,38.11,1109542,1.0,0.0
2015-06-17,39.63,42.13,38.01,38.63,1595702,1.0,0.0
2015-06-18,38.42,38.8899,34.3265,35.55,1148173,1.0,0.0
2015-06-19,36.33,36.74,32.55,35.52,978292,1.0,0.0
2015-06-22,36.76,38.5,36.09,36.94,792238,1.0,0.0
2015-06-23,37.75,38.1,35.17,35.43,294227,1.0,0.0
2015-06-24,35.12,37.429,34.14,35.96,564367,1.0,0.0
2015-06-25,36.34,36.5,34.8,34.84,208183,1.0,0.0
2015-06-26,34.87,35.32,32.63,33.52,346533,1.0,0.0
2015-06-29,32.52,33.51,31.2,31.32,315520,1.0,0.0
2015-06-30,31.5,34.44,31.5,33.95,473587,1.0,0.0
2015-07-01,34.03,34.97,29.88,31.11,1012614,1.0,0.0
2015-07-02,31.51,31.73,30.62,31.31,304253,1.0,0.0
2015-07-06,31.07,31.74,30.38,30.53,149336,1.0,0.0
2015-07-07,30.47,30.83,28.5,30.76,348945,1.0,0.0
2015-07-08,30.02,30.3599,29.03,29.19,187364,1.0,0.0
2015-07-09,29.73,30.38,28.8,29.06,249100,1.0,0.0
2015-07-10,29.32,30.29,29.1,29.6,280486,1.0,0.0
2015-07-13,29.85,30.99,29.76,30.42,220053,1.0,0.0
2015-07-14,30.78,31.3268,30.5,30.86,145520,1.0,0.0
2015-07-15,30.89,31.01,28.91,29.34,357137,1.0,0.0
2015-07-16,29.06,29.87,28.9307,29.39,148265,1.0,0.0
2015-07-17,29.32,32.35,29.15,32.27,1619618,1.0,0.0
2015-07-20,32.37,33.93,31.6413,33.75,414154,1.0,0.0
2015-07-21,33.95,34.6599,32.09,33.22,414769,1.0,0.0
2015-07-22,32.99,33.49,31.36,32.14,255700,1.0,0.0
2015-07-23,32.59,34.43,32.58,33.11,265771,1.0,0.0
2015-07-24,33.45,34.75,33.24,33.57,357721,1.0,0.0
2015-07-27,33.4,33.95,32.05,32.87,200495,1.0,0.0
2015-07-28,33.5,34.48,32.83,34.06,174784,1.0,0.0
2015-07-29,34.1,34.85,33.2,34.16,201544,1.0,0.0
2015-07-30,38.655,40.25,37.01,38.13,1162785,1.0,0.0
2015-07-31,38.13,38.25,36.35,37.39,525888,1.0,0.0
2015-08-03,37.49,40.49,36.6,40.36,534990,1.0,0.0
2015-08-04,40.11,41.11,38.13,38.41,573350,1.0,0.0
2015-08-05,39.02,39.97,38.16,38.45,291094,1.0,0.0
2015-08-06,38.4,38.75,35.2,36.28,383039,1.0,0.0
2015-08-07,36.27,36.27,34.25,35.16,321548,1.0,0.0
2015-08-10,35.3,36.14,32.87,33.47,480393,1.0,0.0
2015-08-11,33.66,35.59,32.9637,35.14,269300,1.0,0.0
2015-08-12,34.85,35.21,33.75,34.73,236872,1.0,0.0
2015-08-13,34.79,36.49,34.51,35.31,226228,1.0,0.0
2015-08-14,35.0,35.75,34.09,34.56,143713,1.0,0.0
2015-08-17,34.77,35.0,33.3,34.41,162323,1.0,0.0
2015-08-18,34.18,34.18,32.48,32.6,186996,1.0,0.0
2015-08-19,32.37,32.47,30.6,31.1,444710,1.0,0.0
2015-08-20,30.76,31.1,29.15,29.22,269845,1.0,0.0
2015-08-21,28.75,29.97,27.31,27.77,404195,1.0,0.0
2015-08-24,25.51,28.49,22.7,26.28,427101,1.0,0.0
2015-08-25,28.29,29.78,26.85,26.93,304294,1.0,0.0
2015-08-26,28.5,28.57,26.3001,28.22,390064,1.0,0.0
2015-08-27,28.98,29.6,27.8,28.51,268224,1.0,0.0
2015-08-28,28.25,29.008,27.72,28.0,137040,1.0,0.0
2015-08-31,27.89,28.77,27.09,27.54,130524,1.0,0.0
2015-09-01,27.11,27.29,26.39,26.6,130089,1.0,0.0
2015-09-02,26.8,27.549,26.06,26.7,167011,1.0,0.0
2015-09-03,26.56,28.0,26.5101,27.15,132496,1.0,0.0
2015-09-04,26.98,27.23,26.37,26.81,129080,1.0,0.0
2015-09-08,27.03,27.645,26.745,27.14,107437,1.0,0.0
2015-09-09,27.9,28.51,25.89,26.01,320389,1.0,0.0
2015-09-10,26.05,26.4743,25.5801,25.77,139050,1.0,0.0
2015-09-11,25.55,26.47,25.55,26.36,187353,1.0,0.0
2015-09-14,26.27,27.26,26.01,27.21,220890,1.0,0.0
2015-09-15,27.14,28.46,27.1,28.11,251146,1.0,0.0
2015-09-16,28.13,29.26,28.04,28.91,133105,1.0,0.0
2015-09-17,29.89,37.95,29.85,35.55,2112254,1.0,0.0
2015-09-18,35.725,37.47,34.52,35.66,786908,1.0,0.0
2015-09-21,35.7,37.0,34.75,34.83,393455,1.0,0.0
2015-09-22,34.5,34.5,32.81,33.66,332711,1.0,0.0
2015-09-23,33.53,34.67,32.83,33.5,340041,1.0,0.0
2015-09-24,32.98,34.0899,32.09,33.47,244587,1.0,0.0
2015-09-25,33.85,35.64,33.12,33.91,355165,1.0,0.0
2015-09-28,33.64,33.9672,32.5,33.05,204893,1.0,0.0
2015-09-29,32.41,33.985,32.41,33.64,221300,1.0,0.0
2015-09-30,35.69,35.765,33.66,35.2,299943,1.0,0.0
2015-10-01,35.37,35.75,33.73,35.07,247952,1.0,0.0
2015-10-02,34.65,36.1,34.19,35.81,236583,1.0,0.0
2015-10-05,36.05,39.29,36.05,36.76,664434,1.0,0.0
2015-10-06,36.72,37.4199,35.0101,36.21,281238,1.0,0.0
2015-10-07,36.01,37.37,35.902,37.33,236348,1.0,0.0
2015-10-08,37.21,39.0,36.4501,38.24,472061,1.0,0.0
2015-10-09,38.4,38.8723,36.6001,37.02,164036,1.0,0.0
2015-10-12,37.04,37.342,30.5,34.31,819386,1.0,0.0
2015-10-13,34.97,35.6,33.06,33.12,191241,1.0,0.0
2015-10-14,33.49,34.5,32.235,33.64,294716,1.0,0.0
2015-10-15,33.64,34.42,33.2,34.14,262601,1.0,0.0
2015-10-16,34.51,34.59,33.4,34.33,268976,1.0,0.0
2015-10-19,34.28,34.89,33.11,33.36,295878,1.0,0.0
2015-10-20,33.44,33.53,31.19,31.5,284700,1.0,0.0
2015-10-21,31.54,32.54,31.32,31.95,153374,1.0,0.0
2015-10-22,32.27,32.45,31.71,32.01,229337,1.0,0.0
2015-10-23,31.98,32.4336,31.09,31.66,199775,1.0,0.0
2015-10-26,31.66,31.75,30.76,31.07,107985,1.0,0.0
2015-10-27,30.68,31.04,29.72,31.04,296154,1.0,0.0
2015-10-28,30.62,31.24,30.26,31.12,109060,1.0,0.0
2015-10-29,30.82,32.02,30.11,31.59,171509,1.0,0.0
2015-10-30,31.49,32.49,31.0001,32.22,260746,1.0,0.0
2015-11-02,32.36,33.62,30.91,30.96,302004,1.0,0.0
2015-11-03,31.05,31.75,29.64,31.44,554161,1.0,0.0
2015-11-04,33.73,33.93,29.63,31.75,963676,1.0,0.0
2015-11-05,32.51,33.54,31.35,31.62,564379,1.0,0.0
2015-11-06,31.6,32.41,31.49,31.54,402229,1.0,0.0
2015-11-09,31.63,31.64,29.74,30.23,299243,1.0,0.0
2015-11-10,30.1,30.45,28.2,28.59,344501,1.0,0.0
2015-11-11,28.83,29.0,27.7,28.18,310769,1.0,0.0
2015-11-12,28.0,29.8899,27.5801,28.86,540812,1.0,0.0
2015-11-13,28.93,30.0,28.17,28.33,368757,1.0,0.0
2015-11-16,28.26,28.63,26.38,27.35,729157,1.0,0.0
2015-11-17,26.5,27.0,25.53,26.39,2604099,1.0,0.0
2015-11-18,26.87,28.0,26.5,28.0,1907376,1.0,0.0
2015-11-19,28.0,29.72,27.84,29.45,1233833,1.0,0.0
2015-11-20,29.5,29.6,27.72,28.23,884176,1.0,0.0
2015-11-23,28.15,29.0,27.861,28.87,386303,1.0,0.0
2015-11-24,28.46,28.46,26.81,26.95,1192620,1.0,0.0
2015-11-25,27.25,27.6783,26.26,26.44,934456,1.0,0.0
2015-11-27,26.8,26.98,26.3,26.71,314146,1.0,0.0
2015-11-30,26.9,26.96,26.22,26.34,509768,1.0,0.0
2015-12-01,26.18,26.7,26.18,26.28,432979,1.0,0.0
2015-12-02,26.32,26.57,25.8,26.41,385499,1.0,0.0
2015-12-03,26.5,26.88,26.13,26.83,613697,1.0,0.0
