date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,67.5,68.62,64.12,65.56,1157800,1.0,0.0
2000-01-04,64.88,65.0,60.75,60.88,645500,1.0,0.0
2000-01-05,60.75,62.94,59.5,62.25,1671900,1.0,0.0
2000-01-06,61.44,61.44,55.63,56.94,1553700,1.0,0.0
2000-01-07,57.13,58.94,56.0,57.5,855400,1.0,0.0
2000-01-10,58.5,61.81,58.38,60.31,859300,1.0,0.0
2000-01-11,59.88,62.0,57.88,57.94,1389500,1.0,0.0
2000-01-12,57.56,57.63,53.38,53.44,2566800,1.0,0.0
2000-01-13,55.27,55.5,53.44,55.06,2350000,1.0,0.0
2000-01-14,56.06,56.94,54.75,56.38,1642800,1.0,0.0
2000-01-18,56.0,56.38,54.88,55.19,1734300,1.0,0.0
2000-01-19,55.38,56.25,53.13,54.25,742100,1.0,0.0
2000-01-20,54.5,56.44,54.25,54.56,1372800,1.0,0.0
2000-01-21,54.63,55.75,54.0,54.63,1083500,1.0,0.0
2000-01-24,55.38,55.38,52.88,52.88,1182300,1.0,0.0
2000-01-25,53.25,53.25,46.69,48.0,2726500,1.0,0.0
2000-01-26,47.63,48.13,44.63,47.63,2574100,1.0,0.0
2000-01-27,48.13,48.25,41.63,43.81,3057400,1.0,0.0
2000-01-28,44.19,44.25,42.81,43.34,2212000,1.0,0.0
2000-01-31,43.44,46.88,43.0,46.19,1601900,1.0,0.0
2000-02-01,46.63,46.63,45.25,46.56,837300,1.0,0.0
2000-02-02,47.06,47.13,45.13,45.81,703600,1.0,0.0
2000-02-03,46.0,47.88,45.69,46.81,1418500,1.0,0.0
2000-02-04,47.25,47.69,44.88,45.25,1025900,1.0,0.0
2000-02-07,45.25,45.5,43.0,43.5,1249900,1.0,0.0
2000-02-08,44.13,45.88,43.38,45.19,1112900,1.0,0.0
2000-02-09,45.88,48.5,45.81,48.19,1971500,1.0,0.0
2000-02-10,49.88,51.0,47.88,50.81,3024000,1.0,0.0
2000-02-11,52.25,52.75,50.0,50.56,2099200,1.0,0.0
2000-02-14,48.63,49.06,41.75,42.44,4849700,1.0,0.0
2000-02-15,46.25,46.81,42.5,42.63,9763600,1.0,0.0
2000-02-16,44.5,45.31,43.39,44.56,3645800,1.0,0.0
2000-02-17,46.5,47.31,44.94,46.5,3975400,1.0,0.0
2000-02-18,42.38,42.38,36.88,37.56,17504800,1.0,0.0
2000-02-22,40.25,41.0,38.44,38.94,5503000,1.0,0.0
2000-02-23,39.88,40.25,39.5,40.0,2418000,1.0,0.0
2000-02-24,40.89,41.0,40.0,40.06,2743200,1.0,0.0
2000-02-25,40.38,40.88,40.25,40.25,2105600,1.0,0.0
2000-02-28,40.81,40.94,39.25,40.0,1821500,1.0,0.0
2000-02-29,40.31,40.75,39.75,39.94,2648700,1.0,0.0
2000-03-01,40.31,40.75,39.88,40.06,1690000,1.0,0.0
2000-03-02,40.19,40.5,39.69,39.75,1099200,1.0,0.0
2000-03-03,40.06,40.5,39.44,39.88,1383000,1.0,0.0
2000-03-06,40.0,40.69,39.19,39.25,1232100,1.0,0.0
2000-03-07,39.75,39.88,38.5,38.88,1057800,1.0,0.0
2000-03-08,39.19,39.5,38.0,39.5,1828300,1.0,0.0
2000-03-09,39.63,42.13,38.81,41.94,1265900,1.0,0.0
2000-03-10,42.38,45.5,41.13,43.31,2356500,1.0,0.0
2000-03-13,43.13,45.06,41.5,43.06,1645100,1.0,0.0
2000-03-14,45.0,46.31,43.06,43.63,1810500,1.0,0.0
2000-03-15,45.25,45.5,42.0,43.06,1901600,1.0,0.0
2000-03-16,43.94,49.5,43.5,48.5,2371900,1.0,0.0
2000-03-17,47.25,52.5,47.25,49.5,2750400,1.0,0.0
2000-03-20,50.0,50.06,47.63,48.25,1824200,1.0,0.0
2000-03-21,47.94,50.38,46.5,50.19,1074800,1.0,0.0
2000-03-22,51.38,51.63,49.0,49.19,1235700,1.0,0.0
2000-03-23,48.81,50.0,47.5,49.0,1576100,1.0,0.0
2000-03-24,49.0,50.63,48.38,49.25,685900,1.0,0.0
2000-03-27,49.81,49.92,48.5,49.13,869900,1.0,0.0
2000-03-28,49.06,49.13,46.5,46.5,702700,1.0,0.0
2000-03-29,47.0,47.0,43.5,45.06,889900,1.0,0.0
2000-03-30,44.31,45.0,43.31,44.0,1571300,1.0,0.0
2000-03-31,44.75,49.13,43.75,48.75,1490000,1.0,0.0
2000-04-03,48.94,48.94,45.0,45.56,1325300,1.0,0.0
2000-04-04,47.0,47.06,39.75,44.0,2840900,1.0,0.0
2000-04-05,42.94,46.0,42.5,44.19,1624400,1.0,0.0
2000-04-06,45.25,46.38,43.0,43.75,1391700,1.0,0.0
2000-04-07,44.75,46.38,44.36,46.19,1193800,1.0,0.0
2000-04-10,46.0,46.19,43.5,44.25,1118000,1.0,0.0
2000-04-11,43.75,44.31,42.06,44.13,1363300,1.0,0.0
2000-04-12,43.75,43.88,41.13,42.25,1607000,1.0,0.0
2000-04-13,42.0,42.5,41.38,42.0,1370400,1.0,0.0
2000-04-14,41.31,41.31,39.38,39.44,1770200,1.0,0.0
2000-04-17,38.38,40.0,37.0,38.75,1478600,1.0,0.0
2000-04-18,39.44,43.19,39.38,43.0,1214200,1.0,0.0
2000-04-19,43.63,43.75,40.0,41.13,1080000,1.0,0.0
2000-04-20,42.0,42.0,40.0,40.81,672200,1.0,0.0
2000-04-24,38.63,40.75,37.5,39.5,781600,1.0,0.0
2000-04-25,40.25,42.44,40.25,42.44,980400,1.0,0.0
2000-04-26,42.38,43.44,39.88,40.0,569500,1.0,0.0
2000-04-27,39.0,43.0,38.88,42.25,1375700,1.0,0.0
2000-04-28,42.38,43.5,41.88,42.0,501600,1.0,0.0
2000-05-01,42.88,44.38,42.31,42.38,1359600,1.0,0.0
2000-05-02,42.38,42.75,40.38,40.63,718600,1.0,0.0
2000-05-03,40.38,40.63,38.5,40.5,819700,1.0,0.0
2000-05-04,41.0,41.23,40.0,41.13,630900,1.0,0.0
2000-05-05,40.44,41.75,39.69,40.38,825600,1.0,0.0
2000-05-08,39.69,40.5,39.44,39.94,518500,1.0,0.0
2000-05-09,40.13,40.19,38.94,39.56,747300,1.0,0.0
2000-05-10,38.81,39.69,37.25,39.25,987100,1.0,0.0
2000-05-11,39.22,39.69,38.88,39.63,780100,1.0,0.0
2000-05-12,39.0,40.13,39.0,39.81,1004900,1.0,0.0
2000-05-15,39.75,41.75,38.63,41.75,515200,1.0,0.0
2000-05-16,42.0,44.0,41.94,43.69,793700,1.0,0.0
2000-05-17,42.06,45.0,42.0,44.0,771600,1.0,0.0
2000-05-18,45.0,45.38,42.0,42.75,733400,1.0,0.0
2000-05-19,41.06,44.88,41.0,43.63,1099000,1.0,0.0
2000-05-22,42.38,43.5,41.13,42.25,1212900,1.0,0.0
2000-05-23,42.38,45.78,42.0,42.69,1270600,1.0,0.0
2000-05-24,42.5,45.0,41.5,44.75,1100800,1.0,0.0
2000-05-25,44.63,46.56,42.56,42.94,818900,1.0,0.0
2000-05-26,42.88,44.13,41.38,42.06,600400,1.0,0.0
2000-05-30,42.06,46.5,42.0,46.44,2237800,1.0,0.0
2000-05-31,45.38,48.0,45.31,47.0,1188000,1.0,0.0
2000-06-01,47.44,49.25,47.38,49.25,915000,1.0,0.0
2000-06-02,49.44,52.0,49.44,51.88,2337900,1.0,0.0
2000-06-05,51.25,52.94,50.75,51.94,1451900,1.0,0.0
2000-06-06,50.88,50.94,49.38,49.5,1671900,1.0,0.0
2000-06-07,49.13,49.25,47.0,49.13,1149700,1.0,0.0
2000-06-08,48.78,49.0,44.88,45.56,1186900,1.0,0.0
2000-06-09,46.81,48.81,46.19,48.06,777700,1.0,0.0
2000-06-12,47.28,47.44,43.75,44.0,630600,1.0,0.0
2000-06-13,43.5,45.0,42.5,44.69,1282900,1.0,0.0
2000-06-14,45.25,45.5,42.13,42.38,977300,1.0,0.0
2000-06-15,43.0,43.75,41.63,43.5,758100,1.0,0.0
2000-06-16,43.5,45.38,43.25,43.63,905700,1.0,0.0
2000-06-19,43.5,45.88,42.75,44.94,496600,1.0,0.0
2000-06-20,44.75,47.06,44.38,46.0,924300,1.0,0.0
2000-06-21,45.81,46.75,44.25,46.38,1761800,1.0,0.0
2000-06-22,46.19,46.31,43.75,43.81,1257300,1.0,0.0
2000-06-23,43.25,43.31,41.5,41.75,1682900,1.0,0.0
2000-06-26,42.19,42.63,41.81,42.63,1015600,1.0,0.0
2000-06-27,42.66,42.69,34.38,34.88,10283700,1.0,0.0
2000-06-28,35.44,37.25,35.19,35.88,5672200,1.0,0.0
2000-06-29,35.19,36.13,34.38,35.25,1362600,1.0,0.0
2000-06-30,35.75,35.75,34.38,34.56,1470100,1.0,0.0
2000-07-03,36.38,38.0,35.5,36.56,1050300,1.0,0.0
2000-07-05,37.84,37.88,33.38,33.44,1885900,1.0,0.0
2000-07-06,34.44,36.0,33.75,34.0,1249400,1.0,0.0
2000-07-07,35.34,36.5,34.5,35.5,1042100,1.0,0.0
2000-07-10,33.5,35.25,33.5,35.0,1505000,1.0,0.0
2000-07-11,34.63,35.13,32.13,32.56,1166400,1.0,0.0
2000-07-12,33.75,33.88,33.13,33.5,857700,1.0,0.0
2000-07-13,33.38,33.63,32.0,32.56,1740700,1.0,0.0
2000-07-14,32.75,33.0,32.0,32.38,1794600,1.0,0.0
2000-07-17,32.5,32.56,31.0,31.38,2545000,1.0,0.0
2000-07-18,31.25,31.25,30.63,31.06,2924100,1.0,0.0
2000-07-19,31.19,31.88,30.63,31.06,3998600,1.0,0.0
2000-07-20,31.19,33.38,31.13,32.75,1316900,1.0,0.0
2000-07-21,32.81,32.81,31.81,32.0,1634900,1.0,0.0
2000-07-24,32.5,33.5,31.75,31.94,882300,1.0,0.0
2000-07-25,32.13,32.31,31.75,32.06,634600,1.0,0.0
2000-07-26,32.19,32.75,31.0,31.44,1230900,1.0,0.0
2000-07-27,31.06,31.69,30.88,31.31,595000,1.0,0.0
2000-07-28,31.22,31.25,30.75,30.94,864300,1.0,0.0
2000-07-31,30.81,32.94,30.38,32.56,1071700,1.0,0.0
2000-08-01,29.13,31.81,28.88,31.5,8893100,1.0,0.0
2000-08-02,30.56,32.63,30.5,32.25,3065100,1.0,0.0
2000-08-03,30.41,34.75,30.38,34.44,2225200,1.0,0.0
2000-08-04,33.06,34.63,32.94,33.31,1160100,1.0,0.0
2000-08-07,33.0,34.31,32.75,34.13,1106700,1.0,0.0
2000-08-08,33.56,35.75,32.38,33.5,3019200,1.0,0.0
2000-08-09,26.13,32.0,25.94,30.25,9228000,1.0,0.0
2000-08-10,29.06,30.94,29.0,30.19,3561800,1.0,0.0
2000-08-11,30.0,30.75,29.63,30.75,1816400,1.0,0.0
2000-08-14,29.25,29.5,29.0,29.38,2557900,1.0,0.0
2000-08-15,29.25,30.0,29.25,29.38,2051700,1.0,0.0
2000-08-16,29.41,30.06,29.25,29.63,1783900,1.0,0.0
2000-08-17,29.81,33.0,29.75,32.25,1811800,1.0,0.0
2000-08-18,32.44,34.94,32.38,34.5,1434000,1.0,0.0
2000-08-21,32.5,33.63,32.19,32.56,2162000,1.0,0.0
2000-08-22,32.0,33.0,31.88,32.13,613900,1.0,0.0
2000-08-23,32.13,33.31,31.63,33.0,546000,1.0,0.0
2000-08-24,32.56,34.75,32.5,34.63,964700,1.0,0.0
2000-08-25,34.31,35.13,34.19,34.81,789300,1.0,0.0
2000-08-28,34.31,36.75,34.25,35.75,983400,1.0,0.0
2000-08-29,35.88,36.75,35.25,36.25,838800,1.0,0.0
2000-08-30,35.94,37.0,35.88,36.94,719500,1.0,0.0
2000-08-31,37.19,37.38,36.31,37.06,740500,1.0,0.0
2000-09-01,37.19,39.13,37.06,38.88,777300,1.0,0.0
2000-09-05,37.81,38.63,37.63,38.0,1285300,1.0,0.0
2000-09-06,37.75,38.0,36.19,36.77,1293000,1.0,0.0
2000-09-07,36.19,38.13,36.13,37.31,695400,1.0,0.0
2000-09-08,36.75,38.0,36.38,36.75,561100,1.0,0.0
2000-09-11,36.69,37.75,36.5,37.06,397400,1.0,0.0
2000-09-12,37.06,37.63,36.75,37.19,656400,1.0,0.0
2000-09-13,36.75,38.0,36.63,37.13,741900,1.0,0.0
2000-09-14,37.19,37.44,36.75,37.31,805100,1.0,0.0
