date,open,high,low,close,volume
2025-10-29,49.39,50.63,48.28,49.25,7736600
2025-10-30,48.6,53.8,47.6,48.74,23637988
2025-10-31,48.875,49.3618,44.7975,45.07,14246114
2025-11-03,45.0,46.25,43.82,44.01,13738220
2025-11-04,42.19,44.535,41.0,43.65,11057876
2025-11-05,43.89,49.7,43.0,48.33,10247802
2025-11-06,47.0,48.0,44.475,45.02,7744546
2025-11-07,44.44,48.38,44.08,47.49,12997163
2025-11-10,47.28,49.0,46.6315,47.19,4771404
2025-11-11,47.24,49.98,46.0,46.12,3259571
2025-11-12,46.12,47.0899,45.47,46.93,3171163
2025-11-13,46.34,47.47,45.45,45.73,2813357
2025-11-14,45.09,46.01,43.47,43.56,3378769
2025-11-17,43.12,43.8,41.03,41.58,4173556
2025-11-18,41.04,42.54,40.43,41.43,3535678
2025-11-19,41.58,43.75,41.32,42.72,4270674
2025-11-20,45.18,46.67,42.77,43.25,4882427
2025-11-21,43.49,45.46,43.3,44.44,3811567
2025-11-24,44.84,46.0,44.71,45.47,3193841
2025-11-25,45.37,47.0,44.81,46.89,3060207
2025-11-26,46.74,47.15,45.51,46.23,2534428
2025-11-28,46.18,47.74,46.07,47.68,1110918
2025-12-01,47.65,49.27,47.28,47.72,2586398
2025-12-02,47.58,47.94,46.2,46.65,2984950
2025-12-03,46.51,47.78,46.42,47.57,2727941
2025-12-04,47.32,47.88,46.35,46.96,2499688
2025-12-05,46.63,47.95,46.59,47.13,2207013
2025-12-08,47.17,48.4,46.535,46.69,2055555
2025-12-09,46.32,48.29,45.73,47.39,2804721
2025-12-10,47.47,49.27,46.99,49.075,2997588
2025-12-11,49.225,50.585,48.9603,50.28,2841967
2025-12-12,50.83,51.715,49.305,49.99,2524286
2025-12-15,49.59,50.265,48.62,48.77,2119459
2025-12-16,48.49,49.24,47.63,47.97,1753621
2025-12-17,47.83,49.75,47.83,48.86,2731871
2025-12-18,49.08,49.6,47.3,48.58,2729370
2025-12-19,48.58,50.7,48.075,50.35,37846268
2025-12-22,50.63,51.82,49.41,50.14,3325569
2025-12-23,49.92,50.05,48.72,48.75,1812287
2025-12-24,49.3,49.9,48.27,49.61,1124395
2025-12-26,49.89,50.37,49.51,49.77,784950
2025-12-29,49.66,50.39,49.01,49.29,1760745
2025-12-30,49.11,49.535,48.84,48.86,947629
2025-12-31,48.91,49.29,48.44,48.58,1162360
2026-01-02,48.51,49.31,48.23,49.28,1426279
2026-01-05,49.28,50.22,48.77,49.33,1886393
2026-01-06,49.06,49.99,48.75,49.73,2259603
2026-01-07,50.85,52.21,49.55,51.98,2787558
2026-01-08,51.8,54.2499,51.72,52.11,3404662
2026-01-09,52.11,53.68,52.05,53.03,2661243
2026-01-12,53.09,53.5,51.55,52.01,2013932
2026-01-13,53.56,55.54,52.84,55.01,3244078
2026-01-14,55.0,58.1,54.63,57.37,4474647
2026-01-15,57.9,60.8694,56.45,60.51,4202502
2026-01-16,61.2,61.6,59.6,60.89,3140785
2026-01-20,61.08,62.86,59.82,61.56,2954092
2026-01-21,61.66,63.77,61.22,63.43,2148065
2026-01-22,63.54,64.305,62.384,62.92,2197334
2026-01-23,62.68,63.75,61.695,62.84,2706949
2026-01-26,62.66,62.99,61.1,61.49,2657125
2026-01-27,62.0,62.84,61.61,62.36,2222601
2026-01-28,62.88,65.79,62.25,65.57,3509936
2026-01-29,65.99,66.05,62.71,63.59,2216334
2026-01-30,62.7,63.96,60.64,61.77,2059997
2026-02-02,61.45,64.51,61.185,64.39,1844993
2026-02-03,65.0,66.84,64.6001,66.26,1858884
2026-02-04,66.41,67.74,63.54,65.22,2950144
2026-02-05,63.78,64.95,62.91,63.42,2257772
2026-02-06,63.42,65.19,63.04,64.79,2237457
2026-02-09,64.91,65.8553,63.9,64.66,2569286
2026-02-10,64.7,65.33,63.52,63.8,2583074
2026-02-11,67.58,75.43,66.105,74.95,7784713
2026-02-12,78.66,84.44,77.44,78.03,9358890
2026-02-13,77.0,79.7499,75.66,78.22,4663304
2026-02-17,78.06,83.31,77.6,80.9,4671737
2026-02-18,81.57,82.881,78.5,80.92,3336557
2026-02-19,80.84,80.9,77.45,77.86,2485443
2026-02-20,77.5,80.5,77.18,80.05,2882439
2026-02-23,80.0,80.8899,77.69,78.55,2410070
2026-02-24,79.46,80.6616,78.08,79.09,2229722
2026-02-25,80.83,80.99,76.77,79.87,2921919
2026-02-26,80.01,81.7,75.81,78.32,3497117
2026-02-27,76.12,78.59,74.13,78.51,3219584
2026-03-02,77.73,78.99,75.945,78.88,2998178
2026-03-03,75.0,75.4425,72.25,73.9,2575752
2026-03-04,74.5,75.595,72.88,75.11,2247016
2026-03-05,74.25,78.81,74.231,76.72,3598945
2026-03-06,74.49,74.71,71.11,72.17,2398780
2026-03-09,70.36,73.93,69.0001,73.87,3540782
2026-03-10,74.19,76.34,73.67,74.95,2577179
2026-03-11,75.51,75.55,72.6105,75.18,1608026
2026-03-12,74.305,74.64,71.75,72.08,1963715
2026-03-13,72.28,74.205,71.24,73.22,2394409
2026-03-16,74.0,75.88,73.08,73.27,1858670
2026-03-17,73.775,75.67,71.82,75.15,1488249
2026-03-18,75.0,76.5,74.07,74.41,2772089
2026-03-19,71.91,73.43,70.12,73.08,1788608
2026-03-20,73.86,74.69,66.55,67.05,29609595
2026-03-23,69.46,72.02,69.0,70.95,2571788
2026-03-24,70.15,73.58,70.11,72.11,2148698
2026-03-25,73.47,76.47,73.45,76.35,1673994
2026-03-26,74.38,75.84,74.0,74.43,1205176
2026-03-27,73.78,75.6,73.3,75.03,1722584
2026-03-30,75.99,77.0,72.3,72.4,1989477
2026-03-31,72.74,76.6699,72.6,76.16,2023947
2026-04-01,77.47,79.5,77.37,77.52,1837834
2026-04-02,75.4,79.85,74.95,76.42,1656480
2026-04-06,76.5,78.61,75.98,78.03,1233930
2026-04-07,77.8,79.28,76.819,77.55,1080563
2026-04-08,80.83,83.45,80.58,83.35,2446333
2026-04-09,83.26,83.96,81.6,82.81,1779326
2026-04-10,83.315,84.0,81.52,81.96,1020911
2026-04-13,81.72,82.34,81.3,82.01,1270840
2026-04-14,80.36,80.88,78.45,80.22,1872747
2026-04-15,79.8,81.263,78.56,79.24,1787423
2026-04-16,79.36,80.07,77.8151,79.96,2128843
2026-04-17,81.02,82.0,78.8309,81.2,2660634
2026-04-20,81.3,81.91,79.5001,81.4,1858459
2026-04-21,82.495,84.0,78.16,80.33,2326544
2026-04-22,81.49,81.95,79.78,81.34,1948365
2026-04-23,81.85,82.97,80.1801,81.05,1773389
2026-04-24,81.75,82.5,80.6,81.3,1349385
2026-04-27,82.13,83.47,79.5,81.37,1443142
2026-04-28,80.46,80.97,77.03,79.71,2147430
2026-04-29,79.53,80.0,76.03,76.96,1523884
2026-04-30,78.04,82.31,77.995,81.95,1547218
2026-05-01,81.775,82.89,80.26,80.59,1328363
2026-05-04,80.78,81.63,79.425,81.07,1273246
2026-05-05,83.0,84.99,82.615,83.56,2882767
2026-05-06,78.62,82.46,76.45,82.01,5785244
2026-05-07,83.24,83.98,77.47,77.76,2444861
2026-05-08,79.01,79.3499,76.66,78.25,2073925
2026-05-11,79.42,86.79,78.72,85.42,4010203
2026-05-12,85.0,87.41,83.35,87.32,2651762
2026-05-13,90.75,90.7999,86.51,88.57,3440156
2026-05-14,86.57,88.39,84.5,86.81,2069188
2026-05-15,83.99,85.97,83.04,85.11,2003270
2026-05-18,85.065,85.2,80.41,82.07,2293093
2026-05-19,80.34,81.3,78.31,79.87,1529458
2026-05-20,80.94,84.55,80.71,84.48,1356414
2026-05-21,80.94,82.64,78.5,79.38,2859677
2026-05-22,79.95,82.87,78.69,81.76,1878003
2026-05-26,83.205,84.8639,81.31,84.64,1806536
2026-05-27,84.76,86.43,83.1462,86.1,1474174
2026-05-28,85.55,86.02,84.06,84.57,1783734
2026-05-29,83.935,86.41,82.59,84.23,1895833
2026-06-01,84.53,85.14,82.59,83.78,1484450
2026-06-02,84.37,89.0,84.37,87.39,1419781
2026-06-03,87.05,89.72,86.47,86.6,1341046
2026-06-04,85.09,85.77,84.0,84.13,1195247
2026-06-05,84.56,85.615,80.2,81.02,2150368
2026-06-08,82.06,82.71,79.54,80.46,1812377
2026-06-09,82.49,82.6,76.99,80.28,2577922
2026-06-10,79.55,80.83,77.51,77.69,1364432
2026-06-11,77.62,81.28,77.605,81.17,1518199
2026-06-12,81.3,83.9199,81.1783,83.06,1401316
2026-06-15,85.08,87.25,84.01,86.66,1280115
2026-06-16,87.14,88.46,83.11,83.56,1060448
2026-06-17,84.04,86.605,84.04,85.14,1532262
