date,open,high,low,close,volume
2024-02-02,5.3,6.2,4.25,4.53,78300
2024-02-05,2.47,3.03,2.47,3.03,111359
2024-02-06,2.4,2.6599,1.84,2.1,204085
2024-02-07,2.08,2.14,1.7,1.75,455265
2024-02-08,1.45,1.49,1.1,1.16,901531
2024-02-09,1.07,1.14,0.9601,1.0,383683
2024-02-12,1.02,1.15,0.86,0.9,697737
2024-02-13,0.8888,0.89,0.691,0.7,799625
2024-02-14,0.672,0.83,0.672,0.81,696591
2024-02-15,0.8,0.8,0.68,0.7,588488
2024-02-16,0.7052,0.7299,0.67,0.68,314066
2024-02-20,0.7176,0.8226,0.6,0.627,1608136
2024-02-21,0.62,0.62,0.4799,0.5,1412520
2024-02-22,0.4811,0.488,0.371,0.4062,1700238
2024-02-23,0.435,0.4889,0.4,0.4802,1039378
2024-02-26,0.5481,0.6772,0.5355,0.67,1669455
2024-02-27,0.67,0.6892,0.551,0.6357,682678
2024-02-28,0.6272,0.64,0.55,0.5935,375769
2024-02-29,0.6089,0.61,0.5,0.5003,1561537
2024-03-01,0.4795,0.484,0.431,0.473,396090
2024-03-04,0.4713,0.53,0.45,0.53,260878
2024-03-05,0.5196,0.59765,0.4829,0.545,346065
2024-03-06,0.579,0.5849,0.513,0.541,365780
2024-03-07,0.6,0.9,0.6,0.739,2636679
2024-03-08,0.7455,0.895,0.63,0.7752,1836233
2024-03-11,0.84,3.08,0.836,1.75,105202889
2024-03-12,1.69,1.69,1.26,1.44,3353989
2024-03-13,1.36,1.53,1.24,1.25,1199918
2024-03-14,0.885,2.05,0.87,1.3,13241804
2024-03-15,1.47,2.4,1.395,1.74,25219952
2024-03-18,3.25,3.64,2.61,2.72,90613338
2024-03-19,2.72,2.94,2.32,2.93,3434147
2024-03-20,2.74,2.883,2.4201,2.7,1333650
2024-03-21,2.82,3.08,2.55,3.08,1850158
2024-03-22,2.99,3.75,2.8,3.23,3520323
2024-03-25,3.16,3.25,2.83,2.91,809580
2024-03-26,2.85,2.94,2.53,2.89,782572
2024-03-27,2.91,3.06,2.75,2.92,445205
2024-03-28,2.9,2.91,2.62,2.75,507830
2024-04-01,2.68,2.71,2.285,2.44,514282
2024-04-02,2.37,2.73,2.3,2.62,273708
2024-04-03,2.56,2.79,2.55,2.69,261764
2024-04-04,2.74,3.2,2.67,2.95,753039
2024-04-05,2.98,3.43,2.93,3.35,877688
2024-04-08,3.35,4.44,3.35,3.9,1934873
2024-04-09,3.89,3.92,3.11,3.18,613544
2024-04-10,3.15,3.5099,3.1101,3.22,433176
2024-04-11,3.16,3.25,2.74,3.0,461778
2024-04-12,3.0,3.0836,2.42,2.77,436478
2024-04-15,2.73,2.73,2.35,2.445,354269
2024-04-16,2.31,2.34,2.165,2.2,173494
2024-04-17,2.22,2.29,1.97,1.98,204121
2024-04-18,1.96,2.02,1.36,1.5,554558
2024-04-19,1.48,1.53,1.365,1.4,303059
2024-04-22,1.41,1.4899,1.32,1.37,241178
2024-04-23,1.35,1.61,1.32,1.52,375700
2024-04-24,1.49,2.025,1.47,1.98,869746
2024-04-25,1.96,2.45,1.771,2.44,586779
2024-04-26,2.44,3.25,2.3,2.3,1306373
2024-04-29,2.37,2.91,2.22,2.41,551601
2024-04-30,2.44,2.5,2.07,2.1,312723
2024-05-01,2.1,3.0,2.1,2.16,1678404
2024-05-02,2.48,2.49,2.24,2.44,417060
2024-05-03,2.43,2.5999,2.35,2.4,166242
2024-05-06,2.36,2.5169,2.36,2.38,151139
2024-05-07,2.38,2.6,2.32,2.32,180538
2024-05-08,2.35,2.5,2.33,2.42,152696
2024-05-09,2.44,2.455,2.29,2.32,75178
2024-05-10,2.32,2.46,2.17,2.23,99035
2024-05-13,2.3,2.43,2.23,2.4,111195
2024-05-14,2.3,2.43,2.2802,2.36,98202
2024-05-15,2.31,2.34,2.15,2.16,150130
2024-05-16,2.17,2.24,2.13,2.2,91912
2024-05-17,2.26,2.26,2.01,2.13,89825
2024-05-20,2.18,2.18,2.02,2.13,53604
2024-05-21,2.11,2.2,2.1,2.18,44064
2024-05-22,2.2,2.35,2.13,2.14,174979
2024-05-23,2.25,2.255,2.02,2.06,93683
2024-05-24,2.25,2.42,2.15,2.42,262486
2024-05-28,2.5,2.5,2.11,2.22,174806
2024-05-29,2.17,2.21,2.11,2.15,69528
2024-05-30,2.24,2.42,2.15,2.24,111419
2024-05-31,2.19,2.23,2.05,2.09,123859
2024-06-03,2.08,2.11,1.87,2.0,173402
2024-06-04,1.99,2.09,1.88,2.06,75511
2024-06-05,2.05,2.05,1.89,1.98,74185
2024-06-06,1.99,2.0,1.83,1.88,74845
2024-06-07,1.85,1.85,1.72,1.74,95731
2024-06-10,1.71,1.71,1.3501,1.41,247242
2024-06-11,1.41,2.0499,1.41,1.78,847490
2024-06-12,1.78,1.98,1.7,1.81,254594
2024-06-13,1.77,1.97,1.76,1.89,166744
2024-06-14,1.92,2.21,1.86,2.12,264891
2024-06-17,2.04,2.12,1.835,1.93,214883
2024-06-18,0.562,0.8762,0.5376,0.688,16360799
2024-06-20,0.65,0.65,0.5325,0.5701,2671817
2024-06-21,0.5823,0.589,0.5073,0.53,1634193
2024-06-24,0.5319,0.5522,0.5,0.5201,1054909
2024-06-25,0.5196,0.5225,0.468,0.4871,964123
2024-06-26,0.4871,0.4871,0.46101,0.4739,725508
2024-06-27,0.4783,0.4783,0.4128,0.44,950716
2024-06-28,0.4491,0.58,0.42,0.55,2188277
2024-07-01,0.525,0.5921,0.4898,0.5,1305972
2024-07-02,0.499,0.499,0.4706,0.4717,606348
2024-07-03,0.3738,0.46,0.3699,0.4481,3010599
2024-07-05,0.42,0.4777,0.42,0.4649,898621
2024-07-08,0.4604,0.4731,0.4446,0.452,660422
2024-07-09,0.45,0.4727,0.439,0.449,630484
2024-07-10,0.431,0.447,0.4064,0.4242,895830
2024-07-11,0.4241,0.4479,0.4149,0.4291,491658
2024-07-12,0.4299,0.4601,0.4215,0.4549,548256
2024-07-15,0.46,0.47,0.43,0.44,270625
2024-07-16,0.4399,0.4798,0.4395,0.4663,431389
2024-07-17,0.4595,0.4618,0.4384,0.4442,333809
2024-07-18,0.453,0.4553,0.4344,0.45,386022
2024-07-19,0.45,0.4515,0.4215,0.4252,246670
2024-07-22,0.438,0.446003,0.42,0.4346,240318
2024-07-23,0.42,0.455,0.4195,0.444,766241
2024-07-24,0.4459,0.446,0.4215,0.4297,198285
2024-07-25,0.424,0.4296,0.4031,0.409,285714
2024-07-26,0.4182,0.4424,0.41,0.43,403890
2024-07-29,0.435,0.435,0.3977,0.4105,273919
2024-07-30,0.4182,0.4182,0.395,0.4002,222032
2024-07-31,0.4021,0.4167,0.395,0.413,245927
2024-08-01,0.415,0.4259,0.4,0.4183,171851
2024-08-02,0.41,0.4121,0.3757,0.4011,197823
2024-08-05,0.36,0.3999,0.3501,0.3906,379232
2024-08-06,0.4062,0.4116,0.3741,0.3799,263894
2024-08-07,0.38,0.395,0.3746,0.3746,98764
2024-08-08,0.3895,0.3895,0.36,0.3748,179962
2024-08-09,0.3766,0.38235,0.3502,0.3672,311882
2024-08-12,0.3564,0.3594,0.34,0.3459,314433
2024-08-13,0.3597,0.3597,0.3436,0.3509,660312
2024-08-14,0.351,0.351,0.3349,0.34,179623
2024-08-15,0.341,0.341,0.3102,0.325,681302
2024-08-16,0.3264,0.3264,0.302,0.3068,301831
2024-08-19,0.3,0.3059,0.27,0.3031,725242
2024-08-20,0.3076,0.406,0.3033,0.35,29663888
2024-08-21,0.335,0.365,0.315,0.3353,1513990
2024-08-22,0.3396,0.444,0.325,0.3964,2972964
2024-08-23,0.3795,0.438,0.3668,0.42,1170087
2024-08-26,0.4273,0.435,0.3823,0.4127,482879
2024-08-27,0.415,0.415,0.3913,0.4,244658
2024-08-28,0.3975,0.412,0.3425,0.36,540671
2024-08-29,0.351,0.37,0.32,0.3274,323310
2024-08-30,0.322,0.34,0.32,0.3243,590671
2024-09-03,0.3213,0.3372,0.306,0.3127,213751
2024-09-04,0.317,0.3239,0.3018,0.3156,267917
2024-09-05,0.3061,0.3296,0.305,0.32,101317
2024-09-06,0.3208,0.323,0.3,0.3173,151565
2024-09-09,0.3185,0.3791,0.3101,0.3609,164238
2024-09-10,0.374,0.377,0.3386,0.3662,432449
2024-09-11,0.3687,0.3862,0.3564,0.3781,202662
2024-09-12,0.37,0.3787,0.3421,0.3456,127929
2024-09-13,0.343,0.375,0.3421,0.37,129403
2024-09-16,0.3703,0.39,0.33,0.3506,497977
2024-09-17,0.3684,0.37,0.3437,0.356,113414
2024-09-18,0.356,0.356,0.3321,0.3325,169388
2024-09-19,0.3491,0.3699,0.3336,0.3538,157159
2024-09-20,0.366,0.3785,0.354,0.3635,279303
2024-09-23,0.3635,0.39245,0.3513,0.3657,659565
2024-09-24,0.366,0.378,0.3607,0.3607,133397
2024-09-25,0.377,0.377,0.36,0.3649,191121
2024-09-26,0.365,0.377,0.3515,0.3659,177235
2024-09-27,0.3731,0.3731,0.35,0.3575,118890
2024-09-30,0.368,0.3751,0.3513,0.369,131826
2024-10-01,0.3649,0.3696,0.3552,0.3639,47832
2024-10-02,0.3639,0.374,0.3508,0.3544,111898
2024-10-03,0.3544,0.3698,0.345,0.3654,113180
2024-10-04,0.351,0.3721,0.351,0.3695,226096
2024-10-07,0.3675,0.3787,0.3675,0.3725,144980
2024-10-08,0.3655,0.37,0.348,0.3566,160899
2024-10-09,0.35,0.3652,0.35,0.3557,98821
2024-10-10,0.35,0.3563,0.3411,0.351,133895
2024-10-11,0.342,0.3554,0.3418,0.3511,118084
2024-10-14,0.3511,0.3631,0.3411,0.3606,58383
2024-10-15,0.3498,0.3582,0.3439,0.3546,113342
2024-10-16,0.3546,0.3599,0.3379,0.3599,71167
2024-10-17,0.343,0.365,0.3425,0.3582,50113
2024-10-18,0.3582,0.3695,0.345101,0.3643,121096
2024-10-21,0.3643,0.3643,0.3481,0.3571,67108
2024-10-22,0.3641,0.3771,0.3504,0.3676,164250
2024-10-23,0.3602,0.3766,0.3582,0.3648,97238
2024-10-24,0.3611,0.373,0.3554,0.371,567514
2024-10-25,0.395,0.4558,0.3633,0.3635,1663105
2024-10-28,0.3635,0.3835,0.358,0.376,286975
2024-10-29,0.376,0.4,0.3623,0.396,520339
2024-10-30,0.6572,0.689,0.452,0.4713,250597572
2024-10-31,0.4016,0.505,0.4,0.4823,12909901
2024-11-01,0.48,0.48,0.4172,0.4299,4477410
2024-11-04,0.41,0.415,0.3426,0.3655,3470622
2024-11-05,0.3655,0.42,0.355,0.3999,2778992
2024-11-06,0.38,0.4097,0.3767,0.3835,1618532
2024-11-07,0.4,0.405,0.34,0.34,2109984
2024-11-08,0.34,0.366,0.34,0.3519,1378388
2024-11-11,0.3571,0.36,0.3279,0.3444,2072337
2024-11-12,0.34,0.3415,0.3151,0.33,1721078
2024-11-13,0.3203,0.43,0.3129,0.38,5210797
2024-11-14,0.3735,0.4264,0.3407,0.35,3082144
2024-11-15,0.4387,0.52,0.38,0.4502,140021749
2024-11-18,0.4148,0.5501,0.4051,0.5094,12634527
2024-11-19,0.52,0.66,0.5031,0.6351,9042145
2024-11-20,0.5556,0.589,0.451,0.5111,6275335
2024-11-21,0.468,0.5,0.431,0.4441,2907375
2024-11-22,0.42,0.4345,0.36,0.3845,2920182
2024-11-25,0.38,0.4642,0.38,0.4375,4965628
2024-11-26,0.4289,0.5,0.4252,0.4522,2632442
2024-11-27,0.4449,0.49,0.42,0.4295,1428262
2024-11-29,0.44,0.442,0.395,0.408,1114285
2024-12-02,0.4114,0.4559,0.3979,0.42,1631776
2024-12-03,0.4073,0.432,0.3995,0.4146,1119343
2024-12-04,0.43,0.465,0.42,0.4436,1295345
2024-12-05,0.4303,0.4516,0.4112,0.42,986910
2024-12-06,0.4118,0.4399,0.4026,0.4264,991645
2024-12-09,0.44,0.4439,0.4139,0.4228,667811
2024-12-10,0.4238,0.443,0.4112,0.4252,993440
2024-12-11,0.4225,0.438199,0.4136,0.419,602389
2024-12-12,0.4117,0.425606,0.397,0.407,797280
2024-12-13,0.4,0.4218,0.4,0.41,706620
2024-12-16,0.4065,0.4499,0.4045,0.4288,1366156
2024-12-17,0.4269,0.4433,0.4054,0.4073,1047696
2024-12-18,0.4134,0.4367,0.4027,0.4065,1389956
2024-12-19,0.4225,0.428,0.3903,0.3925,1277672
2024-12-20,0.3863,0.3996,0.36,0.3768,3987000
2024-12-23,0.3957,0.4,0.378,0.4,865674
2024-12-24,0.4,0.45,0.3705,0.438,1651929
2024-12-26,0.4298,0.4799,0.41,0.4155,2161467
2024-12-27,0.547,0.93,0.4922,0.7012,74516853
2024-12-30,0.9298,1.1,0.78,0.81,43061768
2024-12-31,0.899,0.8995,0.5188,0.6967,13291148
2025-01-02,0.7543,0.8899,0.6601,0.8035,8612276
2025-01-03,0.761,0.8428,0.7118,0.7704,6851106
2025-01-06,0.775,0.7799,0.6618,0.6735,5356970
2025-01-07,0.6738,0.698499,0.55,0.5833,3763535
2025-01-08,0.5302,0.6128,0.4606,0.5052,3105082
2025-01-10,0.5049,0.6288,0.5,0.5768,2212024
2025-01-13,0.5314,0.5559,0.4522,0.5005,2042737
2025-01-14,0.5144,0.5492,0.4882,0.5036,747263
2025-01-15,0.496,0.518599,0.4607,0.494,1327158
2025-01-16,0.4748,0.4855,0.4543,0.468,1005903
2025-01-17,0.4691,0.4691,0.442,0.446,1014398
2025-01-21,0.4251,0.4614,0.4012,0.4593,1119595
2025-01-22,0.4495,0.4869,0.43,0.4346,1091791
2025-01-23,0.4381,0.5162,0.431,0.48,1442417
2025-01-24,0.5101,0.525,0.4631,0.4734,722404
2025-01-27,0.445,0.4699,0.4207,0.4253,903333
2025-01-28,0.439,0.439,0.41,0.41,518353
2025-01-29,0.424,0.4252,0.3932,0.4107,1037521
2025-01-30,0.4094,0.44,0.3918,0.41,559012
2025-01-31,0.41,0.4138,0.3777,0.382,837737
2025-02-03,0.37,0.42,0.37,0.3901,958687
2025-02-04,0.405,0.4615,0.4035,0.46,25811362
2025-02-05,0.4211,0.45,0.41,0.4208,1506119
2025-02-06,0.4129,0.4269,0.393,0.4156,918500
2025-02-07,0.41,0.432,0.3943,0.4047,880546
2025-02-10,0.4061,0.4197,0.3883,0.398,899288
2025-02-11,0.41,0.41,0.384,0.3936,1831170
2025-02-12,0.41,0.41,0.3785,0.401,1265916
2025-02-13,0.41,0.43,0.3924,0.43,884245
2025-02-14,0.435,0.44,0.4131,0.44,624862
2025-02-18,0.4398,0.4398,0.4038,0.4196,485018
2025-02-19,0.42,0.42,0.395,0.4082,645497
2025-02-20,0.4046,0.4099,0.385,0.4049,756143
2025-02-21,0.4,0.4017,0.386,0.3913,503955
2025-02-24,0.39,0.395,0.3513,0.3566,1074321
2025-02-25,0.3534,0.3694,0.35,0.364,636149
2025-02-26,0.36,0.362899,0.333,0.3482,816938
2025-02-27,0.3495,0.3495,0.3012,0.31,1135732
2025-02-28,0.31,0.337,0.3,0.337,896349
2025-03-03,0.334,0.3373,0.3002,0.3013,683572
2025-03-04,0.24,0.24,0.153,0.1633,10985793
2025-03-05,0.1622,0.1762,0.1601,0.1612,2616428
2025-03-06,0.147,0.15,0.1161,0.1313,13076047
2025-03-07,0.13,0.1418,0.1235,0.1381,6390803
2025-03-10,0.135,0.136,0.124,0.13,3351510
2025-03-11,0.1294,0.13,0.1175,0.1261,8843492
2025-03-12,0.187,0.2448,0.1568,0.1705,584698460
2025-03-13,0.1452,0.1547,0.1309,0.1506,20322298
2025-03-14,0.1392,0.1559,0.1357,0.1452,9612744
2025-03-17,0.144,0.1539,0.1306,0.1381,7746697
2025-03-18,0.1367,0.15,0.1285,0.1457,6266419
2025-03-19,0.145,0.1987,0.1413,0.1558,22312386
2025-03-20,0.145,0.1566,0.14,0.1485,3981438
2025-03-21,0.156,0.156,0.133,0.1444,2559773
2025-03-24,0.1401,0.1489,0.137,0.14,2224303
2025-03-25,0.1394,0.1428,0.1327,0.1341,1676240
2025-03-26,0.1348,0.1381,0.131,0.1344,1207772
2025-03-27,0.1329,0.1426,0.13,0.1331,1665010
2025-03-28,0.1301,0.1353,0.1187,0.1214,1659860
2025-03-31,0.1221,0.1251,0.1153,0.1206,918815
2025-04-01,0.1189,0.1247,0.108,0.1152,2459995
2025-04-02,0.115,0.1203,0.1135,0.1154,1879147
2025-04-03,0.1078,0.1098,0.1,0.102,2533353
2025-04-04,0.1031,0.1031,0.0906,0.0921,2969288
2025-04-07,0.09,0.096,0.075,0.0912,4233179
2025-04-08,0.0912,0.0999,0.0824,0.0825,1294500
2025-04-09,0.08,0.099,0.0782,0.099,2285270
2025-04-10,0.1036,0.1036,0.0851,0.094,2745008
2025-04-11,0.0912,0.1151,0.0893,0.1151,2781063
2025-04-14,0.1235,0.1235,0.1003,0.1003,1761019
2025-04-15,0.0989,0.1179,0.0989,0.117,1301857
2025-04-16,0.1146,0.1672,0.09,0.09,34655861
2025-04-17,0.0901,0.0941,0.08,0.0941,3574018
2025-04-21,0.0917,0.105299,0.0915,0.1034,1685547
2025-04-22,0.104,0.104396,0.0925,0.097,1076542
2025-04-23,0.108,0.108,0.098,0.1025,1401258
2025-04-24,0.0963,0.116,0.093,0.1111,9937549
2025-04-25,0.105,0.1146,0.1,0.11,2153316
2025-04-28,0.106,0.11199,0.1,0.1,1789282
2025-04-29,0.1,0.1053,0.095,0.1016,2611385
2025-04-30,0.0994,0.11679,0.0954,0.1085,2052666
2025-05-01,0.11,0.1222,0.10301,0.1095,4523148
2025-05-02,0.117,0.1207,0.1127,0.117,9628616
2025-05-05,0.1188,0.1188,0.1078,0.1134,1470766
2025-05-06,0.1134,0.114,0.1034,0.104,1263337
2025-05-07,0.103,0.1068,0.094,0.0941,1630941
2025-05-08,0.1448,0.1722,0.1062,0.1576,425652216
2025-05-09,0.1095,0.1226,0.0999,0.1036,24960397
2025-05-12,5.2,5.25,3.8,3.82,411827
2025-05-13,3.82,3.89,2.9801,3.1,527072
2025-05-14,3.03,3.38,2.94,3.16,198534
2025-05-15,3.11,3.75,3.02,3.48,214213
2025-05-16,3.65,3.84,3.4,3.52,123322
2025-05-19,3.49,3.68,3.43,3.57,62137
2025-05-20,3.54,3.59,3.36,3.41,86522
2025-05-21,3.37,3.4276,3.01,3.02,103589
2025-05-22,3.15,3.29,3.115,3.29,65724
2025-05-23,3.2,3.439,3.1201,3.16,59229
2025-05-27,3.19,3.435,3.12,3.41,54022
2025-05-28,3.4,3.54,3.2912,3.54,42311
2025-05-29,3.46,3.72,3.29,3.4,88235
2025-05-30,3.39,3.5099,3.18,3.29,36260
2025-06-02,3.25,3.348,3.19,3.34,43890
