date,open,high,low,close,volume
2014-10-22,11.3,12.0,10.0,10.03,679352
2014-10-23,10.0,10.36,10.0,10.0,243543
2014-10-24,10.0,10.0999,10.0,10.0,39799
2014-10-27,10.0,10.09,10.0,10.0,48696
2014-10-28,10.02,10.08,10.0,10.0,59030
2014-10-29,10.0,10.09,10.0,10.01,101846
2014-10-30,10.07,10.1105,10.0,10.0,53130
2014-10-31,10.1,10.4399,10.0,10.0,83170
2014-11-03,10.05,10.3899,10.0201,10.2,55585
2014-11-04,10.4,10.4,10.1,10.25,20108
2014-11-05,10.5,10.62,10.15,10.24,52417
2014-11-06,10.44,10.4699,10.15,10.24,44543
2014-11-07,10.1,10.4099,10.0,10.15,47000
2014-11-10,10.0,10.19,10.0,10.09,15829
2014-11-11,10.0,10.25,10.0,10.1,51029
2014-11-12,10.04,10.1,10.0,10.04,32105
2014-11-13,10.02,10.1,10.0,10.0,51724
2014-11-14,10.021,10.241,10.01,10.098,31431
2014-11-17,10.45,10.45,10.01,10.36,154984
2014-11-18,10.58,10.64,10.06,10.31,101260
2014-11-19,10.37,10.37,10.2,10.28,14257
2014-11-20,10.2,10.25,10.15,10.22,16608
2014-11-21,10.15,10.34,10.06,10.34,17008
2014-11-24,10.26,10.49,10.05,10.45,20562
2014-11-25,10.31,10.65,10.0701,10.41,23887
2014-11-26,10.57,10.65,10.22,10.64,23032
2014-11-28,10.66,10.66,10.371,10.5424,7494
2014-12-01,10.52,10.6,10.22,10.41,23504
2014-12-02,10.27,10.34,10.05,10.05,18150
2014-12-03,10.0614,10.0864,8.62,9.01,45368
2014-12-04,9.0,9.77,8.76,9.05,69563
2014-12-05,9.26,9.26,8.62,8.77,71391
2014-12-08,8.75,9.43,8.57,8.95,27518
2014-12-09,9.09,10.35,9.09,10.26,26472
2014-12-10,10.35,10.59,10.01,10.27,30080
2014-12-11,9.6033,10.64,9.6033,9.86,26987
2014-12-12,9.78,10.24,9.0001,9.79,27272
2014-12-15,9.51,10.34,8.8001,10.09,53361
2014-12-16,9.3201,10.31,9.3201,10.28,22349
2014-12-17,10.34,10.35,9.92,10.07,22748
2014-12-18,10.02,10.21,9.77,10.19,36145
2014-12-19,9.75,10.22,9.75,10.19,250529
2014-12-22,10.07,10.57,10.06,10.5,35165
2014-12-23,10.49,10.49,9.9,10.23,5586
2014-12-24,10.42,10.42,10.4,10.4,1022
2014-12-26,9.95,10.39,9.82,9.82,3014
2014-12-29,9.96,10.2899,9.83,10.07,13108
2014-12-30,10.15,10.3599,9.95,10.29,5786
2014-12-31,10.0564,10.4,10.0564,10.4,1210
2015-01-02,10.57,10.6,9.88,10.6,2689
2015-01-05,10.08,10.63,10.05,10.63,8056
2015-01-06,10.65,10.65,10.4101,10.65,10823
2015-01-07,10.61,10.65,10.5,10.61,10101
2015-01-08,10.5999,10.65,10.36,10.62,13775
2015-01-09,10.81,12.65,10.8,11.74,45301
2015-01-12,12.11,12.1899,11.75,12.0,5796
2015-01-13,11.97,12.35,11.41,12.35,7883
2015-01-14,12.2499,12.25,11.45,11.86,5008
2015-01-15,11.378,11.9592,11.378,11.49,1684
2015-01-16,11.04,12.1767,11.04,11.34,7241
2015-01-20,10.9927,11.713,10.9927,11.47,1407
2015-01-21,11.2,11.2,10.61,10.86,15440
2015-01-22,10.83,11.9899,10.09,11.54,63842
2015-01-23,10.94,10.94,10.85,10.85,596
2015-01-26,11.39,11.39,10.4,10.73,3802
2015-01-27,10.8,10.8,10.79,10.79,410
2015-01-28,10.42,11.06,10.42,10.66,2086
2015-01-29,10.98,10.9852,10.51,10.51,4019
2015-01-30,10.75,10.7899,10.5,10.5,4739
2015-02-02,10.8,11.05,10.41,10.41,4838
2015-02-03,11.21,11.21,10.4,10.46,25584
2015-02-04,10.45,11.66,10.31,11.11,130673
2015-02-05,11.21,11.7,11.01,11.03,27149
2015-02-06,11.17,11.473,10.85,11.05,11504
2015-02-09,10.95,11.5778,10.5,10.5,9183
2015-02-10,11.0,11.1,10.55,10.56,11347
2015-02-11,10.92,10.92,10.5,10.5,5335
2015-02-12,10.45,10.65,10.45,10.45,4042
2015-02-13,10.47,10.54,10.45,10.45,1190
2015-02-17,10.47,10.72,10.41,10.5,10450
2015-02-18,10.82,10.82,10.41,10.53,27327
2015-02-19,10.66,11.28,10.61,10.8,119768
2015-02-20,10.75,11.18,10.56,10.56,14363
2015-02-23,10.53,11.04,10.52,10.55,14605
2015-02-24,10.61,10.82,10.6,10.8,8117
2015-02-25,10.79,10.816,10.62,10.63,4005
2015-02-26,10.72,10.8,10.65,10.65,7328
2015-02-27,10.7589,10.81,10.68,10.81,16327
2015-03-02,10.82,11.18,10.65,10.695,19390
2015-03-03,10.66,10.66,10.36,10.38,18260
2015-03-04,10.4234,10.6,10.3,10.59,7903
2015-03-05,10.58,10.6,10.3801,10.39,4702
2015-03-06,10.46,10.5,10.3892,10.49,3903
2015-03-09,10.6,10.6,10.42,10.42,3446
2015-03-10,10.39,10.65,10.25,10.52,16530
2015-03-11,10.56,11.11,10.56,10.92,12292
2015-03-12,11.13,11.6,10.93,11.26,9231
2015-03-13,11.07,11.34,10.89,11.25,12455
2015-03-16,11.18,11.58,11.0201,11.32,8200
2015-03-17,11.525,11.65,11.319,11.55,5647
2015-03-18,11.38,11.65,11.38,11.64,4711
2015-03-19,11.64,12.0,11.5513,11.62,15635
2015-03-20,11.67,12.0,11.57,11.66,6566
2015-03-23,11.83,12.0,11.0,11.64,12936
2015-03-24,11.3494,11.62,11.19,11.59,3853
2015-03-25,11.26,11.62,10.2301,11.5,13561
2015-03-26,10.57,10.9,10.42,10.9,7602
2015-03-27,11.86,11.91,11.298,11.75,11327
2015-03-30,11.6,11.89,11.34,11.46,5954
2015-03-31,11.91,11.91,11.47,11.63,10595
2015-04-01,11.6,11.8,11.0001,11.38,3763
2015-04-02,11.48,11.99,11.15,11.78,4296
2015-04-06,11.905,12.72,11.86,12.45,14181
2015-04-07,12.5,12.5,11.57,11.62,20510
2015-04-08,12.35,13.49,12.09,13.34,14363
2015-04-09,13.25,14.49,13.0001,14.26,28805
2015-04-10,14.17,15.96,13.63,15.47,22954
2015-04-13,16.05,16.49,15.75,16.34,42820
2015-04-14,16.43,17.26,15.858,16.85,34810
2015-04-15,16.82,17.0419,15.58,15.79,30472
2015-04-16,15.63,16.32,15.63,16.17,7273
2015-04-17,15.6853,15.75,14.7501,15.63,16254
2015-04-20,15.79,15.79,13.53,13.78,44806
2015-04-21,13.6,13.6,12.01,12.23,63812
2015-04-22,12.02,12.6829,12.02,12.15,32141
2015-04-23,12.11,12.73,12.02,12.29,36212
2015-04-24,12.32,12.6,12.0701,12.3,17048
2015-04-27,12.22,12.28,11.88,12.0,23710
2015-04-28,11.97,12.32,11.95,12.14,15403
2015-04-29,12.13,12.13,11.8001,12.1,108457
2015-04-30,12.04,12.27,11.86,12.06,20646
2015-05-01,12.06,12.89,12.0,12.8,160020
2015-05-04,12.67,13.8899,12.67,13.88,26645
2015-05-05,13.71,14.87,13.71,14.75,16527
2015-05-06,14.89,15.0,14.09,14.97,24198
2015-05-07,14.71,16.45,14.65,16.37,35496
2015-05-08,16.25,17.0,16.1601,16.99,30327
2015-05-11,16.82,16.82,15.6269,16.13,21910
2015-05-12,15.3452,16.79,14.87,16.62,29413
2015-05-13,16.51,16.55,15.34,16.0,11764
2015-05-14,15.98,15.98,14.01,14.04,12529
2015-05-15,14.18,16.81,14.18,16.49,25605
2015-05-18,16.36,17.0,15.9,16.93,17643
2015-05-19,16.98,17.9,16.52,16.8,28045
2015-05-20,17.04,17.48,16.3638,17.28,32780
2015-05-21,17.16,17.44,16.8,17.15,27582
2015-05-22,17.16,17.55,16.18,16.87,17061
2015-05-26,17.5,17.5,15.2326,15.51,37071
2015-05-27,15.43,16.84,15.43,16.29,28130
2015-05-28,15.4,17.1,15.4,16.4,23909
2015-05-29,16.5,17.435,15.91,16.9,13710
2015-06-01,16.91,16.98,15.59,16.74,36555
2015-06-02,16.7,17.89,16.48,17.59,40659
2015-06-03,17.71,18.45,16.79,17.63,56567
2015-06-04,17.8,17.875,16.43,16.86,17931
2015-06-05,16.12,17.1,16.0001,16.35,35797
2015-06-08,15.99,17.19,15.99,16.78,24376
2015-06-09,16.38,17.49,16.38,17.0,13681
2015-06-10,17.24,18.25,16.88,17.31,25305
2015-06-11,17.41,17.88,16.61,16.94,8044
2015-06-12,17.04,17.24,16.53,16.89,21668
2015-06-15,16.87,17.0,15.9,16.82,21818
2015-06-16,17.0,18.17,16.22,17.54,71915
2015-06-17,17.37,18.23,16.41,17.34,36601
2015-06-18,17.46,18.06,16.49,16.96,29549
2015-06-19,17.04,18.2,16.33,16.86,58908
2015-06-22,17.12,18.1152,15.818,16.33,26583
2015-06-23,16.42,16.75,15.99,16.15,28422
2015-06-24,16.08,16.75,15.98,16.18,29937
2015-06-25,16.4401,17.07,16.05,16.76,37775
2015-06-26,16.76,17.35,15.83,16.76,915136
2015-06-29,16.52,17.34,15.98,17.34,40477
2015-06-30,17.39,18.3,16.65,17.86,36058
2015-07-01,18.1,18.93,17.52,18.68,47003
2015-07-02,18.66,19.25,16.56,16.77,48148
2015-07-06,16.7,17.8,16.15,17.35,44443
2015-07-07,16.86,17.92,16.08,17.01,33699
2015-07-08,16.96,17.0,16.22,16.55,108152
2015-07-09,16.55,17.61,16.09,16.1,48754
2015-07-10,16.2,17.6,16.02,17.33,19663
2015-07-13,17.33,17.77,17.03,17.24,23355
2015-07-14,17.3,18.02,17.14,17.97,15486
2015-07-15,18.16,18.69,17.99,18.5,13305
2015-07-16,18.7,19.2,18.03,18.96,22803
2015-07-17,18.9,20.0,18.72,20.0,26902
2015-07-20,19.91,19.91,18.08,18.1,12912
2015-07-21,18.1,18.37,17.51,18.25,15346
2015-07-22,18.47,18.89,17.81,18.89,21600
2015-07-23,18.86,18.86,17.938,17.94,13057
2015-07-24,17.89,18.04,17.41,17.85,14280
2015-07-27,17.37,18.3099,16.0,17.61,11479
2015-07-28,16.96,17.61,16.89,17.36,7573
2015-07-29,17.02,17.02,16.21,16.67,8095
2015-07-30,16.82,17.0999,16.4201,17.02,12361
2015-07-31,16.73,17.41,16.73,17.28,8409
2015-08-03,16.975,17.28,16.18,16.29,18184
2015-08-04,16.32,16.86,16.13,16.79,14262
2015-08-05,16.84,17.5,16.6,16.8,33715
2015-08-06,17.04,17.94,16.48,16.49,13536
2015-08-07,16.47,17.2,13.01,14.37,93828
2015-08-10,14.4,14.84,13.74,14.28,54793
2015-08-11,14.22,14.45,13.89,14.33,18419
2015-08-12,14.33,14.92,14.03,14.49,45397
2015-08-13,14.53,14.77,13.18,13.48,68916
2015-08-14,13.18,13.8,13.01,13.23,46161
2015-08-17,13.35,14.2,12.66,14.05,47500
2015-08-18,14.13,14.48,13.39,13.53,16830
2015-08-19,14.08,14.84,13.38,13.53,22443
2015-08-20,13.42,14.09,13.18,13.38,33465
2015-08-21,12.96,14.83,12.96,13.82,71826
2015-08-24,11.65,13.49,11.65,13.24,30649
2015-08-25,13.63,13.63,12.28,12.96,58578
2015-08-26,13.21,13.85,12.26,13.82,20193
2015-08-27,13.91,13.96,13.2,13.61,9087
2015-08-28,13.6,14.43,13.182,14.28,31501
2015-08-31,14.06,14.25,13.92,14.17,5643
2015-09-01,13.98,14.29,13.66,14.07,7338
2015-09-02,13.26,14.98,13.26,14.73,8470
