date,open,high,low,close,volume,splitfactor,divcash
2007-06-14,37.0,39.26,37.0,38.85,662600,1.0,0.0
2007-06-15,39.1,39.1,38.25,38.8,1150000,1.0,0.0
2007-06-18,39.05,39.1,37.15,37.15,853600,1.0,0.0
2007-06-19,37.15,37.7,36.1,36.7,951000,1.0,0.0
2007-06-20,36.83,36.83,35.33,35.95,1721800,1.0,0.0
2007-06-21,36.0,36.7,35.75,36.7,537700,1.0,0.0
2007-06-22,37.0,39.5,36.8,38.95,250300,1.0,0.0
2007-06-25,39.1,40.0,38.25,39.25,203200,1.0,0.0
2007-06-26,39.31,39.8,39.2,39.5,119600,1.0,0.0
2007-06-27,39.5,39.8,39.0,39.75,270700,1.0,0.0
2007-06-28,39.75,39.95,39.5,39.6,151200,1.0,0.0
2007-06-29,39.83,39.9,38.75,39.06,1701900,1.0,0.0
2007-07-02,39.2,40.63,38.98,39.97,2000500,1.0,0.0
2007-07-03,39.98,40.61,39.08,39.66,3752400,1.0,0.0
2007-07-05,39.6,41.28,39.24,39.45,4277800,1.0,0.0
2007-07-06,39.4,39.92,38.8,39.82,3950700,1.0,0.0
2007-07-09,39.55,40.4,38.48,40.3,5369500,1.0,0.0
2007-07-10,39.5,39.5,38.48,39.0,5483200,1.0,0.0
2007-07-11,39.0,39.25,38.7,39.06,5964800,1.0,0.0
2007-07-12,38.95,39.06,38.31,39.01,4094400,1.0,0.0
2007-07-13,38.3,39.89,38.0,39.47,2064600,1.0,0.0
2007-07-16,38.0,39.85,37.07,39.3,2514800,1.0,0.0
2007-07-17,39.02,39.5,38.27,38.86,3913400,1.0,0.0
2007-07-18,36.95,38.86,36.6,37.94,4909400,1.0,0.0
2007-07-19,38.04,38.45,37.63,38.1,2078400,1.0,0.0
2007-07-20,38.1,38.18,37.87,38.03,3406800,1.0,0.0
2007-07-23,35.1,39.0,35.1,38.91,2164400,1.0,0.0
2007-07-24,38.72,39.22,38.13,38.4,2119000,1.0,0.0
2007-07-25,38.25,38.57,38.0,38.47,2421500,1.0,0.0
2007-07-26,38.0,38.3,36.72,37.56,3610800,1.0,0.0
2007-07-27,36.0,38.13,35.73,36.95,2912600,1.0,0.0
2007-07-30,36.4,36.45,35.58,36.05,2915500,1.0,0.0
2007-07-31,36.05,36.08,35.7,35.82,2148800,1.0,0.0
2007-08-01,34.92,36.0,34.76,35.22,3771700,1.0,0.0
2007-08-02,34.61,35.5,34.09,35.27,2519100,1.0,0.0
2007-08-03,35.1,35.43,35.0,35.09,2445000,1.0,0.0
2007-08-06,35.2,35.32,34.98,35.15,3896600,1.0,0.0
2007-08-07,34.85,35.38,34.0,34.85,2624200,1.0,0.0
2007-08-08,32.09,35.47,32.09,34.74,3355800,1.0,0.0
2007-08-09,34.3,34.77,33.62,33.73,2058600,1.0,0.0
2007-08-10,33.73,33.73,32.38,32.81,6034600,1.0,0.0
2007-08-13,33.0,33.25,32.39,32.99,3860000,1.0,0.0
2007-08-14,33.13,33.25,32.12,32.45,6021900,1.0,0.0
2007-08-15,32.53,33.24,32.5,32.96,4280500,1.0,0.0
2007-08-16,32.06,33.25,32.0,33.04,4133300,1.0,0.0
2007-08-17,33.9,35.23,33.5,35.1,3026600,1.0,0.0
2007-08-20,34.87,35.98,34.6,34.95,1948800,1.0,0.0
2007-08-21,33.9,34.97,33.85,34.67,2257600,1.0,0.0
2007-08-22,34.75,35.34,34.3,34.86,2233000,1.0,0.0
2007-08-23,35.25,35.53,34.87,35.36,3054100,1.0,0.0
2007-08-24,35.28,37.0,35.1,36.27,2105000,1.0,0.0
2007-08-27,36.2,36.56,35.4,35.47,1431200,1.0,0.0
2007-08-28,34.95,35.63,34.9,35.12,2243100,1.0,0.0
2007-08-29,35.32,35.5,34.81,35.36,1615900,1.0,0.0
2007-08-30,35.08,35.97,34.63,34.96,1590000,1.0,0.0
2007-08-31,34.53,35.55,34.0,34.87,2286900,1.0,0.0
2007-09-04,34.87,35.02,34.3,34.91,1909800,1.0,0.0
2007-09-05,34.5,34.77,33.95,34.69,2133000,1.0,0.0
2007-09-06,32.0,36.69,32.0,35.23,3414500,1.0,0.0
2007-09-07,34.8,34.81,33.15,33.5,1869400,1.0,0.0
2007-09-10,33.41,33.95,33.17,33.2,2339000,1.0,0.0
2007-09-11,33.27,33.46,32.6,33.04,1921100,1.0,0.0
2007-09-12,32.82,33.19,32.4,32.56,2867900,1.0,0.0
2007-09-13,33.01,33.22,32.65,32.89,2351800,1.0,0.0
2007-09-14,32.68,33.69,32.63,33.06,2744500,1.0,0.0
2007-09-17,32.8,33.31,32.59,33.14,2246100,1.0,0.0
2007-09-18,33.03,34.99,32.62,33.59,2236900,1.0,0.0
2007-09-19,33.95,34.59,32.54,33.07,13839200,1.0,0.0
2007-09-20,33.07,33.66,32.8,33.46,1813000,1.0,0.0
2007-09-21,33.86,33.97,33.18,33.45,2627700,1.0,0.0
2007-09-24,33.53,33.71,33.03,33.39,1549200,1.0,0.0
2007-09-25,33.33,33.77,33.14,33.77,1516500,1.0,0.0
2007-09-26,34.25,35.35,34.22,34.54,3838100,1.0,0.0
2007-09-27,34.74,35.75,34.54,35.18,2099800,1.0,0.0
2007-09-28,35.02,35.53,34.85,35.43,1689100,1.0,0.14
2007-10-01,35.7,36.64,34.93,36.28,2717400,1.0,0.0
2007-10-02,36.0,36.25,35.72,35.95,3089200,1.0,0.0
2007-10-03,35.96,36.0,35.25,35.66,2326900,1.0,0.0
2007-10-04,35.66,36.47,34.92,35.9,3080200,1.0,0.0
2007-10-05,35.85,36.89,35.81,36.05,2334300,1.0,0.0
2007-10-08,36.23,37.33,36.18,37.12,1454000,1.0,0.0
2007-10-09,37.12,37.33,36.57,36.73,1705100,1.0,0.0
2007-10-10,36.39,37.12,36.33,36.84,5578300,1.0,0.0
2007-10-11,37.0,37.24,36.35,36.65,2205100,1.0,0.0
2007-10-12,36.49,37.09,36.37,37.0,1053800,1.0,0.0
2007-10-15,37.15,37.43,36.81,36.97,1559500,1.0,0.0
2007-10-16,37.0,37.2,36.58,36.99,1651000,1.0,0.0
2007-10-17,37.1,37.5,36.6,36.9,3160400,1.0,0.0
2007-10-18,36.77,36.93,36.65,36.88,1985200,1.0,0.0
2007-10-19,36.82,36.92,36.06,36.24,2755100,1.0,0.0
2007-10-22,35.89,36.3,35.27,35.68,2174900,1.0,0.0
2007-10-23,35.9,36.1,35.0,35.12,1272900,1.0,0.0
2007-10-24,35.1,35.1,33.89,34.56,1403600,1.0,0.0
2007-10-25,34.64,34.65,33.77,34.04,1674200,1.0,0.0
2007-10-26,34.28,34.49,33.48,33.7,1261800,1.0,0.0
2007-10-29,33.94,34.6,33.87,34.38,1365500,1.0,0.0
2007-10-30,34.25,35.54,34.08,35.0,1200900,1.0,0.0
2007-10-31,34.95,35.76,34.73,35.67,1849800,1.0,0.0
2007-11-01,35.62,36.0,35.02,35.17,1795700,1.0,0.0
2007-11-02,34.75,35.74,34.75,35.37,1401800,1.0,0.0
2007-11-05,35.23,35.23,33.54,33.76,1598700,1.0,0.0
2007-11-06,33.76,33.77,32.65,33.77,1189300,1.0,0.0
2007-11-07,33.36,33.48,32.55,32.99,3030400,1.0,0.0
2007-11-08,33.02,33.38,32.85,33.14,3261500,1.0,0.0
2007-11-09,32.64,33.22,31.77,32.57,3085100,1.0,0.0
2007-11-12,32.45,32.61,31.31,31.36,1948100,1.0,0.0
2007-11-13,31.38,33.41,31.36,32.35,1823200,1.0,0.0
2007-11-14,32.61,33.06,32.47,32.5,2809200,1.0,0.0
2007-11-15,32.31,33.15,31.98,33.1,2679700,1.0,0.0
2007-11-16,34.87,35.86,34.11,35.02,6458800,1.0,0.0
2007-11-19,34.73,35.78,34.73,35.05,4377100,1.0,0.0
2007-11-20,35.04,35.36,34.66,35.2,2640700,1.0,0.0
2007-11-21,34.84,35.55,34.55,35.01,2227100,1.0,0.0
2007-11-23,35.17,35.43,34.79,35.43,662200,1.0,0.0
2007-11-26,35.36,35.95,34.48,34.64,2325800,1.0,0.0
2007-11-27,34.59,35.01,34.06,34.48,4715300,1.0,0.0
2007-11-28,34.67,35.96,34.28,35.69,3414200,1.0,0.0
2007-11-29,35.51,36.82,35.39,36.6,1798100,1.0,0.0
2007-11-30,36.67,37.45,36.37,37.39,2650500,1.0,0.0
2007-12-03,37.01,37.62,37.01,37.26,2239000,1.0,0.0
2007-12-04,36.96,37.26,36.67,36.8,1436000,1.0,0.0
2007-12-05,37.07,37.07,36.4,36.8,2212900,1.0,0.0
2007-12-06,36.79,37.97,36.72,37.63,1866100,1.0,0.0
2007-12-07,37.62,37.81,37.07,37.42,1468900,1.0,0.0
2007-12-10,37.42,37.49,36.6,37.38,1351600,1.0,0.0
2007-12-11,37.36,37.89,36.43,36.51,2054500,1.0,0.0
2007-12-12,37.24,37.44,36.55,37.14,1974900,1.0,0.0
2007-12-13,36.88,37.37,36.54,36.96,2044900,1.0,0.0
2007-12-14,37.04,37.09,36.25,36.54,1398900,1.0,0.0
2007-12-17,36.28,37.0,36.1,36.53,3536300,1.0,0.0
2007-12-18,36.72,37.68,36.42,36.81,2270000,1.0,0.0
2007-12-19,37.0,37.3,36.54,36.8,1409100,1.0,0.0
2007-12-20,36.99,37.02,36.3,36.58,1987300,1.0,0.0
2007-12-21,37.04,38.14,36.86,37.28,3065400,1.0,0.0
2007-12-24,36.96,38.09,36.96,37.94,512100,1.0,0.0
2007-12-26,37.83,38.46,37.46,37.97,971900,1.0,0.0
2007-12-27,37.81,38.12,37.0,37.45,1526000,1.0,0.0
2007-12-28,37.4,38.14,37.02,37.8,1389600,1.0,0.0
2007-12-31,37.61,37.75,36.815,37.13,1213900,1.0,0.0
2008-01-02,37.13,37.25,36.23,36.77,2516600,1.0,0.0
2008-01-03,36.758,37.78,36.56,36.68,1974000,1.0,0.0
2008-01-04,36.4,36.64,35.43,35.52,2505700,1.0,0.0
2008-01-07,35.67,35.77,34.04,34.26,2236400,1.0,0.0
2008-01-08,34.28,34.36,32.81,32.92,2672500,1.0,0.0
2008-01-09,32.92,33.53,32.37,33.37,2242300,1.0,0.0
2008-01-10,33.05,34.14,32.95,33.82,2806200,1.0,0.14
2008-01-11,33.45,34.03,33.15,33.42,1583800,1.0,0.0
2008-01-14,33.62,34.99,33.45,34.32,1323600,1.0,0.0
2008-01-15,33.84,34.28,33.08,33.17,1946800,1.0,0.0
2008-01-16,33.09,34.18,32.6,33.71,2136800,1.0,0.0
2008-01-17,33.74,34.11,32.61,32.71,2393200,1.0,0.0
2008-01-18,32.93,33.35,31.58,32.26,3082000,1.0,0.0
2008-01-22,31.79,32.31,30.65,31.74,2592200,1.0,0.0
2008-01-23,30.6,31.44,30.19,31.41,4391800,1.0,0.0
2008-01-24,31.28,32.7,31.28,32.61,3579500,1.0,0.0
2008-01-25,32.87,33.41,32.7,33.23,3069100,1.0,0.0
2008-01-28,33.21,33.41,32.41,33.36,1524900,1.0,0.0
2008-01-29,33.63,33.71,32.68,32.81,1490200,1.0,0.0
2008-01-30,32.67,34.25,31.53,33.41,2217500,1.0,0.0
2008-01-31,32.83,34.26,32.64,33.74,2408600,1.0,0.0
2008-02-01,34.04,34.32,33.63,33.89,1808300,1.0,0.0
2008-02-04,33.76,34.1799,32.73,33.84,1776900,1.0,0.0
2008-02-05,32.05,33.53,32.05,32.61,1914100,1.0,0.0
2008-02-06,33.2,36.3,33.2,34.75,5884400,1.0,0.0
2008-02-07,34.92,35.15,33.93,35.12,2394000,1.0,0.0
2008-02-08,34.87,35.21,34.22,34.6,1197400,1.0,0.0
2008-02-11,34.61,35.38,34.47,35.12,1453500,1.0,0.0
2008-02-12,35.27,35.63,34.88,35.2,1213900,1.0,0.0
2008-02-13,35.4,36.35,35.27,35.85,1204700,1.0,0.0
2008-02-14,35.7,35.82,34.93,35.2,1804800,1.0,0.0
2008-02-15,35.0,35.19,34.51,35.08,2088800,1.0,0.0
2008-02-19,35.41,35.61,34.88,35.18,1251500,1.0,0.0
2008-02-20,34.66,35.19,34.37,35.0,1610200,1.0,0.0
2008-02-21,35.05,35.19,34.06,34.16,1365400,1.0,0.0
2008-02-22,34.38,34.73,34.2,34.53,1627800,1.0,0.0
2008-02-25,34.74,34.86,34.28,34.68,1586000,1.0,0.0
2008-02-26,34.58,35.22,34.28,34.67,2177300,1.0,0.0
2008-02-27,34.51,34.96,34.2,34.44,2229100,1.0,0.0
2008-02-28,34.0,34.18,33.43,33.49,2025000,1.0,0.0
2008-02-29,33.04,33.58,32.71,32.9,2500600,1.0,0.0
2008-03-03,33.0,33.15,32.56,32.95,1344400,1.0,0.0
2008-03-04,32.59,33.01,32.35,32.91,1752000,1.0,0.0
2008-03-05,32.97,33.18,32.51,32.69,1643200,1.0,0.0
2008-03-06,32.67,32.91,32.09,32.47,1833000,1.0,0.0
2008-03-07,32.16,33.45,32.16,32.43,1789200,1.0,0.0
2008-03-10,32.39,33.15,31.42,31.43,2281600,1.0,0.0
2008-03-11,31.95,32.32,31.68,32.18,4313300,1.0,0.0
2008-03-12,32.19,32.78,32.1,32.23,1558500,1.0,0.0
2008-03-13,32.26,32.7091,31.73,32.08,4834600,1.0,0.0
2008-03-14,32.38,32.57,31.34,31.73,2963000,1.0,0.0
2008-03-17,31.06,32.34,30.58,31.18,3101300,1.0,0.0
2008-03-18,31.83,32.24,31.37,32.14,2940400,1.0,0.0
2008-03-19,32.23,32.73,31.76,32.01,2248400,1.0,0.0
2008-03-20,32.29,32.95,31.92,32.86,2985200,1.0,0.0
2008-03-24,33.01,33.9,32.72,33.8,2155400,1.0,0.0
2008-03-25,33.74,33.88,33.3,33.61,1796100,1.0,0.0
2008-03-26,33.22,34.2,33.22,34.04,1674200,1.0,0.0
2008-03-27,33.89,34.29,33.46,33.47,1494100,1.0,0.0
2008-03-28,33.93,34.16,33.43,33.83,1784700,1.0,0.0
2008-03-31,34.2,34.43,33.59,34.32,2577900,1.0,0.0
2008-04-01,34.41,34.62,34.01,34.48,2809000,1.0,0.0
2008-04-02,34.44,35.06,34.21,35.0,2863100,1.0,0.0
2008-04-03,34.92,35.1,34.41,34.97,1544300,1.0,0.0
2008-04-04,34.76,36.37,34.52,35.84,2005800,1.0,0.0
2008-04-07,35.77,36.26,35.64,35.8,1345000,1.0,0.0
2008-04-08,35.45,35.68,34.91,35.03,1572800,1.0,0.0
2008-04-09,35.12,35.13,34.67,34.93,1139800,1.0,0.0
2008-04-10,34.85,34.97,34.47,34.74,1306600,1.0,0.14
2008-04-11,34.5,34.74,34.12,34.14,1782200,1.0,0.0
2008-04-14,33.95,34.72,33.93,34.43,1152500,1.0,0.0
2008-04-15,34.58,34.63,33.6,34.04,1462700,1.0,0.0
2008-04-16,34.26,35.24,34.26,34.92,1725400,1.0,0.0
2008-04-17,34.89,35.49,34.64,35.38,1628100,1.0,0.0
2008-04-18,35.9,36.99,35.9,36.87,2268200,1.0,0.0
2008-04-21,36.6,36.6,36.16,36.38,1596900,1.0,0.0
2008-04-22,36.16,36.18,35.32,35.5,1512800,1.0,0.0
2008-04-23,35.7,36.48,35.57,36.07,1809300,1.0,0.0
2008-04-24,36.06,37.43,35.9,37.19,2097900,1.0,0.0
2008-04-25,37.27,37.71,36.81,37.61,1341500,1.0,0.0
2008-04-28,37.38,37.67,37.09,37.18,1507900,1.0,0.0
2008-04-29,37.11,37.75,37.11,37.63,1477600,1.0,0.0
2008-04-30,37.63,38.2,37.39,37.41,2006000,1.0,0.0
2008-05-01,38.61,40.0,38.25,39.95,6447900,1.0,0.0
2008-05-02,39.75,40.0,39.1,39.81,2481400,1.0,0.0
2008-05-05,39.62,39.63,38.92,39.19,2176400,1.0,0.0
2008-05-06,39.15,39.15,37.47,38.59,2095300,1.0,0.0
2008-05-07,38.54,38.67,37.34,37.9,3136700,1.0,0.0
2008-05-08,37.91,38.8,37.86,38.24,2687800,1.0,0.0
2008-05-09,37.7,38.5,37.7,38.15,2269800,1.0,0.0
2008-05-12,38.36,38.45,38.01,38.33,1838700,1.0,0.0
2008-05-13,38.65,38.96,37.87,38.09,1542900,1.0,0.0
2008-05-14,38.19,38.2,37.64,37.74,2152300,1.0,0.0
2008-05-15,37.7,37.7,37.02,37.42,2413900,1.0,0.0
2008-05-16,37.83,39.19,37.51,39.17,2816300,1.0,0.0
2008-05-19,39.15,39.5,38.85,39.06,1790400,1.0,0.0
2008-05-20,38.8,38.9,38.08,38.38,1482900,1.0,0.0
2008-05-21,38.52,38.62,37.94,38.03,1612500,1.0,0.0
2008-05-22,37.91,38.32,37.69,37.79,1223900,1.0,0.0
2008-05-23,37.69,38.44,37.5,38.13,1216300,1.0,0.0
2008-05-27,37.86,39.3,37.86,39.15,2017800,1.0,0.0
2008-05-28,39.34,39.38,38.97,39.38,1570500,1.0,0.0
2008-05-29,39.16,39.97,38.72,39.49,1320800,1.0,0.0
2008-05-30,39.77,40.26,39.5,40.12,2392800,1.0,0.0
2008-06-02,40.04,40.34,39.15,39.81,1445500,1.0,0.0
2008-06-03,40.09,40.15,38.64,39.05,1490000,1.0,0.0
2008-06-04,39.09,39.3,38.58,38.93,2355700,1.0,0.0
2008-06-05,38.99,39.22,38.52,38.99,3223200,1.0,0.0
2008-06-06,38.77,39.37,38.26,38.29,2118000,1.0,0.0
2008-06-09,38.3,39.08,38.09,38.79,2009600,1.0,0.0
2008-06-10,38.45,38.77,38.23,38.3,2661100,1.0,0.0
2008-06-11,38.5,38.5,37.35,37.44,2354400,1.0,0.0
2008-06-12,37.96,38.44,37.68,38.01,2340400,1.0,0.0
2008-06-13,38.44,38.55,37.88,38.55,2243000,1.0,0.0
2008-06-16,38.61,39.36,37.96,39.1,2039600,1.0,0.0
2008-06-17,39.115,39.2,38.29,38.32,1320400,1.0,0.0
2008-06-18,37.87,38.3,37.19,37.2,2340500,1.0,0.0
2008-06-19,37.25,38.03,37.01,37.64,2965500,1.0,0.0
2008-06-20,37.03,37.66,36.65,36.81,3180400,1.0,0.0
2008-06-23,36.81,37.07,36.05,36.25,5424400,1.0,0.0
2008-06-24,36.05,37.08,36.01,37.01,3006800,1.0,0.0
2008-06-25,37.05,37.24,36.47,36.74,2488300,1.0,0.0
2008-06-26,36.24,36.66,35.5,35.6,3937500,1.0,0.0
2008-06-27,35.63,36.16,35.39,36.03,4359000,1.0,0.0
2008-06-30,36.0,36.09,35.725,35.82,2223200,1.0,0.0
2008-07-01,35.67,35.99,34.96,35.45,3933800,1.0,0.0
2008-07-02,35.52,36.11,35.39,35.39,2400700,1.0,0.0
2008-07-03,35.72,36.12,34.96,35.14,1659700,1.0,0.0
2008-07-07,35.12,35.81,34.69,35.11,1904100,1.0,0.0
2008-07-08,34.97,35.24,34.26,35.18,3519500,1.0,0.0
2008-07-09,35.08,35.8696,34.93,34.93,2042100,1.0,0.0
2008-07-10,35.06,35.73,34.9,35.35,1845900,1.0,0.0
2008-07-11,34.97,35.63,33.85,34.91,2947700,1.0,0.14
2008-07-14,34.97,35.27,34.1,34.51,2570000,1.0,0.0
2008-07-15,34.18,35.0,34.1,34.74,2600900,1.0,0.0
2008-07-16,34.73,35.29,34.47,35.21,1772900,1.0,0.0
2008-07-17,35.29,37.02,34.79,36.92,2765900,1.0,0.0
2008-07-18,36.84,36.9,36.08,36.38,3067700,1.0,0.0
2008-07-21,36.49,36.78,35.43,36.07,1722300,1.0,0.0
2008-07-22,35.65,36.91,35.65,36.91,1432700,1.0,0.0
2008-07-23,37.02,37.57,36.68,37.4,1787900,1.0,0.0
2008-07-24,37.34,37.5,36.165,36.25,1405500,1.0,0.0
2008-07-25,36.43,36.64,36.05,36.38,1244400,1.0,0.0
2008-07-28,36.37,36.45,35.24,35.51,1926700,1.0,0.0
2008-07-29,35.56,36.37,35.19,35.57,3995400,1.0,0.0
2008-07-30,34.85,35.6,31.1,33.74,6792700,1.0,0.0
2008-07-31,33.21,34.01,32.8,33.14,3758600,1.0,0.0
2008-08-01,33.33,33.43,32.46,32.74,3034500,1.0,0.0
2008-08-04,32.75,33.03,32.29,32.47,2718700,1.0,0.0
