date,open,high,low,close,volume
2012-05-10,9.97,10.0,9.5,9.8,6900
2012-05-11,9.702,9.702,9.702,9.702,300
2012-05-14,9.8,9.8,9.8,9.8,100
2012-05-15,9.75,9.75,9.75,9.75,300
2012-05-16,9.75,9.75,9.75,9.75,0
2012-05-17,9.6,9.6,9.6,9.6,800
2012-05-18,9.6,9.6,9.6,9.6,0
2012-05-21,9.6,9.6,9.6,9.6,0
2012-05-22,9.69,9.69,9.69,9.69,1500
2012-05-23,9.77,9.77,9.6,9.6,153600
2012-05-24,9.6,9.6,9.6,9.6,37000
2012-05-25,9.6,9.6,9.6,9.6,61700
2012-05-29,9.6,9.6,9.6,9.6,0
2012-05-30,9.6,9.6,9.6,9.6,0
2012-05-31,9.59,9.61,9.56,9.61,400
2012-06-01,9.61,9.61,9.61,9.61,0
2012-06-04,9.61,9.61,9.61,9.61,0
2012-06-05,9.61,9.61,9.61,9.61,0
2012-06-06,9.55,9.7,9.55,9.7,1000
2012-06-07,9.7,9.7,9.7,9.7,0
2012-06-08,9.55,9.55,9.55,9.55,500
2012-06-11,9.55,9.55,9.55,9.55,0
2012-06-12,9.55,9.55,9.55,9.55,0
2012-06-13,9.6,9.6,9.6,9.6,1000
2012-06-14,9.6,9.6,9.6,9.6,0
2012-06-15,9.6,9.6,9.6,9.6,100
2012-06-18,9.6,9.6,9.6,9.6,0
2012-06-19,9.6,9.6,9.6,9.6,0
2012-06-20,9.6,9.6,9.6,9.6,0
2012-06-21,9.6,9.6,9.6,9.6,0
2012-06-22,9.6,9.6,9.6,9.6,0
2012-06-25,9.6,9.6,9.6,9.6,0
2012-06-26,9.6,9.6,9.6,9.6,0
2012-06-27,9.6,9.6,9.6,9.6,0
2012-06-28,9.6,9.6,9.6,9.6,0
2012-06-29,9.6,9.6,9.6,9.6,0
2012-07-02,9.6,9.6,9.6,9.6,0
2012-07-03,9.6,9.6,9.6,9.6,0
2012-07-05,9.6,9.6,9.6,9.6,0
2012-07-06,9.6,9.6,9.6,9.6,0
2012-07-09,9.6,9.6,9.6,9.6,0
2012-07-10,9.6,9.6,9.6,9.6,0
2012-07-11,9.6,9.6,9.6,9.6,0
2012-07-12,9.6,9.6,9.6,9.6,0
2012-07-13,9.6,9.6,9.6,9.6,0
2012-07-16,9.6,9.6,9.6,9.6,0
2012-07-17,9.6,9.6,9.6,9.6,0
2012-07-18,9.6,9.6,9.6,9.6,0
2012-07-19,9.6,9.6,9.6,9.6,0
2012-07-20,9.6,9.6,9.6,9.6,0
2012-07-23,9.6,9.6,9.6,9.6,0
2012-07-24,9.6,9.6,9.6,9.6,0
2012-07-25,9.6,9.6,9.6,9.6,0
