date,open,high,low,close,volume
2000-01-03,23.0,24.25,23.0,24.06,2123467
2000-01-04,23.5,24.13,23.5,23.88,1188800
2000-01-05,23.88,24.38,23.81,24.25,2337600
2000-01-06,24.25,25.94,24.19,25.75,4260267
2000-01-07,25.56,28.0,25.5,27.63,4216800
2000-01-10,28.0,28.75,27.13,27.25,2322400
2000-01-11,27.0,27.38,25.88,26.31,2539200
2000-01-12,26.38,26.75,25.88,26.31,2509600
2000-01-13,26.25,27.75,26.13,27.25,4522400
2000-01-14,26.75,27.13,25.75,27.0,1768267
2000-01-18,26.5,27.0,26.38,26.81,1072267
2000-01-19,26.44,27.0,25.38,25.88,706933
2000-01-20,25.94,26.94,24.88,26.5,1306667
2000-01-21,26.5,26.56,24.13,25.25,1831733
2000-01-24,25.13,25.19,23.63,24.06,1560800
2000-01-25,24.06,24.19,23.75,23.75,1450400
2000-01-26,24.0,24.25,23.69,23.94,1752800
2000-01-27,24.0,24.19,22.69,22.88,1058933
2000-01-28,22.88,24.75,22.5,23.38,2805867
2000-01-31,23.38,23.63,22.63,22.75,1287200
2000-02-01,22.75,23.0,22.31,22.69,1783733
2000-02-02,22.0,23.75,22.0,23.44,3321600
2000-02-03,22.75,23.38,22.75,22.94,2385067
2000-02-04,22.94,23.63,22.94,23.38,2604800
2000-02-07,23.0,23.31,22.31,22.81,1184533
2000-02-08,22.88,23.19,22.69,22.94,1928800
2000-02-09,22.81,23.25,22.31,22.38,2136800
2000-02-10,22.38,22.38,21.13,21.19,1322667
2000-02-11,21.38,21.5,20.63,20.88,1613867
2000-02-14,21.0,21.0,20.31,20.56,1304000
2000-02-15,20.81,20.88,20.44,20.69,1646400
2000-02-16,20.88,21.0,20.13,20.31,1051733
2000-02-17,20.13,20.38,20.06,20.25,1774133
2000-02-18,20.0,20.25,19.5,19.63,1725067
2000-02-22,19.63,20.06,19.31,19.75,1049867
2000-02-23,19.63,19.63,18.69,18.75,917867
2000-02-24,19.0,19.19,18.0,18.63,2058667
2000-02-25,18.38,18.63,18.0,18.06,1432000
2000-02-28,18.0,18.0,16.94,17.38,2662933
2000-02-29,17.38,18.0,17.25,17.5,3055467
2000-03-01,17.75,18.75,17.31,18.69,3275200
2000-03-02,19.0,19.88,19.0,19.56,1971200
2000-03-03,19.81,21.06,19.5,20.81,1803733
2000-03-06,20.56,20.56,19.56,19.69,950933
2000-03-07,19.75,20.19,19.56,20.0,1821600
2000-03-08,19.75,19.81,19.25,19.44,824800
2000-03-09,19.38,19.94,19.25,19.88,472800
2000-03-10,20.0,20.75,19.75,20.69,944000
2000-03-13,20.63,20.69,19.94,20.25,505067
2000-03-14,20.19,20.63,19.81,20.0,996267
2000-03-15,20.06,22.88,20.0,22.0,1258400
2000-03-16,21.88,24.5,21.81,23.88,2348000
2000-03-17,23.94,24.06,23.19,23.19,1146133
2000-03-20,23.0,23.31,21.75,22.63,751733
2000-03-21,22.63,23.31,22.44,22.94,879200
2000-03-22,22.5,22.94,21.63,22.0,1033600
2000-03-23,22.0,22.0,21.44,21.56,801600
2000-03-24,21.25,22.44,20.5,21.75,1560000
2000-03-27,22.0,22.25,21.06,21.31,700800
2000-03-28,21.44,22.5,21.38,21.88,953600
2000-03-29,22.75,22.88,22.31,22.56,1016533
2000-03-30,22.31,23.63,22.0,23.0,1464267
2000-03-31,24.0,24.38,23.0,23.0,2536800
2000-04-03,23.25,24.81,23.25,24.31,1676000
2000-04-04,24.0,24.88,23.5,23.75,2274133
2000-04-05,23.94,25.0,23.81,24.63,985600
2000-04-06,24.88,26.06,24.88,25.5,2929067
2000-04-07,25.44,25.5,24.5,24.75,1145867
2000-04-10,24.5,25.25,24.5,24.75,1574667
2000-04-11,24.75,25.75,24.75,25.5,1015467
2000-04-12,25.44,27.13,25.44,26.75,2859467
2000-04-13,26.5,26.63,25.38,25.94,1222400
2000-04-14,25.5,25.94,24.38,25.25,1647733
2000-04-17,25.5,25.63,24.38,25.13,920800
