date,open,high,low,close,volume
2007-05-01,2.39,2.4489,2.39,2.4487,3700
2007-05-02,2.5,2.5,2.491,2.491,1700
2007-05-03,2.5,2.5,2.5,2.5,3000
2007-05-04,2.64,2.64,2.64,2.64,500
2007-05-07,2.5,2.58,2.5,2.54,51300
2007-05-08,2.64,2.64,2.55,2.59,12500
2007-05-09,2.56,2.56,2.54,2.55,15300
2007-05-10,2.55,2.55,2.52,2.54,8000
2007-05-11,2.53,2.55,2.51,2.55,13500
2007-05-14,2.55,2.59,2.55,2.59,50500
2007-05-15,2.55,2.55,2.55,2.55,23700
2007-05-16,2.558,2.561,2.51,2.561,13200
2007-05-17,2.56,2.56,2.56,2.56,0
2007-05-18,2.64,2.64,2.64,2.64,1500
2007-05-21,2.731,2.731,2.64,2.64,1900
2007-05-22,2.62,2.9,2.62,2.7292,14300
2007-05-23,2.75,2.75,2.7163,2.7163,5000
2007-05-24,2.64,2.68,2.6363,2.68,44700
2007-05-25,2.68,2.68,2.68,2.68,0
2007-05-29,2.75,2.75,2.65,2.7,12600
2007-05-30,2.67,2.67,2.55,2.6556,12800
2007-05-31,2.66,2.66,2.66,2.66,0
2007-06-01,2.55,2.55,2.55,2.55,3200
2007-06-04,2.68,2.68,2.6,2.68,3500
2007-06-05,2.7,2.719,2.668,2.719,25600
2007-06-06,2.69,2.69,2.69,2.69,1000
2007-06-07,2.67,2.8,2.67,2.77,153300
2007-06-08,2.8,3.05,2.78,2.9,90000
2007-06-11,2.9,2.9,2.875,2.885,13800
2007-06-12,2.8,2.83,2.8,2.83,4800
2007-06-13,2.83,2.83,2.83,2.83,0
2007-06-14,2.8,2.8,2.8,2.8,2700
2007-06-15,2.8,2.8,2.8,2.8,8900
2007-06-18,2.8,2.808,2.73,2.8,28700
2007-06-19,2.8,2.8,2.8,2.8,7100
2007-06-20,2.8,2.8,2.8,2.8,3900
2007-06-21,2.76,2.895,2.76,2.895,65100
2007-06-22,2.9,2.9,2.9,2.9,0
2007-06-25,2.75,2.811,2.72,2.72,12100
2007-06-26,2.72,2.814,2.72,2.814,9500
2007-06-27,2.81,2.81,2.81,2.81,0
2007-06-28,2.81,2.81,2.81,2.81,0
2007-06-29,2.81,2.81,2.81,2.81,0
2007-07-02,2.81,2.81,2.81,2.81,0
2007-07-03,2.81,2.81,2.81,2.81,0
2007-07-05,2.81,2.81,2.81,2.81,0
2007-07-06,2.81,2.81,2.81,2.81,0
2007-07-09,2.76,2.76,2.75,2.75,11000
2007-07-10,2.75,2.75,2.75,2.75,0
2007-07-11,2.68,2.68,2.68,2.68,400
2007-07-12,2.88,2.9,2.75,2.9,21500
2007-07-13,2.74,2.74,2.74,2.74,10000
