date,open,high,low,close,volume
2018-07-19,23.05,24.0,20.1,22.39,11934483
2018-07-20,24.25,31.8,23.5,29.77,13970585
2018-07-23,33.48,34.1,29.31,29.45,10042880
2018-07-24,28.8,29.43,25.25,25.36,5524167
2018-07-25,25.31,27.15,24.2,26.49,3849498
2018-07-26,26.6,27.67,26.2,26.4,1477909
2018-07-27,27.74,27.74,24.12,24.3,1501179
2018-07-30,24.95,25.25,22.5,22.84,1365213
2018-07-31,22.5,22.9,22.0,22.1,1901548
2018-08-01,23.58,23.6,21.5,22.93,1572520
2018-08-02,23.13,23.99,22.56,23.87,1131207
2018-08-03,24.16,24.37,23.45,24.15,603631
2018-08-06,24.29,26.0,24.29,24.84,1077159
2018-08-07,25.75,26.0,24.37,24.68,1286682
2018-08-08,24.66,25.4,24.66,24.74,336372
2018-08-09,24.99,25.82,24.99,25.6,901551
2018-08-10,25.5,25.9,24.56,25.82,473485
2018-08-13,26.88,28.44,26.27,26.67,2087468
2018-08-14,27.35,27.35,24.0,24.25,1378448
2018-08-15,26.78,30.0,26.11,29.1,6160349
2018-08-16,29.4,31.23,27.65,29.27,3150997
2018-08-17,29.47,31.0,28.88,30.69,1762067
2018-08-20,31.45,37.46,31.45,35.9,6057588
2018-08-21,39.3,41.75,37.95,39.94,10261905
2018-08-22,39.32,40.09,36.6,39.0,5430202
2018-08-23,39.74,39.84,37.65,38.25,3231119
2018-08-24,40.0,44.37,39.35,43.86,8963532
2018-08-27,52.4,58.68,50.0,53.44,14945595
2018-08-28,53.0,54.74,49.5,51.5,11042524
2018-08-29,61.62,62.9,56.25,62.13,18114649
2018-08-30,59.19,60.8,55.55,59.07,9330984
2018-08-31,59.75,66.74,59.0,65.2,8496731
2018-09-04,69.65,78.0,69.03,77.01,16480725
2018-09-05,86.5,97.36,73.54,89.86,20602700
2018-09-06,85.0,88.68,76.35,80.1,13564985
2018-09-07,75.01,84.7,72.5,77.89,9022388
2018-09-10,82.99,90.75,82.2,84.5,12893275
2018-09-11,89.16,97.88,87.5,95.79,15675822
2018-09-12,104.56,108.27,97.61,104.95,18844964
2018-09-13,113.53,127.27,109.0,119.76,21827488
2018-09-14,100.6,116.39,97.0,109.05,16603762
2018-09-17,117.14,126.1,114.0,120.19,11682962
2018-09-18,134.65,155.1,132.0,154.98,19955697
2018-09-19,233.58,300.0,151.4,214.06,31717724
2018-09-20,214.11,244.0,158.0,176.35,20340900
2018-09-21,148.87,148.88,121.51,123.0,16097705
2018-09-24,100.98,121.79,97.12,99.5,12388846
