date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,17.38,17.5,16.62,16.69,170200,1.0,0.0
2000-01-04,16.5,16.63,15.88,16.5,243800,1.0,0.0
2000-01-05,16.63,16.75,16.0,16.5,166200,1.0,0.0
2000-01-06,16.31,18.75,16.31,17.38,291600,1.0,0.0
2000-01-07,18.0,18.19,17.63,17.94,655500,1.0,0.0
2000-01-10,18.25,18.25,17.75,17.81,291600,1.0,0.0
2000-01-11,17.88,18.06,17.69,17.81,485900,1.0,0.0
2000-01-12,18.0,18.25,17.75,17.81,229600,1.0,0.0
2000-01-13,17.81,18.63,17.81,18.56,255900,1.0,0.0
2000-01-14,18.75,19.19,18.5,18.75,331000,1.0,0.0
2000-01-18,18.75,19.38,18.19,19.0,286600,1.0,0.0
2000-01-19,19.13,21.25,19.06,20.75,849900,1.0,0.0
2000-01-20,22.0,22.31,20.13,20.13,623200,1.0,0.0
2000-01-21,21.0,21.0,19.75,20.63,773300,1.0,0.0
2000-01-24,21.13,21.88,20.75,21.19,326800,1.0,0.0
2000-01-25,21.25,21.63,19.5,20.31,430600,1.0,0.0
2000-01-26,20.31,21.63,20.19,21.25,306800,1.0,0.0
2000-01-27,22.0,22.0,20.25,20.31,264400,1.0,0.0
2000-01-28,18.5,20.25,18.5,19.19,187700,1.0,0.0
2000-01-31,19.44,19.94,18.81,19.13,188100,1.0,0.0
2000-02-01,18.88,19.81,18.69,19.75,72500,1.0,0.0
2000-02-02,19.5,19.63,19.0,19.19,220300,1.0,0.0
2000-02-03,19.5,19.5,18.38,19.25,90600,1.0,0.0
2000-02-04,20.25,20.25,18.94,18.94,163200,1.0,0.0
2000-02-07,19.0,19.19,18.13,18.5,111900,1.0,0.0
2000-02-08,18.75,18.94,17.69,17.69,174100,1.0,0.0
2000-02-09,17.75,18.0,16.75,17.06,568100,1.0,0.0
2000-02-10,16.94,17.63,16.5,16.88,365300,1.0,0.0
2000-02-11,16.81,17.0,15.88,16.31,372900,1.0,0.0
2000-02-14,16.56,16.75,15.5,15.75,473800,1.0,0.0
2000-02-15,15.94,17.5,15.75,17.25,455000,1.0,0.0
2000-02-16,17.38,17.44,16.81,16.81,133000,1.0,0.0
2000-02-17,16.75,17.0,16.69,16.81,148700,1.0,0.0
2000-02-18,16.75,16.88,16.0,16.38,251600,1.0,0.0
2000-02-22,15.0,16.38,15.0,16.06,707000,1.0,0.0
2000-02-23,15.81,16.38,15.63,16.38,227400,1.0,0.0
2000-02-24,16.13,16.63,16.0,16.56,345100,1.0,0.0
2000-02-25,16.81,16.81,16.19,16.44,252700,1.0,0.0
2000-02-28,16.44,16.44,15.19,15.88,334000,1.0,0.0
2000-02-29,15.75,16.38,15.38,15.63,514300,1.0,0.0
2000-03-01,15.56,16.0,15.25,15.5,225600,1.0,0.0
2000-03-02,15.13,15.19,14.75,15.0,606600,1.0,0.0
2000-03-03,15.0,15.0,14.25,14.94,309300,1.0,0.0
2000-03-06,14.94,15.0,14.75,15.0,296800,1.0,0.0
2000-03-07,15.0,15.0,14.44,14.5,408600,1.0,0.0
2000-03-08,14.25,14.56,13.75,13.94,569000,1.0,0.0
2000-03-09,13.94,14.63,13.88,14.5,260600,1.0,0.0
2000-03-10,14.63,15.0,14.5,14.56,230500,1.0,0.0
2000-03-13,14.44,14.94,14.38,14.5,90600,1.0,0.0
2000-03-14,14.5,14.5,13.81,13.81,199900,1.0,0.0
2000-03-15,13.88,13.88,13.44,13.75,403700,1.0,0.0
2000-03-16,13.88,14.75,13.75,14.38,611200,1.0,0.0
2000-03-17,14.38,14.88,13.69,13.75,459000,1.0,0.0
2000-03-20,14.0,14.5,13.94,14.13,444300,1.0,0.0
2000-03-21,14.63,15.31,14.44,14.88,599300,1.0,0.0
2000-03-22,15.0,15.06,14.5,14.81,136300,1.0,0.0
2000-03-23,14.69,14.81,14.19,14.81,195600,1.0,0.0
2000-03-24,14.75,15.69,14.75,15.13,341000,1.0,0.0
2000-03-27,15.13,15.56,15.13,15.19,233900,1.0,0.0
2000-03-28,15.38,15.5,14.56,14.94,125700,1.0,0.0
2000-03-29,15.0,15.0,14.13,14.75,186900,1.0,0.0
2000-03-30,14.63,16.0,14.56,15.75,314500,1.0,0.0
2000-03-31,15.75,17.31,15.63,17.25,475900,1.0,0.0
2000-04-03,17.0,17.19,16.19,16.38,215500,1.0,0.0
2000-04-04,16.5,16.63,15.0,15.94,287000,1.0,0.0
2000-04-05,15.75,16.19,15.69,15.69,97300,1.0,0.0
2000-04-06,15.69,15.81,15.13,15.25,235500,1.0,0.0
2000-04-07,15.31,15.38,14.88,15.0,545500,1.0,0.0
2000-04-10,14.94,14.94,14.56,14.56,265000,1.0,0.0
2000-04-11,14.69,14.88,14.25,14.5,139700,1.0,0.0
2000-04-12,14.69,14.69,14.0,14.06,389400,1.0,0.0
2000-04-13,14.5,15.25,14.25,14.88,570000,1.0,0.0
2000-04-14,14.25,14.69,13.81,14.38,299000,1.0,0.0
2000-04-17,14.5,14.81,14.06,14.81,249000,1.0,0.0
2000-04-18,14.5,15.0,14.38,14.75,277900,1.0,0.0
2000-04-19,14.75,14.75,14.38,14.5,185200,1.0,0.0
2000-04-20,14.5,14.75,14.31,14.63,168800,1.0,0.0
2000-04-24,14.88,14.88,13.88,13.88,115100,1.0,0.0
2000-04-25,14.13,14.13,13.75,14.13,118500,1.0,0.0
2000-04-26,14.06,14.06,13.56,13.75,163100,1.0,0.0
2000-04-27,13.75,13.88,13.38,13.81,429600,1.0,0.0
